Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
arxiv_2023_runkw0a0cdl_BUDDY_hyper1vimfrma,18.12,19.04,25.48,32.78,46.73,49.92,19.12,18.12,19.04,25.48,32.78,46.73,49.92,82.95,86.24,51.75,128,512,0.01,2,0.1,0.1,0.3
arxiv_2023_runkw0a0cdl_BUDDY_hyperpunk5aki,18.12,19.04,25.48,40.97,49.82,57.95,19.12,18.12,19.04,25.48,40.97,49.82,57.95,83.18,86.87,75.96,128,512,0.01,2,0.1,0.1,0.7
arxiv_2023_runkw0a0cdl_BUDDY_hyper1tr8fw81,18.12,19.04,25.48,40.97,49.46,56.77,19.12,18.12,19.04,25.48,40.97,49.46,56.77,84.34,87.69,75.96,128,512,0.01,2,0.1,0.3,0.3
arxiv_2023_runkw0a0cdl_BUDDY_hyper76t52hbm,18.12,19.04,32.94,40.97,49.46,56.77,19.12,18.12,19.04,32.94,40.97,49.46,56.77,84.34,87.69,75.96,128,512,0.01,2,0.1,0.3,0.7
arxiv_2023_runkw0a0cdl_BUDDY_hyperuuk4jfyc,18.12,19.04,32.94,40.97,49.46,56.77,19.12,18.12,19.04,32.94,40.97,49.46,56.77,84.34,87.69,75.96,128,512,0.01,2,0.1,0.5,0.3
arxiv_2023_runkw0a0cdl_BUDDY_hyperhwaq87md,18.12,19.04,32.94,40.97,49.46,56.77,19.12,18.12,19.04,32.94,40.97,49.46,56.77,84.34,87.69,75.96,128,512,0.01,2,0.1,0.5,0.7
arxiv_2023_runkw0a0cdl_BUDDY_hyper3rbdicg4,18.12,19.04,32.94,40.97,49.92,56.77,19.12,18.12,19.04,32.94,40.97,49.92,56.77,84.26,87.69,75.96,128,512,0.01,2,0.3,0.1,0.3
arxiv_2023_runkw0a0cdl_BUDDY_hyperaeex9an5,18.12,19.04,32.94,40.97,49.92,56.77,19.12,18.12,19.04,32.94,40.97,49.92,56.77,84.86,87.98,75.96,128,512,0.01,2,0.3,0.1,0.7
arxiv_2023_runkw0a0cdl_BUDDY_hyper8b6gxxms,18.12,19.04,32.94,40.97,49.92,56.77,19.12,18.12,19.04,32.94,40.97,49.92,56.77,84.86,87.98,75.96,128,512,0.01,2,0.3,0.3,0.3
arxiv_2023_runkw0a0cdl_BUDDY_hypergakpy58n,18.12,19.04,32.94,40.97,49.92,56.77,19.12,18.12,19.04,32.94,40.97,49.92,56.77,84.86,87.98,75.96,128,512,0.01,2,0.3,0.3,0.7
arxiv_2023_runkw0a0cdl_BUDDY_hyperwelc3ori,18.12,19.04,32.94,40.97,49.92,56.77,19.12,18.12,19.04,32.94,40.97,49.92,56.77,84.86,87.98,75.96,128,512,0.01,2,0.3,0.5,0.3
arxiv_2023_runkw0a0cdl_BUDDY_hypers9nbpxcy,18.12,19.04,32.94,40.97,49.92,56.77,19.12,18.12,19.04,32.94,40.97,49.92,56.77,84.86,87.98,75.96,128,512,0.01,2,0.3,0.5,0.7
arxiv_2023_runkw0a0cdl_BUDDY_hyperypbipbba,13.74,21.67,32.94,40.97,49.92,55.89,19.6,13.74,21.67,32.94,40.97,49.92,55.89,84.86,87.98,75.96,128,512,0.01,2,0.5,0.1,0.3
arxiv_2023_runkw0a0cdl_BUDDY_hyperh9rbvbx7,13.74,21.67,32.94,40.97,49.92,55.89,19.6,13.74,21.67,32.94,40.97,49.92,55.89,84.86,87.98,75.96,128,512,0.01,2,0.5,0.1,0.7
arxiv_2023_runkw0a0cdl_BUDDY_hyperu86y7i7m,13.74,21.67,32.94,40.97,49.92,55.89,19.6,13.74,21.67,32.94,40.97,49.92,55.89,84.86,87.98,75.96,128,512,0.01,2,0.5,0.3,0.3
arxiv_2023_runkw0a0cdl_BUDDY_hyperqk5smaxm,13.74,21.67,32.94,40.97,49.92,55.89,19.6,13.74,21.67,32.94,40.97,49.92,55.89,84.86,87.98,75.96,128,512,0.01,2,0.5,0.3,0.7
arxiv_2023_runkw0a0cdl_BUDDY_hyperkp83goql,13.74,21.67,32.94,40.97,49.92,55.89,19.6,13.74,21.67,32.94,40.97,49.92,55.89,84.86,87.98,75.96,128,512,0.01,2,0.5,0.5,0.3
arxiv_2023_runkw0a0cdl_BUDDY_hyperhkw9oyjk,13.74,21.67,32.94,40.97,49.92,55.89,19.6,13.74,21.67,32.94,40.97,49.92,55.89,84.86,87.98,75.96,128,512,0.01,2,0.5,0.5,0.7
arxiv_2023_runkw0a0cdl_BUDDY_hypernudjf0m9,13.74,21.67,32.94,40.97,49.92,55.89,19.6,13.74,21.67,32.94,40.97,49.92,55.89,84.86,87.98,75.96,128,512,0.01,3,0.1,0.1,0.3
arxiv_2023_runkw0a0cdl_BUDDY_hypertg3x5gjb,13.74,21.67,32.94,40.97,49.92,55.89,19.6,13.74,21.67,32.94,40.97,49.92,55.89,84.86,87.98,75.96,128,512,0.01,3,0.1,0.1,0.7
arxiv_2023_runkw0a0cdl_BUDDY_hyperixrlq8d0,13.74,21.67,32.94,40.97,49.92,55.89,19.6,13.74,21.67,32.94,40.97,49.92,55.89,84.86,87.98,75.96,128,512,0.01,3,0.1,0.3,0.3
arxiv_2023_runkw0a0cdl_BUDDY_hyper56vdz5yu,13.74,21.67,32.94,40.97,49.92,55.89,19.6,13.74,21.67,32.94,40.97,49.92,55.89,84.86,87.98,75.96,128,512,0.01,3,0.1,0.3,0.7
arxiv_2023_runkw0a0cdl_BUDDY_hyperk39lqrsi,13.74,21.67,32.94,40.97,49.92,55.89,19.6,13.74,21.67,32.94,40.97,49.92,55.89,84.86,87.98,75.96,128,512,0.01,3,0.1,0.5,0.3
