Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
arxiv_2023_runh5ymhv42_BUDDY_hyperkbajiqck,15.77,19.88,31.19,45.03,52.03,59.79,20.23,15.77,19.88,31.19,45.03,52.03,59.79,84.54,87.89,53.96,256,512,0.01,2,0.1,0.1,0.1
arxiv_2023_runh5ymhv42_BUDDY_hypery6zd0cgq,15.52,19.88,31.19,39.6,50.66,59.79,19.89,15.52,19.88,31.19,39.6,50.66,59.79,84.54,87.89,58.39,256,512,0.01,2,0.1,0.1,0.3
arxiv_2023_runh5ymhv42_BUDDY_hyperzvlpj3ve,15.52,19.88,31.19,39.6,51.57,59.79,19.89,15.52,19.88,31.19,39.6,51.57,59.79,84.54,87.89,55.15,256,512,0.01,2,0.1,0.1,0.5
arxiv_2023_runh5ymhv42_BUDDY_hyperfxl4lycr,15.52,19.88,31.19,39.6,50.56,59.79,19.89,15.52,19.88,31.19,39.6,50.56,59.79,84.54,87.89,55.15,256,512,0.01,2,0.1,0.3,0.1
arxiv_2023_runh5ymhv42_BUDDY_hyper4uwc7rd5,15.52,19.88,31.19,39.6,50.56,59.79,19.89,15.52,19.88,31.19,39.6,50.56,59.79,84.62,88.1,56.14,256,512,0.01,2,0.1,0.3,0.3
arxiv_2023_runh5ymhv42_BUDDY_hyperl9qmd6gz,15.52,19.88,31.19,39.6,50.56,59.79,19.89,15.52,19.88,31.19,39.6,50.56,59.79,84.62,88.1,52.15,256,512,0.01,2,0.1,0.3,0.5
arxiv_2023_runh5ymhv42_BUDDY_hyperm4nv5w7f,15.52,19.88,31.19,39.6,50.56,59.79,19.89,15.52,19.88,31.19,39.6,50.56,59.79,84.62,88.1,52.15,256,512,0.01,2,0.1,0.5,0.1
arxiv_2023_runh5ymhv42_BUDDY_hypery5t7vgo4,15.52,19.88,31.19,39.6,50.56,59.79,19.89,15.52,19.88,31.19,39.6,50.56,59.79,84.62,88.31,52.15,256,512,0.01,2,0.1,0.5,0.3
arxiv_2023_runh5ymhv42_BUDDY_hyperb39jqvbn,15.52,19.88,31.19,39.6,50.56,59.79,19.89,15.52,19.88,31.19,39.6,50.56,59.79,84.62,88.31,52.15,256,512,0.01,2,0.1,0.5,0.5
arxiv_2023_runh5ymhv42_BUDDY_hypereedbucak,15.52,19.88,31.19,39.6,50.56,59.79,19.89,15.52,19.88,31.19,39.6,50.56,59.79,84.62,88.31,52.15,256,512,0.01,2,0.3,0.1,0.1
arxiv_2023_runh5ymhv42_BUDDY_hyperd2izwiei,15.52,19.88,31.19,39.6,50.56,59.79,19.89,15.52,19.88,31.19,39.6,50.56,59.79,84.62,88.31,52.15,256,512,0.01,2,0.3,0.1,0.3
arxiv_2023_runh5ymhv42_BUDDY_hypern35zmflh,15.52,19.88,31.19,39.6,50.56,59.79,19.89,15.52,19.88,31.19,39.6,50.56,59.79,84.62,88.31,61.81,256,512,0.01,2,0.3,0.1,0.5
arxiv_2023_runh5ymhv42_BUDDY_hyper1hzq99kz,15.52,19.88,31.19,39.6,50.56,59.79,19.89,15.52,19.88,31.19,39.6,50.56,59.79,84.62,88.31,61.81,256,512,0.01,2,0.3,0.3,0.1
arxiv_2023_runh5ymhv42_BUDDY_hyperox7jqnwv,15.52,19.88,31.19,39.6,50.56,59.79,19.89,15.52,19.88,31.19,39.6,50.56,59.79,84.62,88.31,59.71,256,512,0.01,2,0.3,0.3,0.3
arxiv_2023_runh5ymhv42_BUDDY_hyper2gmeojno,15.52,19.88,31.19,39.6,50.56,59.79,19.89,15.52,19.88,31.19,39.6,50.56,59.79,84.62,88.31,59.71,256,512,0.01,2,0.3,0.3,0.5
arxiv_2023_runh5ymhv42_BUDDY_hyperil615avb,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.62,88.31,59.71,256,512,0.01,2,0.3,0.5,0.1
arxiv_2023_runh5ymhv42_BUDDY_hyperv82ghck9,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.62,88.31,59.71,256,512,0.01,2,0.3,0.5,0.3
arxiv_2023_runh5ymhv42_BUDDY_hyper2vym94z6,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.62,88.31,59.71,256,512,0.01,2,0.3,0.5,0.5
arxiv_2023_runh5ymhv42_BUDDY_hyperfdkbului,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.89,88.31,59.71,256,512,0.01,2,0.5,0.1,0.1
arxiv_2023_runh5ymhv42_BUDDY_hyperi3ey6hu4,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.89,88.31,59.71,256,512,0.01,2,0.5,0.1,0.3
arxiv_2023_runh5ymhv42_BUDDY_hyperlqxnsp8a,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.89,88.31,59.71,256,512,0.01,2,0.5,0.1,0.5
arxiv_2023_runh5ymhv42_BUDDY_hyperu0mvkj4n,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.89,88.31,59.71,256,512,0.01,2,0.5,0.3,0.1
arxiv_2023_runh5ymhv42_BUDDY_hyperuleb4co3,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.89,88.31,64.86,256,512,0.01,2,0.5,0.3,0.3
arxiv_2023_runh5ymhv42_BUDDY_hyper2fuqvhed,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.89,88.31,64.86,256,512,0.01,2,0.5,0.3,0.5
arxiv_2023_runh5ymhv42_BUDDY_hypern33p9cfz,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.89,88.31,64.86,256,512,0.01,2,0.5,0.5,0.1
arxiv_2023_runh5ymhv42_BUDDY_hyperjrptzock,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.89,88.31,64.86,256,512,0.01,2,0.5,0.5,0.3
arxiv_2023_runh5ymhv42_BUDDY_hyperle1mzcxt,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.89,88.31,64.86,256,512,0.01,2,0.5,0.5,0.5
arxiv_2023_runh5ymhv42_BUDDY_hyperzymy2bsz,15.52,19.88,31.19,39.6,50.56,61.71,19.89,15.52,19.88,31.19,39.6,50.56,61.71,84.89,88.31,64.86,256,512,0.01,3,0.1,0.1,0.1
arxiv_2023_runh5ymhv42_BUDDY_hyper37zw9xlt,11.26,19.88,31.19,39.6,50.56,61.71,19.89,11.26,19.88,31.19,39.6,50.56,61.71,84.89,88.31,67.32,256,512,0.01,3,0.1,0.1,0.3
arxiv_2023_runh5ymhv42_BUDDY_hyper0d1dnpp7,11.26,19.88,31.19,39.6,50.56,61.71,19.89,11.26,19.88,31.19,39.6,50.56,61.71,85.5,88.69,67.32,256,512,0.01,3,0.1,0.1,0.5
arxiv_2023_runh5ymhv42_BUDDY_hyper52l9m67z,11.26,19.88,31.19,39.6,50.56,61.71,19.89,11.26,19.88,31.19,39.6,50.56,61.71,85.5,88.41,67.32,256,512,0.01,3,0.1,0.3,0.1
arxiv_2023_runh5ymhv42_BUDDY_hyperg6y5vtj8,11.26,19.88,31.19,39.6,50.56,61.71,19.89,11.26,19.88,31.19,39.6,50.56,61.71,85.5,88.41,67.32,256,512,0.01,3,0.1,0.3,0.3
arxiv_2023_runh5ymhv42_BUDDY_hypersvu25u6w,11.26,19.88,31.19,39.6,50.56,61.71,19.89,11.26,19.88,31.19,39.6,50.56,61.71,85.5,88.41,67.32,256,512,0.01,3,0.1,0.3,0.5
arxiv_2023_runh5ymhv42_BUDDY_hyper75czsidh,11.26,19.88,31.19,39.6,50.56,61.71,19.89,11.26,19.88,31.19,39.6,50.56,61.71,86.3,88.41,67.32,256,512,0.01,3,0.1,0.5,0.1
arxiv_2023_runh5ymhv42_BUDDY_hyper54p6zflu,11.26,19.88,31.19,39.6,50.56,61.71,19.89,11.26,19.88,31.19,39.6,50.56,61.71,86.3,88.41,67.32,256,512,0.01,3,0.1,0.5,0.3
arxiv_2023_runh5ymhv42_BUDDY_hyperv8x6c01t,11.26,19.88,31.19,39.6,50.56,61.71,19.89,11.26,19.88,31.19,39.6,50.56,61.71,86.3,88.41,67.32,256,512,0.01,3,0.1,0.5,0.5
arxiv_2023_runh5ymhv42_BUDDY_hyper6cb5rb2p,11.26,19.88,31.19,39.6,50.56,61.71,19.89,11.26,19.88,31.19,39.6,50.56,61.71,86.3,88.76,67.32,256,512,0.01,3,0.3,0.1,0.1
