Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout
arxiv_2023_runrhac0lib_BUDDY_hyperae77syci,15.34,17.55,28.82,38.19,50.59,58.31,18.58,15.34,17.55,28.82,38.19,50.59,58.31,83.68,87.16,60.14,128,512,0.01,2,0.1,0.1
arxiv_2023_runrhac0lib_BUDDY_hypero0sq4ab5,15.34,20.54,34.17,40.71,53.47,61.35,22.77,15.34,20.54,34.17,40.71,53.47,61.35,83.51,87.43,60.14,128,512,0.01,2,0.1,0.3
arxiv_2023_runrhac0lib_BUDDY_hyperz52wu4n8,15.34,20.54,34.17,40.71,53.47,61.35,22.77,15.34,20.54,34.17,40.71,53.47,61.35,83.51,87.43,60.14,128,512,0.01,2,0.1,0.5
arxiv_2023_runrhac0lib_BUDDY_hyperpdexei64,15.34,20.54,34.17,40.71,52.7,61.81,22.77,15.34,20.54,34.17,40.71,52.7,61.81,84.19,87.84,75.22,128,512,0.01,2,0.3,0.1
arxiv_2023_runrhac0lib_BUDDY_hyper04mg1wig,15.34,14.1,34.17,41.64,52.7,61.81,22.77,15.34,14.1,34.17,41.64,52.7,61.81,84.42,87.84,75.22,128,512,0.01,2,0.3,0.3
arxiv_2023_runrhac0lib_BUDDY_hyper66itdvsx,13.95,14.1,34.17,41.64,52.7,61.81,22.77,13.95,14.1,34.17,41.64,52.7,61.81,84.42,87.84,75.22,128,512,0.01,2,0.3,0.5
arxiv_2023_runrhac0lib_BUDDY_hyperup6mg547,11.58,14.1,34.17,41.64,52.29,58.41,17.82,11.58,14.1,34.17,41.64,52.29,58.41,84.47,87.9,75.22,128,512,0.01,2,0.5,0.1
arxiv_2023_runrhac0lib_BUDDY_hyper0ufv9ldh,11.58,14.1,34.17,41.64,52.29,58.41,17.82,11.58,14.1,34.17,41.64,52.29,58.41,84.47,87.9,75.22,128,512,0.01,2,0.5,0.3
arxiv_2023_runrhac0lib_BUDDY_hyper7x89rcce,11.58,14.1,34.17,41.64,52.29,58.41,17.82,11.58,14.1,34.17,41.64,52.29,58.41,84.47,87.9,75.22,128,512,0.01,2,0.5,0.5
arxiv_2023_runrhac0lib_BUDDY_hyperufzjvx35,11.58,14.1,34.17,41.53,51.83,58.41,17.82,11.58,14.1,34.17,41.53,51.83,58.41,84.47,87.9,75.55,128,512,0.01,3,0.1,0.1
arxiv_2023_runrhac0lib_BUDDY_hyperx395jb48,11.58,14.1,34.17,41.53,51.83,58.41,17.82,11.58,14.1,34.17,41.53,51.83,58.41,84.47,87.9,75.55,128,512,0.01,3,0.1,0.3
arxiv_2023_runrhac0lib_BUDDY_hyperly9ol9j6,11.58,14.1,34.17,41.53,51.83,58.41,17.82,11.58,14.1,34.17,41.53,51.83,58.41,84.47,87.9,75.55,128,512,0.01,3,0.1,0.5
arxiv_2023_runrhac0lib_BUDDY_hyperbbem53yo,11.58,14.1,34.17,41.53,51.83,58.41,19.24,11.58,14.1,34.17,41.53,51.83,58.41,84.52,87.99,75.55,128,512,0.01,3,0.3,0.1
arxiv_2023_runrhac0lib_BUDDY_hyperh6n47hhe,11.58,14.1,34.17,41.53,51.83,58.41,19.65,11.58,14.1,34.17,41.53,51.83,58.41,84.52,87.99,75.55,128,512,0.01,3,0.3,0.3
arxiv_2023_runrhac0lib_BUDDY_hyperqarausm7,11.58,14.1,34.17,41.53,51.83,58.41,19.65,11.58,14.1,34.17,41.53,51.83,58.41,84.52,87.99,75.55,128,512,0.01,3,0.3,0.5
