Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
arxiv_2023_runh2tjcczg_ELPH_hyper730aeol5,8.01,18.1,31.85,37.07,45.33,54.97,16.96,8.01,18.1,31.85,37.07,45.33,54.97,87.03,88.43,53.5,256,512,0.01,2,0.1,0.1,0.1
arxiv_2023_runh2tjcczg_ELPH_hypergtizw2oi,8.01,18.1,31.85,37.07,45.33,54.97,16.96,8.01,18.1,31.85,37.07,45.33,54.97,87.03,88.43,71.83,256,512,0.01,2,0.1,0.1,0.3
arxiv_2023_runh2tjcczg_ELPH_hyperu20pkj94,8.01,18.1,31.85,37.07,45.33,54.97,16.96,8.01,18.1,31.85,37.07,45.33,54.97,87.03,88.43,71.83,256,512,0.01,2,0.1,0.1,0.5
arxiv_2023_runh2tjcczg_ELPH_hyper1w0bcwmy,10.95,18.1,34.13,39.96,47.11,55.07,17.86,10.95,18.1,34.13,39.96,47.11,55.07,87.24,88.69,71.83,256,512,0.01,2,0.1,0.3,0.1
arxiv_2023_runh2tjcczg_ELPH_hyperv2y2xidi,10.95,18.1,33.47,39.96,47.11,55.07,17.86,10.95,18.1,33.47,39.96,47.11,55.07,87.24,88.69,71.83,256,512,0.01,2,0.1,0.3,0.3
arxiv_2023_runcotrmvqd_ELPH_hyperm3pnwjh0,8.92,18.51,30.07,34.03,44.27,52.84,17.33,8.92,18.51,30.07,34.03,44.27,52.84,85.66,87.41,50.43,128,512,0.01,2,0.1,0.1,0.1
arxiv_2023_runcotrmvqd_ELPH_hypergpiv07wx,8.92,18.51,30.07,34.03,44.27,52.84,17.33,8.92,18.51,30.07,34.03,44.27,52.84,85.66,87.41,50.43,128,512,0.01,2,0.1,0.1,0.3
arxiv_2023_runcotrmvqd_ELPH_hypermgp6oaxt,9.18,18.51,30.07,34.03,43.81,52.84,17.33,9.18,18.51,30.07,34.03,43.81,52.84,85.66,87.41,50.43,128,512,0.01,2,0.1,0.1,0.5
arxiv_2023_runcotrmvqd_ELPH_hyperhwvuvm53,12.02,19.98,28.9,38.95,46.4,55.07,18.13,12.02,19.98,28.9,38.95,46.4,55.07,86.49,88.19,50.43,128,512,0.01,2,0.1,0.3,0.1
arxiv_2023_runcotrmvqd_ELPH_hyperi9rdwov9,12.02,19.98,28.9,38.95,46.4,55.07,18.13,12.02,19.98,28.9,38.95,46.4,55.07,86.49,88.19,50.43,128,512,0.01,2,0.1,0.3,0.3
arxiv_2023_runcotrmvqd_ELPH_hyperce3x52md,12.02,19.98,28.9,38.95,46.4,55.07,18.13,12.02,19.98,28.9,38.95,46.4,55.07,86.49,88.19,50.43,128,512,0.01,2,0.1,0.3,0.5
arxiv_2023_runcotrmvqd_ELPH_hypero9r7pot2,10.65,19.98,31.85,42.29,50.05,57.25,18.18,10.65,19.98,31.85,42.29,50.05,57.25,88.79,90.11,51.95,128,512,0.01,2,0.1,0.5,0.1
arxiv_2023_runcotrmvqd_ELPH_hyperrqb2kl4n,12.58,20.89,36.11,44.22,52.43,58.22,19.53,12.58,20.89,36.11,44.22,52.43,58.22,88.79,90.11,51.95,128,512,0.01,2,0.1,0.5,0.3
arxiv_2023_runcotrmvqd_ELPH_hyperienv3seb,13.89,21.81,36.11,44.22,52.43,58.22,20.22,13.89,21.81,36.11,44.22,52.43,58.22,88.79,90.11,51.95,128,512,0.01,2,0.1,0.5,0.5
arxiv_2023_runcotrmvqd_ELPH_hypereo9i2jpf,13.89,21.81,36.11,44.22,52.43,58.22,20.22,13.89,21.81,36.11,44.22,52.43,58.22,88.79,90.11,51.95,128,512,0.01,2,0.3,0.1,0.1
arxiv_2023_runkc3jiuz3_ELPH_hyper6ejlvc0i,25.84,38.09,55.07,65.0,71.18,73.75,36.32,25.84,38.09,55.07,65.0,71.18,73.75,86.23,89.69,52.42,128,512,0.01,2,0.1,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperv1e0vli9,28.51,45.03,56.77,65.0,71.18,73.75,36.32,28.51,45.03,56.77,65.0,71.18,73.75,86.23,89.69,52.42,128,512,0.01,2,0.1,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyper3z4opynw,28.51,45.03,56.77,65.0,71.18,73.75,36.32,28.51,45.03,56.77,65.0,71.18,73.75,86.23,89.69,52.42,128,512,0.01,2,0.1,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperg98a9r7c,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.82,89.69,52.65,128,512,0.01,2,0.3,0.1,
arxiv_2023_runkc3jiuz3_ELPH_hyperedx0v4by,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.82,89.69,52.65,128,512,0.01,2,0.3,0.3,
arxiv_2023_runkc3jiuz3_ELPH_hyperwsizl2fx,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.69,52.65,128,512,0.01,2,0.3,0.5,
arxiv_2023_runkc3jiuz3_ELPH_hyperhal6oqd8,28.51,45.03,56.77,65.0,71.18,73.75,38.38,28.51,45.03,56.77,65.0,71.18,73.75,86.6,89.77,52.65,128,512,0.01,2,0.5,0.1,
