Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
arxiv_2023_run<built-in function id>_MLP-bert_hyperokaer6u4,1.85,10.24,19.25,29.49,41.12,51.78,9.32,1.85,10.24,19.25,29.49,41.12,51.78,83.57,85.48,77.28,0.01,64
arxiv_2023_run<built-in function id>_MLP-bert_hyperktt03a3a,1.85,10.24,19.25,29.49,41.12,51.78,9.32,1.85,10.24,19.25,23.37,34.23,48.17,85.36,85.63,77.84,0.01,128
arxiv_2023_run<built-in function id>_MLP-bert_hypercslu5nxa,1.85,10.24,19.25,29.49,41.12,51.78,7.78,1.85,10.24,19.25,25.58,34.23,48.17,85.36,85.63,77.84,0.01,256
arxiv_2023_run<built-in function id>_MLP-bert_hyperyxdva6rz,1.85,10.24,19.25,29.49,41.12,51.78,7.78,1.85,10.24,19.25,25.58,34.23,48.17,85.36,85.63,77.84,0.01,512
arxiv_2023_run<built-in function id>_MLP-bert_hypermymhanxw,1.85,10.24,19.25,29.49,41.12,51.78,7.78,1.85,10.24,19.25,25.58,34.23,48.17,85.36,85.63,77.84,0.01,1024
arxiv_2023_run<built-in function id>_MLP-bert_hyperbbwm8a22,4.37,9.11,23.31,31.91,44.57,55.58,10.83,4.37,9.11,23.31,31.91,44.57,55.58,88.13,88.9,80.47,0.001,64
arxiv_2023_run<built-in function id>_MLP-bert_hyperubzdncm7,4.37,8.39,23.31,32.53,44.57,56.97,12.62,4.37,8.39,23.31,32.53,44.57,56.97,88.13,88.9,80.47,0.001,128
arxiv_2023_run<built-in function id>_MLP-bert_hyperq2v6p24h,7.05,11.89,22.18,33.4,44.57,56.66,11.79,7.05,11.89,22.18,33.4,44.57,56.66,88.42,89.17,80.67,0.001,256
arxiv_2023_run<built-in function id>_MLP-bert_hyperrm0hj49b,7.21,9.78,22.49,31.34,47.25,59.5,12.08,7.21,9.78,22.49,31.34,47.25,59.5,89.04,89.67,81.5,0.001,512
arxiv_2023_run<built-in function id>_MLP-bert_hyperg21w40gv,7.41,9.78,22.49,31.34,47.25,59.5,12.08,7.41,9.78,22.49,31.34,47.25,59.5,89.04,89.67,81.5,0.001,1024
arxiv_2023_run<built-in function id>_MLP-bert_hyper98ptoi39,7.98,9.78,22.49,33.66,47.25,59.34,12.08,7.98,9.78,22.49,33.66,47.25,59.34,89.8,90.48,81.93,0.0001,64
arxiv_2023_run<built-in function id>_MLP-bert_hyper2qy3wztu,7.98,9.78,22.49,33.66,47.25,59.34,12.08,7.98,9.78,22.49,33.66,47.25,59.34,89.8,90.48,81.93,0.0001,128
arxiv_2023_run<built-in function id>_MLP-bert_hyper2wj09g7c,7.98,9.78,22.49,33.66,47.25,59.34,12.08,7.98,9.78,22.49,33.66,47.25,59.34,89.8,90.48,81.93,0.0001,256
arxiv_2023_run<built-in function id>_MLP-bert_hyperfvfsi9fv,7.98,9.78,22.49,33.66,47.25,59.34,12.08,7.98,9.78,22.49,33.66,47.25,59.34,89.8,90.48,81.93,0.0001,512
arxiv_2023_run<built-in function id>_MLP-bert_hyperrg192q2j,7.98,9.78,22.49,33.66,47.25,59.34,12.08,7.98,9.78,22.49,33.66,47.25,59.34,89.8,90.48,81.93,0.0001,1024
arxiv_2023_run<built-in function id>_MLP-bert_hyperzzh4iwer,2.88,10.09,21.31,29.39,40.2,51.36,10.75,2.88,10.09,21.31,29.39,40.2,51.36,83.08,85.58,76.63,0.01,64
arxiv_2023_run<built-in function id>_MLP-bert_hyperp3mbfsg8,2.88,10.09,22.75,29.39,39.84,51.31,11.01,2.88,10.09,22.75,29.39,39.84,51.31,84.24,86.04,76.63,0.01,128
arxiv_2023_run<built-in function id>_MLP-bert_hyper34gche62,2.88,10.09,22.75,29.39,39.84,51.31,11.01,2.88,10.09,22.75,29.39,39.84,51.31,84.19,86.04,76.63,0.01,256
arxiv_2023_run<built-in function id>_MLP-bert_hyperz0y4pfa5,2.88,10.09,22.75,29.39,39.84,51.31,11.01,2.88,10.09,22.75,29.39,39.84,51.31,84.19,85.83,76.63,0.01,512
arxiv_2023_run<built-in function id>_MLP-bert_hyper55f98frq,2.16,10.09,22.75,29.39,39.84,51.31,7.07,2.16,10.09,22.75,24.86,39.84,47.14,84.74,85.75,76.63,0.01,1024
arxiv_2023_run<built-in function id>_MLP-bert_hypercmo5ax0p,8.8,11.84,21.72,31.5,44.62,56.51,12.69,8.8,11.84,21.72,31.5,44.62,56.51,87.85,88.73,79.75,0.001,64
arxiv_2023_run<built-in function id>_MLP-bert_hyperh6l4a8kx,5.82,14.57,21.56,30.73,43.7,56.51,11.15,5.82,14.57,21.56,30.73,43.7,56.51,88.31,89.19,80.13,0.001,128
arxiv_2023_run<built-in function id>_MLP-bert_hyperqmp70ko7,5.82,17.4,21.1,31.14,47.56,59.24,11.15,5.82,17.4,21.1,31.14,47.56,59.24,88.92,89.62,80.55,0.001,256
arxiv_2023_run<built-in function id>_MLP-bert_hyperniyqm4gc,5.82,17.4,21.1,30.52,47.2,59.24,11.15,5.82,17.4,21.1,30.52,47.2,59.24,89.33,89.92,81.29,0.001,512
arxiv_2023_run<built-in function id>_MLP-bert_hyperujrj5g7t,5.82,13.07,21.1,29.75,47.2,59.24,13.79,5.82,13.07,21.1,29.75,47.2,59.24,89.33,89.92,81.37,0.001,1024
arxiv_2023_run<built-in function id>_MLP-bert_hyper9svr4szy,8.39,11.63,21.82,29.75,51.57,61.86,13.25,8.39,11.63,21.82,29.75,51.57,61.86,89.72,90.32,81.14,0.0001,64
arxiv_2023_run<built-in function id>_MLP-bert_hypern4nqif2r,8.39,11.63,21.82,29.75,51.57,61.86,13.25,8.39,11.63,21.82,29.75,51.57,61.86,89.72,90.32,81.14,0.0001,128
arxiv_2023_run<built-in function id>_MLP-bert_hyperhtzdwoik,8.39,11.63,21.82,29.75,51.57,61.86,13.25,8.39,11.63,21.82,29.75,51.57,61.86,89.72,90.32,81.14,0.0001,256
arxiv_2023_run<built-in function id>_MLP-bert_hyperqeisx7zo,8.39,11.63,21.82,29.75,51.57,61.86,13.25,8.39,11.63,21.82,29.75,51.57,61.86,89.72,90.32,81.14,0.0001,512
arxiv_2023_run<built-in function id>_MLP-bert_hyper52rx88bz,8.39,11.63,21.82,29.75,51.57,61.86,13.25,8.39,11.63,21.82,29.75,51.57,61.86,89.72,90.32,81.14,0.0001,1024
arxiv_2023_run<built-in function id>_MLP-bert_hyper9lrx4s6s,2.37,9.98,21.36,27.9,40.76,51.72,10.27,2.37,9.98,21.36,27.9,40.76,51.72,83.4,85.47,76.97,0.01,64
arxiv_2023_run<built-in function id>_MLP-bert_hypertsz2dmcw,1.96,9.83,20.95,27.9,40.76,53.63,10.48,1.96,9.83,20.95,27.9,40.76,53.63,83.93,85.99,76.45,0.01,128
arxiv_2023_run<built-in function id>_MLP-bert_hyper352o3zjt,2.37,9.83,20.95,27.9,40.76,53.63,7.35,2.37,9.83,20.95,27.9,36.28,48.43,85.38,85.93,77.69,0.01,256
arxiv_2023_run<built-in function id>_MLP-bert_hyperuy2qqgat,2.37,9.83,20.95,26.97,40.76,53.63,7.35,2.37,9.83,20.95,26.97,36.28,48.43,85.38,85.93,77.69,0.01,512
arxiv_2023_run<built-in function id>_MLP-bert_hyper0xjpudyx,2.99,9.83,20.95,26.97,40.76,53.63,7.28,2.99,9.83,20.95,24.5,36.28,48.43,85.38,85.93,77.69,0.01,1024
arxiv_2023_run<built-in function id>_MLP-bert_hyperhcarnbfc,2.99,12.51,22.08,29.34,44.88,56.46,11.66,2.99,12.51,22.08,24.5,44.88,48.43,87.59,88.49,79.72,0.001,64
arxiv_2023_run<built-in function id>_MLP-bert_hyper2k0o0v0f,4.48,10.71,20.64,31.86,44.93,56.2,11.1,4.48,10.71,20.64,31.86,44.93,48.43,88.05,88.93,80.06,0.001,128
arxiv_2023_run<built-in function id>_MLP-bert_hyperwlm06mf8,6.48,10.71,20.64,31.86,44.93,56.05,11.53,6.48,10.71,20.64,31.86,44.93,56.05,88.61,89.37,80.19,0.001,256
arxiv_2023_run<built-in function id>_MLP-bert_hyper389hplmj,6.48,13.64,23.26,34.64,47.76,59.8,11.53,6.48,13.64,23.26,34.64,47.76,59.8,89.67,90.25,81.73,0.001,512
arxiv_2023_run<built-in function id>_MLP-bert_hypero9nbc2yl,7.93,10.76,23.26,34.64,47.76,59.8,12.75,7.93,10.76,23.26,34.64,47.76,59.8,89.67,90.25,81.73,0.001,1024
arxiv_2023_run<built-in function id>_MLP-bert_hypere3ov3fys,7.93,10.09,21.92,34.64,47.76,59.8,12.75,7.93,10.09,21.92,34.64,47.76,59.8,89.84,90.59,81.34,0.0001,64
arxiv_2023_run<built-in function id>_MLP-bert_hypertzdpshzh,12.45,10.09,21.92,34.64,47.76,59.8,16.07,12.45,10.09,21.92,34.64,47.76,59.8,89.84,90.59,81.34,0.0001,128
arxiv_2023_run<built-in function id>_MLP-bert_hyperc6cu2x93,12.45,10.71,21.92,34.64,47.76,59.8,16.07,12.45,10.71,21.92,34.64,47.76,59.8,89.84,90.59,81.34,0.0001,256
arxiv_2023_run<built-in function id>_MLP-bert_hyper400gunb2,12.45,10.71,21.92,34.64,47.76,59.8,16.07,12.45,10.71,21.92,34.64,47.76,59.8,89.84,90.59,81.34,0.0001,512
