Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
arxiv_2023_run<built-in function id>_MLP-e5-large_hyperqkh04wps,19.87,52.44,68.24,75.86,85.59,91.15,36.72,19.87,52.44,68.24,75.86,85.59,91.15,98.09,98.17,93.31,0.01,64
arxiv_2023_run<built-in function id>_MLP-e5-large_hypern9iqm4h5,15.7,44.88,68.24,75.86,85.85,91.25,34.47,15.7,44.88,68.24,75.86,85.85,91.25,98.13,98.22,93.31,0.01,128
arxiv_2023_run<built-in function id>_MLP-e5-large_hypergf2q6c59,15.7,44.88,68.24,76.94,85.85,91.25,34.47,15.7,44.88,68.24,76.94,85.85,91.25,98.13,98.22,93.33,0.01,256
arxiv_2023_run<built-in function id>_MLP-e5-large_hyperq4ru1lfv,15.7,44.88,68.3,78.02,85.85,91.25,34.47,15.7,44.88,68.3,78.02,85.85,91.25,98.13,98.22,93.36,0.01,512
arxiv_2023_run<built-in function id>_MLP-e5-large_hyper0rvmzy4l,15.7,44.88,68.3,78.02,85.85,91.25,34.47,15.7,44.88,68.3,78.02,85.85,91.25,98.13,98.22,93.36,0.01,1024
arxiv_2023_run<built-in function id>_MLP-e5-large_hypervjcm9a1q,15.7,44.88,68.3,78.02,85.85,91.77,34.47,15.7,44.88,68.3,78.02,85.85,91.77,98.13,98.26,93.36,0.001,64
arxiv_2023_run<built-in function id>_MLP-e5-large_hyper157uajfc,15.7,44.88,68.3,78.02,85.49,91.77,34.47,15.7,44.88,68.3,78.02,85.49,91.77,98.16,98.26,93.36,0.001,128
arxiv_2023_run<built-in function id>_MLP-e5-large_hypera28oyi8q,15.7,44.88,68.3,78.02,85.49,91.77,34.47,15.7,44.88,68.3,78.02,85.49,91.77,98.16,98.26,93.39,0.001,256
arxiv_2023_run<built-in function id>_MLP-e5-large_hyper7wpix8uf,15.7,44.88,68.3,78.02,85.49,91.77,34.47,15.7,44.88,68.3,78.02,85.49,91.77,98.16,98.26,93.39,0.001,512
arxiv_2023_run<built-in function id>_MLP-e5-large_hypergfdyof61,15.7,44.88,68.3,78.02,85.49,91.77,34.47,15.7,44.88,68.3,78.02,85.49,91.77,98.16,98.26,93.39,0.001,1024
Best,19.87,52.44,68.3,78.02,85.85,91.77,36.72,19.87,52.44,68.3,78.02,85.85,91.77,98.16,98.26,93.39,0.01,1024
