Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
arxiv_2023_run<built-in function id>_MLP-llama_hyperjo4cjp6b,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.01,64
arxiv_2023_run<built-in function id>_MLP-llama_hyperm309q6p7,6.07,32.22,67.63,81.01,89.09,93.93,25.02,6.07,32.22,67.63,81.01,89.09,93.93,98.67,98.6,94.85,0.01,128
arxiv_2023_run<built-in function id>_MLP-llama_hyperoy76wmim,9.42,19.97,64.95,80.39,90.99,94.9,27.0,9.42,19.97,64.95,80.39,90.99,94.9,98.79,98.71,94.52,0.01,256
arxiv_2023_run<built-in function id>_MLP-llama_hyperfj3dkfz8,9.42,19.97,64.95,81.37,91.15,95.42,27.0,9.42,19.97,64.95,81.37,91.15,95.42,98.87,98.79,95.03,0.01,512
arxiv_2023_run<built-in function id>_MLP-llama_hyperotu5jkkk,9.42,19.97,64.95,81.37,91.04,95.42,27.0,9.42,19.97,64.95,81.37,91.04,95.42,98.87,98.79,95.03,0.01,1024
arxiv_2023_run<built-in function id>_MLP-llama_hyper0dw28lhw,9.42,19.97,64.95,81.37,91.04,95.42,27.0,9.42,19.97,64.95,81.37,91.04,95.42,98.87,98.79,95.03,0.01,2048
arxiv_2023_run<built-in function id>_MLP-llama_hyperrsa7zrpz,7.93,19.97,75.55,81.37,91.04,95.63,26.99,7.93,19.97,75.55,81.37,91.04,95.63,98.89,98.8,95.16,0.001,64
arxiv_2023_run<built-in function id>_MLP-llama_hyperyii06eov,13.23,26.71,72.1,81.37,91.3,95.63,32.43,13.23,26.71,72.1,81.37,91.3,95.63,98.89,98.8,95.16,0.001,128
arxiv_2023_run<built-in function id>_MLP-llama_hyperv4frc36s,13.23,26.71,72.83,81.37,91.3,95.63,27.11,13.23,26.71,72.83,81.37,91.3,95.63,98.89,98.8,95.19,0.001,256
arxiv_2023_run<built-in function id>_MLP-llama_hyperstzmj2n8,13.23,26.71,67.83,81.37,91.3,95.63,27.11,13.23,26.71,67.83,81.37,91.3,95.63,98.94,98.82,95.37,0.001,512
arxiv_2023_run<built-in function id>_MLP-llama_hyperkq7jzg2f,13.23,26.71,71.18,81.37,91.3,95.63,27.11,13.23,26.71,71.18,81.37,91.3,95.63,98.94,98.82,95.42,0.001,1024
arxiv_2023_run<built-in function id>_MLP-llama_hyperq83v2p39,13.23,26.71,71.18,81.37,91.82,96.04,27.11,13.23,26.71,71.18,81.37,91.82,96.04,98.94,98.84,95.42,0.001,2048
arxiv_2023_run<built-in function id>_MLP-llama_hyperfe5dszcm,13.23,26.71,71.18,81.37,91.82,95.52,27.11,13.23,26.71,71.18,81.37,91.82,95.52,98.94,98.84,95.44,0.0001,64
arxiv_2023_run<built-in function id>_MLP-llama_hyperxfcxy523,13.23,26.71,71.18,81.37,91.82,95.52,27.11,13.23,26.71,71.18,81.37,91.82,95.52,98.94,98.9,95.44,0.0001,128
arxiv_2023_run<built-in function id>_MLP-llama_hyperzbxcpwre,13.23,37.78,71.8,81.37,91.82,95.52,27.11,13.23,37.78,71.8,81.37,91.82,95.52,98.93,98.9,95.44,0.0001,256
arxiv_2023_run<built-in function id>_MLP-llama_hyperkhtmsvib,13.23,37.16,71.8,81.37,91.82,95.52,27.11,13.23,37.16,71.8,81.37,91.82,95.52,98.96,98.89,95.44,0.0001,512
arxiv_2023_run<built-in function id>_MLP-llama_hyperyzo9e9iw,13.23,37.16,71.8,81.37,92.07,95.52,27.11,13.23,37.16,71.8,81.37,92.07,95.52,98.96,98.89,95.44,0.0001,1024
arxiv_2023_run<built-in function id>_MLP-llama_hyper000fi8nt,13.23,37.16,71.8,83.22,92.07,95.52,27.11,13.23,37.16,71.8,83.22,92.07,95.52,98.96,98.89,95.44,0.0001,2048
Best,13.23,37.78,75.55,83.22,92.07,96.04,32.43,13.23,37.78,75.55,83.22,92.07,96.04,98.96,98.9,95.44,0.01,2048
