Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
arxiv_2023_run<built-in function id>_MLP-minilm_hyperwyni8m99,50.64,59.34,67.22,78.64,85.64,91.92,59.11,50.64,59.34,67.22,78.64,85.64,91.92,98.08,98.3,93.08,0.01,64
arxiv_2023_run<built-in function id>_MLP-minilm_hypergvtzsmnf,50.64,57.95,67.22,78.64,85.64,91.25,59.11,50.64,57.95,67.22,78.64,85.64,91.25,98.11,98.34,93.33,0.01,128
arxiv_2023_run<built-in function id>_MLP-minilm_hyper0cfi82aa,46.99,57.95,66.13,78.18,86.52,91.61,59.11,46.99,57.95,66.13,78.18,86.52,91.61,98.16,98.38,93.41,0.01,256
arxiv_2023_run<built-in function id>_MLP-minilm_hyperbd477q29,43.34,57.95,66.13,78.18,86.36,91.77,52.47,43.34,57.95,66.13,78.18,86.36,91.77,98.18,98.41,93.49,0.01,512
arxiv_2023_run<built-in function id>_MLP-minilm_hyperks58ycfn,43.34,57.95,66.13,78.18,86.36,91.77,52.47,43.34,57.95,66.13,78.18,86.36,91.77,98.18,98.41,93.49,0.01,1024
arxiv_2023_run<built-in function id>_MLP-minilm_hypercik9ypd3,43.34,57.95,66.13,78.18,86.36,91.77,52.47,43.34,57.95,66.13,78.18,86.36,91.77,98.18,98.41,93.49,0.001,64
arxiv_2023_run<built-in function id>_MLP-minilm_hyper2r9w7jo9,43.34,57.95,66.13,78.18,86.36,91.77,52.47,43.34,57.95,66.13,78.18,86.36,91.77,98.18,98.41,93.49,0.001,128
arxiv_2023_run<built-in function id>_MLP-minilm_hyperr1694khq,43.34,57.95,66.13,78.18,86.36,91.77,52.47,43.34,57.95,66.13,78.18,86.36,91.77,98.18,98.41,93.49,0.001,256
arxiv_2023_run<built-in function id>_MLP-minilm_hyperx2fea2ls,43.34,57.95,66.13,78.18,86.36,91.77,52.47,43.34,57.95,66.13,78.18,86.36,91.77,98.18,98.41,93.49,0.001,512
arxiv_2023_run<built-in function id>_MLP-minilm_hypervvwftaxb,43.34,57.95,66.13,78.18,86.36,91.77,52.47,43.34,57.95,66.13,78.18,86.36,91.77,98.18,98.41,93.49,0.001,1024
arxiv_2023_run<built-in function id>_MLP-minilm_hypertvlv0lzs,43.34,57.95,66.13,78.18,86.36,91.77,52.47,43.34,57.95,66.13,78.18,86.36,91.77,98.18,98.41,93.49,0.0001,64
Best,50.64,59.34,67.22,78.64,86.52,91.92,59.11,50.64,59.34,67.22,78.64,86.52,91.92,98.18,98.41,93.49,0.01,1024
