Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
arxiv_2023_runpj6hyrh5_NCN_hyper01of04a1,1.58,35.23,54.57,72.92,84.11,93.08,22.19,1.58,35.23,54.57,72.92,84.11,93.08,98.11,97.81,94.02,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,256
arxiv_2023_runpj6hyrh5_NCN_hyperfwfyaygk,8.97,36.34,64.54,73.39,84.11,93.08,22.57,8.97,36.34,64.54,73.39,84.11,93.08,98.18,98.04,94.02,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,256
arxiv_2023_runpj6hyrh5_NCN_hypermx2nzv4e,8.97,36.34,63.95,73.39,84.11,93.85,22.57,8.97,36.34,63.95,73.39,84.11,93.85,98.17,98.11,93.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,256
arxiv_2023_runpj6hyrh5_NCN_hyperuvvtyg0u,8.97,30.72,63.42,76.79,87.46,93.85,22.57,8.97,30.72,63.42,76.79,87.46,93.85,98.17,98.12,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,256
arxiv_2023_runpj6hyrh5_NCN_hyperbzs3tewc,3.46,30.72,63.42,76.79,86.28,93.85,24.37,3.46,30.72,63.42,76.79,86.28,93.85,98.17,98.12,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,512
arxiv_2023_runpj6hyrh5_NCN_hyperbur30iy4,3.46,30.72,63.42,76.79,86.28,93.85,24.37,3.46,30.72,63.42,76.79,86.28,93.85,98.17,98.12,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,512
arxiv_2023_runpj6hyrh5_NCN_hypero5bkqwj2,22.22,30.72,64.19,78.02,87.92,92.91,31.74,22.22,30.72,64.19,78.02,87.92,92.91,98.24,98.26,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,512
arxiv_2023_runpj6hyrh5_NCN_hyperpcvzeqtw,22.22,30.72,64.19,78.02,87.92,92.91,31.74,22.22,30.72,64.19,78.02,87.92,92.91,98.24,98.26,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,512
arxiv_2023_runpj6hyrh5_NCN_hypereon2r9js,22.22,30.72,64.19,78.02,87.92,92.91,31.74,22.22,30.72,64.19,78.02,87.92,92.91,98.24,98.26,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,1024
arxiv_2023_runpj6hyrh5_NCN_hyperjuxftdzy,21.4,30.72,64.19,78.02,87.92,92.91,32.45,21.4,30.72,64.19,78.02,87.92,92.91,98.24,98.26,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,1024
arxiv_2023_runpj6hyrh5_NCN_hyperqbhc3h3h,21.4,30.72,64.19,74.03,87.92,92.91,32.45,21.4,30.72,64.19,74.03,87.92,92.91,98.24,98.26,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,1024
arxiv_2023_runpj6hyrh5_NCN_hyperm9ewv6fs,21.4,30.72,64.19,74.03,87.92,92.91,32.45,21.4,30.72,64.19,74.03,87.92,92.91,98.24,98.26,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,1024
arxiv_2023_runpj6hyrh5_NCN_hyperun5gpdki,21.4,30.72,64.19,74.03,87.92,92.91,32.45,21.4,30.72,64.19,74.03,87.92,92.91,98.24,98.26,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,2048
arxiv_2023_runpj6hyrh5_NCN_hyperwtaxzmhb,21.4,30.72,64.19,74.03,87.92,92.91,32.45,21.4,30.72,64.19,74.03,87.92,92.91,98.24,98.26,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,2048
arxiv_2023_runpj6hyrh5_NCN_hyper5ix2gryh,21.4,30.72,64.19,74.03,87.92,92.91,32.45,21.4,30.72,64.19,74.03,87.92,92.91,98.24,98.26,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,2048
arxiv_2023_runpj6hyrh5_NCN_hypereaa59pq5,21.4,41.97,64.19,74.03,87.92,92.91,32.45,21.4,41.97,64.19,74.03,87.92,92.91,98.24,98.26,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,2048
arxiv_2023_runpj6hyrh5_NCN_hypero2ztfvj7,21.4,41.97,64.19,74.03,87.92,92.91,32.45,21.4,41.97,64.19,74.03,87.92,92.91,98.24,98.26,93.32,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,256
arxiv_2023_runpj6hyrh5_NCN_hyper6t560yje,21.4,41.97,64.19,74.03,87.92,92.91,32.45,21.4,41.97,64.19,74.03,87.92,92.91,98.24,98.26,93.32,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,256
arxiv_2023_runpj6hyrh5_NCN_hyperjhvgtr50,21.4,41.97,64.19,74.03,87.92,93.73,32.45,21.4,41.97,64.19,74.03,87.92,93.73,98.24,98.26,93.49,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,256
arxiv_2023_runpj6hyrh5_NCN_hyperov1rsui2,21.4,41.97,64.19,74.03,87.92,93.73,32.45,21.4,41.97,64.19,74.03,87.92,93.73,98.24,98.26,93.49,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,256
arxiv_2023_runpj6hyrh5_NCN_hypere6wudym3,21.4,41.97,64.19,74.03,87.92,93.73,32.45,21.4,41.97,64.19,74.03,87.92,93.73,98.24,98.26,93.49,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,512
arxiv_2023_runpj6hyrh5_NCN_hyperisa3uqcr,21.4,41.97,64.19,74.03,87.92,93.73,32.45,21.4,41.97,64.19,74.03,87.92,93.73,98.24,98.26,93.49,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,512
arxiv_2023_runpj6hyrh5_NCN_hyperbh4fgt7c,21.4,41.97,64.19,74.03,87.92,93.73,32.45,21.4,41.97,64.19,74.03,87.92,93.73,98.24,98.26,93.49,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,512
arxiv_2023_runpj6hyrh5_NCN_hyper44fdupvh,21.4,41.97,64.19,74.03,87.92,93.73,32.45,21.4,41.97,64.19,74.03,87.92,93.73,98.24,98.26,93.49,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,512
arxiv_2023_runpj6hyrh5_NCN_hypersrlvxrns,21.4,41.97,64.19,74.03,87.92,93.73,32.45,21.4,41.97,64.19,74.03,87.92,93.73,98.24,98.26,93.49,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,1024
arxiv_2023_runpj6hyrh5_NCN_hypers93xq4k1,21.4,41.97,64.19,74.03,87.92,93.73,32.45,21.4,41.97,64.19,74.03,87.92,93.73,98.24,98.26,93.49,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,1024
arxiv_2023_runpj6hyrh5_NCN_hyper4t0gkj8f,21.4,41.97,64.19,75.03,87.92,92.97,32.45,21.4,41.97,64.19,75.03,87.92,92.97,98.33,98.34,93.67,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,1024
arxiv_2023_runpj6hyrh5_NCN_hyperzh720jpd,21.4,41.97,64.19,75.03,87.92,92.97,32.45,21.4,41.97,64.19,75.03,87.92,92.97,98.33,98.34,93.67,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,1024
arxiv_2023_runpj6hyrh5_NCN_hyperfxvo4my5,21.4,41.97,64.19,75.03,87.92,92.97,32.45,21.4,41.97,64.19,75.03,87.92,92.97,98.33,98.34,93.67,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,2048
arxiv_2023_runpj6hyrh5_NCN_hyperph3umxgi,21.4,41.97,64.19,75.03,87.92,92.97,32.45,21.4,41.97,64.19,75.03,87.92,92.97,98.33,98.34,93.67,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,2048
arxiv_2023_runpj6hyrh5_NCN_hypersr37fnyg,21.4,41.97,64.19,75.03,87.92,92.97,32.45,21.4,41.97,64.19,75.03,87.92,92.97,98.33,98.34,93.67,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,2048
arxiv_2023_runpj6hyrh5_NCN_hypernc4hkuci,21.4,41.97,64.19,75.03,87.92,92.97,32.45,21.4,41.97,64.19,75.03,87.92,92.97,98.33,98.34,93.67,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,2048
arxiv_2023_runpj6hyrh5_NCN_hyperzx8lgax2,21.4,41.97,64.19,75.03,87.92,92.97,32.45,21.4,41.97,64.19,75.03,87.92,92.97,98.33,98.34,93.67,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,256
arxiv_2023_runpj6hyrh5_NCN_hyperndk87j1z,21.4,41.97,64.19,75.03,87.92,92.97,32.45,21.4,41.97,64.19,75.03,87.92,92.97,98.33,98.34,93.67,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,256
arxiv_2023_runpj6hyrh5_NCN_hypervpfjpyhm,21.4,41.97,64.19,75.03,87.92,92.97,32.45,21.4,41.97,64.19,75.03,87.92,92.97,98.33,98.34,93.9,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,256
