Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
arxiv_2023_runeojwwdl2_NCN_hyperg436toc4,1.58,35.23,54.57,72.92,84.11,93.08,22.19,1.58,35.23,54.57,72.92,84.11,93.08,98.11,97.81,94.02,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperk1edbn8j,8.97,36.34,64.54,73.39,84.11,93.08,22.57,8.97,36.34,64.54,73.39,84.11,93.08,98.18,98.04,94.02,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hyper09mrh2no,8.97,36.34,63.95,73.39,84.11,93.85,22.57,8.97,36.34,63.95,73.39,84.11,93.85,98.17,98.11,93.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperpm2mlfh8,8.97,30.72,63.42,76.79,87.46,93.85,22.57,8.97,30.72,63.42,76.79,87.46,93.85,98.17,98.12,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperj9j84p12,0.59,30.72,63.42,76.79,87.46,93.85,20.34,0.59,30.72,63.42,76.79,87.46,93.85,98.17,98.12,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,512
arxiv_2023_runeojwwdl2_NCN_hyper9swxzdaj,0.59,30.72,63.42,76.79,87.46,93.85,20.34,0.59,30.72,63.42,76.79,87.46,93.85,98.17,98.12,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,512
arxiv_2023_runeojwwdl2_NCN_hyper2wo01zqk,22.22,30.72,63.42,77.67,86.99,93.85,31.34,22.22,30.72,63.42,77.67,86.99,93.85,98.35,98.26,93.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,512
arxiv_2023_runeojwwdl2_NCN_hyperd4dngr18,22.22,30.72,63.42,77.67,86.99,93.85,31.34,22.22,30.72,63.42,77.67,86.99,93.85,98.35,98.26,93.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,512
arxiv_2023_runeojwwdl2_NCN_hyper7yvczf4h,22.22,30.72,63.42,77.67,86.99,93.85,31.34,22.22,30.72,63.42,77.67,86.99,93.85,98.35,98.26,93.79,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyper0lx7jftl,22.22,30.72,63.42,77.67,86.99,93.85,31.34,22.22,30.72,63.42,77.67,86.99,93.85,98.35,98.26,93.79,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyperii0d4blp,22.22,30.72,63.42,77.67,86.99,92.32,31.34,22.22,30.72,63.42,77.67,86.99,92.32,98.35,98.26,93.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyperajzwedps,22.22,30.72,63.42,77.67,86.99,92.32,31.34,22.22,30.72,63.42,77.67,86.99,92.32,98.35,98.26,93.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,1024
arxiv_2023_runeojwwdl2_NCN_hypert2qtpebm,22.22,30.72,63.42,77.67,86.99,92.32,31.34,22.22,30.72,63.42,77.67,86.99,92.32,98.35,98.26,93.79,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyper4sq230kp,22.22,30.72,63.42,77.67,86.99,92.32,31.34,22.22,30.72,63.42,77.67,86.99,92.32,98.35,98.26,93.79,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,2048
arxiv_2023_runeojwwdl2_NCN_hypermhgoawts,22.22,30.72,63.42,77.67,86.99,92.32,31.34,22.22,30.72,63.42,77.67,86.99,92.32,98.35,98.26,93.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyper29h7i5z3,22.22,33.59,63.42,77.67,86.99,92.32,31.34,22.22,33.59,63.42,77.67,86.99,92.32,98.35,98.26,93.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyperjy6m1p89,22.22,33.59,63.42,77.67,86.99,92.32,31.34,22.22,33.59,63.42,77.67,86.99,92.32,98.35,98.26,93.79,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hyper6ytnestl,22.22,33.59,63.42,77.67,86.99,92.32,31.34,22.22,33.59,63.42,77.67,86.99,92.32,98.35,98.26,93.79,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hyper7o7i8gfd,22.22,33.59,63.42,77.67,86.99,93.73,31.34,22.22,33.59,63.42,77.67,86.99,93.73,98.35,98.26,93.49,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperzml4on5m,22.22,33.59,63.42,77.67,86.99,93.73,31.34,22.22,33.59,63.42,77.67,86.99,93.73,98.35,98.26,93.49,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperynfksnie,22.22,33.59,63.42,77.67,86.99,93.73,31.34,22.22,33.59,63.42,77.67,86.99,93.73,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,512
arxiv_2023_runeojwwdl2_NCN_hyperu4r96bd7,22.22,33.59,56.04,77.67,86.99,93.73,31.34,22.22,33.59,56.04,77.67,86.99,93.73,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,512
arxiv_2023_runeojwwdl2_NCN_hyper1rh750vl,22.22,33.59,56.04,77.67,86.99,93.73,31.34,22.22,33.59,56.04,77.67,86.99,93.73,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,512
arxiv_2023_runeojwwdl2_NCN_hyper5o55oec6,22.22,33.59,59.38,77.67,86.99,93.73,31.34,22.22,33.59,59.38,77.67,86.99,93.73,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,512
arxiv_2023_runeojwwdl2_NCN_hyper6dfjf3to,22.22,33.59,59.38,77.67,86.99,93.73,31.34,22.22,33.59,59.38,77.67,86.99,93.73,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyper757vaiui,22.22,33.59,59.38,77.67,86.99,93.73,31.34,22.22,33.59,59.38,77.67,86.99,93.73,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyperykdol3ld,22.22,33.59,59.38,77.67,87.34,93.79,31.34,22.22,33.59,59.38,77.67,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyper04l6qmiu,22.22,33.59,59.38,77.67,87.34,93.79,31.34,22.22,33.59,59.38,77.67,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,1024
arxiv_2023_runeojwwdl2_NCN_hyperbm7mi7jv,22.22,33.59,59.38,77.67,87.34,93.79,31.34,22.22,33.59,59.38,77.67,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyperteivur5l,22.22,33.59,59.38,77.67,87.34,93.79,31.34,22.22,33.59,59.38,77.67,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyper29cnnry9,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,2048
arxiv_2023_runeojwwdl2_NCN_hypermtg5l64v,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.0001,64,2048
arxiv_2023_runeojwwdl2_NCN_hyper7d9fq3qz,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperluwbapcu,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hyperw5b9yxls,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,256
arxiv_2023_runeojwwdl2_NCN_hypernl3ko67w,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,256
arxiv_2023_runeojwwdl2_NCN_hypersnk48oc9,22.22,33.59,59.38,75.97,87.34,93.79,31.34,22.22,33.59,59.38,75.97,87.34,93.79,98.35,98.26,93.35,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,512
