Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
arxiv_2023_run<built-in function id>_NCN_hyperwbxl3uxo,35.04,37.27,75.1,91.84,98.17,98.99,40.93,35.04,37.27,75.1,91.84,98.17,98.99,99.34,99.36,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,256
arxiv_2023_run<built-in function id>_NCN_hyperoae8pk97,41.89,60.09,78.25,92.9,98.38,98.99,53.41,41.89,60.09,78.25,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,256
arxiv_2023_run<built-in function id>_NCN_hyperxycef64h,41.89,60.09,78.25,92.9,98.38,98.99,53.41,41.89,60.09,78.25,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,256
arxiv_2023_run<built-in function id>_NCN_hyperwgzd0g7b,41.89,60.09,78.25,92.9,98.38,98.99,53.41,41.89,60.09,78.25,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,256
arxiv_2023_run<built-in function id>_NCN_hyperydn60hyi,41.89,60.09,78.25,92.9,98.38,98.99,53.41,41.89,60.09,78.25,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,512
arxiv_2023_run<built-in function id>_NCN_hyperr1fwksbe,41.89,60.09,78.25,92.9,98.38,98.99,53.41,41.89,60.09,78.25,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,512
arxiv_2023_run<built-in function id>_NCN_hyperlbsoth2s,41.89,60.09,78.25,92.9,98.38,98.99,53.41,41.89,60.09,78.25,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,512
arxiv_2023_run<built-in function id>_NCN_hyper65aa3gv0,41.89,60.09,78.25,92.9,98.38,98.99,53.41,41.89,60.09,78.25,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,512
arxiv_2023_run<built-in function id>_NCN_hyperqpiyzsxh,41.89,60.09,77.64,92.9,98.38,98.99,53.41,41.89,60.09,77.64,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,1024
arxiv_2023_run<built-in function id>_NCN_hypermbex7dtt,41.89,60.09,77.64,92.9,98.38,98.99,53.41,41.89,60.09,77.64,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyperkjzwkd1r,41.89,60.09,77.64,92.9,98.38,98.99,53.41,41.89,60.09,77.64,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyperfpgenzr0,41.89,60.09,77.64,92.9,98.38,98.99,53.41,41.89,60.09,77.64,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyperrragcmc8,41.89,60.09,77.64,92.9,98.38,98.99,53.41,41.89,60.09,77.64,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyperqb2ydqv6,41.89,60.09,77.64,92.9,98.38,98.99,53.41,41.89,60.09,77.64,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyperittun1sy,41.89,60.09,77.64,92.9,98.38,98.99,53.41,41.89,60.09,77.64,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyper0qbv1379,41.89,60.09,77.64,92.9,98.38,98.99,53.41,41.89,60.09,77.64,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyper6emqlr8c,41.89,60.09,77.64,92.9,98.38,98.99,53.41,41.89,60.09,77.64,92.9,98.38,98.99,99.6,99.66,97.44,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,256
arxiv_2023_run<built-in function id>_NCN_hyperi2295sje,41.89,56.54,90.42,95.33,97.97,98.94,53.41,41.89,56.54,90.42,95.33,97.97,98.94,99.59,99.59,97.69,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,256
arxiv_2023_run<built-in function id>_NCN_hyper0ewktwed,41.89,56.54,90.42,95.33,97.97,98.94,53.41,41.89,56.54,90.42,95.33,97.97,98.94,99.59,99.59,97.69,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,256
arxiv_2023_run<built-in function id>_NCN_hyperc911ah82,41.89,56.54,90.42,95.33,97.97,98.94,53.41,41.89,56.54,90.42,95.33,97.97,98.94,99.59,99.59,97.69,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,256
