Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,mlp_num_layers,f_node_dim,f_edge_dim,dropout,batch_size,lr
arxiv_2023_runnn6comdh_NeoGNN_hypernwj6ek9v,21.87,26.15,44.78,56.97,74.83,78.08,27.72,21.87,26.15,44.78,56.97,74.83,78.08,88.83,92.18,85.26,256,1,2,128,8,0.0,256,0.01
arxiv_2023_runnn6comdh_NeoGNN_hyperfnpglzuk,14.72,26.35,42.87,62.94,74.73,77.87,28.81,14.72,26.35,42.87,62.94,74.73,77.87,89.01,92.26,85.26,256,1,2,128,8,0.0,256,0.001
arxiv_2023_runnn6comdh_NeoGNN_hypermqxv8gyi,18.43,19.45,42.87,55.94,74.73,77.87,23.11,18.43,19.45,42.87,55.94,74.73,77.87,89.01,92.26,85.26,256,1,2,128,8,0.0,256,0.0001
arxiv_2023_runnn6comdh_NeoGNN_hyperxzcf93wi,18.43,19.45,42.87,63.25,74.73,78.33,23.11,18.43,19.45,42.87,63.25,74.73,78.33,89.01,92.26,85.26,256,1,2,128,8,0.0,512,0.01
arxiv_2023_runnn6comdh_NeoGNN_hyper3q06or39,18.43,19.45,42.87,63.25,74.73,78.33,23.11,18.43,19.45,42.87,63.25,74.73,78.33,89.01,92.26,85.26,256,1,2,128,8,0.0,512,0.001
arxiv_2023_runnn6comdh_NeoGNN_hyper0iv7bmgr,20.33,27.84,59.75,66.03,69.22,78.33,30.75,20.33,27.84,59.75,66.03,72.52,78.33,89.01,92.26,85.26,256,1,2,128,8,0.0,512,0.0001
arxiv_2023_runnn6comdh_NeoGNN_hyperghlr1b0y,20.33,27.84,59.75,66.03,69.22,78.33,30.75,20.33,27.84,59.75,66.03,72.52,78.33,88.83,92.26,85.26,256,1,2,128,8,0.0,1024,0.01
arxiv_2023_runnn6comdh_NeoGNN_hyperdg7go4bh,38.7,59.39,66.75,68.66,73.29,78.33,47.3,38.7,59.39,66.75,68.66,72.52,78.33,89.24,92.47,85.26,256,1,2,128,8,0.0,1024,0.001
arxiv_2023_runnn6comdh_NeoGNN_hyper67og8mi9,38.7,59.39,66.75,68.66,73.29,77.61,47.3,38.7,59.39,66.75,68.66,72.52,77.61,89.24,92.47,85.26,256,1,2,128,8,0.0,1024,0.0001
arxiv_2023_runnn6comdh_NeoGNN_hypercofj1kpj,38.7,59.39,66.75,68.66,73.29,77.61,47.3,38.7,59.39,66.75,68.66,72.52,77.61,89.24,92.47,85.26,256,1,2,128,8,0.1,256,0.01
arxiv_2023_runnn6comdh_NeoGNN_hyper2fiq3tfi,38.7,59.39,66.75,68.66,73.7,77.61,47.3,38.7,59.39,66.75,68.66,72.52,77.61,89.24,92.47,85.26,256,1,2,128,8,0.1,256,0.001
arxiv_2023_runnn6comdh_NeoGNN_hyperm28ypc07,38.7,59.39,66.75,68.66,73.7,77.61,47.3,38.7,59.39,66.75,68.66,72.52,77.61,89.24,92.47,85.26,256,1,2,128,8,0.1,256,0.0001
arxiv_2023_runnn6comdh_NeoGNN_hyperddm6q7p6,38.7,59.39,66.75,68.66,73.7,77.61,47.3,38.7,59.39,66.75,68.66,72.52,77.61,89.24,92.47,85.26,256,1,2,128,8,0.1,512,0.01
