Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_edge_dim,dropout,batch_size,lr
arxiv_2023_runnbugbirh_NeoGNN_hyper59xd3isi,7.41,21.82,65.21,69.17,69.33,72.93,23.72,7.41,21.82,65.21,69.17,69.33,72.93,85.36,89.1,83.86,128,2,64,8,0.0,256,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyper0b1zpb8u,37.83,57.85,65.16,69.17,69.33,72.47,44.9,37.83,57.85,65.16,69.17,69.33,72.47,86.69,90.51,83.63,128,2,64,8,0.0,256,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperx8p63j6n,14.82,57.85,65.67,69.17,72.1,72.1,29.35,14.82,57.85,65.67,69.17,72.1,72.1,86.69,90.51,83.63,128,2,64,8,0.0,512,0.01
arxiv_2023_runnbugbirh_NeoGNN_hypergcz6pviz,14.82,57.85,65.67,69.17,72.1,73.29,29.35,14.82,57.85,65.67,69.17,72.1,73.29,86.42,90.29,85.26,128,2,64,8,0.0,512,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperyc77q52j,14.82,57.85,65.67,69.17,72.1,73.39,29.35,14.82,57.85,65.67,69.17,72.1,73.39,86.42,90.29,85.26,128,2,64,8,0.0,1024,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperkc14u154,14.82,57.85,65.67,69.17,72.1,73.39,29.35,14.82,57.85,65.67,69.17,72.1,73.39,86.42,90.29,85.26,128,2,64,8,0.0,1024,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyper4hwfp9mt,14.82,57.85,65.67,69.17,72.1,73.39,29.35,14.82,57.85,65.67,69.17,72.1,73.39,86.42,90.29,85.26,128,2,64,8,0.1,256,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperbqpwdws5,14.82,57.85,65.67,69.17,72.1,73.39,29.35,14.82,57.85,65.67,69.17,72.1,73.39,86.42,90.5,85.26,128,2,64,8,0.1,256,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperub9rvot2,14.82,57.85,65.67,67.73,72.1,73.39,29.35,14.82,57.85,65.67,67.73,72.1,73.39,86.42,90.5,85.26,128,2,64,8,0.1,512,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperhjpxg4ay,14.82,57.85,65.67,67.42,72.1,73.39,29.35,14.82,57.85,65.67,67.42,72.1,73.39,86.42,90.5,85.26,128,2,64,8,0.1,512,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperjmc2o6oi,15.85,59.8,65.67,68.91,72.1,73.39,28.96,15.85,59.8,65.67,68.91,72.1,73.39,86.42,90.5,85.26,128,2,64,8,0.1,1024,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyper7heyejxg,15.85,59.8,65.67,68.91,72.1,73.39,28.96,15.85,59.8,65.67,68.91,72.1,73.39,86.42,90.5,85.26,128,2,64,8,0.1,1024,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyper7yawh89v,15.85,59.8,65.67,68.91,72.1,73.39,28.96,15.85,59.8,65.67,68.91,72.1,73.39,86.42,90.5,85.26,128,2,64,8,0.3,256,0.01
arxiv_2023_runnbugbirh_NeoGNN_hyperikj2r0x4,15.85,59.8,65.67,68.91,72.1,73.24,28.96,15.85,59.8,65.67,68.91,72.1,73.24,86.42,90.5,85.26,128,2,64,8,0.3,256,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperln6luesk,15.85,59.8,65.67,68.91,72.1,73.29,28.96,15.85,59.8,65.67,68.91,72.1,73.29,86.42,90.5,85.26,128,2,64,8,0.3,512,0.01
arxiv_2023_runnbugbirh_NeoGNN_hypere9g3huh4,15.85,59.8,65.67,68.91,71.8,73.29,28.96,15.85,59.8,65.67,68.91,71.8,73.29,86.42,90.5,85.26,128,2,64,8,0.3,512,0.001
arxiv_2023_runnbugbirh_NeoGNN_hyperowqnahex,15.85,59.8,65.67,68.91,71.8,73.29,28.96,15.85,59.8,65.67,68.91,71.8,73.29,86.42,90.5,85.26,128,2,64,8,0.3,1024,0.01
