Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_global_dim,dropout,batch_size,gnn_batch_size,lr
arxiv_2023_run5i91b3fq_NeoGNN_hyper4ynlxh92,,,,,,,,,,,,,,,,,64,2,64,64,0.0,512,4096,0.01
arxiv_2023_run5i91b3fq_NeoGNN_hyperh1dk796t,,,,,,,,,,,,,,,,,64,2,64,64,0.0,512,4096,0.001
arxiv_2023_run5i91b3fq_NeoGNN_hyper4adq0tur,,,,,,,,,,,,,,,,,64,2,64,64,0.0,512,8192,0.01
arxiv_2023_run5i91b3fq_NeoGNN_hyper6uiq85b0,,,,,,,,,,,,,,,,,64,2,64,64,0.0,512,8192,0.001
arxiv_2023_run5i91b3fq_NeoGNN_hyper55iw1gix,,,,,,,,,,,,,,,,,64,2,64,64,0.0,1024,4096,0.01
arxiv_2023_run5i91b3fq_NeoGNN_hyperiip4nnlu,,,,,,,,,,,,,,,,,64,2,64,64,0.0,1024,4096,0.001
arxiv_2023_run5i91b3fq_NeoGNN_hyper9one4spr,,,,,,,,,,,,,,,,,64,2,64,64,0.0,1024,8192,0.01
arxiv_2023_run5i91b3fq_NeoGNN_hyperz3lf60lk,,,,,,,,,,,,,,,,,64,2,64,64,0.0,1024,8192,0.001
arxiv_2023_run5i91b3fq_NeoGNN_hyper1e436y0a,,,,,,,,,,,,,,,,,64,2,64,64,0.1,512,4096,0.01
arxiv_2023_run5i91b3fq_NeoGNN_hyperq65ribyo,4.72,28.3,43.91,65.26,83.92,88.13,20.21,4.72,28.3,43.91,65.26,83.92,88.13,94.12,95.6,91.73,64,2,64,64,0.1,512,4096,0.001
arxiv_2023_run5i91b3fq_NeoGNN_hyper042wcqbv,4.72,28.3,43.91,65.26,83.92,88.13,20.21,4.72,28.3,43.91,65.26,83.92,88.13,94.12,95.6,91.73,64,2,64,64,0.1,512,8192,0.01
arxiv_2023_run5i91b3fq_NeoGNN_hypero3032m26,4.72,28.3,43.91,65.26,83.92,88.13,20.21,4.72,28.3,43.91,65.26,83.92,88.13,94.12,95.6,91.73,64,2,64,64,0.1,512,8192,0.001
arxiv_2023_run5i91b3fq_NeoGNN_hyperd0cwsxik,4.72,28.3,43.91,65.26,83.92,88.13,20.21,4.72,28.3,43.91,65.26,83.92,88.13,94.12,95.6,91.73,64,2,64,64,0.1,1024,4096,0.01
