Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,hidden_channels,batch_size,lr
arxiv_2023_runc50uz4sl_SEAL,3.96,23.68,35.6,48.38,58.22,67.34,16.07,3.96,23.68,35.6,48.38,58.22,67.34,94.26,93.81,57.05,32,32,0.001
arxiv_2023_run9mzt16bb_SEAL,20.79,23.68,35.6,48.38,58.22,67.34,16.07,20.79,23.68,35.6,48.38,58.22,67.34,94.26,93.81,57.05,32,32,0.0001
arxiv_2023_runsi6o4k04_SEAL,20.79,23.68,35.6,48.38,58.22,67.34,16.07,20.79,23.68,35.6,48.38,58.22,67.34,94.98,94.5,59.56,32,64,0.001
arxiv_2023_runr3w6nzga_SEAL,20.79,23.68,35.6,48.38,58.22,67.34,16.07,20.79,23.68,35.6,48.38,58.22,67.34,94.98,94.5,59.56,32,64,0.0001
arxiv_2023_run672dbd2n_SEAL,4.41,23.68,37.53,48.43,59.03,70.64,18.12,4.41,23.68,37.53,48.43,59.03,70.64,94.92,94.65,59.56,32,128,0.001
arxiv_2023_runj93t5l84_SEAL,4.41,23.68,37.53,48.43,59.03,70.64,18.12,4.41,23.68,37.53,48.43,59.03,70.64,94.92,94.65,59.56,32,128,0.0001
arxiv_2023_runrvahfo97_SEAL,4.41,23.68,37.53,48.43,57.15,70.64,18.12,4.41,23.68,37.53,48.43,57.15,70.64,94.92,94.65,72.51,32,256,0.001
arxiv_2023_runpgk6dp9y_SEAL,4.41,23.68,37.53,48.43,57.15,70.64,18.12,4.41,23.68,37.53,48.43,57.15,70.64,94.92,94.65,72.51,32,256,0.0001
arxiv_2023_runkjfo1e62_SEAL,4.41,23.68,38.84,48.43,57.15,70.64,18.12,4.41,23.68,38.84,48.43,57.15,70.64,96.02,94.92,72.51,64,32,0.001
arxiv_2023_run70pzvc85_SEAL,4.41,23.68,38.84,48.43,57.15,70.64,18.12,4.41,23.68,38.84,48.43,57.15,70.64,96.02,94.92,72.51,64,32,0.0001
arxiv_2023_run4ft0o8qg_SEAL,4.41,23.68,38.84,48.43,57.15,70.64,18.12,4.41,23.68,38.84,48.43,57.15,70.64,95.5,95.24,72.51,64,64,0.001
arxiv_2023_run9al3yh86_SEAL,4.41,23.68,38.84,48.43,57.15,70.64,18.12,4.41,23.68,38.84,48.43,57.15,70.64,95.5,95.24,72.51,64,64,0.0001
arxiv_2023_runjkptk6mg_SEAL,4.41,23.68,39.6,46.96,63.64,70.64,18.12,4.41,23.68,39.6,46.96,63.64,70.64,95.5,95.24,72.51,64,128,0.001
arxiv_2023_runftb3nwh6_SEAL,4.41,21.7,39.6,44.73,58.27,70.64,18.12,4.41,21.7,39.6,44.73,58.27,70.64,95.5,95.24,72.51,64,128,0.0001
arxiv_2023_run5ou5g3bn_SEAL,4.41,21.7,39.6,44.73,58.27,71.35,18.12,4.41,21.7,39.6,44.73,58.27,71.35,95.43,94.89,72.51,64,256,0.001
arxiv_2023_runflcqzjur_SEAL,4.41,21.7,39.6,44.73,58.27,71.35,18.12,4.41,21.7,39.6,44.73,58.27,71.35,95.43,94.89,72.51,64,256,0.0001
arxiv_2023_runosw32tp4_SEAL,4.41,26.62,39.6,44.73,58.27,71.35,18.12,4.41,26.62,39.6,44.73,58.27,71.35,95.43,94.89,72.51,128,32,0.001
arxiv_2023_run6ouj05fq_SEAL,4.41,26.62,39.6,44.73,58.27,71.35,18.12,4.41,26.62,39.6,44.73,58.27,71.35,95.43,94.89,72.51,128,32,0.0001
arxiv_2023_runuhlgh2ya_SEAL,4.41,26.62,39.6,44.73,58.27,71.35,18.12,4.41,26.62,39.6,44.73,58.27,71.35,95.43,94.89,72.51,128,64,0.001
arxiv_2023_runi8kfylj2_SEAL,4.41,26.62,39.6,44.73,58.27,71.35,18.12,4.41,26.62,39.6,44.73,58.27,71.35,95.43,94.89,72.51,128,64,0.0001
arxiv_2023_runk1qs41z3_SEAL,4.41,26.62,39.6,44.73,58.27,71.35,18.12,4.41,26.62,39.6,44.73,58.27,71.35,95.43,94.89,72.51,128,128,0.001
arxiv_2023_runwyt4a3p3_SEAL,4.41,26.62,38.18,44.73,58.27,71.35,18.12,4.41,26.62,38.18,44.73,58.27,71.35,95.43,94.89,72.51,128,128,0.0001
