model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
NCN,0,52.65,60.27,69.89,78.02,87.91,91.41,57.46,52.65,60.27,69.89,78.02,87.91,91.41,98.32,98.46,93.44
NCNC,0,53.58,60.68,67.11,75.24,87.08,91.15,58.42,53.58,60.68,67.11,75.24,87.08,91.15,98.07,98.25,93.64
NCN,1,40.86,44.52,60.78,75.81,86.41,92.28,44.08,40.86,44.52,60.78,75.81,86.41,92.28,97.95,98.15,93.13
BUDDY,0,9.16,19.66,39.06,45.6,53.78,63.82,14.5,9.16,19.66,39.06,45.6,53.78,63.82,87.03,89.72,53.35
BUDDY,1,15.85,18.89,33.25,42.97,53.83,62.38,21.14,15.85,18.89,33.25,42.97,53.83,62.38,85.72,88.51,53.29
NCNC,1,31.19,41.69,65.31,70.61,87.24,91.56,40.99,31.19,41.69,65.31,70.61,87.24,91.56,97.92,98.15,93.21
NCN,2,45.5,48.94,67.78,72.21,84.56,89.6,51.32,45.5,48.94,67.78,72.21,84.56,89.6,97.82,98.02,93.36
BUDDY,2,14.26,28.72,35.98,47.4,55.22,62.17,21.95,14.26,28.72,35.98,47.4,55.22,62.17,87.2,89.92,53.83
BUDDY,3,17.19,22.75,35.87,41.69,50.85,60.99,23.72,17.19,22.75,35.87,41.69,50.85,60.99,86.52,89.12,52.68
SEAL,0,27.61,33.65,49.29,53.02,63.79,73.99,29.97,27.61,33.65,49.29,53.02,63.79,73.99,97.92,97.91,72.08
BUDDY,4,17.29,25.53,40.3,48.79,54.97,63.15,23.04,17.29,25.53,40.3,48.79,54.97,63.15,86.27,89.46,53.17
NCN,3,50.69,59.24,67.01,78.59,86.16,90.94,57.37,50.69,59.24,67.01,78.59,86.16,90.94,98.08,98.33,93.31
NCNC,2,37.0,30.78,66.39,82.09,88.42,92.23,43.49,37.0,30.78,66.39,82.09,88.42,92.23,97.75,97.91,93.13
ELPH,0,12.15,26.4,38.29,45.03,51.78,60.06,21.84,12.15,26.4,38.29,45.03,51.78,60.06,84.85,87.97,50.08
SEAL,1,3.88,30.81,49.95,53.45,61.54,69.17,21.82,3.88,30.81,49.95,53.45,61.54,69.17,97.9,97.7,68.66
NCN,4,43.28,54.4,76.33,75.91,84.77,91.41,46.22,43.28,54.4,76.33,75.91,84.77,91.41,98.04,98.25,93.15
NCNC,3,33.3,40.86,67.88,75.86,85.49,91.56,49.43,33.3,40.86,67.88,75.86,85.49,91.56,98.05,98.16,93.05
SEAL,2,26.34,36.11,49.97,43.89,58.54,72.62,31.48,26.34,36.11,49.97,43.89,58.54,72.62,97.34,97.29,55.97
NCNC,4,9.78,27.95,39.48,71.95,85.02,90.74,19.36,9.78,27.95,39.48,71.95,85.02,90.74,97.91,97.77,93.08
SEAL,3,11.92,25.33,44.19,54.06,62.22,74.29,24.01,11.92,25.33,44.19,54.06,62.22,74.29,97.88,97.53,75.34
SEAL,4,17.06,32.76,50.41,52.59,66.08,76.09,28.11,17.06,32.76,50.41,52.59,66.08,76.09,97.96,97.85,71.12
BUDDY,0,9.21,19.45,36.03,45.14,54.35,63.2,18.53,9.21,19.45,36.03,45.14,54.35,63.2,86.85,89.57,53.35
BUDDY,1,14.62,19.35,33.04,44.26,53.37,62.22,20.85,14.62,19.35,33.04,44.26,53.37,62.22,85.44,88.54,53.29
ELPH,0,23.98,29.44,38.09,43.54,51.52,59.86,27.65,23.98,29.44,38.09,43.54,51.52,59.86,84.58,87.84,50.15
BUDDY,2,14.36,28.82,37.0,44.88,53.83,62.07,19.78,14.36,28.82,37.0,44.88,53.83,62.07,86.42,89.11,53.83
ELPH,1,16.26,31.81,36.44,45.24,54.3,59.34,26.08,16.26,31.81,36.44,45.24,54.3,59.34,85.41,88.35,50.77
BUDDY,3,16.37,24.86,35.41,42.41,52.5,63.61,22.51,16.37,24.86,35.41,42.41,52.5,63.61,87.05,89.49,52.44
ELPH,2,21.36,30.98,44.11,46.63,53.83,60.94,28.57,21.36,30.98,44.11,46.63,53.83,60.94,85.67,88.8,51.52
BUDDY,4,19.25,25.63,36.08,47.76,55.79,63.41,24.87,19.25,25.63,36.08,47.76,55.79,63.41,86.55,89.68,53.27
ELPH,3,13.59,23.37,37.57,43.64,50.75,57.8,21.89,13.59,23.37,37.57,43.64,50.75,57.8,84.35,87.54,50.75
ELPH,4,26.92,31.19,40.04,43.8,51.83,59.65,33.3,26.92,31.19,40.04,43.8,51.83,59.65,84.86,88.08,50.1
MLP-minilm,0,18.17,22.54,58.41,72.77,84.3,91.04,27.28,18.17,22.54,58.41,72.77,84.3,91.04,97.89,97.85,93.05
MLP-e5-large,0,12.87,22.9,60.89,74.68,88.42,92.13,26.37,12.87,22.9,60.89,74.68,88.42,92.13,98.14,98.15,93.62
MLP-minilm,1,18.73,22.8,58.41,72.88,84.25,91.04,27.66,18.73,22.8,58.41,72.88,84.25,91.04,97.89,97.85,92.95
MLP-e5-large,1,12.97,22.8,60.99,74.68,88.37,92.13,26.32,12.97,22.8,60.99,74.68,88.37,92.13,98.14,98.15,93.67
MLP-minilm,2,19.35,22.65,56.97,72.88,84.51,91.04,27.93,19.35,22.65,56.97,72.88,84.51,91.04,97.88,97.84,92.92
MLP-e5-large,2,13.54,22.85,61.35,74.58,88.37,92.33,26.13,13.54,22.85,61.35,74.58,88.37,92.33,98.15,98.15,93.72
MLP-minilm,3,18.84,21.2,56.92,72.93,84.51,90.99,27.64,18.84,21.2,56.92,72.93,84.51,90.99,97.88,97.84,92.98
MLP-e5-large,3,12.87,22.95,60.94,74.58,88.42,92.69,26.27,12.87,22.95,60.94,74.58,88.42,92.69,98.14,98.15,93.64
MLP-minilm,4,18.89,22.39,56.92,72.93,84.41,90.99,27.7,18.89,22.39,56.92,72.93,84.41,90.99,97.88,97.85,92.98
MLP-e5-large,4,13.69,22.9,61.19,74.52,88.42,92.13,26.19,13.69,22.9,61.19,74.52,88.42,92.13,98.14,98.15,93.62
MLP-bert,0,10.14,22.39,37.62,46.06,60.16,69.74,18.15,10.14,22.39,37.62,46.06,60.16,69.74,92.16,92.88,84.41
MLP-bert,1,11.53,15.39,35.1,48.84,58.16,66.03,18.44,11.53,15.39,35.1,48.84,58.16,66.03,91.85,92.74,84.46
MLP-bert,2,13.69,21.87,41.48,48.74,58.36,66.6,19.89,13.69,21.87,41.48,48.74,58.36,66.6,92.17,92.77,84.15
MLP-bert,3,11.53,17.55,39.94,44.16,56.72,66.8,20.79,11.53,17.55,39.94,44.16,56.72,66.8,92.34,92.86,84.43
MLP-bert,4,14.51,30.01,38.65,42.0,56.82,67.68,20.03,14.51,30.01,38.65,42.0,56.82,67.68,92.33,93.02,84.77
ELPH,0,26.97,48.53,59.14,65.21,65.21,65.21,36.65,26.97,48.53,59.14,65.21,65.21,65.21,86.5,89.26,50.21
ELPH,1,19.66,38.91,52.55,57.13,59.65,64.85,30.31,19.66,38.91,52.55,57.13,59.65,64.85,87.28,89.63,51.29
ELPH,2,34.89,43.75,55.58,56.72,64.38,66.24,44.85,34.89,43.75,55.58,56.72,64.38,66.24,87.53,89.84,51.06
ELPH,3,38.24,44.26,47.81,56.56,59.08,59.08,43.95,38.24,44.26,47.81,56.56,59.08,59.08,86.27,88.55,50.05
ELPH,4,38.65,42.87,51.72,55.22,63.1,63.1,39.88,38.65,42.87,51.72,55.22,63.1,63.1,87.02,89.36,50.05
NeoGNN,0,15.23,23.57,40.2,53.32,73.96,78.13,23.3,15.23,23.57,40.2,53.32,73.96,78.23,89.02,92.1,84.3
NeoGNN,1,4.99,49.0,64.08,67.83,71.74,76.63,29.09,4.99,49.0,64.08,67.83,71.74,76.63,89.29,92.32,82.81
BUDDY,0,18.48,17.55,35.46,41.43,50.85,60.58,17.85,18.48,17.55,35.46,41.43,50.85,60.58,83.83,87.56,75.06
BUDDY,1,11.48,15.08,29.54,41.43,52.03,59.6,16.57,11.48,15.08,29.54,41.43,52.03,59.6,84.27,87.69,76.14
BUDDY,2,5.76,15.44,34.48,41.07,54.35,61.76,14.23,5.76,15.44,34.48,41.07,54.35,61.76,85.23,88.29,53.45
NeoGNN,2,50.08,63.1,65.93,68.5,70.61,75.35,57.74,50.08,63.1,65.93,68.5,70.61,75.35,89.74,92.57,82.06
BUDDY,3,19.2,22.95,34.28,39.37,49.82,59.55,22.35,19.2,22.95,34.28,39.37,49.82,59.55,83.77,87.54,63.97
NeoGNN,3,21.31,35.56,52.5,63.72,73.24,75.04,32.42,21.31,35.56,52.5,63.72,73.24,75.04,89.33,92.35,84.12
BUDDY,4,16.73,20.23,34.53,42.67,54.19,60.94,22.77,16.73,20.23,34.53,42.67,54.19,60.94,84.55,87.98,54.07
NeoGNN,4,17.91,39.37,52.29,59.08,73.75,76.94,30.58,17.91,39.37,52.29,59.08,73.75,76.94,88.72,92.2,84.92
MLP-llama,0,27.74,61.91,78.69,87.03,92.69,96.6,43.89,27.74,61.45,78.69,87.03,92.69,96.6,99.25,99.21,95.93
MLP-llama,1,26.3,60.99,78.8,85.85,93.62,97.32,42.58,26.3,53.11,78.8,85.85,93.62,97.32,99.26,99.24,96.01
MLP-llama,2,28.67,55.43,80.13,85.64,94.29,96.76,44.08,28.67,55.43,80.13,85.64,94.29,96.76,99.22,99.18,95.78
MLP-llama,3,29.95,43.54,80.96,86.41,93.98,96.4,41.15,29.95,46.37,80.96,86.41,93.98,96.4,99.2,99.19,96.19
MLP-llama,4,21.2,60.22,80.44,83.69,91.97,96.71,38.65,21.2,59.8,80.44,83.69,91.97,96.71,99.18,99.15,95.96
NeoGNN,0,26.49,48.53,60.08,66.47,71.4,74.85,35.16,26.49,48.53,60.08,66.47,71.4,74.85,86.28,86.85,82.3
NeoGNN,1,14.95,28.14,49.65,62.78,68.0,71.22,25.41,14.95,28.14,49.65,62.78,68.0,71.22,89.29,91.37,80.77
