Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
ncn-arxiv_2023,29.95 ± nan,47.95 ± nan,63.25 ± nan,71.45 ± nan,82.12 ± nan,88.69 ± nan,39.07 ± nan,29.95 ± nan,47.95 ± nan,63.25 ± nan,71.45 ± nan,82.12 ± nan,88.69 ± nan,97.40 ± nan,97.62 ± nan,91.59 ± nan
ncn-arxiv_2023,29.95 ± nan,52.93 ± nan,63.25 ± nan,71.45 ± nan,82.12 ± nan,88.69 ± nan,39.07 ± nan,29.95 ± nan,52.93 ± nan,63.25 ± nan,71.45 ± nan,82.12 ± nan,88.69 ± nan,97.40 ± nan,97.62 ± nan,91.68 ± nan
ncn-cora,15.30 ± nan,47.60 ± nan,61.49 ± nan,66.94 ± nan,77.20 ± nan,85.40 ± nan,32.75 ± nan,15.30 ± nan,47.60 ± nan,61.49 ± nan,66.94 ± nan,77.20 ± nan,85.40 ± nan,96.84 ± nan,97.07 ± nan,90.68 ± nan
ncnc-arxiv_2023,9.61 ± nan,44.61 ± nan,59.91 ± nan,66.12 ± nan,78.43 ± nan,88.04 ± nan,28.65 ± nan,9.61 ± nan,44.61 ± nan,59.91 ± nan,66.12 ± nan,78.43 ± nan,88.04 ± nan,97.08 ± nan,97.18 ± nan,91.53 ± nan
ncnc-cora,27.37 ± nan,35.64 ± nan,56.51 ± nan,62.43 ± nan,76.73 ± nan,85.46 ± nan,35.22 ± nan,27.37 ± nan,35.64 ± nan,56.51 ± nan,62.43 ± nan,76.73 ± nan,85.46 ± nan,96.79 ± nan,96.87 ± nan,90.01 ± nan
ncn-arxiv_2023,29.95 ± nan,52.93 ± nan,63.25 ± nan,71.45 ± nan,82.12 ± nan,88.69 ± nan,39.07 ± nan,29.95 ± nan,52.93 ± nan,63.25 ± nan,71.45 ± nan,82.12 ± nan,88.69 ± nan,97.40 ± nan,97.62 ± nan,91.68 ± nan
ncn-cora,15.30 ± nan,47.60 ± nan,61.49 ± nan,66.94 ± nan,77.20 ± nan,85.40 ± nan,32.75 ± nan,15.30 ± nan,47.60 ± nan,61.49 ± nan,66.94 ± nan,77.20 ± nan,85.40 ± nan,96.84 ± nan,97.07 ± nan,90.68 ± nan
ncnc-arxiv_2023,9.61 ± nan,44.61 ± nan,59.91 ± nan,66.12 ± nan,78.43 ± nan,88.04 ± nan,28.65 ± nan,9.61 ± nan,44.61 ± nan,59.91 ± nan,66.12 ± nan,78.43 ± nan,88.04 ± nan,97.08 ± nan,97.18 ± nan,91.53 ± nan
llama-arxiv_2023-origin_dot,2.34 ± nan,8.38 ± nan,11.66 ± nan,16.30 ± nan,23.86 ± nan,31.36 ± nan,5.48 ± nan,2.34 ± nan,8.38 ± nan,11.66 ± nan,16.30 ± nan,23.86 ± nan,31.36 ± nan,69.95 ± nan,73.92 ± nan,65.33 ± nan
ncn-arxiv_2023,29.95 ± nan,52.93 ± nan,63.25 ± nan,71.45 ± nan,82.12 ± nan,88.69 ± nan,39.07 ± nan,29.95 ± nan,52.93 ± nan,63.25 ± nan,71.45 ± nan,82.12 ± nan,88.69 ± nan,97.40 ± nan,97.62 ± nan,91.68 ± nan
