edge_index0,edge_index1,pred,gr
262,8603,0.49324593,1.0
7206,9647,0.37663943,1.0
2983,8774,0.47407082,1.0
8486,10732,0.48694775,1.0
3912,6052,0.5965995,1.0
5130,6505,0.39856422,1.0
904,7681,0.7605923,1.0
902,8563,0.5658395,1.0
7744,12211,0.67012846,1.0
4781,5325,0.3608325,1.0
3219,5475,0.5131944,1.0
379,6091,0.7113363,1.0
715,4635,0.4955999,1.0
6492,8339,0.6211455,1.0
262,11279,0.80739576,1.0
4878,7353,0.53510946,1.0
1574,8816,0.35094303,1.0
8700,10276,0.52293783,1.0
9910,10007,0.4660696,1.0
418,10094,0.49020118,1.0
4414,11176,0.6368875,1.0
6262,12178,0.33432728,1.0
5400,6080,0.6082679,1.0
11596,12754,0.75855035,1.0
1054,11328,0.6708069,1.0
4063,12880,0.4927876,1.0
5678,10244,0.38719967,1.0
1263,5337,0.59086066,1.0
750,5258,0.38623065,1.0
7353,8585,0.500528,1.0
6662,7663,0.7357165,1.0
5519,10125,0.71129274,1.0
7275,7880,0.53211963,1.0
1587,10949,0.40967354,1.0
444,8265,0.6281123,1.0
3152,3787,0.5067825,1.0
9252,11627,0.78011334,1.0
262,3822,0.7696425,1.0
985,5850,0.6870156,1.0
5420,8582,0.7278995,1.0
1875,12071,0.586856,1.0
9333,11372,0.5218669,1.0
2864,10622,0.6389537,1.0
4931,4977,0.6744779,1.0
6385,8169,0.4858458,1.0
7278,10508,0.5864322,1.0
2539,5861,0.51516765,1.0
10622,12724,0.6085951,1.0
1550,3145,0.5133043,1.0
8226,9404,0.7453333,1.0
262,11819,0.7920756,1.0
2995,10028,0.53660756,1.0
4452,7744,0.72928107,1.0
1997,10755,0.573712,1.0
10478,11270,0.40181023,1.0
2293,10407,0.5106267,1.0
2071,9134,0.44392964,1.0
9720,11527,0.4508363,1.0
4801,4929,0.5871674,1.0
2358,10605,0.3865733,1.0
3494,3752,0.5187223,1.0
6703,12193,0.48984858,1.0
61,6186,0.68730533,1.0
464,9024,0.2957087,1.0
7298,8634,0.615959,1.0
4414,12902,0.6471544,1.0
4992,11896,0.53332114,1.0
9687,10021,0.55159414,1.0
