edge_index0,edge_index1,pred,gr
46,461,0.41909966,1.0
1064,1414,0.51938397,1.0
848,1443,0.5128354,1.0
1937,2404,0.48155582,1.0
1726,2482,0.520681,1.0
1002,1535,0.48228517,1.0
183,336,0.5320698,1.0
294,402,0.50362355,1.0
194,696,0.4333639,1.0
377,640,0.49864653,1.0
967,1247,0.56018054,1.0
1178,1390,0.5102426,1.0
790,1436,0.4530261,1.0
1273,1447,0.5251189,1.0
988,1415,0.5076833,1.0
210,592,0.5045551,1.0
289,912,0.5141933,1.0
1037,1793,0.5179535,1.0
1314,1317,0.5212159,1.0
37,531,0.49876198,1.0
533,565,0.5238147,1.0
1018,1311,0.51528925,1.0
1496,2161,0.54353374,1.0
74,272,0.5282048,1.0
321,322,0.52071726,1.0
42,181,0.53292984,1.0
855,1181,0.47221532,1.0
1015,1017,0.51696855,1.0
256,261,0.51007074,1.0
1097,1414,0.510825,1.0
696,1092,0.45014244,1.0
646,696,0.50189894,1.0
1143,1176,0.51946443,1.0
2122,2332,0.46810666,1.0
133,2378,0.49359003,1.0
1871,2054,0.50770456,1.0
299,392,0.51206297,1.0
159,397,0.50691485,1.0
945,2176,0.53265476,1.0
629,2233,0.51364315,1.0
755,1357,0.52229816,1.0
235,394,0.5263526,1.0
1683,1744,0.514469,1.0
1281,1475,0.4134392,1.0
179,556,0.5102363,1.0
982,1354,0.5310367,1.0
380,1213,0.4836593,1.0
390,1959,0.51583946,1.0
156,2464,0.5067089,1.0
93,611,0.49828613,1.0
868,1194,0.52790904,1.0
544,1304,0.4864941,1.0
1013,1106,0.4673836,1.0
1509,1550,0.5029463,1.0
1514,2205,0.5163251,1.0
1033,2063,0.42788017,1.0
159,753,0.5114067,1.0
1009,1089,0.47104624,1.0
493,519,0.5278838,1.0
1727,2482,0.5462104,1.0
848,1139,0.5109475,1.0
1898,2477,0.5155676,1.0
9,425,0.5296201,1.0
540,587,0.5052005,1.0
553,859,0.50333995,1.0
334,790,0.5311404,1.0
499,652,0.58011365,1.0
133,2300,0.50128376,1.0
1492,1899,0.51080656,1.0
693,2421,0.49244955,1.0
73,515,0.49478507,1.0
1801,2221,0.5423032,1.0
61,2244,0.51461613,1.0
915,917,0.5120418,1.0
1162,1163,0.5041743,1.0
1766,1784,0.52242833,1.0
1478,1584,0.5092233,1.0
1490,1879,0.5371132,1.0
27,82,0.5727957,1.0
654,1837,0.4996772,1.0
73,831,0.5173537,1.0
611,2360,0.49769443,1.0
106,834,0.52200353,1.0
253,688,0.51823574,1.0
402,574,0.5182846,1.0
1852,2203,0.5004853,1.0
325,1804,0.52801126,1.0
358,601,0.52546203,1.0
774,1550,0.51253504,1.0
2023,2424,0.5238749,1.0
850,909,0.49457282,1.0
633,2477,0.5248576,1.0
425,664,0.5296359,1.0
814,1018,0.5185668,1.0
769,1290,0.51869893,1.0
927,1925,0.54204774,1.0
278,2249,0.5034854,1.0
987,1278,0.51536226,1.0
595,598,0.50679755,1.0
1007,2309,0.5158138,1.0
652,1418,0.51138157,1.0
1503,1834,0.5249026,1.0
1061,1120,0.52329624,1.0
171,859,0.50579405,1.0
956,1048,0.5500203,1.0
457,1725,0.5256034,1.0
807,1063,0.4984097,1.0
1227,1245,0.5085716,1.0
695,1570,0.45509964,1.0
266,808,0.5124625,1.0
26,2407,0.5370292,1.0
422,2358,0.47750786,1.0
1855,2402,0.4954021,1.0
182,1958,0.49402124,1.0
416,708,0.4850388,1.0
65,146,0.5053148,1.0
101,702,0.5068865,1.0
1910,2229,0.47213995,1.0
601,1777,0.50692284,1.0
543,794,0.52335805,1.0
274,1793,0.46455866,1.0
1041,1333,0.4973932,1.0
754,1451,0.5009878,1.0
540,831,0.5006043,1.0
14,577,0.51116955,1.0
159,566,0.5157675,1.0
218,381,0.5160634,1.0
1211,1244,0.5462003,1.0
256,439,0.5288835,1.0
1659,2306,0.5293709,1.0
945,1386,0.56484425,1.0
2376,2462,0.54998326,1.0
1550,2228,0.49941579,1.0
390,1723,0.50098187,1.0
381,402,0.51484984,1.0
789,1590,0.5010095,1.0
1841,2047,0.45734712,1.0
989,1409,0.50590175,1.0
1688,1798,0.51681644,1.0
1033,1565,0.50606036,1.0
768,831,0.4946731,1.0
745,944,0.5658853,1.0
533,2286,0.5099066,1.0
1061,1108,0.51301795,1.0
2021,2375,0.50985,1.0
1785,2407,0.55228657,1.0
1522,1545,0.51144385,1.0
208,1593,0.53884375,1.0
741,1216,0.50230706,1.0
404,1543,0.53476554,1.0
2164,2405,0.50870824,1.0
1923,1925,0.52809185,1.0
226,285,0.43860576,1.0
1074,1428,0.5063029,1.0
1064,2196,0.52531785,1.0
1289,2073,0.5102737,1.0
1879,2460,0.53722847,1.0
402,899,0.5149905,1.0
1059,1076,0.47023234,1.0
688,1779,0.529716,1.0
177,509,0.47022542,1.0
533,1242,0.5131106,1.0
1887,2201,0.52320987,1.0
909,1579,0.5345807,1.0
1894,2012,0.48569992,1.0
557,799,0.5415028,1.0
159,999,0.51238996,1.0
1172,1435,0.50954646,1.0
1168,1375,0.48930913,1.0
208,711,0.5272467,1.0
60,530,0.5400953,1.0
894,1364,0.48354015,1.0
21,1301,0.51262426,1.0
139,775,0.5014578,1.0
159,1415,0.525032,1.0
1780,1986,0.5259257,1.0
21,410,0.5283199,1.0
185,411,0.51990974,1.0
1822,2324,0.5202617,1.0
2144,2248,0.47077185,1.0
1342,2381,0.52352405,1.0
327,424,0.5686124,1.0
825,880,0.52585125,1.0
1677,2482,0.51967835,1.0
1110,1285,0.51833266,1.0
1574,2202,0.52648693,1.0
831,1331,0.4989901,1.0
1178,1630,0.4234542,1.0
533,1301,0.5247347,1.0
14,254,0.5120833,1.0
159,1736,0.513995,1.0
1260,1264,0.5335087,1.0
1739,1746,0.5152731,1.0
1033,1943,0.54467595,1.0
323,1485,0.46950504,1.0
568,629,0.5030596,1.0
279,1242,0.51668626,1.0
590,996,0.4776988,1.0
758,1059,0.45282513,1.0
598,642,0.5312428,1.0
73,622,0.51639485,1.0
1197,2150,0.544324,1.0
1562,1709,0.5503068,1.0
301,1202,0.5511411,1.0
544,954,0.51111853,1.0
833,1142,0.5190385,1.0
863,2197,0.5045163,1.0
1195,1569,0.51164544,1.0
752,2441,0.48864773,1.0
228,717,0.49418053,1.0
142,1155,0.5268595,1.0
159,1048,0.49629992,1.0
1655,1729,0.5125302,1.0
1285,2016,0.51199365,1.0
975,1149,0.51793414,1.0
106,503,0.44213185,1.0
300,2160,0.5446658,1.0
994,998,0.5359587,1.0
118,1712,0.47995958,1.0
237,454,0.535529,1.0
832,1439,0.5452509,1.0
245,302,0.43175852,1.0
831,2242,0.5147148,1.0
575,1054,0.51503587,1.0
402,1042,0.5032761,1.0
168,520,0.55652326,1.0
394,1251,0.54029334,1.0
1745,2443,0.52864796,1.0
668,1835,0.49713546,1.0
780,1375,0.46712294,1.0
1110,1163,0.4763112,1.0
375,2180,0.43329498,1.0
992,1380,0.5119419,1.0
976,1568,0.5046235,1.0
198,598,0.49224252,1.0
763,1182,0.5072289,1.0
187,704,0.5044996,1.0
875,926,0.5099469,1.0
2286,2290,0.46309692,1.0
159,1427,0.5243897,1.0
89,2255,0.47398397,1.0
191,330,0.5253662,1.0
778,1168,0.43326947,1.0
139,1211,0.4925681,1.0
248,747,0.47866926,1.0
533,1455,0.50556755,1.0
278,599,0.4744225,1.0
142,2327,0.5226407,1.0
323,498,0.49673203,1.0
53,755,0.515545,1.0
534,632,0.5125011,1.0
485,537,0.5180558,1.0
11,587,0.52518684,1.0
2287,85,0.5207564,0.0
1362,2259,0.47773358,0.0
179,1060,0.49960062,0.0
990,2171,0.5124455,0.0
1061,2211,0.4982725,0.0
1422,324,0.49793953,0.0
13,196,0.52116144,0.0
1657,1853,0.51792616,0.0
788,679,0.48737246,0.0
697,2043,0.5061288,0.0
2383,936,0.5056662,0.0
1346,383,0.492255,0.0
1219,1301,0.5148514,0.0
1685,1824,0.5336957,0.0
1224,1619,0.5431347,0.0
1070,1897,0.4979192,0.0
438,1980,0.5006294,0.0
1790,229,0.46587133,0.0
219,1908,0.510173,0.0
492,862,0.5244211,0.0
1380,1223,0.51591027,0.0
2409,1732,0.4842378,0.0
2263,207,0.5047742,0.0
1475,523,0.42783177,0.0
2101,1915,0.52961344,0.0
2044,1890,0.5075424,0.0
1704,79,0.47041386,0.0
52,2395,0.5431377,0.0
176,2199,0.53146374,0.0
1613,2483,0.503783,0.0
2242,2184,0.5306275,0.0
1988,1441,0.5165647,0.0
513,703,0.5167746,0.0
331,570,0.48259416,0.0
2130,1561,0.5192574,0.0
1237,102,0.52770984,0.0
321,1786,0.5084509,0.0
1600,644,0.4619246,0.0
2159,259,0.4765881,0.0
171,934,0.45699885,0.0
2262,707,0.50420463,0.0
497,2013,0.5234956,0.0
1358,2299,0.5081961,0.0
414,1459,0.5031649,0.0
1684,2459,0.53796357,0.0
1187,2117,0.50283706,0.0
874,416,0.459387,0.0
2433,8,0.51616037,0.0
1065,1710,0.5065092,0.0
422,1,0.51915985,0.0
1727,717,0.5278041,0.0
1677,463,0.5172311,0.0
1385,2398,0.48097786,0.0
1689,1389,0.5246063,0.0
1388,2475,0.5281756,0.0
1381,2198,0.4980475,0.0
262,814,0.51145184,0.0
1696,2389,0.50194514,0.0
211,190,0.5186562,0.0
1845,1157,0.48857886,0.0
1512,1962,0.45504022,0.0
1437,2069,0.48629895,0.0
2229,1122,0.5307247,0.0
429,88,0.5162608,0.0
561,432,0.5075678,0.0
1472,706,0.51339287,0.0
1093,117,0.4987806,0.0
770,1056,0.53874224,0.0
596,2234,0.5005452,0.0
2347,1525,0.5498405,0.0
1900,1306,0.579393,0.0
2074,1060,0.5337587,0.0
811,623,0.47544095,0.0
1850,447,0.550026,0.0
809,1026,0.5101832,0.0
1870,196,0.5005101,0.0
1923,634,0.5307459,0.0
957,1866,0.5363761,0.0
670,1672,0.50707936,0.0
