edge_index0,edge_index1,pred,gr
8649,10460,-0.655581,1.0
2788,4540,-1.057316,1.0
4846,13142,4.266393,1.0
10478,11270,4.6514807,1.0
4782,10839,3.254667,1.0
3829,5938,4.687276,1.0
2951,11592,4.508346,1.0
12048,13061,5.5635877,1.0
2448,2940,4.663294,1.0
2648,10037,-0.95941496,1.0
575,12718,0.48779392,1.0
2103,5679,5.0643015,1.0
11261,11588,0.21811934,1.0
2116,11698,-0.20749283,1.0
2532,10181,4.6093764,1.0
1476,8952,1.9544095,1.0
4838,6515,-1.7515255,1.0
2835,8269,6.6386094,1.0
531,12199,0.55040485,1.0
3198,7681,8.455327,1.0
3254,8985,-0.7576617,1.0
2962,6769,-1.4548434,1.0
2150,4771,-0.28343466,1.0
2116,6262,6.958462,1.0
3759,11145,-1.927438,1.0
4511,7106,8.982347,1.0
3982,10973,5.011659,1.0
7298,8634,3.9119594,1.0
262,12829,7.647521,1.0
7824,9652,-1.7737888,1.0
9348,11377,-0.85225004,1.0
2448,11108,2.899735,1.0
808,7611,9.184738,1.0
6413,11655,7.443586,1.0
3273,6552,3.5872605,1.0
252,6235,4.465605,1.0
5850,11350,4.932817,1.0
59,8340,7.9555674,1.0
5163,7985,8.605947,1.0
4365,11428,-1.3299993,1.0
893,1816,4.995096,1.0
6114,8341,2.445125,1.0
9476,11362,-0.041699365,1.0
4925,11078,4.342063,1.0
262,9468,4.0675015,1.0
2359,13141,6.404317,1.0
9716,11946,6.733758,1.0
1578,12100,9.5524645,1.0
1699,12700,8.996065,1.0
1054,12368,6.9420185,1.0
5701,12593,7.777756,1.0
263,5796,8.294727,1.0
1742,12208,-0.87499744,1.0
2418,7055,-1.448879,1.0
9432,11680,10.159357,1.0
2647,5902,-1.2411779,1.0
304,8646,0.64970845,1.0
7684,10155,0.46520698,1.0
5837,8992,-0.09450661,1.0
3907,6126,7.3565187,1.0
9144,10515,1.3358512,1.0
321,6589,4.793665,1.0
1690,6114,6.137313,1.0
4598,6263,2.1117878,1.0
7142,10181,5.0647755,1.0
7744,11082,5.941449,1.0
10975,12988,-0.36497915,1.0
9313,10912,10.088978,1.0
6985,12513,-0.84961206,1.0
5371,6441,9.254193,1.0
6019,9500,1.2343272,1.0
5831,7744,3.2305698,1.0
3896,4382,5.258096,1.0
7203,7989,4.640556,1.0
439,2548,1.4420431,1.0
4288,11394,4.7823067,1.0
10380,11962,-0.46160495,1.0
8393,9788,4.9362497,1.0
6770,8153,1.6156715,1.0
7643,11911,-1.2386731,1.0
2818,3514,-0.29143578,1.0
5002,9780,-0.7209337,1.0
1078,6214,6.0519433,1.0
7798,10975,-0.11270094,1.0
750,7821,2.3677425,1.0
10089,12385,-0.67155796,1.0
262,1085,7.9194922,1.0
893,12389,4.4469604,1.0
10487,11771,-1.0944985,1.0
8343,11471,5.5552907,1.0
3062,12613,2.8823943,1.0
7508,10578,-0.18059734,1.0
6241,12901,2.5204573,1.0
2651,11944,2.217191,1.0
8381,13077,6.2774944,1.0
5537,11374,7.7617984,1.0
1,4906,8.992933,1.0
259,6992,4.6318655,1.0
406,3339,7.6575184,1.0
7744,8584,8.595676,1.0
5989,10782,-0.76300263,1.0
1810,11294,-0.34761238,1.0
5132,6593,4.392306,1.0
1661,3455,-0.71514,1.0
2431,11123,5.8876843,1.0
8208,8804,1.2544565,1.0
2404,8654,8.916514,1.0
848,1769,4.7487187,1.0
2,12920,-0.61008525,1.0
5854,12659,3.5125432,1.0
373,11823,-0.82325876,1.0
1604,7074,7.1366897,1.0
8779,9134,4.743709,1.0
1464,12334,1.7283044,1.0
6385,8169,4.9064875,1.0
1396,5298,-1.4283001,1.0
3267,11262,0.08168574,1.0
