edge_index0,edge_index1,pred,gr
571,994,-0.52608174,1.0
1588,1628,4.3879313,1.0
1160,1522,3.5529604,1.0
1096,1520,-0.6971787,1.0
722,726,0.69748783,1.0
2066,2426,3.4237065,1.0
2004,2396,-0.6746883,1.0
928,2400,-0.06799124,1.0
1863,1967,-1.0526173,1.0
1083,1582,-1.0811844,1.0
102,1251,5.0878468,1.0
595,2317,-0.41056615,1.0
159,377,5.606197,1.0
847,1472,3.0666795,1.0
404,1543,1.5893654,1.0
287,402,5.453292,1.0
1415,2267,0.23033513,1.0
1621,1984,-0.070062496,1.0
588,659,-0.6244572,1.0
402,1325,2.4940875,1.0
384,2380,-1.1803412,1.0
380,1500,-0.5842227,1.0
1911,2202,2.295847,1.0
220,577,4.222759,1.0
1172,1435,4.416502,1.0
1116,1677,4.9951005,1.0
43,544,2.3594067,1.0
642,1745,-0.82036304,1.0
244,254,4.7961645,1.0
564,702,5.6515493,1.0
592,1447,5.2409606,1.0
324,1196,0.4996111,1.0
776,1528,0.28215906,1.0
25,428,0.6555178,1.0
588,620,0.090469584,1.0
601,1991,1.8927085,1.0
1053,1181,5.1566205,1.0
48,681,-1.0873933,1.0
1669,1687,4.621328,1.0
159,2399,3.3335805,1.0
1838,2414,4.776385,1.0
335,700,2.1298542,1.0
516,533,5.4861,1.0
450,493,4.9210434,1.0
1459,1463,4.9512753,1.0
640,2136,-0.11496613,1.0
1086,1773,-0.013455013,1.0
1168,1401,4.911436,1.0
1114,1477,5.4692893,1.0
1081,2248,-0.9241129,1.0
286,401,0.05624628,1.0
738,796,-0.0403788,1.0
1197,1986,5.137218,1.0
1782,2304,-0.4462257,1.0
57,533,5.580752,1.0
1127,1536,3.9796286,1.0
126,159,5.682279,1.0
516,1744,-0.8693928,1.0
1082,1248,-0.023709143,1.0
575,1405,5.6412067,1.0
159,747,5.731252,1.0
43,702,2.9837937,1.0
1562,1709,-0.52178943,1.0
61,891,-0.10013033,1.0
1520,1521,4.834202,1.0
699,1892,5.0344567,1.0
159,1285,5.389978,1.0
156,1743,5.177317,1.0
227,1301,3.1403909,1.0
798,972,4.203618,1.0
55,1787,0.8870485,1.0
747,1137,-0.054228432,1.0
75,2211,0.23940848,1.0
22,2090,-0.7395258,1.0
1655,1729,4.1969686,1.0
1130,1223,-0.40313342,1.0
989,1103,0.6607347,1.0
1550,2228,1.5226066,1.0
1395,2165,-0.07002901,1.0
1061,1400,0.487829,1.0
493,2351,1.4743514,1.0
1965,2416,-0.19013895,1.0
700,1092,5.6012125,1.0
378,1960,4.7857375,1.0
1410,1634,2.4061754,1.0
159,2397,5.326841,1.0
28,1514,-0.7674232,1.0
425,1896,1.9045795,1.0
218,402,5.674826,1.0
587,620,3.0299182,1.0
1347,2243,-0.5720837,1.0
1312,1408,-0.2145691,1.0
661,702,3.011327,1.0
1142,1371,4.104058,1.0
270,2031,4.250523,1.0
159,566,5.6047974,1.0
14,512,5.335286,1.0
1379,1563,-0.4697007,1.0
647,1177,4.748779,1.0
64,698,4.432577,1.0
440,844,0.60799927,1.0
1051,1089,1.7448843,1.0
528,695,4.7437253,1.0
870,1164,4.1916385,1.0
231,533,2.6794782,1.0
159,2325,5.716384,1.0
928,1550,5.3767858,1.0
520,522,5.6430545,1.0
21,535,-0.7326205,1.0
300,2137,-0.46336982,1.0
1064,1414,5.3261456,1.0
766,1019,4.5394692,1.0
2137,2381,-0.6237396,1.0
355,1677,2.191687,1.0
395,2049,-0.810547,1.0
1010,1220,-0.67791367,1.0
739,1700,4.6829596,1.0
779,857,4.2855244,1.0
547,702,5.6313243,1.0
710,1324,-0.87032837,1.0
2198,2321,4.4360814,1.0
1792,2301,0.80875707,1.0
1329,2055,5.3116765,1.0
1086,1087,4.6456294,1.0
425,965,5.5361757,1.0
1671,1886,-0.57429326,1.0
1262,2128,-0.7622247,1.0
0,407,4.3780203,1.0
1617,2319,5.5577374,1.0
1170,1171,5.5331235,1.0
1537,2226,-0.12403511,1.0
36,1930,-0.4019879,1.0
65,146,1.8896867,1.0
702,733,5.678616,1.0
842,1188,-0.58350855,1.0
533,1523,5.3259006,1.0
142,2124,4.0886874,1.0
460,517,3.9736052,1.0
159,2428,5.6328306,1.0
1239,1530,-0.3151522,1.0
684,956,5.4261446,1.0
2309,2314,4.232839,1.0
533,953,5.5342317,1.0
1232,1483,0.96783763,1.0
2148,2194,0.33185923,1.0
159,2116,5.675957,1.0
646,1604,4.614412,1.0
279,1936,0.9553498,1.0
508,567,5.0186954,1.0
1697,2382,-0.060493454,1.0
80,1358,3.315112,1.0
1170,1437,5.608899,1.0
1056,1450,-0.5266545,1.0
263,308,4.212623,1.0
159,1009,5.500413,1.0
1917,1953,-0.74954075,1.0
811,1350,-0.41300923,1.0
98,2468,-0.2173402,1.0
761,984,5.398828,1.0
208,711,3.3465781,1.0
393,1198,4.7551146,1.0
1594,1638,3.6448655,1.0
213,562,-0.6040786,1.0
1971,2295,-0.80590737,1.0
526,1812,5.325521,1.0
306,314,4.938642,1.0
327,940,-0.75440955,1.0
1144,1460,0.47334304,1.0
488,720,4.935056,1.0
1241,2269,4.793633,1.0
159,184,5.705622,1.0
159,1214,5.404052,1.0
1253,1332,5.274398,1.0
903,1329,-0.45990688,1.0
390,1682,3.410573,1.0
216,848,0.3819085,1.0
1074,1258,4.16065,1.0
354,371,0.3729319,1.0
1260,1262,5.320161,1.0
163,1654,0.090479344,1.0
1726,2470,-0.38203433,1.0
488,2335,4.2943897,1.0
104,1815,0.29869238,1.0
2237,2320,5.1928086,1.0
2276,2401,-0.14627804,1.0
1396,1879,-1.2529961,1.0
633,1902,5.250357,1.0
533,858,5.421823,1.0
2,533,5.578314,1.0
52,2378,-0.5790696,1.0
244,375,4.028709,1.0
926,943,5.0081434,1.0
132,615,-0.9477879,1.0
1302,1519,0.9182329,1.0
1537,2395,4.880956,1.0
1981,2042,4.884396,1.0
324,1894,5.443817,1.0
524,579,4.6736164,1.0
842,1106,-0.69566464,1.0
412,530,0.29280454,1.0
251,712,4.361275,1.0
831,1331,4.9238105,1.0
1437,2239,1.0700991,1.0
1032,1943,4.4815836,1.0
106,1223,1.0318897,1.0
1346,1459,0.3576038,1.0
1801,1809,4.4809794,1.0
756,1570,4.012564,1.0
1719,2161,5.263348,1.0
75,819,0.6005797,1.0
1492,1994,4.556592,1.0
989,1499,-0.6544372,1.0
425,1955,5.453177,1.0
1766,1768,4.2497873,1.0
1668,1773,0.42404905,1.0
234,1055,5.361049,1.0
779,1776,3.9437094,1.0
215,1244,4.426479,1.0
2248,2451,-0.76671636,1.0
2080,2182,0.117033765,1.0
1816,2135,0.29725668,1.0
1500,1636,-0.907553,1.0
598,621,1.7188201,1.0
408,598,1.8851497,1.0
58,2306,0.5682454,1.0
159,1757,5.599414,1.0
1810,1886,-0.7549619,1.0
612,1465,-1.0575333,1.0
750,1551,-1.3816993,1.0
124,2063,-0.4300803,1.0
1133,1170,0.810009,1.0
148,1503,0.6581755,1.0
1862,2323,4.4861007,1.0
576,2368,4.7373238,1.0
1721,1787,-1.1392089,1.0
954,995,4.5843687,1.0
518,537,-0.077171184,1.0
14,407,5.320709,1.0
1196,1417,-0.6928581,1.0
885,2032,-0.9710157,1.0
183,336,-0.86004645,1.0
189,603,4.494758,1.0
13,546,4.5296226,1.0
747,1065,0.5608865,1.0
1791,2460,4.7608085,1.0
390,1723,5.011995,1.0
451,1277,3.0498333,1.0
881,1276,-0.33620277,1.0
530,632,-1.0131294,1.0
785,1688,5.0628023,1.0
86,404,4.813459,1.0
2073,2232,4.761914,1.0
18,1810,2.9518025,1.0
352,43,0.07276574,0.0
673,2456,1.3999933,0.0
465,888,-1.0344074,0.0
1324,1968,0.86455506,0.0
1616,2103,-1.2358283,0.0
2030,2140,-0.97699195,0.0
1844,1003,-1.2408749,0.0
1674,1583,-0.15889278,0.0
1825,1737,-1.0864168,0.0
1093,474,-0.7312271,0.0
1223,376,-0.67839086,0.0
1452,328,-1.0369294,0.0
1370,1082,-0.35786745,0.0
122,697,-0.43681946,0.0
127,2309,0.007216098,0.0
612,70,0.25475806,0.0
516,1001,-0.84703034,0.0
1209,1405,0.6112251,0.0
740,1038,-0.9361792,0.0
1001,2220,-0.32585663,0.0
804,1643,-0.8395486,0.0
1228,467,-0.5176857,0.0
1937,2026,-0.786992,0.0
656,2406,-0.7627612,0.0
2109,1343,-0.69578695,0.0
2287,2199,-1.5392976,0.0
1161,2378,-1.0151231,0.0
1295,1872,-1.3736748,0.0
1228,412,-0.77183425,0.0
1808,1649,-1.0543431,0.0
2391,567,-0.26332653,0.0
377,1971,-0.5403672,0.0
758,430,-1.5395539,0.0
643,1951,-0.66860175,0.0
1176,14,0.46025056,0.0
624,2224,-1.5698935,0.0
1805,93,-0.8328785,0.0
717,2478,-0.86021215,0.0
71,1453,-0.9524049,0.0
91,71,-0.95078367,0.0
397,1843,-0.73017293,0.0
645,1193,0.4826196,0.0
1002,1379,-0.74870116,0.0
2330,350,-0.7936422,0.0
2469,1486,-0.8275939,0.0
1086,287,0.014819013,0.0
1827,424,-0.6486605,0.0
1679,1278,-1.7958311,0.0
139,1638,-1.0096679,0.0
1034,411,-0.39332917,0.0
2428,1986,-0.5413254,0.0
1326,1473,-0.7152873,0.0
552,2341,-0.9490655,0.0
471,983,-0.22367801,0.0
1268,1877,-0.41144684,0.0
2084,1977,-1.441307,0.0
1566,251,-1.2014786,0.0
1184,315,-0.5415146,0.0
1201,2421,-0.9248321,0.0
19,1890,-0.86512417,0.0
1507,1369,-0.6223695,0.0
2357,285,-1.073311,0.0
460,702,2.692409,0.0
1511,88,-1.0290326,0.0
100,1286,-0.5369335,0.0
2472,2032,-0.9267491,0.0
2418,2264,-0.5598132,0.0
1413,62,-0.72843975,0.0
714,392,-0.9137749,0.0
388,76,-0.92337763,0.0
1116,345,-0.41562948,0.0
998,68,-0.8674292,0.0
2018,333,-0.9528364,0.0
1885,958,-0.7473762,0.0
183,1276,-0.7499258,0.0
264,1857,-1.3369511,0.0
1626,1350,-0.14701484,0.0
544,2136,0.38634726,0.0
2280,2299,-0.52751213,0.0
1779,1664,-1.0965066,0.0
206,454,-0.75411177,0.0
611,1466,-0.071244135,0.0
2077,307,-0.21656834,0.0
814,83,-1.0535713,0.0
2026,1354,-0.7158316,0.0
1123,1097,-1.3712769,0.0
2023,1500,-0.6749762,0.0
66,314,-0.37227532,0.0
2447,405,-0.8739917,0.0
2232,474,-0.96188545,0.0
77,603,0.698482,0.0
1292,1870,-0.35563418,0.0
1475,1564,-0.6741549,0.0
781,743,-0.770888,0.0
1976,1408,0.43161613,0.0
466,2169,-0.85906893,0.0
2099,788,-0.86440325,0.0
144,352,-0.5747511,0.0
452,1092,0.1452827,0.0
617,2161,1.1663308,0.0
2043,1591,0.49092218,0.0
964,871,-0.8155227,0.0
788,1455,-0.79384196,0.0
1469,1277,0.5419656,0.0
1061,1641,-0.0410429,0.0
1826,2054,-1.5269082,0.0
2142,1013,3.509762,0.0
1256,181,0.67609,0.0
574,1080,-0.9899777,0.0
2465,238,-1.5079776,0.0
1166,2185,-0.28217086,0.0
2282,111,-0.13928771,0.0
1838,700,1.6401463,0.0
2226,1732,-1.174515,0.0
1933,739,-1.1450487,0.0
1164,1709,-0.67506534,0.0
871,748,0.00053414144,0.0
2015,1283,-0.90577894,0.0
1131,1432,-0.9092922,0.0
1815,1450,0.39021838,0.0
108,1275,-0.660766,0.0
1837,974,-0.67956924,0.0
513,1843,-1.0926042,0.0
1235,984,-0.511064,0.0
1926,2280,-0.7871347,0.0
665,54,-0.92330784,0.0
1669,800,-0.6594335,0.0
1591,486,0.7627853,0.0
403,742,-0.55409306,0.0
249,1718,-0.99556166,0.0
2119,1517,-0.8823254,0.0
2011,1575,-0.8371936,0.0
662,411,-0.9514097,0.0
536,2114,-0.9122338,0.0
483,1994,-0.9478774,0.0
1861,369,-1.6740967,0.0
2401,1109,-0.5445262,0.0
472,990,-0.7686764,0.0
2015,1772,-0.8991593,0.0
173,1742,-0.8485446,0.0
1819,487,-0.5871465,0.0
1169,270,3.5650764,0.0
271,2375,-0.7608433,0.0
2394,2413,-0.78561866,0.0
158,2254,-0.882019,0.0
2041,1527,-0.7619572,0.0
503,2205,-0.86758137,0.0
1836,1254,-0.8673254,0.0
594,1073,-0.57010263,0.0
888,1658,-0.7029608,0.0
2110,999,1.1611048,0.0
193,1067,-0.8526824,0.0
996,2259,-0.7276498,0.0
1605,1646,-0.5558891,0.0
948,666,-0.5267047,0.0
706,417,-0.43597886,0.0
2170,342,-0.671836,0.0
1595,1496,-0.89480156,0.0
954,33,-0.5691833,0.0
1788,789,-0.71448815,0.0
2333,939,-0.69885284,0.0
210,2181,-0.46373504,0.0
474,737,-0.9130073,0.0
972,166,-0.58383495,0.0
1408,336,-0.3723686,0.0
151,2353,-0.7043982,0.0
8,2394,-0.5545233,0.0
1170,1000,1.5057874,0.0
1787,1700,-0.5062411,0.0
2037,1976,-0.5873856,0.0
1216,1996,2.3318937,0.0
243,763,-1.2785736,0.0
676,268,-0.60910064,0.0
1463,1361,-1.1317563,0.0
2286,1761,-1.4217209,0.0
270,750,-0.95583457,0.0
1433,1051,-0.65618473,0.0
109,1480,-0.84824836,0.0
957,1197,-0.3331856,0.0
671,1212,-0.8025962,0.0
2288,586,0.012877317,0.0
661,1974,-0.603414,0.0
580,1733,-0.4359513,0.0
681,2444,-0.74169636,0.0
2415,845,-0.43158552,0.0
272,1474,-0.64597607,0.0
314,1698,-1.0845563,0.0
35,1906,-1.552618,0.0
12,435,-0.95172864,0.0
984,496,-1.0620786,0.0
1755,942,-0.68133587,0.0
1748,500,-0.8696742,0.0
1773,347,-0.5477426,0.0
1432,199,-0.28864166,0.0
218,2225,-0.8727691,0.0
312,789,-0.8286894,0.0
1767,386,0.10261904,0.0
2163,39,-0.9782317,0.0
1143,541,-0.4502985,0.0
2254,2478,-1.1909574,0.0
569,288,-0.9453484,0.0
2128,1800,-1.008974,0.0
675,1435,0.38172576,0.0
1724,990,-0.83722496,0.0
2338,347,-0.6667567,0.0
1854,2440,-0.54613364,0.0
208,2387,-0.5088392,0.0
2329,1130,-0.35657448,0.0
209,2446,-1.0485566,0.0
217,1677,-0.9621878,0.0
470,26,-1.5450512,0.0
1473,592,-0.42258987,0.0
457,1431,2.0052571,0.0
351,699,-0.8084587,0.0
1746,839,-0.37662533,0.0
1095,648,-0.037108928,0.0
1734,1634,-0.7073994,0.0
1146,163,-0.5647182,0.0
2245,1915,-0.34887642,0.0
935,1812,-1.0381163,0.0
448,2451,-0.12338014,0.0
1983,413,-0.89353025,0.0
1976,1883,-1.0418932,0.0
399,338,-1.1762998,0.0
1958,2134,-0.4119834,0.0
2165,540,-0.45881283,0.0
2104,1495,-1.22342,0.0
237,1864,-0.2971057,0.0
2032,686,-0.42866936,0.0
17,792,-0.80877566,0.0
