edge_index0,edge_index1,pred,gr
11931,19231,3.3266375,1.0
6098,16729,-0.26448512,1.0
1203,18417,2.8948114,1.0
515,890,7.0960665,1.0
12174,15836,2.9977362,1.0
4320,8845,1.8816439,1.0
15522,17641,1.6707883,1.0
1663,7317,5.603805,1.0
14419,15002,0.74631894,1.0
8592,13853,6.0658784,1.0
15261,16348,3.7590044,1.0
712,2045,-0.31536233,1.0
4849,9293,1.3368194,1.0
2104,5883,3.8149977,1.0
15151,18581,4.386824,1.0
8736,11630,3.6742737,1.0
2176,7075,5.644724,1.0
12232,13554,2.0905006,1.0
2692,8065,2.9150696,1.0
12306,18232,0.7147489,1.0
8760,14944,5.747302,1.0
4248,7829,2.8198833,1.0
365,15375,5.818925,1.0
11260,12639,4.1323085,1.0
5450,16334,3.6098099,1.0
3773,16991,9.010295,1.0
18013,19069,4.3319654,1.0
2236,13192,6.474672,1.0
5736,16252,1.643998,1.0
2196,14663,1.3614163,1.0
12867,17756,1.9177874,1.0
4074,16334,4.3301997,1.0
4083,13470,-1.3464468,1.0
1527,16452,2.3420992,1.0
4809,13726,5.49418,1.0
5401,15771,2.402602,1.0
4826,12266,0.5912437,1.0
12642,14466,1.147257,1.0
3137,7797,7.287299,1.0
8928,15593,4.066474,1.0
99,1339,7.6352887,1.0
2229,9322,7.7491603,1.0
18299,19378,2.8336372,1.0
1945,18478,6.8914485,1.0
1434,7903,3.5844269,1.0
3210,10391,1.6673094,1.0
3499,13190,4.292043,1.0
3055,9312,0.8905583,1.0
891,16488,2.4447105,1.0
1129,3598,1.7851948,1.0
7479,12133,2.4421365,1.0
454,12147,1.4887756,1.0
9131,13554,2.3549902,1.0
6398,12052,-1.129105,1.0
11016,17969,-1.8552275,1.0
2605,5620,6.214945,1.0
6475,9039,1.5609975,1.0
8485,12226,1.9497755,1.0
5775,18948,-3.259202,1.0
7417,14776,0.19764961,1.0
12801,13677,4.5320992,1.0
3586,19459,5.5692205,1.0
6251,18698,7.377875,1.0
4879,16329,1.6190776,1.0
4301,8892,3.7265224,1.0
7904,10072,2.762619,1.0
336,7119,3.0884945,1.0
10134,18739,4.9632382,1.0
8304,9605,3.783065,1.0
1372,15887,3.5610628,1.0
1170,13003,0.5092713,1.0
13999,15514,3.2625432,1.0
4537,16567,3.0404458,1.0
14362,15275,1.6898022,1.0
12305,15810,2.1712081,1.0
515,8168,7.4644437,1.0
4933,5454,3.3344388,1.0
6541,7075,3.9855428,1.0
537,15874,-0.18773423,1.0
515,6589,7.3545694,1.0
10203,19612,6.4108152,1.0
4030,6366,7.8469677,1.0
1215,3656,5.495256,1.0
6462,11697,8.432791,1.0
1137,19609,1.9234607,1.0
4430,14463,-0.95943695,1.0
8027,16044,-0.4258608,1.0
9039,9045,0.8262528,1.0
8209,18451,5.249078,1.0
14361,18386,-0.2686047,1.0
845,18749,3.0461426,1.0
6177,17386,2.4951148,1.0
8374,8782,-1.2879835,1.0
4093,17775,2.975205,1.0
8814,19355,0.39472798,1.0
873,18947,2.0104718,1.0
3896,16397,3.3827739,1.0
2606,14902,2.0389946,1.0
11364,11962,-0.20729785,1.0
447,5627,1.7298905,1.0
1835,18571,3.4102883,1.0
5170,12105,5.3168,1.0
7324,10090,7.433379,1.0
5237,16826,1.9784707,1.0
1103,15187,8.335131,1.0
10416,14953,8.250893,1.0
14479,17654,1.5971428,1.0
5570,10636,3.2252395,1.0
1720,10659,0.93290645,1.0
6264,13876,0.8553452,1.0
10456,13970,2.175911,1.0
10619,13355,0.59904176,1.0
9989,12628,1.0569192,1.0
9020,9479,6.3627934,1.0
8051,9374,1.7802016,1.0
8374,19419,2.2345047,1.0
9033,10944,1.742365,1.0
8013,17569,0.9854415,1.0
