edge_index0,edge_index1,pred,gr
8649,10460,-1.3785747,1.0
2788,4540,-0.86176294,1.0
4846,13142,0.27460977,1.0
10478,11270,0.14235619,1.0
4782,10839,3.5358334,1.0
3829,5938,1.4429171,1.0
2951,11592,0.29626542,1.0
12048,13061,2.8139646,1.0
2448,2940,3.3288596,1.0
2648,10037,-1.6447304,1.0
575,12718,1.2325422,1.0
2103,5679,1.906698,1.0
11261,11588,-1.2506838,1.0
2116,11698,0.27972168,1.0
2532,10181,3.0152028,1.0
1476,8952,4.032947,1.0
4838,6515,-1.8054692,1.0
2835,8269,2.5767214,1.0
531,12199,1.6157725,1.0
3198,7681,4.443645,1.0
3254,8985,-0.6488031,1.0
2962,6769,-1.1724095,1.0
2150,4771,0.6371146,1.0
2116,6262,1.6208198,1.0
3759,11145,-2.0699165,1.0
4511,7106,5.41398,1.0
3982,10973,4.89518,1.0
7298,8634,2.548697,1.0
262,12829,3.697582,1.0
7824,9652,-0.7773665,1.0
9348,11377,-0.59114504,1.0
2448,11108,1.4862329,1.0
808,7611,4.9921513,1.0
6413,11655,0.7944292,1.0
3273,6552,5.217186,1.0
252,6235,1.1898524,1.0
5850,11350,2.323075,1.0
59,8340,5.104441,1.0
5163,7985,1.4973339,1.0
4365,11428,-0.82847553,1.0
893,1816,2.9147098,1.0
6114,8341,3.533799,1.0
9476,11362,-0.25310534,1.0
4925,11078,4.667636,1.0
262,9468,4.860264,1.0
2359,13141,0.15551144,1.0
9716,11946,1.4938833,1.0
1578,12100,5.2335024,1.0
1699,12700,4.2921357,1.0
1054,12368,7.022749,1.0
5701,12593,2.1326084,1.0
263,5796,6.035704,1.0
1742,12208,1.0244441,1.0
2418,7055,-1.2353431,1.0
9432,11680,-0.25775278,1.0
2647,5902,-0.6454031,1.0
304,8646,0.54060256,1.0
7684,10155,0.3010686,1.0
5837,8992,-0.18662876,1.0
3907,6126,0.41415057,1.0
9144,10515,-0.45594847,1.0
321,6589,2.4646218,1.0
1690,6114,2.9477208,1.0
4598,6263,3.0207543,1.0
7142,10181,5.1248927,1.0
7744,11082,3.8002107,1.0
10975,12988,0.70301425,1.0
9313,10912,1.762011,1.0
6985,12513,-0.96197176,1.0
5371,6441,3.503374,1.0
6019,9500,1.9411584,1.0
5831,7744,5.2239966,1.0
3896,4382,2.230858,1.0
7203,7989,0.19224685,1.0
439,2548,2.2815745,1.0
4288,11394,2.900504,1.0
10380,11962,-0.34398705,1.0
8393,9788,4.7854176,1.0
6770,8153,2.9461126,1.0
7643,11911,-1.9604679,1.0
2818,3514,-0.29478797,1.0
5002,9780,-0.9686473,1.0
1078,6214,5.042812,1.0
7798,10975,-0.58004117,1.0
750,7821,3.9591453,1.0
10089,12385,-1.1712646,1.0
262,1085,4.054883,1.0
893,12389,1.1561471,1.0
10487,11771,-1.6445589,1.0
8343,11471,1.0021602,1.0
3062,12613,1.4152483,1.0
7508,10578,-0.3830358,1.0
6241,12901,3.8064802,1.0
2651,11944,4.2224574,1.0
8381,13077,4.4733324,1.0
5537,11374,0.12585631,1.0
1,4906,2.86179,1.0
259,6992,0.9319893,1.0
406,3339,2.1292725,1.0
7744,8584,4.5992594,1.0
5989,10782,-0.7270589,1.0
1810,11294,-0.938224,1.0
5132,6593,4.755173,1.0
1661,3455,0.07129306,1.0
2431,11123,1.6458366,1.0
8208,8804,0.28485113,1.0
2404,8654,1.1545814,1.0
848,1769,-0.6961263,1.0
2,12920,-1.0619884,1.0
5854,12659,1.7061713,1.0
373,11823,-0.10742059,1.0
1604,7074,4.1969895,1.0
8779,9134,1.0553381,1.0
1464,12334,1.7034943,1.0
6385,8169,-0.03291426,1.0
1396,5298,-0.95712,1.0
3267,11262,-0.42947972,1.0
386,11134,2.682034,1.0
4665,8840,1.8955859,1.0
166,341,3.3636487,1.0
2232,9978,1.4640188,1.0
3224,3856,2.0120056,1.0
6713,9114,-0.5953192,1.0
647,8587,-1.4576684,1.0
675,8809,0.41436636,1.0
5064,10308,2.7941122,1.0
8631,11180,4.676301,1.0
452,4699,0.41183686,1.0
1955,9687,2.952303,1.0
1399,8640,0.4911453,1.0
4405,9089,-1.1654034,1.0
4599,10564,2.383785,1.0
6485,10083,3.1163013,1.0
5971,8422,0.5485872,1.0
6079,10033,0.6863005,1.0
6055,8094,5.5381937,1.0
419,9000,-0.23608288,1.0
3102,6114,4.924485,1.0
1875,12071,-1.5480027,1.0
7765,12264,0.68611795,1.0
6214,8887,4.0216627,1.0
1813,6828,0.5151416,1.0
9650,9779,3.1304486,1.0
2259,11150,-0.3690296,1.0
3374,5450,-0.6125271,1.0
2259,2662,1.0262562,1.0
1496,12980,0.3631084,1.0
6246,10632,-1.6434835,1.0
1924,1955,0.6503846,1.0
4227,5884,7.1868567,1.0
3579,5146,-1.288577,1.0
262,5296,4.021533,1.0
7369,11558,3.7111685,1.0
3909,4541,-1.9011412,1.0
5656,12342,-0.24154526,1.0
6408,12997,0.9328929,1.0
2428,5647,6.559263,1.0
1802,3094,1.1343111,1.0
2039,7170,0.1188655,1.0
9263,9878,0.64913964,1.0
9212,11855,-0.076522924,1.0
768,3896,2.6930554,1.0
4635,9577,0.9950615,1.0
8501,11395,0.79709256,1.0
511,11799,1.1337532,1.0
10239,10919,3.4783106,1.0
3673,13014,-1.0850152,1.0
4596,8600,-0.7691321,1.0
2551,10567,0.91212,1.0
5202,10384,-0.41495183,1.0
4492,7058,4.3313828,1.0
915,12130,1.7612942,1.0
3413,9199,3.9573896,1.0
8292,13123,1.6617671,1.0
7744,10952,5.176601,1.0
2247,5884,5.6269917,1.0
4300,7848,1.1543353,1.0
1816,10639,4.0221844,1.0
2912,4720,-0.60062796,1.0
2550,7409,5.1591473,1.0
8026,9744,-0.9458421,1.0
1022,9194,3.4415433,1.0
3777,5411,4.746688,1.0
2052,3878,1.2836337,1.0
3239,6460,-0.6433774,1.0
1850,3056,2.0503807,1.0
4461,7183,0.183427,1.0
2942,8877,4.657281,1.0
5277,11074,-0.7718514,1.0
1054,8171,2.1135256,1.0
5396,8838,-0.9039943,1.0
417,7744,5.024173,1.0
6214,12935,2.027123,1.0
262,2705,3.8384948,1.0
750,6927,3.650275,1.0
2120,4963,-0.9718672,1.0
6263,7117,2.854049,1.0
4916,12719,2.1815352,1.0
7396,10949,1.3382348,1.0
6031,7324,0.7227743,1.0
9199,11589,4.036482,1.0
4288,12539,2.539421,1.0
1488,7130,1.1668509,1.0
6921,7183,3.1452816,1.0
2626,11415,1.5653244,1.0
5884,10096,6.65546,1.0
4492,10212,3.5855858,1.0
5966,10439,-0.92550945,1.0
9664,10813,1.196493,1.0
2065,12938,6.865595,1.0
7744,10102,4.219929,1.0
1259,2584,0.717437,1.0
2434,9581,0.5441004,1.0
3118,6079,1.4019957,1.0
511,12039,2.1915634,1.0
829,12285,3.6599517,1.0
1122,9061,3.7293622,1.0
6969,11068,-1.8803066,1.0
2147,8094,2.7063076,1.0
4703,5555,0.52058506,1.0
1271,2169,1.4434447,1.0
7560,10997,2.1636522,1.0
1406,6948,1.0442212,1.0
3855,10118,0.13882259,1.0
9433,10789,4.3903813,1.0
1372,4982,-0.12658511,1.0
4782,5535,2.8176744,1.0
1058,10564,1.8613952,1.0
59,5763,1.4581704,1.0
1679,3189,0.58813184,1.0
8477,9423,-1.4947802,1.0
173,4495,5.0666947,1.0
4987,10667,-1.6686254,1.0
7424,8705,0.9717753,1.0
1928,8134,-0.8060325,1.0
5402,6697,-1.3439102,1.0
3456,10386,0.5917924,1.0
53,5815,1.1855322,1.0
5486,7744,4.0553994,1.0
166,10021,4.4219213,1.0
2994,9954,-0.7235457,1.0
371,13077,3.651914,1.0
4217,7073,-0.92231315,1.0
828,3496,0.043152027,1.0
183,2706,0.24913979,1.0
1534,3988,-1.0757017,1.0
1363,8196,2.8618553,1.0
8728,10503,0.6475656,1.0
5660,11821,4.5248456,1.0
3239,11316,3.75514,1.0
4742,9434,1.9457718,1.0
750,8500,4.9278126,1.0
5166,11555,0.27046472,1.0
3427,12507,-1.4999988,1.0
7651,12199,2.9520538,1.0
10959,13047,0.7528495,1.0
4801,11908,4.7965097,1.0
611,9488,2.6514683,1.0
4838,10114,-0.5487273,1.0
10,12867,-1.0246065,1.0
8924,10776,-0.76925945,1.0
4801,11148,5.9670515,1.0
2838,10209,2.047045,1.0
6502,9801,1.5134779,1.0
10190,10331,-0.75573385,1.0
2341,7730,-0.16086228,1.0
8018,11553,1.3771961,1.0
2700,7469,0.03769412,1.0
244,4824,-1.5244818,1.0
7695,11255,2.8433573,1.0
3823,12106,0.7982266,1.0
4016,11875,-0.13754398,1.0
5098,8033,-0.84147716,1.0
6797,12136,-0.067293204,1.0
4501,12698,0.79569066,1.0
487,7651,1.9501206,1.0
3564,6268,1.7883543,1.0
1881,3808,0.85001886,1.0
8977,12443,3.654103,1.0
423,11077,-0.32812127,1.0
287,3395,-0.18163922,1.0
2527,11624,5.7660275,1.0
6829,9468,1.7461232,1.0
3668,12647,-0.028544944,1.0
5747,13000,-0.0114321,1.0
2626,5701,4.410945,1.0
5414,12100,1.1891663,1.0
10755,11525,3.789715,1.0
6734,7216,-1.0105474,1.0
1962,8009,4.979395,1.0
5935,13000,2.13834,1.0
2103,7349,2.659752,1.0
7681,9934,4.1508675,1.0
4481,4876,-1.095481,1.0
6673,9841,-0.62104744,1.0
561,5117,-1.1549548,1.0
1139,5403,-0.06825102,1.0
6006,12125,-1.0468314,1.0
1413,2652,3.8749807,1.0
1768,7744,3.5874264,1.0
5378,8427,2.13435,1.0
4486,10821,2.5579247,1.0
166,9997,2.395449,1.0
7070,10017,-0.50294834,1.0
9071,10340,0.727404,1.0
92,4148,2.7020483,1.0
7644,10222,-1.0505548,1.0
4195,6681,-1.4293205,1.0
4096,7681,5.0019503,1.0
1001,2069,-0.8148368,1.0
601,4083,2.4012806,1.0
1473,2169,-0.4812963,1.0
6835,8607,1.0793934,1.0
1429,3624,0.46946985,1.0
6916,11465,-0.00019606203,1.0
10724,13061,1.0377678,1.0
8865,10330,-0.38271686,1.0
12235,12443,6.051461,1.0
2562,7744,4.5100985,1.0
2130,10102,0.9288466,1.0
7681,8828,4.9456477,1.0
487,10001,1.2652161,1.0
10766,12005,-1.1491609,1.0
6055,7109,4.8990374,1.0
5018,9500,0.058741584,1.0
4061,5856,4.243396,1.0
3152,4805,-0.4105058,1.0
1810,12635,1.9661587,1.0
2549,11530,1.7243005,1.0
3006,9818,4.8068156,1.0
7100,8050,-0.715558,1.0
151,11713,2.750813,1.0
8840,13077,5.21827,1.0
6425,13050,3.2875948,1.0
1151,1963,1.6390563,1.0
414,10865,0.29072815,1.0
9775,12903,1.1794221,1.0
188,3183,3.313976,1.0
7592,10567,-0.56524426,1.0
8381,8601,2.56133,1.0
4823,11940,5.5884523,1.0
163,1330,1.971682,1.0
3062,11511,3.2239404,1.0
775,12135,0.28225097,1.0
468,11919,-0.4584371,1.0
5504,7070,0.033523224,1.0
9929,12983,-1.1974713,1.0
8662,12193,4.719984,1.0
12730,12922,-0.26954928,1.0
4237,7690,0.12610409,1.0
526,7284,0.77328646,1.0
2014,2106,2.398284,1.0
3478,5885,0.11190111,1.0
3167,7234,2.7004917,1.0
325,10920,0.57442415,1.0
7145,7543,5.1326623,1.0
2384,6821,0.045836754,1.0
4313,11611,-1.3044112,1.0
811,1309,-0.34374514,1.0
5129,7744,4.1387873,1.0
5444,12539,1.472276,1.0
1674,10821,3.330966,1.0
11595,12213,3.4580686,1.0
6946,7346,4.654346,1.0
2020,7929,-1.8544275,1.0
7058,8482,5.023552,1.0
4371,6186,2.4686007,1.0
