edge_index0,edge_index1,pred,gr
571,994,-0.04186498,1.0
1588,1628,3.6320832,1.0
1160,1522,3.0689573,1.0
1096,1520,-0.08990701,1.0
722,726,0.002284185,1.0
2066,2426,3.452552,1.0
2004,2396,0.043152865,1.0
928,2400,0.065078,1.0
1863,1967,2.7235801,1.0
1083,1582,-0.27605677,1.0
102,1251,3.5953002,1.0
595,2317,3.5891876,1.0
159,377,3.5522757,1.0
847,1472,3.079252,1.0
404,1543,-0.026966281,1.0
287,402,3.6363091,1.0
1415,2267,3.595154,1.0
1621,1984,-0.07031515,1.0
588,659,-0.15261711,1.0
402,1325,3.556107,1.0
384,2380,-0.58802253,1.0
380,1500,3.5580058,1.0
1911,2202,3.4301968,1.0
220,577,3.4773078,1.0
1172,1435,3.6143987,1.0
1116,1677,3.5015252,1.0
43,544,0.18860082,1.0
642,1745,-0.07161647,1.0
244,254,3.5677297,1.0
564,702,3.6335602,1.0
592,1447,3.5492566,1.0
324,1196,3.477195,1.0
776,1528,0.16633143,1.0
25,428,3.5996647,1.0
588,620,0.013430881,1.0
601,1991,-0.02636502,1.0
1053,1181,3.6059077,1.0
48,681,2.8618145,1.0
1669,1687,3.5324278,1.0
159,2399,3.553974,1.0
1838,2414,3.4262774,1.0
335,700,3.5592992,1.0
516,533,3.585638,1.0
450,493,3.5711536,1.0
1459,1463,3.4922724,1.0
640,2136,3.4200726,1.0
1086,1773,0.08474627,1.0
1168,1401,3.5735085,1.0
1114,1477,3.6065118,1.0
1081,2248,-0.2640824,1.0
286,401,-0.04492538,1.0
738,796,0.09341748,1.0
1197,1986,3.5760276,1.0
1782,2304,-0.5095408,1.0
57,533,3.5918176,1.0
1127,1536,1.8885264,1.0
126,159,3.5691288,1.0
516,1744,3.6006966,1.0
1082,1248,-0.053707544,1.0
575,1405,3.6370666,1.0
159,747,3.5829341,1.0
43,702,0.030926991,1.0
1562,1709,3.6780605,1.0
61,891,3.6633096,1.0
1520,1521,3.639149,1.0
699,1892,3.5244524,1.0
159,1285,3.5466557,1.0
156,1743,3.627888,1.0
227,1301,3.5914056,1.0
798,972,3.5270793,1.0
55,1787,3.1741266,1.0
747,1137,3.612358,1.0
75,2211,3.6714566,1.0
22,2090,-0.13087295,1.0
1655,1729,3.6215436,1.0
1130,1223,-0.021126408,1.0
989,1103,0.15708455,1.0
1550,2228,3.5677636,1.0
1395,2165,3.6648054,1.0
1061,1400,-0.02699247,1.0
493,2351,3.5772407,1.0
1965,2416,0.028793111,1.0
700,1092,3.6658015,1.0
378,1960,3.6793473,1.0
1410,1634,3.4789555,1.0
159,2397,3.5627956,1.0
28,1514,-0.02238454,1.0
425,1896,3.6293237,1.0
218,402,3.6367686,1.0
587,620,3.6149268,1.0
1347,2243,3.5288932,1.0
1312,1408,-0.0060469313,1.0
661,702,-0.02435384,1.0
1142,1371,3.620065,1.0
270,2031,3.6746533,1.0
159,566,3.582022,1.0
14,512,3.603681,1.0
1379,1563,0.104930006,1.0
647,1177,3.6222618,1.0
64,698,3.4225965,1.0
440,844,0.18609862,1.0
1051,1089,3.4196517,1.0
528,695,3.6327822,1.0
870,1164,2.0487108,1.0
231,533,3.5625384,1.0
159,2325,3.5683124,1.0
928,1550,3.5985641,1.0
520,522,3.59823,1.0
21,535,3.6235197,1.0
300,2137,0.000582573,1.0
1064,1414,3.6656897,1.0
766,1019,3.6517103,1.0
2137,2381,-0.032478366,1.0
355,1677,3.6180925,1.0
395,2049,3.5604942,1.0
1010,1220,3.5919409,1.0
739,1700,3.6236608,1.0
779,857,3.5611887,1.0
547,702,3.596975,1.0
710,1324,3.6060965,1.0
2198,2321,3.597299,1.0
1792,2301,0.084282815,1.0
1329,2055,3.5267966,1.0
1086,1087,3.2561605,1.0
425,965,3.6152027,1.0
1671,1886,0.08778979,1.0
1262,2128,-0.12705404,1.0
0,407,3.6338372,1.0
1617,2319,3.6917422,1.0
1170,1171,3.6214821,1.0
1537,2226,0.1568334,1.0
36,1930,3.6835825,1.0
65,146,0.16232614,1.0
702,733,3.5762577,1.0
842,1188,-0.04420429,1.0
533,1523,3.5754206,1.0
142,2124,3.593123,1.0
460,517,3.6382706,1.0
159,2428,3.5352163,1.0
1239,1530,-0.1517943,1.0
684,956,3.5851536,1.0
2309,2314,3.5999234,1.0
533,953,3.5853903,1.0
1232,1483,3.5742035,1.0
2148,2194,0.047676813,1.0
159,2116,3.5915513,1.0
646,1604,3.691082,1.0
279,1936,3.5695415,1.0
508,567,3.6061232,1.0
1697,2382,-0.022476286,1.0
80,1358,3.595951,1.0
1170,1437,3.6035814,1.0
1056,1450,-0.14220737,1.0
263,308,3.4498484,1.0
159,1009,3.5917215,1.0
1917,1953,-0.035944466,1.0
811,1350,0.03404737,1.0
98,2468,3.3740416,1.0
761,984,3.6112275,1.0
208,711,3.6169088,1.0
393,1198,3.5651515,1.0
1594,1638,3.5639272,1.0
213,562,-0.037230216,1.0
1971,2295,-0.058425505,1.0
526,1812,3.5077748,1.0
306,314,3.5766368,1.0
327,940,3.605816,1.0
1144,1460,0.3075363,1.0
488,720,3.6955676,1.0
1241,2269,3.5677292,1.0
159,184,3.566594,1.0
159,1214,3.5530891,1.0
1253,1332,3.6034758,1.0
903,1329,-0.07101706,1.0
390,1682,3.5753965,1.0
216,848,-0.069842026,1.0
1074,1258,3.5485933,1.0
354,371,3.620079,1.0
1260,1262,3.6795633,1.0
163,1654,0.064559035,1.0
1726,2470,3.6759274,1.0
488,2335,3.673773,1.0
104,1815,0.114293724,1.0
2237,2320,3.6784308,1.0
2276,2401,0.04847175,1.0
1396,1879,-0.7135045,1.0
633,1902,3.5651062,1.0
533,858,3.5735695,1.0
2,533,3.58351,1.0
52,2378,3.5773056,1.0
244,375,3.5351408,1.0
926,943,3.4502594,1.0
132,615,-0.15729702,1.0
1302,1519,3.3122122,1.0
1537,2395,3.6072192,1.0
1981,2042,3.5912204,1.0
324,1894,3.5424345,1.0
524,579,3.5894601,1.0
842,1106,-0.15512362,1.0
412,530,0.14071749,1.0
251,712,3.4071352,1.0
831,1331,3.5941803,1.0
1437,2239,-0.047055442,1.0
1032,1943,3.495583,1.0
106,1223,3.6256192,1.0
1346,1459,3.5799675,1.0
1801,1809,3.6781373,1.0
756,1570,3.623791,1.0
1719,2161,3.525061,1.0
75,819,1.8686157,1.0
1492,1994,3.617704,1.0
989,1499,-0.26039785,1.0
425,1955,3.6171017,1.0
1766,1768,3.6761987,1.0
1668,1773,3.6406076,1.0
234,1055,3.6289966,1.0
779,1776,3.5686998,1.0
215,1244,3.6138217,1.0
2248,2451,-0.13100748,1.0
2080,2182,0.28308156,1.0
1816,2135,0.14086978,1.0
1500,1636,-0.23525661,1.0
598,621,-0.035331633,1.0
408,598,-0.010101735,1.0
58,2306,0.26121908,1.0
159,1757,3.589485,1.0
1810,1886,0.035057504,1.0
612,1465,-0.3702686,1.0
750,1551,-1.0127208,1.0
124,2063,3.600302,1.0
1133,1170,-0.054300256,1.0
148,1503,-0.022580236,1.0
1862,2323,3.567948,1.0
576,2368,3.4195364,1.0
1721,1787,-1.0551816,1.0
954,995,3.3667533,1.0
518,537,3.527722,1.0
14,407,3.5905943,1.0
1196,1417,0.014509437,1.0
885,2032,3.5607443,1.0
183,336,3.5608675,1.0
189,603,3.6245291,1.0
13,546,3.5902245,1.0
747,1065,3.6041348,1.0
1791,2460,3.700145,1.0
390,1723,3.5971205,1.0
