edge_index0,edge_index1,pred,gr
11931,19231,1.8914689,1.0
6098,16729,-1.2000932,1.0
1203,18417,1.6857721,1.0
515,890,4.6136417,1.0
12174,15836,3.6108978,1.0
4320,8845,2.3502676,1.0
15522,17641,0.869661,1.0
1663,7317,2.8525877,1.0
14419,15002,0.8395644,1.0
8592,13853,5.066617,1.0
15261,16348,2.9618254,1.0
712,2045,1.7612053,1.0
4849,9293,0.81752366,1.0
2104,5883,4.9148717,1.0
15151,18581,3.44185,1.0
8736,11630,3.8917022,1.0
2176,7075,5.178852,1.0
12232,13554,2.7948208,1.0
2692,8065,3.3977146,1.0
12306,18232,1.0803317,1.0
8760,14944,4.3291616,1.0
4248,7829,2.4393005,1.0
365,15375,4.83641,1.0
11260,12639,4.674489,1.0
5450,16334,3.8887932,1.0
3773,16991,4.1852245,1.0
18013,19069,5.349332,1.0
2236,13192,1.9238229,1.0
5736,16252,1.055742,1.0
2196,14663,0.15007706,1.0
12867,17756,1.2363697,1.0
4074,16334,4.77293,1.0
4083,13470,-2.1168032,1.0
1527,16452,3.5179753,1.0
4809,13726,4.07798,1.0
5401,15771,2.1084986,1.0
4826,12266,2.5638802,1.0
12642,14466,0.8398984,1.0
3137,7797,3.0298786,1.0
8928,15593,3.0876756,1.0
99,1339,1.3255912,1.0
2229,9322,5.006556,1.0
18299,19378,3.9358118,1.0
1945,18478,3.4205296,1.0
1434,7903,2.0880244,1.0
3210,10391,1.9463247,1.0
3499,13190,3.6783288,1.0
3055,9312,0.8359239,1.0
891,16488,2.8935513,1.0
1129,3598,1.0662775,1.0
7479,12133,2.587603,1.0
454,12147,1.225788,1.0
9131,13554,0.94180113,1.0
6398,12052,-1.2639188,1.0
11016,17969,-0.92401147,1.0
2605,5620,3.2522182,1.0
6475,9039,2.1303241,1.0
8485,12226,-0.03945557,1.0
5775,18948,-3.785555,1.0
7417,14776,0.7083027,1.0
12801,13677,4.6387243,1.0
3586,19459,3.8920593,1.0
6251,18698,4.0545683,1.0
4879,16329,0.76546025,1.0
4301,8892,1.230962,1.0
7904,10072,1.8575464,1.0
336,7119,2.0018659,1.0
10134,18739,4.2073417,1.0
8304,9605,3.579131,1.0
1372,15887,2.2642283,1.0
1170,13003,0.5861823,1.0
13999,15514,2.621292,1.0
4537,16567,4.34032,1.0
14362,15275,1.36161,1.0
12305,15810,2.6129959,1.0
515,8168,4.1394477,1.0
4933,5454,2.9370456,1.0
6541,7075,5.0335336,1.0
537,15874,-1.2761165,1.0
515,6589,5.1153817,1.0
10203,19612,4.831189,1.0
4030,6366,4.731521,1.0
1215,3656,4.840927,1.0
6462,11697,2.5771365,1.0
1137,19609,0.21194357,1.0
4430,14463,-1.669505,1.0
8027,16044,0.6490759,1.0
9039,9045,0.15955095,1.0
8209,18451,2.9274194,1.0
14361,18386,-1.7064091,1.0
845,18749,2.9322271,1.0
6177,17386,3.1100688,1.0
8374,8782,-1.9819825,1.0
4093,17775,3.913507,1.0
8814,19355,-1.1057554,1.0
873,18947,0.79598796,1.0
3896,16397,3.9194903,1.0
2606,14902,1.3711386,1.0
11364,11962,-0.6892745,1.0
447,5627,0.9885355,1.0
1835,18571,3.6527817,1.0
5170,12105,3.5171604,1.0
7324,10090,4.7549376,1.0
5237,16826,0.5111734,1.0
1103,15187,3.080848,1.0
10416,14953,4.2773175,1.0
14479,17654,1.3408734,1.0
5570,10636,1.7883207,1.0
1720,10659,1.5145899,1.0
6264,13876,-0.33931977,1.0
10456,13970,1.8301789,1.0
10619,13355,-1.1126057,1.0
9989,12628,0.51790744,1.0
9020,9479,1.5366607,1.0
8051,9374,0.7059241,1.0
8374,19419,1.6409943,1.0
9033,10944,2.0023065,1.0
8013,17569,0.59236854,1.0
1293,6416,3.5630639,1.0
19319,19355,-0.5930527,1.0
6958,14764,2.1542635,1.0
12297,15718,2.6794686,1.0
7427,10930,1.860689,1.0
8232,11805,0.62475497,1.0
2118,15157,2.1770134,1.0
5715,5786,0.7926804,1.0
307,10366,2.5749192,1.0
76,19182,-0.8745135,1.0
4166,17208,3.591826,1.0
9116,12145,0.4321581,1.0
632,9873,3.605527,1.0
1340,17881,1.4854392,1.0
3411,17667,-1.08497,1.0
1885,4946,1.7474613,1.0
9321,11621,3.8062572,1.0
12887,19215,-0.6380255,1.0
16975,17092,2.8514273,1.0
5581,13647,-1.1365993,1.0
5983,9166,3.8805423,1.0
5743,17318,4.00385,1.0
1107,9291,-1.8345938,1.0
9403,9787,1.9400611,1.0
1788,10344,2.6153033,1.0
19529,19676,1.3233894,1.0
3707,5246,2.810281,1.0
3112,15098,1.5037985,1.0
3901,11364,3.8692558,1.0
4332,9847,0.06897272,1.0
13207,19509,-0.5054374,1.0
1263,11644,4.9230423,1.0
3666,9050,0.9612885,1.0
9026,12257,3.2276886,1.0
1645,5298,3.2774851,1.0
18239,19246,2.039279,1.0
5422,12506,1.0094498,1.0
438,15264,-0.2869216,1.0
14040,14663,0.46560106,1.0
4120,18718,3.1147625,1.0
2542,10773,2.8705585,1.0
10717,13408,3.231692,1.0
164,18821,2.3828561,1.0
2293,9100,0.9131351,1.0
3425,8830,2.4623919,1.0
8893,16150,2.9944496,1.0
7045,9346,2.944084,1.0
10854,14414,1.773689,1.0
15146,18946,1.671869,1.0
1986,12246,-0.74928814,1.0
4031,5038,2.4033566,1.0
10575,15753,2.0173237,1.0
4318,4689,1.4673679,1.0
14965,15726,-0.03786897,1.0
756,7303,1.5745018,1.0
15053,18711,2.0279262,1.0
8691,11960,3.836431,1.0
937,8564,0.79423535,1.0
9462,13367,0.0926873,1.0
15202,15764,3.1428962,1.0
2975,18587,1.7510272,1.0
557,18650,0.59551555,1.0
3139,7067,3.6528163,1.0
3518,13606,3.2926693,1.0
15840,17703,2.9090137,1.0
1886,5847,1.7592791,1.0
7623,16102,2.455327,1.0
3829,16729,3.0033689,1.0
10543,12332,3.3732345,1.0
5803,11418,1.8515158,1.0
4740,16477,3.0078986,1.0
7440,16588,3.6700287,1.0
8635,19489,-0.61445594,1.0
9673,16408,2.1920779,1.0
7527,9858,0.11737214,1.0
7747,14548,2.459166,1.0
3645,13457,4.7692475,1.0
5849,16149,2.9254098,1.0
5594,10401,-2.6356475,1.0
201,9704,2.5164266,1.0
8418,9827,-1.2254528,1.0
10166,17204,1.8879827,1.0
6620,18524,0.7344852,1.0
10054,10622,-1.9755776,1.0
14216,19694,3.8439558,1.0
5613,12913,3.9106445,1.0
14229,17996,1.093909,1.0
6117,10069,4.7571325,1.0
9872,13838,1.9774685,1.0
67,17833,1.9486674,1.0
5673,7130,4.5950937,1.0
3281,16995,2.0772123,1.0
10063,13598,3.7625546,1.0
7404,13678,2.4226527,1.0
9968,15965,1.9625112,1.0
18045,18957,4.9162846,1.0
601,9590,2.981752,1.0
1100,3116,4.5728974,1.0
4724,6318,4.453216,1.0
15615,16440,3.8404362,1.0
557,14730,1.098413,1.0
11579,16793,0.7641116,1.0
4147,17190,3.1401439,1.0
6648,15032,2.2592475,1.0
4364,15002,1.1838642,1.0
7827,14086,1.3332456,1.0
7312,18352,1.6509802,1.0
15762,18716,4.2118,1.0
2169,12043,3.5446484,1.0
18410,18866,1.2843806,1.0
15057,15416,2.0584383,1.0
1908,18739,4.848166,1.0
2064,2634,3.1657686,1.0
5663,15681,2.309799,1.0
3878,10852,1.1909317,1.0
936,17615,0.3030726,1.0
5074,11931,0.15392214,1.0
7934,11318,2.606821,1.0
2303,5432,2.6527488,1.0
9083,11926,1.2234783,1.0
19247,19689,0.14530388,1.0
10773,12376,2.761207,1.0
1921,6409,3.445906,1.0
4373,12448,1.4010781,1.0
13853,18716,5.0990105,1.0
7080,14164,1.4801495,1.0
3095,8088,1.9997194,1.0
1362,17360,5.048255,1.0
5047,10202,2.6257713,1.0
7456,14419,3.0581262,1.0
6238,15336,0.0075632352,1.0
3505,11942,3.1390524,1.0
9136,13671,3.0402358,1.0
7449,12387,2.4778793,1.0
14636,16196,3.4762146,1.0
164,13638,2.1201787,1.0
14707,17335,2.5238361,1.0
6541,17470,2.9239595,1.0
3015,18127,1.13572,1.0
4894,16751,2.7320547,1.0
304,3920,0.88289374,1.0
14719,18869,1.9237897,1.0
537,1930,-1.9478217,1.0
1234,2991,3.623219,1.0
6075,11631,1.2684482,1.0
2388,17909,1.373234,1.0
7747,16755,5.009598,1.0
8928,10752,2.7722054,1.0
6233,17454,1.6326381,1.0
6095,13860,1.6978964,1.0
15176,16686,-1.2679213,1.0
7410,9481,2.456688,1.0
10982,15202,4.9690895,1.0
4152,19638,4.8386354,1.0
9816,13562,4.8258805,1.0
4692,16062,2.7165215,1.0
4755,7572,1.2234651,1.0
1471,5354,4.438691,1.0
4773,4777,0.9371527,1.0
17278,18912,3.238836,1.0
785,12586,3.1437514,1.0
2795,9927,2.5972126,1.0
7006,12060,3.1626058,1.0
9374,13134,2.2248058,1.0
3169,18895,0.118493356,1.0
3116,9157,4.876415,1.0
7576,18121,3.7308066,1.0
10554,11500,0.15764175,1.0
6048,17154,2.864594,1.0
6311,13259,0.70078474,1.0
12325,13947,1.1251589,1.0
9451,9757,1.0926445,1.0
17888,19033,1.5985475,1.0
10797,13559,3.0744874,1.0
5885,13466,-0.5561804,1.0
6589,17725,3.2575276,1.0
14595,19539,-0.10201849,1.0
667,2045,5.0034943,1.0
6843,11705,2.862012,1.0
4023,15321,-0.3001065,1.0
11191,19072,3.8912787,1.0
2050,16659,1.0012478,1.0
4421,9164,2.1787684,1.0
9578,18122,3.9623642,1.0
6035,17253,1.6587907,1.0
3650,18275,3.4465954,1.0
13481,19715,0.1895156,1.0
3239,7603,3.0732386,1.0
12466,17470,1.2249688,1.0
1413,12990,1.1380192,1.0
4894,9074,0.76312196,1.0
8872,12622,5.4678097,1.0
8071,18106,3.904683,1.0
10123,12120,3.8106444,1.0
6339,13875,3.169002,1.0
8867,9053,2.4177573,1.0
3757,7548,2.4612443,1.0
2611,9916,5.123631,1.0
8631,14822,0.10245956,1.0
2102,9891,2.6351175,1.0
8045,10526,3.8926058,1.0
2580,4739,1.3107485,1.0
6009,18739,4.774708,1.0
858,1599,3.518408,1.0
998,19619,4.5162,1.0
8737,15315,2.7990696,1.0
8330,16520,1.6807145,1.0
294,18402,4.6332016,1.0
11808,12145,-0.0021770243,1.0
2112,8056,4.185541,1.0
6768,18416,0.9978493,1.0
4577,11910,-0.2045848,1.0
67,16560,0.6898162,1.0
13257,15159,2.4671974,1.0
6658,11998,2.867605,1.0
9383,14563,2.5110028,1.0
1013,1307,1.3152534,1.0
4387,16859,2.0170941,1.0
12719,15831,2.9815602,1.0
1440,16452,4.74795,1.0
3700,14905,3.5556536,1.0
2018,10487,0.63536936,1.0
3482,7816,2.8445175,1.0
5783,11279,1.7068826,1.0
8027,10499,2.6681135,1.0
2417,5353,1.1204026,1.0
1607,6103,2.724139,1.0
938,4608,3.1669488,1.0
3499,7875,2.1708956,1.0
2404,10090,4.0975685,1.0
5715,19541,0.9730947,1.0
888,3919,1.3338033,1.0
517,19527,2.4593391,1.0
8025,12145,1.0279005,1.0
3930,17395,3.9165978,1.0
1358,14010,1.8724805,1.0
11010,11161,4.564827,1.0
8838,9965,1.1114368,1.0
4995,14698,2.409376,1.0
15182,15718,2.5690644,1.0
163,9084,0.11738125,1.0
7049,10747,2.3214717,1.0
8328,13270,-0.11354955,1.0
8211,15689,0.8183436,1.0
8352,16190,0.70910746,1.0
14300,17400,2.939472,1.0
1100,19619,4.6136503,1.0
14057,18754,2.479303,1.0
659,2176,4.0189447,1.0
6967,10133,1.9549901,1.0
2508,8164,2.125013,1.0
477,5986,1.0120301,1.0
6320,15561,-0.83962697,1.0
2539,11063,4.7355027,1.0
5604,9916,5.0515003,1.0
4485,5736,2.7922328,1.0
6492,15211,-0.099001236,1.0
4175,13060,3.8494728,1.0
3052,17521,1.5365304,1.0
17060,18915,1.8074481,1.0
10069,15416,3.8987873,1.0
12684,15757,1.1550913,1.0
4218,7798,3.1637383,1.0
4954,7416,2.9103267,1.0
5787,6047,3.2835686,1.0
1783,10396,0.08182962,1.0
4024,17120,0.49858096,1.0
15704,16854,0.90046895,1.0
18073,19525,2.22825,1.0
5895,17967,4.822501,1.0
1457,8588,1.2713329,1.0
6356,9280,2.7818985,1.0
6565,13445,3.964433,1.0
603,7606,2.6113336,1.0
3362,3659,3.113116,1.0
4928,13188,2.7938917,1.0
5915,13515,2.1699774,1.0
4093,11779,1.9619169,1.0
17485,17799,5.4207826,1.0
9882,18848,1.9773281,1.0
3950,4746,-3.488418,1.0
1792,13486,2.7726402,1.0
1046,4387,1.356807,1.0
13160,17153,1.8773612,1.0
9643,16441,2.3343058,1.0
7560,18422,-0.69790596,1.0
15443,17360,5.301798,1.0
9510,17013,1.6848588,1.0
8319,18506,0.47366786,1.0
1832,17521,2.1535606,1.0
3626,11504,1.862938,1.0
1836,4618,3.0116467,1.0
2936,18808,3.612112,1.0
5196,12891,1.1415339,1.0
11793,18403,2.8164732,1.0
1882,16445,1.4364163,1.0
6463,13264,3.2640731,1.0
2103,13402,1.776424,1.0
13113,19476,4.9946337,1.0
6368,19337,2.9339483,1.0
7968,12978,4.420087,1.0
2981,4526,1.5742582,1.0
2390,16695,3.696863,1.0
6461,17362,-0.1941746,1.0
7003,8625,2.2576113,1.0
9182,14512,1.5762198,1.0
971,19078,2.4096968,1.0
13023,19067,3.5641775,1.0
5075,11214,1.7975836,1.0
9397,19716,1.4672672,1.0
2428,7213,4.5125494,1.0
18073,19638,4.7943196,1.0
4425,11471,0.95064765,1.0
12847,17372,3.1898224,1.0
10762,19599,4.4522543,1.0
4647,17845,3.820479,1.0
3303,5320,1.0690541,1.0
4914,6529,4.107969,1.0
2706,6385,0.1296097,1.0
12441,13229,2.8644602,1.0
8842,12362,1.3550736,1.0
1663,15499,2.5181549,1.0
5805,6736,2.7786202,1.0
6612,11631,2.1202338,1.0
11028,13821,5.1334963,1.0
3454,13232,2.2562232,1.0
5002,16422,2.6500688,1.0
8260,16741,3.3127668,1.0
8040,12315,4.0391116,1.0
4784,15974,3.7659428,1.0
10355,15948,2.8289695,1.0
16155,19476,2.863802,1.0
15312,15900,2.150239,1.0
923,6407,3.4341908,1.0
18688,19072,4.9796352,1.0
251,12639,4.933774,1.0
976,1520,3.2017214,1.0
11555,14131,2.8850951,1.0
6009,12861,5.1646976,1.0
2311,16569,2.8815994,1.0
15466,17644,2.8795311,1.0
4992,7301,2.1827998,1.0
8271,11424,2.7632136,1.0
3383,6436,2.6351984,1.0
11025,18803,3.6177223,1.0
4906,7888,2.186921,1.0
9382,13179,2.2401338,1.0
17796,18886,3.247968,1.0
1272,11629,4.761782,1.0
937,942,-1.5256187,1.0
6721,8699,4.7106075,1.0
14902,15746,3.9065568,1.0
7302,8644,0.9903638,1.0
