edge_index0,edge_index1,pred,gr
2529,8108,0.650914,1.0
7371,10982,0.6510779,1.0
17962,18014,0.62771523,1.0
1195,8634,0.6947141,1.0
9226,10982,0.6497776,1.0
7829,19120,0.4571195,1.0
135,1969,0.44351092,1.0
13565,19571,0.5312437,1.0
2816,12364,0.4541543,1.0
34,16060,0.5247785,1.0
4212,14436,0.36318237,1.0
5016,12056,0.4597558,1.0
5462,11163,0.40160528,1.0
7977,13719,0.45852607,1.0
3116,18739,0.59073085,1.0
3933,14432,0.57113165,1.0
7548,16757,0.41585127,1.0
1788,9157,0.7419117,1.0
7309,15773,0.58664477,1.0
14445,17330,0.3687135,1.0
4285,4328,0.3717894,1.0
2641,15285,0.41485062,1.0
19052,19072,0.6202532,1.0
1170,4526,0.5006666,1.0
4343,17900,0.6381157,1.0
2003,9156,0.4055156,1.0
8928,16944,0.5002743,1.0
5675,12129,0.50449914,1.0
2057,8455,0.55931973,1.0
557,7527,0.5617837,1.0
4809,10061,0.48962295,1.0
2907,18265,0.46840462,1.0
8342,12305,0.4187317,1.0
3461,11279,0.34978947,1.0
5606,6696,0.60210705,1.0
1336,14048,0.46896985,1.0
4604,11247,0.4353391,1.0
18542,19695,0.42871916,1.0
2208,13618,0.38745716,1.0
3781,18517,0.39372322,1.0
435,11307,0.36196482,1.0
5811,10072,0.5183773,1.0
5272,8691,0.43183765,1.0
7297,12257,0.45912537,1.0
10494,10725,0.6652061,1.0
9870,11454,0.46670827,1.0
1862,16408,0.4602724,1.0
3292,18435,0.56273645,1.0
2255,18143,0.7596278,1.0
800,15581,0.4848255,1.0
6292,13903,0.64243203,1.0
1833,17213,0.60858226,1.0
2850,2859,0.42376947,1.0
128,8059,0.49836066,1.0
17718,19018,0.44737554,1.0
11063,18408,0.41540396,1.0
7889,13571,0.47563797,1.0
4631,5380,0.4460063,1.0
5620,7738,0.58196986,1.0
12830,15278,0.50813574,1.0
3585,13413,0.49777797,1.0
10154,17340,0.3998012,1.0
5422,16660,0.5426815,1.0
2234,5374,0.67510426,1.0
8590,9961,0.5811021,1.0
11004,19613,0.41354588,1.0
8372,11956,0.4844572,1.0
1905,6368,0.55663335,1.0
9627,10615,0.40362027,1.0
6767,15982,0.50422657,1.0
6499,9180,0.5201982,1.0
2444,3497,0.4065909,1.0
6486,15663,0.7116501,1.0
1192,16020,0.5673963,1.0
4777,11670,0.4345815,1.0
6171,8396,0.4682873,1.0
51,14487,0.43613487,1.0
7683,12257,0.5333524,1.0
13656,16440,0.6114248,1.0
831,5778,0.54335785,1.0
785,1353,0.44870105,1.0
534,15400,0.575758,1.0
1461,5817,0.4545252,1.0
336,13070,0.3901727,1.0
14935,18423,0.43402636,1.0
3503,3951,0.5264907,1.0
4064,4789,0.48738208,1.0
1599,9816,0.6954675,1.0
13456,16550,0.48493987,1.0
3051,10531,0.43336415,1.0
6336,8889,0.46309027,1.0
4302,16100,0.43478844,1.0
3056,17630,0.39894885,1.0
6093,14131,0.7232238,1.0
336,6469,0.34911442,1.0
2488,16439,0.40709698,1.0
5237,14619,0.6024817,1.0
4797,10786,0.5411632,1.0
5484,13723,0.43073854,1.0
4425,11011,0.5282583,1.0
8830,15276,0.37730458,1.0
7777,18634,0.4431989,1.0
2610,16868,0.6174602,1.0
14877,15933,0.5645839,1.0
10503,15510,0.508418,1.0
2187,16198,0.37506473,1.0
11740,13042,0.4731793,1.0
1928,6232,0.57714677,1.0
6859,19355,0.5929592,1.0
1136,15740,0.4685279,1.0
5759,19529,0.6322432,1.0
785,18258,0.4614669,1.0
478,15176,0.45762178,1.0
11432,15365,0.55843323,1.0
8815,13789,0.5744406,1.0
1799,14154,0.57471186,1.0
2737,5209,0.4825129,1.0
4221,6367,0.52291733,1.0
3697,16607,0.5022535,1.0
8109,19696,0.4369551,1.0
12732,18109,0.6185675,1.0
1915,18635,0.38560075,1.0
11368,16323,0.55466807,1.0
3230,19213,0.45173565,1.0
4595,6725,0.45430055,1.0
11028,16379,0.49348816,1.0
1520,4416,0.67391723,1.0
