Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
citationv8_run<built-in function id>_MLP-llama_hyper855gmmwi,10.35,13.63,45.56,56.67,74.84,86.32,21.72,10.35,13.63,45.56,56.67,74.84,86.32,98.62,98.5,94.92,0.01,64
citationv8_run<built-in function id>_MLP-llama_hyperyuryit2h,10.35,17.68,35.51,55.83,80.29,87.37,25.97,10.35,17.68,35.51,55.83,80.29,87.37,98.89,98.86,95.06,0.01,128
citationv8_run<built-in function id>_MLP-llama_hyperdur7bojr,10.35,17.68,35.51,63.98,81.32,89.17,25.97,10.35,17.68,35.51,63.98,81.32,89.17,98.98,98.94,95.32,0.01,256
citationv8_run<built-in function id>_MLP-llama_hyperpyo9qrf9,10.35,17.68,35.51,63.98,81.32,89.17,25.97,10.35,17.68,35.51,63.98,81.32,89.17,98.98,98.94,95.32,0.01,512
citationv8_run<built-in function id>_MLP-llama_hyperbw3vf9vx,10.35,17.68,35.51,63.98,81.32,89.99,25.97,10.35,17.68,35.51,63.98,81.32,89.99,98.98,98.94,95.48,0.01,1024
citationv8_run<built-in function id>_MLP-llama_hypervrz5limw,10.35,17.68,35.51,63.98,81.32,89.99,25.97,10.35,17.68,35.51,63.98,81.32,89.99,98.98,98.94,95.48,0.01,2048
citationv8_run<built-in function id>_MLP-llama_hyperlxcp9wp7,19.99,17.68,51.28,68.04,83.05,89.32,30.96,19.99,17.68,51.28,68.04,83.05,89.32,99.12,99.09,95.78,0.001,64
citationv8_run<built-in function id>_MLP-llama_hyper7y7fona4,14.92,17.68,51.28,68.59,83.58,89.32,30.96,14.92,17.68,51.28,68.59,83.58,89.32,99.15,99.12,95.74,0.001,128
citationv8_run<built-in function id>_MLP-llama_hyperzbxfqa1t,14.92,17.68,54.2,68.59,83.58,89.32,30.96,14.92,17.68,54.2,68.59,83.58,89.32,99.17,99.14,95.72,0.001,256
citationv8_run<built-in function id>_MLP-llama_hyperavqb9tjk,14.1,31.62,54.2,68.59,83.58,89.32,26.14,14.1,31.62,54.2,68.59,83.58,89.32,99.17,99.14,95.72,0.001,512
citationv8_run<built-in function id>_MLP-llama_hyper0g59jug5,14.1,31.62,47.57,68.59,83.58,89.32,26.14,14.1,31.62,47.57,68.59,83.58,89.32,99.17,99.15,95.98,0.001,1024
citationv8_run<built-in function id>_MLP-llama_hypert6yeumoy,14.1,31.62,47.57,68.59,83.58,89.32,26.14,14.1,31.62,47.57,68.59,83.58,89.32,99.19,99.16,95.98,0.001,2048
citationv8_run<built-in function id>_MLP-llama_hyper0ssh5x9b,14.1,31.62,47.57,68.59,83.58,90.89,26.14,14.1,31.62,47.57,68.59,83.58,90.89,99.19,99.16,95.9,0.0001,64
citationv8_run<built-in function id>_MLP-llama_hyperryye07wa,14.1,31.62,47.57,68.59,84.56,90.89,26.14,14.1,31.62,47.57,68.59,84.56,90.89,99.2,99.18,95.9,0.0001,128
citationv8_run<built-in function id>_MLP-llama_hyperxpfm3vtd,14.1,31.62,47.57,69.26,84.56,90.66,26.14,14.1,31.62,47.57,69.26,84.56,90.66,99.2,99.18,95.9,0.0001,256
citationv8_run<built-in function id>_MLP-llama_hypermxdqo4dn,14.1,31.62,47.57,69.26,86.14,90.66,26.14,14.1,31.62,47.57,69.26,86.14,90.66,99.2,99.18,95.93,0.0001,512
citationv8_run<built-in function id>_MLP-llama_hypermkqnl8kt,14.1,31.62,50.63,69.26,86.14,91.05,26.14,14.1,31.62,50.63,69.26,86.14,91.05,99.24,99.22,95.93,0.0001,1024
citationv8_run<built-in function id>_MLP-llama_hyperjx3jkrza,14.1,31.62,50.63,65.66,85.49,91.59,26.14,14.1,31.62,50.63,65.66,85.49,91.59,99.24,99.22,95.93,0.0001,2048
citationv8_run<built-in function id>_MLP-llama_hyper800n2oz2,6.46,21.64,43.33,55.24,75.22,87.63,16.09,6.46,21.64,43.33,55.24,75.22,87.63,98.75,98.65,94.69,0.01,64
citationv8_run<built-in function id>_MLP-llama_hypermrk0fkmq,7.85,21.64,43.33,55.24,80.78,87.6,18.8,7.85,21.64,43.33,55.24,80.78,87.6,98.86,98.78,95.15,0.01,128
Best,19.99,31.62,54.2,69.26,86.14,91.59,30.96,19.99,31.62,54.2,69.26,86.14,91.59,99.24,99.22,95.98,0.01,2048
