model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-llama,0,18.65,36.95,60.2,70.03,78.21,87.42,37.95,18.65,36.95,60.2,70.03,78.21,87.42,98.84,98.86,94.99
MLP-llama,1,13.71,34.43,61.87,68.33,78.7,86.52,29.23,13.71,34.43,61.87,68.33,78.7,86.52,98.84,98.86,94.99
MLP-llama,2,18.09,38.03,56.44,69.31,78.85,86.78,33.1,18.09,38.03,56.44,69.31,78.85,86.78,98.92,98.91,94.91
MLP-llama,3,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.02,0.02,0.02,0.02,0.02,0.02,50.01,50.01,50.0
MLP-llama,4,18.03,36.73,57.24,66.74,77.03,86.31,31.24,18.03,36.73,57.24,66.74,77.03,86.31,98.56,98.58,94.94
MLP-llama,0,12.53,30.12,59.48,70.59,79.7,88.34,27.65,12.53,30.12,59.48,70.59,79.7,88.34,99.04,99.02,95.12
MLP-llama,1,9.88,33.44,59.71,72.35,80.6,87.14,30.92,9.88,33.44,59.71,72.35,80.6,87.14,99.05,99.06,94.99
MLP-llama,2,13.15,33.19,58.68,69.54,79.72,87.55,27.58,13.15,33.19,58.68,69.54,79.72,87.55,99.06,99.09,95.27
MLP-llama,3,11.11,41.88,58.42,69.33,76.57,87.32,25.18,11.11,41.88,58.42,69.33,76.57,87.32,99.03,99.01,95.21
MLP-llama,4,16.05,30.17,57.89,66.4,81.79,88.03,26.18,16.05,30.17,57.89,66.4,81.79,88.03,99.06,99.04,95.02
