Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
cora_runrdpq098m_BUDDY_hyperlyc36apy,49.08,78.41,78.6,92.25,97.79,98.34,54.16,49.08,78.41,78.6,92.25,97.79,98.34,98.52,98.55,70.66,256,512,0.01,2,0.1,0.1,0.1
cora_runrdpq098m_BUDDY_hyperz0mc5co1,59.23,78.41,78.6,92.25,98.15,99.45,54.16,59.23,78.41,78.6,92.25,98.15,99.45,99.03,99.06,83.86,256,512,0.01,2,0.1,0.1,0.3
cora_runrdpq098m_BUDDY_hypert4tbxtqw,22.88,78.41,81.0,92.25,98.15,99.45,36.25,22.88,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.1,0.1,0.5
cora_runrdpq098m_BUDDY_hyperza9on9rw,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.1,0.3,0.1
cora_runrdpq098m_BUDDY_hypervhnrmbwg,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.1,0.3,0.3
cora_runrdpq098m_BUDDY_hyperjd4eniqb,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.1,0.3,0.5
cora_runrdpq098m_BUDDY_hyperpa2fh5jo,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.1,0.5,0.1
cora_runrdpq098m_BUDDY_hyperrdc0txn4,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.1,0.5,0.3
cora_runrdpq098m_BUDDY_hyper61icdlxe,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.1,0.5,0.5
cora_runrdpq098m_BUDDY_hypervkwwovc9,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.3,0.1,0.1
cora_runrdpq098m_BUDDY_hyperjpikkntg,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.3,0.1,0.3
cora_runrdpq098m_BUDDY_hyperrw0cmr7e,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.3,0.1,0.5
cora_runrdpq098m_BUDDY_hypervaxr848r,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.3,0.3,0.1
cora_runrdpq098m_BUDDY_hyper19ajwdbj,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.3,0.3,0.3
cora_runrdpq098m_BUDDY_hyperz3dnh93c,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.3,0.3,0.5
cora_runrdpq098m_BUDDY_hypertcrlezop,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.3,0.5,0.1
cora_runrdpq098m_BUDDY_hyper7i87telv,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.3,0.5,0.3
cora_runrdpq098m_BUDDY_hyperb6kz4qi8,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.3,0.5,0.5
cora_runrdpq098m_BUDDY_hypernyelh93z,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.1,0.1
cora_runrdpq098m_BUDDY_hyperiindnaz8,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.1,0.3
cora_runrdpq098m_BUDDY_hypersfjuce2a,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.1,0.5
cora_runrdpq098m_BUDDY_hyperp6uuywc3,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.3,0.1
cora_runrdpq098m_BUDDY_hyperrzyp2r98,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.3,0.3
cora_runrdpq098m_BUDDY_hyper1c1e8kwi,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.3,0.5
cora_runrdpq098m_BUDDY_hyperztldl604,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.5,0.1
cora_runrdpq098m_BUDDY_hyperd0rtm8m9,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.5,0.3
cora_runrdpq098m_BUDDY_hyperyhx3z4ms,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,2,0.5,0.5,0.5
cora_runrdpq098m_BUDDY_hyperg6lyfh0v,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.1,0.1,0.1
cora_runrdpq098m_BUDDY_hyperxtugveqf,35.61,78.41,81.0,92.25,98.15,99.45,52.84,35.61,78.41,81.0,92.25,98.15,99.45,99.03,97.23,83.86,256,512,0.01,3,0.1,0.1,0.3
