Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
cora_runb1wh9ht4_ELPH_hypers0nlwdo6,28.23,67.9,87.27,87.64,92.25,93.73,51.88,28.23,67.9,87.27,87.64,92.25,93.73,96.35,97.22,50.37,256,512,0.01,2,0.1,0.1,0.1
cora_runb1wh9ht4_ELPH_hyperloygnoel,27.12,68.63,86.35,90.22,92.25,93.36,51.17,27.12,68.63,86.35,90.22,92.25,93.36,96.0,97.06,50.37,256,512,0.01,2,0.1,0.1,0.3
cora_runb1wh9ht4_ELPH_hyperd5bv2jd6,24.17,76.38,83.21,88.38,91.51,93.36,51.43,24.17,76.38,83.21,88.38,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.1,0.1,0.5
cora_runb1wh9ht4_ELPH_hyper6zuh7q48,24.17,76.38,83.21,88.38,91.51,93.36,51.43,24.17,76.38,83.21,88.38,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.1,0.3,0.1
cora_runb1wh9ht4_ELPH_hyperznjw6ukn,24.17,76.38,83.21,88.38,91.51,93.36,51.43,24.17,76.38,83.21,88.38,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.1,0.3,0.3
cora_runb1wh9ht4_ELPH_hyperixmery1f,24.17,76.38,83.21,88.38,91.51,93.36,51.43,24.17,76.38,83.21,88.38,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.1,0.3,0.5
cora_runb1wh9ht4_ELPH_hyperoea1n98v,24.17,76.38,83.21,88.38,91.51,93.36,51.43,24.17,76.38,83.21,88.38,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.1,0.5,0.1
cora_runb1wh9ht4_ELPH_hyperscrahdot,24.17,76.38,83.21,88.38,91.51,93.36,51.43,24.17,76.38,83.21,88.38,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.1,0.5,0.3
cora_runb1wh9ht4_ELPH_hyper9uq2w86o,24.17,76.38,83.21,88.38,91.51,93.36,51.43,24.17,76.38,83.21,88.38,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.1,0.5,0.5
cora_runb1wh9ht4_ELPH_hyper71c9tjr4,24.17,76.38,83.21,88.38,91.51,93.36,51.43,24.17,76.38,83.21,88.38,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.3,0.1,0.1
cora_runb1wh9ht4_ELPH_hyperu5n2573a,24.17,76.38,83.21,88.56,91.51,93.36,51.43,24.17,76.38,83.21,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.3,0.1,0.3
cora_runb1wh9ht4_ELPH_hypermy36ivv2,24.17,76.38,83.21,88.56,91.51,93.36,51.43,24.17,76.38,83.21,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.3,0.1,0.5
cora_runb1wh9ht4_ELPH_hyper1p35bo9b,24.17,76.38,83.21,88.56,91.51,93.36,51.43,24.17,76.38,83.21,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.3,0.3,0.1
cora_runb1wh9ht4_ELPH_hypertn7l39iv,24.17,76.38,83.21,88.56,91.51,93.36,51.43,24.17,76.38,83.21,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.3,0.3,0.3
cora_runb1wh9ht4_ELPH_hyperi0xb7nar,24.17,76.38,83.21,88.56,91.51,93.36,51.43,24.17,76.38,83.21,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.3,0.3,0.5
cora_runb1wh9ht4_ELPH_hypermuu3i4wp,24.17,76.38,83.21,88.56,91.51,93.36,51.43,24.17,76.38,83.21,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.3,0.5,0.1
cora_runb1wh9ht4_ELPH_hyper5kdb36gj,24.17,76.38,83.21,88.56,91.51,93.36,51.43,24.17,76.38,83.21,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.3,0.5,0.3
cora_runb1wh9ht4_ELPH_hyperxdusbech,24.17,76.38,83.21,88.56,91.51,93.36,51.43,24.17,76.38,83.21,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.3,0.5,0.5
cora_runb1wh9ht4_ELPH_hyperv0ogo2x4,24.17,76.38,83.21,88.56,91.51,93.36,51.43,24.17,76.38,83.21,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.5,0.1,0.1
cora_runb1wh9ht4_ELPH_hyperlk2uoul1,24.17,76.38,83.21,88.56,91.51,93.36,51.43,24.17,76.38,83.21,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.5,0.1,0.3
cora_runb1wh9ht4_ELPH_hyperh1nj3zlk,24.17,76.38,84.69,88.56,91.51,93.36,51.43,24.17,76.38,84.69,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.5,0.1,0.5
cora_runb1wh9ht4_ELPH_hyperyfascg4u,24.17,76.38,84.69,88.56,91.51,93.36,51.43,24.17,76.38,84.69,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.5,0.3,0.1
cora_runb1wh9ht4_ELPH_hyperkvqkcqii,24.17,76.38,84.69,88.56,91.51,93.36,51.43,24.17,76.38,84.69,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.5,0.3,0.3
cora_runb1wh9ht4_ELPH_hyper28g3wjlc,24.17,76.38,84.69,88.56,91.51,93.36,51.43,24.17,76.38,84.69,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.5,0.3,0.5
cora_runb1wh9ht4_ELPH_hyper8k1q5cgc,24.17,76.38,84.69,88.56,91.51,93.36,51.43,24.17,76.38,84.69,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.5,0.5,0.1
cora_runb1wh9ht4_ELPH_hyperjf82lp1q,24.17,76.38,84.69,88.56,91.51,93.36,51.43,24.17,76.38,84.69,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.5,0.5,0.3
cora_runb1wh9ht4_ELPH_hyper7utvtzhp,24.17,76.38,84.69,88.56,91.51,93.36,51.43,24.17,76.38,84.69,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,2,0.5,0.5,0.5
cora_runb1wh9ht4_ELPH_hyperep81o05p,24.17,76.38,84.69,88.56,91.51,93.36,51.43,24.17,76.38,84.69,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,3,0.1,0.1,0.1
cora_runb1wh9ht4_ELPH_hyper5s72lxx2,24.17,76.38,84.69,88.56,91.51,93.36,51.43,24.17,76.38,84.69,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,3,0.1,0.1,0.3
cora_runb1wh9ht4_ELPH_hyperuv34fuq6,24.17,76.38,84.69,88.56,91.51,93.36,51.43,24.17,76.38,84.69,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,3,0.1,0.1,0.5
cora_runb1wh9ht4_ELPH_hyper22qp0ycx,24.17,76.38,85.42,88.56,91.51,93.36,51.43,24.17,76.38,85.42,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,3,0.1,0.3,0.1
cora_runb1wh9ht4_ELPH_hyper9vjuv612,24.17,76.38,85.42,88.56,91.51,93.36,51.43,24.17,76.38,85.42,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,3,0.1,0.3,0.3
cora_runb1wh9ht4_ELPH_hyperrrp6owxq,24.17,76.38,85.42,88.56,91.51,93.36,51.43,24.17,76.38,85.42,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,3,0.1,0.3,0.5
cora_runb1wh9ht4_ELPH_hyperj7tf24g6,24.17,76.38,85.42,88.56,91.51,93.36,51.43,24.17,76.38,85.42,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,3,0.1,0.5,0.1
cora_runb1wh9ht4_ELPH_hyperszqc56kn,24.17,76.38,85.42,88.56,91.51,93.36,51.43,24.17,76.38,85.42,88.56,91.51,93.36,96.62,97.44,50.37,256,512,0.01,3,0.1,0.5,0.3
