Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
cora_run<built-in function id>_MLP-bert_hyperchgpkvrr,0.74,0.74,2.95,7.01,18.08,40.22,2.5,0.74,0.74,2.95,7.01,18.08,40.22,51.1,51.9,50.19,0.01,64
cora_run<built-in function id>_MLP-bert_hypereaiv9odd,0.37,2.58,7.01,12.92,29.52,44.65,3.72,0.37,2.58,7.01,12.92,29.52,44.65,55.94,56.34,50.37,0.01,128
cora_run<built-in function id>_MLP-bert_hyper2flsv47y,0.0,3.32,5.17,10.33,31.37,49.45,3.53,0.0,3.32,5.17,10.33,31.37,49.45,58.62,57.92,51.66,0.01,256
cora_run<built-in function id>_MLP-bert_hyperagc9yra1,0.0,0.74,5.17,14.02,37.27,53.51,2.71,0.0,0.74,5.17,14.02,37.27,53.51,60.6,57.94,57.75,0.01,512
cora_run<built-in function id>_MLP-bert_hypercog5hxq4,0.0,0.74,5.17,9.23,37.27,50.18,2.71,0.0,0.74,5.17,9.23,37.27,47.6,58.77,57.94,57.75,0.01,1024
cora_run<built-in function id>_MLP-bert_hypereoy4vj5n,0.0,1.48,8.49,17.34,39.48,57.56,2.71,0.0,1.48,8.49,17.34,39.48,47.6,65.24,63.63,58.67,0.001,64
cora_run<built-in function id>_MLP-bert_hyperzj39n277,0.0,1.48,8.49,17.34,39.48,57.56,2.71,0.0,1.48,8.49,17.34,39.48,47.6,65.95,64.47,59.22,0.001,128
cora_run<built-in function id>_MLP-bert_hyper7qifxgqz,0.0,1.48,8.49,17.34,39.48,57.56,2.71,0.0,1.48,8.49,17.34,39.48,47.6,66.04,63.96,61.07,0.001,256
cora_run<built-in function id>_MLP-bert_hyperebpjz2fd,0.0,1.48,8.49,17.34,40.59,62.36,2.71,0.0,1.48,8.49,17.34,40.59,47.6,66.94,64.71,63.1,0.001,512
cora_run<built-in function id>_MLP-bert_hyper09jxn0kp,0.0,1.48,8.49,17.34,40.59,62.36,2.71,0.0,1.48,8.49,17.34,40.59,47.6,66.94,64.71,63.1,0.001,1024
