Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
cora_run<built-in function id>_MLP-e5-large_hyperfxs3cyw4,1.48,7.01,11.44,28.41,48.34,64.21,6.8,1.48,7.01,11.44,33.58,48.34,68.27,71.71,71.89,64.76,0.01,64
cora_run<built-in function id>_MLP-e5-large_hypervpwlwgna,2.95,8.12,23.62,36.53,49.82,64.21,8.52,2.95,8.12,16.97,36.53,51.29,68.27,71.71,74.52,66.79,0.01,128
cora_run<built-in function id>_MLP-e5-large_hyperdjd3mmnm,2.95,8.12,20.3,38.38,61.62,77.86,8.52,2.95,8.12,20.3,38.38,61.62,77.86,77.91,77.95,67.71,0.01,256
cora_run<built-in function id>_MLP-e5-large_hyper04syu8fx,2.95,4.8,20.3,38.38,61.62,77.86,8.52,2.95,4.8,20.3,38.38,61.62,79.34,77.71,77.95,67.71,0.01,512
cora_run<built-in function id>_MLP-e5-large_hypero2yew68f,2.95,4.8,23.62,38.38,61.62,75.65,8.52,2.95,4.8,21.4,34.69,56.46,90.77,78.14,76.58,70.85,0.01,1024
cora_run<built-in function id>_MLP-e5-large_hypersqp4c1ap,2.95,13.65,23.62,43.91,59.04,75.65,14.75,2.95,13.65,21.4,43.91,59.04,90.77,78.14,81.27,70.85,0.001,64
cora_run<built-in function id>_MLP-e5-large_hyper2fjalp9y,2.95,13.65,23.62,43.91,59.04,75.65,14.75,2.95,13.65,21.4,43.91,59.04,65.68,78.14,81.27,68.27,0.001,128
cora_run<built-in function id>_MLP-e5-large_hyperpbndher8,2.95,13.65,23.62,43.91,59.04,76.01,14.75,2.95,13.65,21.03,29.15,41.7,65.68,78.14,81.27,71.22,0.001,256
cora_run<built-in function id>_MLP-e5-large_hyperrdu3d4rp,2.95,13.65,23.62,43.91,59.04,76.01,14.75,2.95,13.65,21.03,29.15,43.17,71.22,78.14,81.27,71.22,0.001,512
cora_run<built-in function id>_MLP-e5-large_hyperhf8vva59,2.95,13.65,23.62,43.91,59.04,76.01,14.75,2.95,13.65,21.03,29.15,55.72,66.42,78.14,81.27,71.22,0.001,1024
