Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
cora_run<built-in function id>_MLP-llama_hyperh5y0yl9i,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.01,64
cora_run<built-in function id>_MLP-llama_hyper0rdh629m,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.01,128
cora_run<built-in function id>_MLP-llama_hyperkpnrqf2z,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.01,256
cora_run<built-in function id>_MLP-llama_hyperls3ux2ak,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.01,512
cora_run<built-in function id>_MLP-llama_hypertoekn3ui,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.01,1024
cora_run<built-in function id>_MLP-llama_hyperm8s9z5fa,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.01,2048
cora_run<built-in function id>_MLP-llama_hyperq54gp0ju,29.52,43.17,70.11,78.23,86.72,95.2,27.37,29.52,43.17,70.11,78.23,86.72,95.2,93.15,93.78,85.79,0.001,64
cora_run<built-in function id>_MLP-llama_hyperw7jpurfw,29.52,42.07,64.94,78.23,86.72,95.2,31.94,29.52,42.07,64.94,78.23,86.72,95.2,93.15,93.48,85.79,0.001,128
cora_run<built-in function id>_MLP-llama_hyperh38qc7rc,25.83,42.07,64.21,78.23,86.72,95.2,34.48,25.83,42.07,64.21,78.23,86.72,95.2,93.23,93.18,85.79,0.001,256
cora_run<built-in function id>_MLP-llama_hyper1sua8g6p,25.83,39.11,64.21,78.23,86.72,95.2,34.48,25.83,39.11,64.21,78.23,86.72,95.2,93.23,93.18,85.79,0.001,512
cora_run<built-in function id>_MLP-llama_hyperiqj81xrg,27.31,39.11,64.21,78.23,86.72,95.2,35.65,27.31,39.11,64.21,78.23,86.72,95.2,93.23,93.18,85.79,0.001,1024
cora_run<built-in function id>_MLP-llama_hyper5pssagsg,27.31,39.11,64.21,78.23,86.72,95.2,35.65,27.31,39.11,64.21,78.23,86.72,95.2,93.23,93.18,85.79,0.001,2048
cora_run<built-in function id>_MLP-llama_hyperhgmukqsf,27.31,40.96,67.16,76.01,87.82,95.2,35.65,27.31,40.96,67.16,76.01,87.82,95.2,92.82,93.61,85.79,0.0001,64
cora_run<built-in function id>_MLP-llama_hypersja0umid,27.31,40.96,68.27,76.01,88.93,95.2,35.65,27.31,40.96,68.27,76.01,88.93,95.2,92.82,93.48,85.79,0.0001,128
cora_run<built-in function id>_MLP-llama_hyperwtjg0ehh,27.31,40.96,68.27,76.01,88.93,95.2,35.65,27.31,40.96,68.27,76.01,88.93,95.2,92.82,93.48,85.79,0.0001,256
cora_run<built-in function id>_MLP-llama_hyperu89mfxq3,27.31,40.96,68.27,76.01,88.93,95.2,35.65,27.31,40.96,68.27,76.01,88.93,95.2,92.82,93.48,85.79,0.0001,512
cora_run<built-in function id>_MLP-llama_hyperli8ykff2,27.31,40.96,68.27,76.01,88.93,95.2,35.65,27.31,40.96,68.27,76.01,88.93,95.2,92.82,93.48,85.79,0.0001,1024
cora_run<built-in function id>_MLP-llama_hyper9rzfvjqp,27.31,40.96,68.27,76.01,88.93,95.2,35.65,27.31,40.96,68.27,76.01,88.93,95.2,92.82,93.48,85.79,0.0001,2048
Best,29.52,43.17,70.11,78.23,88.93,95.2,35.65,29.52,43.17,70.11,78.23,88.93,95.2,93.23,93.78,85.79,0.01,2048
