Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,base_lr,batch_size
cora_run<built-in function id>_MLP-minilm_hypercal66dc7,32.1,47.23,59.04,68.63,84.5,94.46,38.73,32.1,47.23,59.04,68.63,84.5,94.46,92.14,91.76,84.5,0.01,64
cora_run<built-in function id>_MLP-minilm_hypergj50e8wz,13.65,38.01,57.93,68.63,84.13,94.46,29.18,13.65,38.01,57.93,68.63,84.13,94.46,92.07,92.3,84.5,0.01,128
cora_run<built-in function id>_MLP-minilm_hyperxs43l9kx,30.63,50.18,56.83,70.85,83.03,94.83,29.18,30.63,50.18,56.83,70.85,83.03,94.83,92.53,92.61,83.03,0.01,256
cora_run<built-in function id>_MLP-minilm_hypersus87832,30.63,50.18,63.47,73.43,84.87,94.46,29.18,30.63,50.18,63.47,73.43,84.87,94.46,92.43,93.06,82.84,0.01,512
cora_run<built-in function id>_MLP-minilm_hyper2ozb97jx,30.63,50.18,63.47,75.28,84.87,94.46,29.18,30.63,50.18,63.47,75.28,84.87,94.46,92.43,93.26,82.84,0.01,1024
cora_run<built-in function id>_MLP-minilm_hypern8tyi9p3,27.68,50.18,63.47,75.28,84.87,94.46,38.15,27.68,50.18,63.47,75.28,84.87,94.46,92.43,93.26,82.84,0.001,64
cora_run<built-in function id>_MLP-minilm_hyperd0bhfxtn,27.68,50.18,63.47,75.28,84.87,94.46,38.15,27.68,50.18,63.47,75.28,84.87,94.46,92.43,93.26,82.84,0.001,128
cora_run<built-in function id>_MLP-minilm_hyperv81bvkxg,27.68,50.18,63.47,75.28,84.87,94.46,38.15,27.68,50.18,63.47,75.28,84.87,94.46,92.43,93.26,82.84,0.001,256
cora_run<built-in function id>_MLP-minilm_hyper94602ig2,27.68,50.18,63.47,75.28,84.87,94.46,38.15,27.68,50.18,63.47,75.28,84.87,94.46,92.43,93.26,82.84,0.001,512
cora_run<built-in function id>_MLP-minilm_hyperq4093rk0,27.68,50.18,63.47,75.28,84.87,94.46,38.15,27.68,50.18,63.47,75.28,84.87,94.46,92.43,93.26,82.84,0.001,1024
cora_run<built-in function id>_MLP-minilm_hyper7oxc6bfl,27.68,50.18,63.47,75.28,84.87,94.46,38.15,27.68,50.18,63.47,75.28,84.87,94.46,92.43,93.26,82.84,0.0001,64
cora_run<built-in function id>_MLP-minilm_hyperxc09mbhf,27.68,50.18,63.47,75.28,84.87,94.46,38.15,27.68,50.18,63.47,75.28,84.87,94.46,92.43,93.26,82.84,0.0001,128
cora_run<built-in function id>_MLP-minilm_hyperqmsmej5r,27.68,50.18,63.47,75.28,84.87,94.46,38.15,27.68,50.18,63.47,75.28,84.87,94.46,92.43,93.26,82.84,0.0001,256
cora_run<built-in function id>_MLP-minilm_hyperh4vqq3go,27.68,50.18,63.47,75.28,84.87,94.46,38.15,27.68,50.18,63.47,75.28,84.87,94.46,92.43,93.26,82.84,0.0001,512
cora_run<built-in function id>_MLP-minilm_hypercambpqh4,27.68,50.18,63.47,75.28,84.87,94.46,38.15,27.68,50.18,63.47,75.28,84.87,94.46,92.43,93.26,82.84,0.0001,1024
cora_run<built-in function id>_MLP-minilm_hyperibuydpdb,19.93,45.76,55.35,64.21,82.66,95.94,33.97,19.93,45.76,55.35,64.21,82.66,95.94,92.33,92.42,82.66,0.01,64
cora_run<built-in function id>_MLP-minilm_hyperl589ae2w,20.3,43.17,60.15,69.37,81.55,95.2,33.26,20.3,43.17,60.15,69.37,81.55,95.2,92.15,91.09,82.29,0.01,128
cora_run<built-in function id>_MLP-minilm_hyperkfu0siju,20.3,43.17,60.15,69.37,84.5,95.2,33.26,20.3,43.17,60.15,69.37,84.5,95.2,91.61,92.18,83.58,0.01,256
cora_run<built-in function id>_MLP-minilm_hyperf36zepqq,20.3,43.17,59.78,68.63,84.5,95.2,33.26,20.3,43.17,59.78,68.63,84.5,95.2,92.91,93.21,83.58,0.01,512
cora_run<built-in function id>_MLP-minilm_hyper6sae5co6,20.3,43.17,59.78,70.48,84.5,95.2,33.26,20.3,43.17,59.78,70.48,84.5,95.2,92.63,93.29,83.58,0.01,1024
cora_run<built-in function id>_MLP-minilm_hyperexs59knk,20.3,43.17,59.78,70.48,84.5,95.2,33.26,20.3,43.17,59.78,70.48,84.5,95.2,92.63,93.29,83.58,0.001,64
cora_run<built-in function id>_MLP-minilm_hyper7q2h3vxc,20.3,43.17,59.78,70.48,84.5,95.2,33.26,20.3,43.17,59.78,70.48,84.5,95.2,92.63,93.29,83.58,0.001,128
cora_run<built-in function id>_MLP-minilm_hyperjigvobl7,20.3,43.17,59.78,70.48,84.5,95.2,33.26,20.3,43.17,59.78,70.48,84.5,95.2,92.63,93.29,83.58,0.001,256
cora_run<built-in function id>_MLP-minilm_hyper3g127u93,20.3,43.17,59.78,70.48,84.5,95.2,33.26,20.3,43.17,59.78,70.48,84.5,95.2,92.63,93.29,83.58,0.001,512
cora_run<built-in function id>_MLP-minilm_hyperovw3a3b9,20.3,43.17,59.78,70.48,84.5,95.2,33.26,20.3,43.17,59.78,70.48,84.5,95.2,92.63,93.29,83.58,0.001,1024
cora_run<built-in function id>_MLP-minilm_hyperya9mv5t3,20.3,43.17,59.78,70.48,84.5,95.2,33.26,20.3,43.17,59.78,70.48,84.5,95.2,92.63,93.29,83.58,0.0001,64
cora_run<built-in function id>_MLP-minilm_hypervl2n0v3s,20.3,43.17,59.78,70.48,84.5,95.2,33.26,20.3,43.17,59.78,70.48,84.5,95.2,92.63,93.29,83.58,0.0001,128
cora_run<built-in function id>_MLP-minilm_hyperjgaghrsg,20.3,43.17,59.78,70.48,84.5,95.2,33.26,20.3,43.17,59.78,70.48,84.5,95.2,92.63,93.29,83.58,0.0001,256
cora_run<built-in function id>_MLP-minilm_hyperb3qtxd63,20.3,43.17,59.78,70.48,84.5,95.2,33.26,20.3,43.17,59.78,70.48,84.5,95.2,92.63,93.29,83.58,0.0001,512
cora_run<built-in function id>_MLP-minilm_hypermxzfqpdp,20.3,43.17,59.78,70.48,84.5,95.2,33.26,20.3,43.17,59.78,70.48,84.5,95.2,92.63,93.29,83.58,0.0001,1024
cora_run<built-in function id>_MLP-minilm_hyperxe412fm8,34.69,45.39,57.2,68.63,86.35,92.25,41.68,34.69,45.39,57.2,68.63,86.35,92.25,92.12,92.42,82.66,0.01,64
cora_run<built-in function id>_MLP-minilm_hyper21ipfvzh,36.16,48.34,62.36,70.11,86.35,92.25,42.75,36.16,48.34,62.36,70.11,86.35,92.25,92.61,93.14,84.32,0.01,128
