Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,probscale,pt,proboffset,batch_size
cora_run3aq0gpkj_NCNC_hyperwk15htss,91.88,96.68,99.08,99.63,99.63,99.63,94.23,91.88,96.68,99.08,99.63,99.63,99.63,99.83,99.84,98.71,1.0,0.0,0.5,1024
cora_run3aq0gpkj_NCNC_hyper6jrq1oyh,98.15,98.52,98.89,99.63,99.63,99.63,98.39,98.15,98.52,98.89,99.63,99.63,99.63,99.77,99.83,98.89,1.0,0.1,0.5,1024
cora_run3aq0gpkj_NCNC_hyperwz1n4gz3,98.15,96.49,98.89,99.63,99.63,99.63,98.39,98.15,96.49,98.89,99.63,99.63,99.63,99.77,99.83,98.89,1.0,0.3,0.5,1024
cora_run3aq0gpkj_NCNC_hypernm7oy6dw,98.15,96.49,98.89,99.63,99.63,99.63,98.39,98.15,96.49,98.89,99.63,99.63,99.63,99.77,99.83,98.89,1.0,0.5,0.5,1024
cora_run3aq0gpkj_NCNC_hyperxk4zfcbs,98.15,96.49,98.89,99.63,99.63,99.63,98.39,98.15,96.49,98.89,99.63,99.63,99.63,99.81,99.85,98.89,1.0,0.75,0.5,1024
cora_run3aq0gpkj_NCNC_hyperlovcg6y5,98.15,96.49,98.89,99.63,99.63,99.63,98.39,98.15,96.49,98.89,99.63,99.63,99.63,99.81,99.85,98.89,1.0,0.0,1.0,1024
cora_run3aq0gpkj_NCNC_hyperhjl5y2ed,98.15,96.49,98.89,99.63,99.63,99.63,98.39,98.15,96.49,98.89,99.63,99.63,99.63,99.81,99.85,98.89,1.0,0.1,1.0,1024
cora_run3aq0gpkj_NCNC_hyper444f8zqf,98.15,96.49,98.89,99.26,99.63,99.63,98.39,98.15,96.49,98.89,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.3,1.0,1024
cora_run3aq0gpkj_NCNC_hyper0zd6uktb,92.25,96.49,98.89,99.26,99.63,99.63,98.39,92.25,96.49,98.89,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.5,1.0,1024
cora_run3aq0gpkj_NCNC_hyper6patpbt2,92.25,96.49,98.89,99.26,99.63,99.63,98.39,92.25,96.49,98.89,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.75,1.0,1024
cora_run3aq0gpkj_NCNC_hyperp44g9ucj,92.25,96.49,98.89,99.26,99.63,99.63,98.39,92.25,96.49,98.89,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.0,2.0,1024
cora_run3aq0gpkj_NCNC_hyperinjyk9qp,92.25,96.49,98.89,99.26,99.63,99.63,98.39,92.25,96.49,98.89,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.1,2.0,1024
cora_run3aq0gpkj_NCNC_hyper2ejyy9co,92.25,96.49,98.89,99.26,99.63,99.63,98.39,92.25,96.49,98.89,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.3,2.0,1024
cora_run3aq0gpkj_NCNC_hyper4n5vktwp,92.25,96.49,98.89,99.26,99.63,99.63,98.39,92.25,96.49,98.89,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.5,2.0,1024
cora_run3aq0gpkj_NCNC_hyperfnkib26e,92.25,96.49,98.89,99.26,99.63,99.63,98.39,92.25,96.49,98.89,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.75,2.0,1024
cora_run3aq0gpkj_NCNC_hypern4riv2gz,92.25,96.49,98.89,99.26,99.63,99.63,98.39,92.25,96.49,98.89,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.0,2.8,1024
cora_run3aq0gpkj_NCNC_hyper1ldct2q8,92.25,96.49,98.89,99.26,99.63,99.63,98.39,92.25,96.49,98.89,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.1,2.8,1024
cora_run3aq0gpkj_NCNC_hyper5ekzg0r3,92.25,96.49,98.89,99.26,99.63,99.63,98.39,92.25,96.49,98.89,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.3,2.8,1024
cora_run3aq0gpkj_NCNC_hyperelu3fvjd,92.25,96.49,98.89,99.26,99.63,99.63,98.39,92.25,96.49,98.89,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.5,2.8,1024
cora_run3aq0gpkj_NCNC_hyperucq2655q,92.25,96.49,99.26,99.26,99.63,99.63,98.39,92.25,96.49,99.26,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.75,2.8,1024
cora_run3aq0gpkj_NCNC_hyperdk1jgpbx,92.25,96.49,99.26,99.26,99.63,99.63,98.39,92.25,96.49,99.26,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.0,3.0,1024
cora_run3aq0gpkj_NCNC_hyperzp7d9qci,92.25,96.49,99.26,99.26,99.63,99.63,98.39,92.25,96.49,99.26,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.1,3.0,1024
cora_run3aq0gpkj_NCNC_hyper8j9cbi6d,92.25,96.49,99.26,99.26,99.63,99.63,98.39,92.25,96.49,99.26,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.3,3.0,1024
cora_run3aq0gpkj_NCNC_hyperyv6roxrx,92.25,96.49,99.26,99.26,99.63,99.63,98.39,92.25,96.49,99.26,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.5,3.0,1024
cora_run3aq0gpkj_NCNC_hyper680idiht,95.02,96.49,99.26,99.26,99.63,99.63,96.09,95.02,96.49,99.26,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.75,3.0,1024
cora_run3aq0gpkj_NCNC_hyperyn5wnfju,95.02,96.49,99.26,99.26,99.63,99.63,96.09,95.02,96.49,99.26,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.0,4.0,1024
cora_run3aq0gpkj_NCNC_hypera5kje941,95.02,96.49,99.26,99.26,99.63,99.63,96.09,95.02,96.49,99.26,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.1,4.0,1024
cora_run3aq0gpkj_NCNC_hypervsvufcsv,95.02,96.49,99.26,99.26,99.63,99.63,96.09,95.02,96.49,99.26,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.3,4.0,1024
cora_run3aq0gpkj_NCNC_hyperd5hgbth1,95.02,96.49,99.26,99.26,99.63,99.63,96.09,95.02,96.49,99.26,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.5,4.0,1024
cora_run3aq0gpkj_NCNC_hyperz39fdu3r,95.02,96.49,99.26,99.26,99.63,99.63,96.09,95.02,96.49,99.26,99.26,99.63,99.63,99.81,99.85,98.89,1.0,0.75,4.0,1024
