Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
cora_runo8sjdsmj_NCN_hyperf4c7vmln,52.57,66.01,73.91,81.82,94.86,99.21,58.67,52.57,66.01,73.91,81.82,94.86,99.21,96.1,96.31,89.33,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,256
cora_runo8sjdsmj_NCN_hyperxwk610vc,52.57,49.01,75.49,86.96,94.86,99.21,58.67,52.57,49.01,75.49,86.96,94.86,99.21,96.26,96.53,89.33,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,256
cora_runo8sjdsmj_NCN_hypervcvfoi6k,52.57,49.01,75.49,86.96,94.86,98.42,58.67,52.57,49.01,75.49,86.96,94.86,98.42,96.41,96.62,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,256
cora_runo8sjdsmj_NCN_hyperjq8bswfr,52.57,50.99,77.87,86.96,94.86,98.42,58.67,52.57,50.99,77.87,86.96,94.86,98.42,96.41,96.03,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,256
cora_runo8sjdsmj_NCN_hyper40ch9xr5,52.57,50.99,77.87,86.96,94.86,98.42,58.67,52.57,50.99,77.87,86.96,94.86,98.42,96.41,96.03,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,512
cora_runo8sjdsmj_NCN_hyper6ino24uq,52.57,50.99,77.87,86.96,94.86,98.42,58.67,52.57,50.99,77.87,86.96,94.86,98.42,96.41,96.03,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,512
cora_runo8sjdsmj_NCN_hyper0vw2d3v1,52.57,50.99,77.87,87.35,94.47,98.42,58.67,52.57,50.99,77.87,87.35,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,512
cora_runo8sjdsmj_NCN_hyper2f1ztk9b,52.57,50.99,77.87,87.35,94.47,98.42,58.67,52.57,50.99,77.87,87.35,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,512
cora_runo8sjdsmj_NCN_hypere3p62bcs,52.57,50.99,77.87,87.35,94.47,98.42,58.67,52.57,50.99,77.87,87.35,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,1024
cora_runo8sjdsmj_NCN_hyper3e27sdtu,52.57,50.99,77.87,87.35,94.47,98.42,58.67,52.57,50.99,77.87,87.35,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,1024
cora_runo8sjdsmj_NCN_hyperrzuf3qoa,52.57,50.99,77.87,87.35,94.47,98.42,58.67,52.57,50.99,77.87,87.35,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,1024
cora_runo8sjdsmj_NCN_hyperucybswni,52.57,50.99,77.87,87.35,94.47,98.42,58.67,52.57,50.99,77.87,87.35,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,1024
cora_runo8sjdsmj_NCN_hyperqwv63wmx,52.57,50.99,77.87,87.35,94.47,98.42,58.67,52.57,50.99,77.87,87.35,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,2048
cora_runo8sjdsmj_NCN_hyperbw75qqkb,52.57,50.99,77.87,87.35,94.47,98.42,58.67,52.57,50.99,77.87,87.35,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,2048
cora_runo8sjdsmj_NCN_hyperc2w97q4b,35.57,50.99,77.87,87.35,94.47,98.42,58.67,35.57,50.99,77.87,87.35,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,2048
cora_runo8sjdsmj_NCN_hyperfn15dgj0,35.57,50.99,77.87,87.35,94.47,98.42,58.67,35.57,50.99,77.87,87.35,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,2048
cora_runo8sjdsmj_NCN_hyper0bkgukwj,35.57,50.99,77.87,87.35,94.47,98.42,58.67,35.57,50.99,77.87,87.35,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.001,64,256
cora_runo8sjdsmj_NCN_hyper0q1y9l15,35.57,50.99,77.87,87.35,94.47,98.42,58.67,35.57,50.99,77.87,87.35,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.001,0.0001,64,256
cora_runo8sjdsmj_NCN_hyperrytts7jn,35.57,50.99,77.87,85.77,94.47,98.42,58.67,35.57,50.99,77.87,85.77,94.47,98.42,96.67,96.99,90.12,0.0,0.0,0.0,0.0,0.0,0.4,0.0001,0.001,64,256
