Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
cora_runyn96h8ak_NCN_hyperr5zt3ifa,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.0,0.0001,0.001,64,1024
cora_runyn96h8ak_NCN_hyperqab43r7p,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.0,0.0001,0.0001,64,1024
cora_runyn96h8ak_NCN_hyper634pboni,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.0,0.001,0.001,64,2048
cora_runyn96h8ak_NCN_hyper0k6pwo3y,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.0,0.001,0.0001,64,2048
cora_runyn96h8ak_NCN_hyperv94ym8uv,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.0,0.0001,0.001,64,2048
cora_runyn96h8ak_NCN_hypery824ygus,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.0,0.0001,0.0001,64,2048
cora_runyn96h8ak_NCN_hyperglvznd8y,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.4,0.001,0.001,64,256
cora_runyn96h8ak_NCN_hypera9qbt54x,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.4,0.001,0.0001,64,256
cora_runyn96h8ak_NCN_hyper0gzr2xu0,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.4,0.0001,0.001,64,256
cora_runyn96h8ak_NCN_hyperosfrd7bg,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.4,0.0001,0.0001,64,256
cora_runyn96h8ak_NCN_hyperhs5yepcn,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.4,0.001,0.001,64,512
cora_runyn96h8ak_NCN_hyper6tyrxb8k,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.4,0.001,0.0001,64,512
cora_runyn96h8ak_NCN_hypernzf6mz0z,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.4,0.0001,0.001,64,512
cora_runyn96h8ak_NCN_hyperbjh1w2d9,45.45,56.92,81.03,86.96,95.26,98.42,56.68,45.45,56.92,81.03,86.96,95.26,98.42,96.11,96.79,88.93,0.0,0.7,0.2,0.0,0.0,0.4,0.0001,0.0001,64,512
