Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
cora_run<built-in function id>_NCN_hyperjyhl77x7,74.54,90.96,97.42,98.34,99.45,99.63,86.37,74.54,90.96,97.42,98.34,99.45,99.63,99.71,99.74,98.15,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,256
cora_run<built-in function id>_NCN_hyper004h2po9,74.54,90.96,97.42,98.34,99.45,99.63,86.37,74.54,90.96,97.42,98.34,99.45,99.63,99.71,99.74,98.15,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,256
cora_run<built-in function id>_NCN_hyper4tpan7mh,56.46,90.96,97.42,98.34,99.45,99.63,69.66,56.46,90.96,97.42,98.34,99.45,99.63,99.71,99.74,98.15,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,256
cora_run<built-in function id>_NCN_hyperid72kw40,56.46,90.96,97.42,98.34,99.45,99.63,69.66,56.46,90.96,97.42,98.34,99.45,99.63,99.71,99.74,97.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,256
cora_run<built-in function id>_NCN_hyperknx2pgl4,42.99,67.9,97.42,98.71,99.45,99.63,58.49,42.99,67.9,97.42,98.71,99.45,99.63,99.71,99.74,97.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,256
cora_run<built-in function id>_NCN_hypernhn8fr8f,42.99,67.9,97.42,98.71,99.45,99.82,58.49,42.99,67.9,97.42,98.71,99.45,99.82,99.71,99.74,97.51,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,512
cora_run<built-in function id>_NCN_hyper0xvematc,42.99,67.9,97.42,98.71,99.45,99.45,58.49,42.99,67.9,97.42,98.71,99.45,99.45,99.71,99.74,97.51,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,512
cora_run<built-in function id>_NCN_hyper9gqsz5zs,78.6,67.9,97.42,98.71,99.45,99.45,83.73,78.6,67.9,97.42,98.71,99.45,99.45,99.71,99.74,97.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,512
cora_run<built-in function id>_NCN_hyperuiwj6noc,78.6,67.9,97.42,98.71,99.45,99.45,83.73,78.6,67.9,97.42,98.71,99.45,99.45,99.71,99.74,98.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,512
cora_run<built-in function id>_NCN_hyperos4jakkj,78.6,76.75,97.42,98.71,99.45,99.45,83.73,78.6,76.75,97.42,98.71,99.45,99.45,99.71,99.74,98.06,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,1024
cora_run<built-in function id>_NCN_hypergzjcjfgc,78.6,76.75,97.42,98.71,99.45,99.45,83.73,78.6,76.75,97.42,98.71,99.45,99.45,99.71,99.74,98.06,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,1024
cora_run<built-in function id>_NCN_hyperq9mz83wo,78.6,76.75,97.42,98.71,99.45,99.45,83.73,78.6,76.75,97.42,98.71,99.45,99.45,99.71,99.74,98.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,1024
cora_run<built-in function id>_NCN_hyper154lwsi3,78.6,76.75,97.42,98.71,98.89,99.45,83.73,78.6,76.75,97.42,98.71,98.89,99.45,99.71,99.74,98.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,1024
cora_run<built-in function id>_NCN_hyperun947iwr,78.6,76.75,97.42,98.71,99.63,99.45,83.73,78.6,76.75,97.42,98.71,99.63,99.45,99.71,99.74,98.06,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,64,2048
cora_run<built-in function id>_NCN_hypern4jjwl4p,78.6,76.75,97.05,98.71,98.89,99.45,83.73,78.6,76.75,97.05,98.71,98.89,99.45,99.71,99.74,98.06,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,64,2048
cora_run<built-in function id>_NCN_hyperlvjwio7r,78.6,76.75,97.05,98.71,98.89,99.45,83.73,78.6,76.75,97.05,98.71,98.89,99.45,99.71,99.74,98.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,64,2048
cora_run<built-in function id>_NCN_hyperm0gigz9c,78.6,76.75,97.05,98.71,98.89,99.45,83.73,78.6,76.75,97.05,98.71,98.89,99.45,99.71,99.74,98.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,64,2048
cora_run<built-in function id>_NCN_hyperw0c0qq6u,78.6,76.75,97.05,98.71,98.89,99.45,83.73,78.6,76.75,97.05,98.71,98.89,99.45,99.71,99.74,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.001,64,256
cora_run<built-in function id>_NCN_hyperxya1y9yn,78.6,76.75,97.05,98.71,98.89,99.45,83.73,78.6,76.75,97.05,98.71,98.89,99.45,99.71,99.74,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.001,0.0001,64,256
cora_run<built-in function id>_NCN_hyperjcxb1v5c,78.6,95.94,97.05,98.71,98.89,99.45,95.21,78.6,95.94,97.05,98.71,98.89,99.45,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.001,64,256
cora_run<built-in function id>_NCN_hyper3l7r09jf,78.6,95.94,97.05,98.71,98.89,99.45,95.21,78.6,95.94,97.05,98.71,98.89,99.45,99.74,99.78,98.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0001,0.0001,64,256
