Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,mlp_num_layers,f_node_dim,f_edge_dim,dropout,batch_size,lr
cora_run0cqb8peb_NeoGNN_hyperb562hw6h,51.29,69.37,74.17,79.34,80.44,91.51,59.3,51.29,69.37,74.17,79.34,80.44,91.51,91.72,93.36,83.58,256,1,2,128,8,0.0,256,0.01
cora_run0cqb8peb_NeoGNN_hyper97l2qfym,51.29,69.37,69.37,74.54,83.76,91.51,59.3,51.29,69.37,69.37,74.54,83.76,91.51,91.72,93.36,83.58,256,1,2,128,8,0.0,256,0.001
cora_run0cqb8peb_NeoGNN_hyperd7m5vip4,51.29,69.37,69.37,74.54,83.76,92.25,59.3,51.29,69.37,69.37,74.54,83.76,92.25,91.72,93.36,83.58,256,1,2,128,8,0.0,256,0.0001
cora_run0cqb8peb_NeoGNN_hyperqxzetvmh,51.29,69.37,69.37,74.54,83.76,92.25,59.3,51.29,69.37,69.37,74.54,83.76,92.25,91.72,93.36,83.58,256,1,2,128,8,0.0,512,0.01
cora_run0cqb8peb_NeoGNN_hyperhijmomja,51.29,69.37,70.48,74.17,83.76,92.25,59.3,51.29,69.37,70.48,74.17,83.76,92.25,91.72,93.36,83.58,256,1,2,128,8,0.0,512,0.001
cora_run0cqb8peb_NeoGNN_hypere60nf6hu,51.29,69.37,70.48,74.17,83.76,92.25,59.3,51.29,69.37,70.48,74.17,83.76,92.25,91.72,93.36,83.58,256,1,2,128,8,0.0,512,0.0001
cora_run0cqb8peb_NeoGNN_hyper8ucjvxq7,38.38,69.37,70.48,75.65,83.76,92.25,49.99,38.38,69.37,70.48,75.65,83.76,92.25,91.72,93.56,83.58,256,1,2,128,8,0.0,1024,0.01
cora_run0cqb8peb_NeoGNN_hyper1x8k9xp6,38.38,69.37,70.48,75.65,83.76,92.25,55.81,38.38,69.37,70.48,75.65,83.76,92.25,91.72,93.56,83.58,256,1,2,128,8,0.0,1024,0.001
cora_run0cqb8peb_NeoGNN_hyperji1u1d4t,38.38,69.37,70.48,75.65,83.76,92.25,55.81,38.38,69.37,70.48,75.65,83.76,92.25,92.24,94.04,83.58,256,1,2,128,8,0.0,1024,0.0001
cora_run0cqb8peb_NeoGNN_hyper9a311qap,38.38,69.37,70.48,75.65,83.76,92.25,55.81,38.38,69.37,70.48,75.65,83.76,92.25,92.24,94.04,84.87,256,1,2,128,8,0.1,256,0.01
cora_run0cqb8peb_NeoGNN_hyperncv3g4ro,38.38,69.37,68.63,73.8,83.76,92.25,55.81,38.38,69.37,68.63,73.8,83.76,92.25,92.24,94.04,84.87,256,1,2,128,8,0.1,256,0.001
cora_run0cqb8peb_NeoGNN_hyper28ctg1ay,40.96,69.37,68.63,73.8,83.76,92.25,50.37,40.96,69.37,68.63,73.8,83.76,92.25,92.24,94.04,84.87,256,1,2,128,8,0.1,256,0.0001
cora_run0cqb8peb_NeoGNN_hyperzlujoo3w,40.96,69.37,68.63,74.17,83.76,92.25,50.37,40.96,69.37,68.63,74.17,83.76,92.25,92.24,94.04,84.87,256,1,2,128,8,0.1,512,0.01
cora_run0cqb8peb_NeoGNN_hypercielm603,41.33,69.37,68.63,74.17,83.76,92.25,51.09,41.33,69.37,68.63,74.17,83.76,92.25,92.24,94.04,84.87,256,1,2,128,8,0.1,512,0.001
cora_run0cqb8peb_NeoGNN_hyperxoei106g,42.07,69.37,68.63,74.17,83.76,92.25,51.09,42.07,69.37,68.63,74.17,83.76,92.25,92.24,94.04,84.87,256,1,2,128,8,0.1,512,0.0001
cora_run0cqb8peb_NeoGNN_hyperz9m333mz,42.07,68.27,68.63,74.54,83.76,92.25,51.09,42.07,68.27,68.63,74.54,83.76,92.25,92.24,94.04,84.87,256,1,2,128,8,0.1,1024,0.01
