Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_edge_dim,dropout,batch_size,lr
cora_runafua6nfx_NeoGNN_hyperc35hk9xk,31.73,63.84,67.53,73.8,83.76,89.3,41.7,31.73,63.84,67.53,73.8,83.76,89.3,89.83,91.8,84.87,128,2,64,8,0.0,256,0.01
cora_runafua6nfx_NeoGNN_hyperkvewoib6,47.97,63.84,67.53,73.8,83.76,91.51,41.7,47.97,63.84,67.53,73.8,83.76,91.51,91.36,92.49,84.87,128,2,64,8,0.0,256,0.001
cora_runafua6nfx_NeoGNN_hypera528fsat,24.35,57.2,67.53,73.06,83.76,91.51,45.95,24.35,57.2,67.53,73.06,83.76,91.51,91.36,92.49,84.87,128,2,64,8,0.0,512,0.01
cora_runafua6nfx_NeoGNN_hyperymbfqfda,24.35,57.2,67.53,73.06,83.76,91.51,45.95,24.35,57.2,67.53,73.06,83.76,91.51,91.36,92.49,84.87,128,2,64,8,0.0,512,0.001
cora_runafua6nfx_NeoGNN_hypervws85smw,24.35,57.2,67.53,69.37,83.76,91.51,45.95,24.35,57.2,67.53,69.37,83.76,91.51,91.36,92.49,84.87,128,2,64,8,0.0,1024,0.01
cora_runafua6nfx_NeoGNN_hypernfvgc37z,24.35,57.2,67.53,69.37,86.35,91.51,45.95,24.35,57.2,67.53,69.37,86.35,91.51,91.36,92.49,84.87,128,2,64,8,0.0,1024,0.001
cora_runafua6nfx_NeoGNN_hypernp3ctmf0,23.25,57.2,67.53,69.37,86.35,91.51,42.33,23.25,57.2,67.53,69.37,86.35,91.51,91.36,92.49,84.87,128,2,64,8,0.1,256,0.01
cora_runafua6nfx_NeoGNN_hyperiv3b5xy8,23.25,57.2,67.53,69.37,86.35,91.51,42.33,23.25,57.2,67.53,69.37,86.35,91.51,91.36,92.49,84.87,128,2,64,8,0.1,256,0.001
cora_runafua6nfx_NeoGNN_hyperfl50a19r,23.25,53.87,67.53,69.37,86.35,91.51,42.33,23.25,53.87,67.53,69.37,86.35,91.51,91.36,92.49,84.87,128,2,64,8,0.1,512,0.01
cora_runafua6nfx_NeoGNN_hyperi8awqxls,23.25,53.87,67.53,69.37,86.35,91.88,42.33,23.25,53.87,67.53,69.37,86.35,91.88,91.36,92.49,84.87,128,2,64,8,0.1,512,0.001
cora_runafua6nfx_NeoGNN_hyperwy7jgxfz,23.25,58.67,67.53,74.17,86.35,91.88,42.33,23.25,58.67,67.53,74.17,86.35,91.88,91.36,92.49,84.87,128,2,64,8,0.1,1024,0.01
cora_runafua6nfx_NeoGNN_hyperqse9u7eg,23.25,58.67,67.53,74.17,87.45,94.46,42.33,23.25,58.67,67.53,74.17,87.45,94.46,92.37,92.79,84.87,128,2,64,8,0.1,1024,0.001
cora_runafua6nfx_NeoGNN_hyperc907ye5y,23.25,58.67,67.53,74.17,87.45,94.46,42.33,23.25,58.67,67.53,74.17,87.45,94.46,92.37,92.79,84.87,128,2,64,8,0.3,256,0.01
cora_runafua6nfx_NeoGNN_hyper3jh9xj03,23.25,58.67,67.53,74.17,87.45,94.46,42.33,23.25,58.67,67.53,74.17,87.45,94.46,92.37,92.79,84.87,128,2,64,8,0.3,256,0.001
cora_runafua6nfx_NeoGNN_hypermy5ewfje,51.29,58.3,67.53,74.17,87.45,94.46,45.73,51.29,58.3,67.53,74.17,87.45,94.46,92.37,92.79,84.87,128,2,64,8,0.3,512,0.01
cora_runafua6nfx_NeoGNN_hypermuo6obbc,51.29,58.3,67.53,74.17,87.45,94.46,45.73,51.29,58.3,67.53,74.17,87.45,94.46,92.37,92.79,84.87,128,2,64,8,0.3,512,0.001
cora_runafua6nfx_NeoGNN_hyperpcpkvxzu,51.29,58.3,67.53,74.17,87.45,94.46,45.73,51.29,58.3,67.53,74.17,87.45,94.46,92.37,92.79,84.87,128,2,64,8,0.3,1024,0.01
cora_runafua6nfx_NeoGNN_hyperz3hz14w7,51.29,58.3,67.53,74.17,87.45,94.46,45.73,51.29,58.3,67.53,74.17,87.45,94.46,92.37,92.79,84.87,128,2,64,8,0.3,1024,0.001
cora_runafua6nfx_NeoGNN_hyperv6fsdbgb,51.29,58.3,67.53,74.17,87.45,94.46,45.73,51.29,58.3,67.53,74.17,87.45,94.46,92.37,92.79,85.24,128,2,128,8,0.0,256,0.01
cora_runafua6nfx_NeoGNN_hyperalnbws14,51.29,58.3,67.53,74.17,85.24,94.46,45.73,51.29,58.3,67.53,74.17,85.24,94.46,92.37,92.79,85.24,128,2,128,8,0.0,256,0.001
cora_runafua6nfx_NeoGNN_hyperao8isn4k,51.29,58.3,67.53,74.17,85.24,94.46,45.73,51.29,58.3,67.53,74.17,85.24,94.46,92.37,92.79,85.24,128,2,128,8,0.0,512,0.01
cora_runafua6nfx_NeoGNN_hypervlyka5g2,51.29,58.3,67.53,74.17,85.24,94.46,45.73,51.29,58.3,67.53,74.17,85.24,94.46,92.37,92.79,85.24,128,2,128,8,0.0,512,0.001
cora_runafua6nfx_NeoGNN_hypertoylm28s,51.29,58.3,67.53,74.17,85.24,94.46,45.73,51.29,58.3,67.53,74.17,85.24,94.46,92.37,92.79,85.24,128,2,128,8,0.0,1024,0.01
cora_runafua6nfx_NeoGNN_hypereqq9h1tk,51.29,58.3,67.53,74.17,85.24,94.46,45.73,51.29,58.3,67.53,74.17,85.24,94.46,92.37,92.79,85.24,128,2,128,8,0.0,1024,0.001
cora_runafua6nfx_NeoGNN_hyper2dr1753u,51.29,58.3,71.59,74.17,85.24,94.46,45.73,51.29,58.3,71.59,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,8,0.1,256,0.01
cora_runafua6nfx_NeoGNN_hyperfxt6brt8,51.29,58.3,71.59,74.17,85.24,94.46,45.73,51.29,58.3,71.59,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,8,0.1,256,0.001
cora_runafua6nfx_NeoGNN_hyperegrxpred,51.29,58.3,71.59,74.17,85.24,94.46,45.73,51.29,58.3,71.59,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,8,0.1,512,0.01
cora_runafua6nfx_NeoGNN_hyper5qbwexki,51.29,58.3,71.59,74.17,85.24,94.46,45.73,51.29,58.3,71.59,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,8,0.1,512,0.001
cora_runafua6nfx_NeoGNN_hyperjp2soxuw,51.29,58.3,71.59,74.17,85.24,94.46,45.73,51.29,58.3,71.59,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,8,0.1,1024,0.01
cora_runafua6nfx_NeoGNN_hyperp16b66ez,51.29,58.3,71.59,74.17,85.24,94.46,45.73,51.29,58.3,71.59,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,8,0.1,1024,0.001
cora_runafua6nfx_NeoGNN_hyperumhpui3y,51.29,58.3,71.59,74.17,85.24,94.46,45.73,51.29,58.3,71.59,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,8,0.3,256,0.01
cora_runafua6nfx_NeoGNN_hyperblzv6mu6,51.29,58.3,71.59,74.17,85.24,94.46,45.73,51.29,58.3,71.59,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,8,0.3,256,0.001
cora_runafua6nfx_NeoGNN_hyperv06w6o5d,51.29,58.3,71.59,74.17,85.24,94.46,45.73,51.29,58.3,71.59,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,8,0.3,512,0.01
cora_runafua6nfx_NeoGNN_hyperpxk2et94,51.29,58.3,71.59,74.17,85.24,94.46,45.73,51.29,58.3,71.59,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,8,0.3,512,0.001
cora_runafua6nfx_NeoGNN_hyperi0ghfges,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,8,0.3,1024,0.01
cora_runafua6nfx_NeoGNN_hypery5skl5co,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,8,0.3,1024,0.001
cora_runafua6nfx_NeoGNN_hyperov7eqb4o,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.0,256,0.01
cora_runafua6nfx_NeoGNN_hyperu9ob0jjt,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.0,256,0.001
cora_runafua6nfx_NeoGNN_hypermfl7qaf8,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.0,512,0.01
cora_runafua6nfx_NeoGNN_hypern0witutf,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.0,512,0.001
cora_runafua6nfx_NeoGNN_hyperb0xr920m,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.0,1024,0.01
cora_runafua6nfx_NeoGNN_hyperhz6elonc,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.0,1024,0.001
cora_runafua6nfx_NeoGNN_hyperwbynm2kr,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.1,256,0.01
cora_runafua6nfx_NeoGNN_hyperryklm0of,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.1,256,0.001
cora_runafua6nfx_NeoGNN_hyperlfkvlyjx,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.1,512,0.01
cora_runafua6nfx_NeoGNN_hyperk2mmy2gw,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.1,512,0.001
cora_runafua6nfx_NeoGNN_hypereuys0g8e,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.1,1024,0.01
cora_runafua6nfx_NeoGNN_hyper6l2q8ilp,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.1,1024,0.001
cora_runafua6nfx_NeoGNN_hyper1jr4q5en,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.3,256,0.01
cora_runafua6nfx_NeoGNN_hyperayg1gekd,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.3,256,0.001
cora_runafua6nfx_NeoGNN_hyperxvon3n9x,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.3,512,0.01
cora_runafua6nfx_NeoGNN_hyperuiw5d8h7,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.3,512,0.001
cora_runafua6nfx_NeoGNN_hyperd2bnhpms,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.3,1024,0.01
cora_runafua6nfx_NeoGNN_hypermzit4shv,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,64,16,0.3,1024,0.001
cora_runafua6nfx_NeoGNN_hyper9c7qdm8e,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,16,0.0,256,0.01
cora_runafua6nfx_NeoGNN_hyperwyg7rjyf,51.29,58.3,75.65,74.17,85.24,94.46,45.73,51.29,58.3,75.65,74.17,85.24,94.46,92.37,92.79,85.98,128,2,128,16,0.0,256,0.001
