Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_global_dim,dropout,batch_size,gnn_batch_size,lr
cora_run8jyalhgd_NeoGNN_hypert6d6s5c7,54.8,67.16,90.77,93.73,94.65,96.13,63.16,54.8,67.16,90.77,93.73,94.65,96.13,97.24,97.97,94.56,64,2,64,64,0.0,512,4096,0.01
cora_run8jyalhgd_NeoGNN_hyperu8zlrd8v,50.18,62.55,90.77,93.73,94.65,96.13,56.79,50.18,62.55,90.77,93.73,94.65,96.13,97.24,97.97,94.56,64,2,64,64,0.0,512,4096,0.001
cora_run8jyalhgd_NeoGNN_hyperkkxgo2kr,50.18,54.43,67.34,86.72,92.25,96.13,56.79,50.18,54.43,67.34,86.72,92.25,96.13,97.24,97.97,94.56,64,2,64,64,0.0,512,8192,0.01
cora_run8jyalhgd_NeoGNN_hyperb66bf3qx,50.18,54.43,67.34,86.72,92.25,96.13,56.79,50.18,54.43,67.34,86.72,92.25,96.13,97.24,97.97,94.56,64,2,64,64,0.0,512,8192,0.001
cora_run8jyalhgd_NeoGNN_hypergxiuf2wv,50.18,54.43,78.23,86.72,92.25,96.13,56.79,50.18,54.43,78.23,86.72,92.25,96.13,96.31,97.12,94.56,64,2,64,64,0.0,1024,4096,0.01
cora_run8jyalhgd_NeoGNN_hyperxq0zmz6l,50.18,54.43,78.23,86.72,92.25,96.13,56.79,50.18,54.43,78.23,86.72,92.25,96.13,96.31,97.12,94.56,64,2,64,64,0.0,1024,4096,0.001
cora_run8jyalhgd_NeoGNN_hyper9cekm6wj,50.18,54.24,75.46,88.38,92.25,96.13,56.79,50.18,54.24,75.46,88.38,92.25,96.13,96.31,97.12,94.56,64,2,64,64,0.0,1024,8192,0.01
cora_run8jyalhgd_NeoGNN_hyperq7nvw234,50.18,54.24,75.46,88.38,92.25,96.13,56.79,50.18,54.24,75.46,88.38,92.25,96.13,96.31,97.12,94.56,64,2,64,64,0.0,1024,8192,0.001
cora_run8jyalhgd_NeoGNN_hyperboy3714a,50.18,54.24,82.84,91.7,92.25,96.13,55.81,50.18,54.24,82.84,91.7,92.25,96.13,97.18,97.76,94.56,64,2,64,64,0.1,512,4096,0.01
cora_run8jyalhgd_NeoGNN_hyperncqhma0x,50.18,54.24,82.84,91.7,92.25,96.13,55.81,50.18,54.24,82.84,91.7,92.25,96.13,97.18,97.76,94.56,64,2,64,64,0.1,512,4096,0.001
cora_run8jyalhgd_NeoGNN_hyperok7y4fn8,48.71,54.24,82.84,89.85,93.73,96.13,57.89,48.71,54.24,82.84,89.85,93.73,96.13,97.18,97.76,94.56,64,2,64,64,0.1,512,8192,0.01
cora_run8jyalhgd_NeoGNN_hyperisnz08qq,48.71,54.24,82.84,89.85,93.73,96.13,57.89,48.71,54.24,82.84,89.85,93.73,96.13,97.18,97.76,94.56,64,2,64,64,0.1,512,8192,0.001
cora_run8jyalhgd_NeoGNN_hyperlnn2zt0p,48.71,54.24,82.84,89.85,93.73,95.02,57.89,48.71,54.24,82.84,89.85,93.73,95.02,96.6,97.48,93.64,64,2,64,64,0.1,1024,4096,0.01
cora_run8jyalhgd_NeoGNN_hyper76xujewl,48.71,54.24,82.84,89.85,93.73,95.02,57.89,48.71,54.24,82.84,89.85,93.73,95.02,96.6,97.48,93.64,64,2,64,64,0.1,1024,4096,0.001
cora_run8jyalhgd_NeoGNN_hyperawquk5n8,48.71,54.24,82.84,89.85,95.57,95.02,57.89,48.71,54.24,82.84,89.85,95.57,95.02,96.6,97.92,94.37,64,2,64,64,0.1,1024,8192,0.01
cora_run8jyalhgd_NeoGNN_hypernup2bb2i,48.71,54.24,82.84,89.85,95.57,95.02,57.89,48.71,54.24,82.84,89.85,95.57,95.02,96.6,97.92,94.37,64,2,64,64,0.1,1024,8192,0.001
cora_runhus22t2k_NeoGNN_hyperq0evhgc4,51.11,65.13,80.81,87.82,94.46,95.94,60.07,51.11,65.13,80.81,87.82,94.46,95.94,96.92,97.59,92.8,64,2,64,64,0.0,128,1024,0.01
cora_runhus22t2k_NeoGNN_hyper452ik4y9,41.88,52.4,80.81,87.82,94.46,95.94,52.15,41.88,52.4,80.81,87.82,94.46,95.94,96.92,97.59,91.7,64,2,64,64,0.0,128,1024,0.001
cora_runhus22t2k_NeoGNN_hyperl8k8eo0e,41.88,52.4,80.81,87.82,94.46,95.94,52.15,41.88,52.4,80.81,87.82,94.46,95.94,96.92,97.59,91.7,64,2,64,64,0.0,128,2048,0.01
cora_runhus22t2k_NeoGNN_hypertmh018ff,56.09,59.04,80.81,87.82,94.46,95.94,60.35,56.09,59.04,80.81,87.82,94.46,95.94,96.92,97.59,91.7,64,2,64,64,0.0,128,2048,0.001
cora_runhus22t2k_NeoGNN_hypermf8y4673,56.09,59.04,80.81,87.82,93.91,94.46,60.35,56.09,59.04,80.81,87.82,93.91,94.46,96.47,97.16,93.54,64,2,64,64,0.0,256,1024,0.01
cora_runhus22t2k_NeoGNN_hyper6qvzjk9v,56.09,59.04,68.63,87.82,93.91,94.46,60.35,56.09,59.04,68.63,87.82,93.91,94.46,96.47,97.16,93.54,64,2,64,64,0.0,256,1024,0.001
cora_runhus22t2k_NeoGNN_hyperw7b7zj7e,56.09,59.04,68.63,87.82,93.91,94.46,60.35,56.09,59.04,68.63,87.82,93.91,94.46,96.47,97.16,93.54,64,2,64,64,0.0,256,2048,0.01
cora_runhus22t2k_NeoGNN_hypern20gcloa,56.09,59.04,68.63,87.82,93.91,94.46,60.35,56.09,59.04,68.63,87.82,93.91,94.46,96.47,97.16,93.54,64,2,64,64,0.0,256,2048,0.001
cora_runuol7yvm3_NeoGNN_hyper05ma8dtm,45.2,54.98,78.6,90.22,93.36,94.1,55.36,45.2,54.98,78.6,90.22,93.36,94.1,96.08,97.09,93.08,64,2,64,64,0.0,512,4096,0.01
cora_runuol7yvm3_NeoGNN_hyperc5ytsqzf,45.2,54.98,78.6,90.22,93.36,94.1,55.36,45.2,54.98,78.6,90.22,93.36,94.1,96.08,97.09,93.08,64,2,64,64,0.0,512,4096,0.001
cora_runuol7yvm3_NeoGNN_hyperjd6es59u,45.2,54.98,74.54,90.22,93.36,94.1,55.36,45.2,54.98,74.54,90.22,93.36,94.1,96.08,97.09,91.05,64,2,64,64,0.0,512,8192,0.01
cora_runuol7yvm3_NeoGNN_hyperlu9q43pj,45.2,54.98,74.54,90.22,93.36,94.1,55.36,45.2,54.98,74.54,90.22,93.36,94.1,96.08,97.09,91.05,64,2,64,64,0.0,512,8192,0.001
cora_runuol7yvm3_NeoGNN_hypervw8mgmzo,45.2,54.98,64.02,84.69,93.36,95.2,55.36,45.2,54.98,64.02,84.69,93.36,95.2,96.08,96.68,92.44,64,2,64,64,0.0,1024,4096,0.01
cora_runuol7yvm3_NeoGNN_hypero02p76zb,45.2,54.98,64.02,84.69,93.36,95.2,55.36,45.2,54.98,64.02,84.69,93.36,95.2,96.08,96.68,92.44,64,2,64,64,0.0,1024,4096,0.001
cora_runuol7yvm3_NeoGNN_hyperpkz7nsla,45.2,54.98,64.02,84.69,93.36,95.2,55.36,45.2,54.98,64.02,84.69,93.36,95.2,96.08,96.68,92.44,64,2,64,64,0.0,1024,8192,0.01
cora_runuol7yvm3_NeoGNN_hyperyvf3f317,45.2,54.98,64.02,84.69,93.36,95.2,55.36,45.2,54.98,64.02,84.69,93.36,95.2,96.08,96.68,92.44,64,2,64,64,0.0,1024,8192,0.001
cora_runuol7yvm3_NeoGNN_hyperu85lc9xv,45.2,71.96,88.38,90.41,93.36,95.2,55.36,45.2,71.96,88.38,90.41,93.36,95.2,96.08,96.68,92.44,64,2,64,64,0.1,512,4096,0.01
cora_runuol7yvm3_NeoGNN_hyperawbjbwau,45.2,71.96,88.38,90.41,93.36,95.2,55.36,45.2,71.96,88.38,90.41,93.36,95.2,96.08,96.68,92.44,64,2,64,64,0.1,512,4096,0.001
cora_runuol7yvm3_NeoGNN_hyperv0qds8r7,45.2,71.96,88.38,88.01,93.36,95.2,55.36,45.2,71.96,88.38,88.01,93.36,95.2,96.08,96.68,92.44,64,2,64,64,0.1,512,8192,0.01
cora_runuol7yvm3_NeoGNN_hyper412k2fut,45.2,71.96,88.38,88.01,93.36,95.2,55.36,45.2,71.96,88.38,88.01,93.36,95.2,96.08,96.68,92.44,64,2,64,64,0.1,512,8192,0.001
cora_runuol7yvm3_NeoGNN_hyperyvrzctz9,45.2,61.81,83.03,91.14,93.36,95.2,51.81,45.2,61.81,83.03,91.14,93.36,95.2,96.08,97.29,93.73,64,2,64,64,0.1,1024,4096,0.01
cora_runuol7yvm3_NeoGNN_hyperk1v81xpl,45.2,61.81,83.03,91.14,93.36,95.2,51.81,45.2,61.81,83.03,91.14,93.36,95.2,96.08,97.29,93.73,64,2,64,64,0.1,1024,4096,0.001
