Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,hidden_channels,batch_size,lr
cora_run4lk5h272_SEAL,4.98,52.77,65.87,73.06,87.45,95.76,31.41,4.98,52.77,65.87,73.06,87.45,95.76,96.65,96.45,90.13,32,32,0.001
cora_runmz5geiy5_SEAL,34.13,53.69,62.36,71.4,87.27,95.39,41.72,34.13,53.69,62.36,71.4,87.27,95.39,96.65,95.24,90.13,32,32,0.0001
cora_run19j45k2s_SEAL,34.13,53.69,62.36,71.4,87.27,95.39,41.72,34.13,53.69,62.36,71.4,87.27,95.39,95.93,95.24,90.13,32,64,0.001
cora_runm4mt06n9_SEAL,28.78,49.82,64.94,71.22,87.27,95.39,38.82,28.78,49.82,64.94,71.22,87.27,95.39,95.93,95.24,90.13,32,64,0.0001
cora_runmi6ef321_SEAL,28.78,40.22,65.87,80.63,93.36,95.39,41.59,28.78,40.22,65.87,80.63,93.36,95.39,96.27,96.61,90.13,32,128,0.001
cora_runpbpwgqzg_SEAL,28.78,40.22,65.87,80.63,93.36,95.39,41.59,28.78,40.22,65.87,80.63,93.36,95.39,96.27,96.61,90.13,32,128,0.0001
cora_runl42ab91p_SEAL,28.78,40.22,65.87,80.63,93.36,95.39,41.59,28.78,40.22,65.87,80.63,93.36,95.39,96.96,96.61,87.27,32,256,0.001
cora_run4sanftsu_SEAL,28.78,40.22,65.87,80.63,93.36,95.39,41.59,28.78,40.22,65.87,80.63,93.36,95.39,96.96,96.61,87.27,32,256,0.0001
cora_runu7dgs2g7_SEAL,28.78,40.22,65.87,80.63,93.36,95.39,41.59,28.78,40.22,65.87,80.63,93.36,95.39,96.96,96.61,87.27,64,32,0.001
cora_run2d47625h_SEAL,28.78,40.22,65.87,80.63,93.36,95.39,41.59,28.78,40.22,65.87,80.63,93.36,95.39,96.96,96.61,87.27,64,32,0.0001
cora_rungux04o8o_SEAL,28.78,40.22,66.24,76.75,93.91,95.57,41.59,28.78,40.22,66.24,76.75,93.91,95.57,96.64,96.61,87.27,64,64,0.001
cora_runoyiuoir9_SEAL,28.78,40.22,66.24,76.75,93.91,95.57,41.59,28.78,40.22,66.24,76.75,93.91,95.57,96.64,96.61,87.27,64,64,0.0001
cora_runienslpoz_SEAL,28.78,40.22,66.24,76.75,93.91,95.57,41.59,28.78,40.22,66.24,76.75,93.91,95.57,96.64,96.61,87.27,64,128,0.001
cora_runerwpi8vg_SEAL,47.23,40.22,66.24,76.75,93.91,95.57,52.21,47.23,40.22,66.24,76.75,93.91,95.57,96.64,96.61,90.5,64,128,0.0001
cora_runkv8czezy_SEAL,25.83,47.97,66.24,76.75,93.91,96.13,40.23,25.83,47.97,66.24,76.75,93.91,96.13,96.64,96.61,90.5,64,256,0.001
cora_run5vvvrxpq_SEAL,25.83,47.97,66.24,76.75,93.91,96.13,40.23,25.83,47.97,66.24,76.75,93.91,96.13,96.64,96.61,90.5,64,256,0.0001
cora_run4fpztnsp_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,96.99,97.22,90.5,128,32,0.001
cora_runsgduu7p7_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,96.99,97.22,90.5,128,32,0.0001
cora_run1vkir284_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,96.99,97.22,90.5,128,64,0.001
cora_runw4txu5w2_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,96.99,97.22,90.5,128,64,0.0001
cora_runbh74ld68_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,97.02,97.22,90.5,128,128,0.001
cora_runlce9yqjx_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,97.02,97.22,90.5,128,128,0.0001
cora_runai7nllt3_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,97.02,97.22,90.5,128,256,0.001
cora_runvoyohl4t_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,97.02,97.22,90.5,128,256,0.0001
cora_run9w4bpup3_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,97.02,97.22,90.5,256,32,0.001
cora_runctzolbie_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,97.02,97.22,90.5,256,32,0.0001
cora_runw3sr0tgp_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,97.02,97.22,90.5,256,64,0.001
cora_runnj87fqxz_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,97.02,97.22,82.01,256,64,0.0001
cora_runeprb6rr6_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,97.02,97.22,81.92,256,128,0.001
cora_runldldwcwx_SEAL,25.83,47.97,72.88,83.39,93.91,96.13,40.23,25.83,47.97,72.88,83.39,93.91,96.13,97.02,97.22,81.92,256,128,0.0001
cora_runlwdw7xf3_SEAL,25.83,47.97,72.88,83.39,93.54,96.13,40.23,25.83,47.97,72.88,83.39,93.54,96.13,97.02,97.22,81.92,256,256,0.001
cora_runs60159nm_SEAL,25.83,47.97,72.88,83.39,93.54,96.13,40.23,25.83,47.97,72.88,83.39,93.54,96.13,97.02,97.22,81.92,256,256,0.0001
