model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
NCN,0,67.53,80.81,89.3,91.88,98.52,99.63,73.73,67.53,80.81,89.3,91.88,98.52,99.63,98.48,98.7,94.1
NCNC,0,67.9,77.49,89.3,92.99,98.89,99.26,75.83,67.9,77.49,89.3,92.99,98.89,99.26,98.24,98.52,93.36
NCN,1,21.77,74.91,83.76,90.04,95.57,98.15,46.54,21.77,74.91,83.76,90.04,95.57,98.15,96.77,96.99,90.59
NCN,2,16.97,48.34,75.65,83.39,96.68,99.63,32.84,16.97,48.34,75.65,83.39,96.68,99.63,96.65,96.06,90.96
NCNC,1,16.61,61.25,80.07,87.45,94.46,98.52,43.06,16.61,61.25,80.07,87.45,94.46,98.52,96.8,96.48,90.22
NCN,3,6.64,62.73,74.54,83.76,95.94,97.42,38.05,6.64,62.73,74.54,83.76,95.94,97.42,95.77,95.94,89.48
NCN,4,23.99,46.13,67.16,85.98,94.1,98.89,37.66,23.99,46.13,67.16,85.98,94.1,98.89,95.62,95.69,88.93
NCNC,2,1.85,25.46,78.97,89.3,96.68,99.26,24.12,1.85,25.46,78.97,89.3,96.68,99.26,96.19,95.02,91.33
NCNC,3,34.32,71.22,78.23,85.24,92.62,97.42,48.28,34.32,71.22,78.23,85.24,92.62,97.42,96.01,96.13,90.04
NCNC,4,43.17,30.26,70.85,82.29,94.46,98.89,52.11,43.17,30.26,70.85,82.29,94.46,98.89,95.54,95.33,88.38
BUDDY,0,37.27,43.17,70.11,82.66,92.62,97.42,47.42,37.27,43.17,70.11,82.66,92.62,97.42,95.42,95.38,86.53
BUDDY,1,7.38,27.68,48.71,60.15,83.03,92.25,26.75,7.38,27.68,48.71,60.15,83.03,92.25,90.73,90.75,76.38
BUDDY,2,10.7,27.68,41.33,73.06,85.24,91.51,22.92,10.7,27.68,41.33,73.06,85.24,91.51,90.45,89.69,68.08
BUDDY,3,13.65,21.03,46.49,68.27,84.5,92.25,23.89,13.65,21.03,46.49,68.27,84.5,92.25,89.84,89.61,51.66
BUDDY,4,5.54,17.71,52.03,63.1,81.18,92.62,14.17,5.54,17.71,52.03,63.1,81.18,92.62,90.18,90.13,80.44
ELPH,0,0.74,1.11,35.42,40.22,61.25,76.75,6.74,0.74,1.11,35.42,40.22,61.25,76.75,79.96,80.68,67.9
SEAL,0,41.14,52.4,71.59,79.7,92.8,96.31,50.94,41.14,52.4,71.59,79.7,92.8,96.31,96.75,97.1,68.54
ELPH,1,5.9,17.71,33.58,46.86,70.48,79.34,15.46,5.9,17.71,33.58,46.86,70.48,79.34,79.13,80.88,71.77
ELPH,2,5.17,11.07,29.52,36.9,55.35,73.8,12.08,5.17,11.07,29.52,36.9,55.35,73.8,76.43,77.26,68.45
SEAL,1,16.42,24.17,57.75,62.36,85.98,89.67,22.94,16.42,24.17,57.75,62.36,85.98,89.67,93.92,94.52,76.85
ELPH,3,8.12,24.72,38.01,43.17,61.99,77.86,15.96,8.12,24.72,38.01,43.17,61.99,77.86,79.1,81.06,69.56
SEAL,2,24.91,31.18,57.56,64.39,85.61,89.11,38.05,24.91,31.18,57.56,64.39,85.61,89.11,94.8,95.37,69.74
ELPH,4,6.27,6.27,25.09,46.13,57.2,79.34,15.96,6.27,6.27,25.09,46.13,57.2,79.34,77.15,76.65,69.56
SEAL,3,7.93,36.16,67.9,74.91,86.72,91.51,38.29,7.93,36.16,67.9,74.91,86.72,91.51,94.62,95.32,87.36
SEAL,4,13.65,47.05,47.97,66.42,85.79,93.54,38.81,13.65,47.05,47.97,66.42,85.79,93.54,95.44,96.08,74.72
BUDDY,0,21.03,48.71,70.85,81.92,92.25,97.42,39.49,21.03,48.71,70.85,81.92,92.25,97.42,95.62,95.34,71.96
BUDDY,1,14.02,34.32,67.53,79.34,90.04,97.79,27.66,14.02,34.32,67.53,79.34,90.04,97.79,93.8,93.61,79.15
BUDDY,2,12.55,36.16,48.34,66.05,86.72,94.83,24.67,12.55,36.16,48.34,66.05,86.72,94.83,92.39,92.16,54.61
BUDDY,3,20.66,12.92,58.3,67.9,83.39,92.25,31.17,20.66,12.92,58.3,67.9,83.39,92.25,92.72,91.76,83.76
BUDDY,4,15.13,44.28,63.47,73.43,86.72,94.83,30.91,15.13,44.28,63.47,73.43,86.72,94.83,92.24,92.25,51.48
ELPH,0,3.69,29.15,37.64,48.34,66.05,81.92,28.92,3.69,29.15,37.64,48.34,66.05,81.92,80.93,82.3,65.68
ELPH,1,7.75,17.71,36.9,51.29,64.21,74.91,19.0,7.75,17.71,36.9,51.29,64.21,74.91,79.53,81.87,60.7
ELPH,2,6.27,22.51,31.73,42.8,65.31,78.23,14.62,6.27,22.51,31.73,42.8,65.31,78.23,80.25,80.97,71.22
ELPH,3,5.17,10.33,39.11,48.34,67.53,80.44,13.16,5.17,10.33,39.11,48.34,67.53,80.44,81.19,83.59,76.75
ELPH,4,12.92,5.54,12.55,36.16,51.66,72.69,15.57,12.92,5.54,12.55,36.16,51.66,72.69,73.45,75.05,61.62
MLP-minilm,0,25.83,45.02,61.25,67.16,83.39,92.99,36.52,25.83,45.02,61.25,67.16,83.39,92.99,91.27,91.9,82.66
MLP-e5-large,0,15.13,19.19,23.25,47.97,64.94,82.66,25.17,15.13,16.24,30.63,38.38,55.35,73.43,83.87,84.46,76.2
MLP-minilm,1,26.94,39.85,61.25,64.21,83.39,92.99,36.88,26.94,39.85,61.25,64.21,83.39,92.99,91.16,91.86,82.47
MLP-e5-large,1,11.81,17.34,33.95,50.18,62.36,83.76,20.56,11.81,16.97,31.0,38.75,55.35,73.8,84.0,84.67,75.46
MLP-minilm,2,18.45,22.51,61.25,65.31,83.39,92.99,27.37,18.45,22.51,61.25,65.31,83.39,92.99,91.22,91.92,82.66
MLP-e5-large,2,7.75,18.82,40.59,49.82,66.05,83.76,23.49,7.75,16.97,31.0,39.48,55.72,71.59,84.05,84.91,67.9
MLP-minilm,3,26.57,45.39,60.89,65.68,83.39,92.99,33.68,26.57,45.39,60.89,65.68,83.39,92.99,91.24,91.87,82.47
MLP-e5-large,3,20.66,23.25,37.27,50.92,65.31,83.39,25.94,20.66,16.97,31.0,37.64,55.72,83.76,83.94,84.67,75.83
MLP-minilm,4,26.57,45.76,60.89,66.05,83.39,92.99,37.0,26.57,45.76,60.89,66.05,83.39,92.99,91.23,91.93,82.29
MLP-e5-large,4,19.56,22.14,38.01,46.86,63.1,81.92,26.86,19.56,22.51,38.01,36.9,55.72,83.03,83.47,84.3,75.83
ELPH,0,29.15,53.87,62.36,77.86,91.51,97.05,44.94,29.15,53.87,62.36,77.86,91.51,97.05,94.51,94.84,74.35
BUDDY,0,21.03,48.71,70.85,81.92,92.25,97.42,39.49,21.03,48.71,70.85,81.92,92.25,97.42,95.62,95.34,71.96
BUDDY,1,14.02,34.32,67.53,79.34,90.04,97.79,27.66,14.02,34.32,67.53,79.34,90.04,97.79,93.8,93.61,79.15
BUDDY,2,29.89,36.16,48.34,75.28,86.72,94.83,36.72,29.89,36.16,48.34,75.28,86.72,94.83,92.39,92.16,54.61
BUDDY,3,20.66,12.92,58.3,67.9,83.39,92.25,31.17,20.66,12.92,58.3,67.9,83.39,92.25,92.72,91.76,83.76
BUDDY,4,15.13,44.28,63.47,73.43,86.72,94.83,30.91,15.13,44.28,63.47,73.43,86.72,94.83,92.24,92.25,51.48
ELPH,1,3.69,43.17,69.37,74.91,91.14,96.68,27.03,3.69,43.17,69.37,74.91,91.14,96.68,94.06,94.0,73.06
ELPH,2,15.5,52.77,58.67,69.0,89.67,95.57,33.39,15.5,52.77,58.67,69.0,89.67,95.57,92.93,93.36,61.81
ELPH,3,49.08,53.87,66.42,70.48,83.76,92.99,53.4,49.08,53.87,66.42,70.48,83.76,92.99,91.86,92.97,76.94
ELPH,4,20.3,43.17,54.24,66.79,80.44,92.25,40.52,20.3,43.17,54.24,66.79,80.44,92.25,89.78,90.99,55.9
