Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
llama-cora-origin_dot,2.37 ± nan,9.49 ± nan,19.76 ± nan,25.69 ± nan,37.94 ± nan,54.55 ± nan,8.24 ± nan,2.37 ± nan,9.49 ± nan,19.76 ± nan,25.69 ± nan,37.94 ± nan,54.55 ± nan,62.81 ± nan,67.15 ± nan,60.08 ± nan
llama-cora-origin_dot,3.56 ± nan,9.49 ± nan,19.37 ± nan,23.72 ± nan,36.36 ± nan,52.96 ± nan,6.88 ± nan,3.56 ± nan,9.49 ± nan,19.37 ± nan,23.72 ± nan,36.36 ± nan,52.96 ± nan,60.13 ± nan,64.80 ± nan,58.70 ± nan
ncn-cora,18.18 ± nan,58.10 ± nan,80.24 ± nan,88.93 ± nan,95.26 ± nan,98.42 ± nan,55.61 ± nan,18.18 ± nan,58.10 ± nan,80.24 ± nan,88.93 ± nan,95.26 ± nan,98.42 ± nan,96.53 ± nan,96.89 ± nan,90.32 ± nan
ncnc-cora,26.09 ± nan,61.26 ± nan,78.66 ± nan,85.77 ± nan,96.84 ± nan,98.81 ± nan,62.84 ± nan,26.09 ± nan,61.26 ± nan,78.66 ± nan,85.77 ± nan,96.84 ± nan,98.81 ± nan,96.24 ± nan,96.65 ± nan,89.13 ± nan
llama-cora-origin_dot,11.07 ± nan,24.51 ± nan,49.80 ± nan,70.36 ± nan,90.12 ± nan,95.65 ± nan,19.13 ± nan,11.07 ± nan,24.51 ± nan,49.80 ± nan,70.36 ± nan,90.12 ± nan,95.65 ± nan,92.10 ± nan,91.03 ± nan,85.38 ± nan
ncn-cora,35.57 ± nan,65.22 ± nan,79.84 ± nan,88.14 ± nan,94.86 ± nan,98.02 ± nan,59.50 ± nan,35.57 ± nan,65.22 ± nan,79.84 ± nan,88.14 ± nan,94.86 ± nan,98.02 ± nan,96.23 ± nan,96.78 ± nan,90.71 ± nan
ncnc-cora,26.09 ± nan,59.29 ± nan,77.08 ± nan,86.96 ± nan,96.05 ± nan,99.60 ± nan,40.75 ± nan,26.09 ± nan,59.29 ± nan,77.08 ± nan,86.96 ± nan,96.05 ± nan,99.60 ± nan,96.67 ± nan,96.65 ± nan,90.51 ± nan
llama-cora-origin_dot,2.37 ± nan,33.20 ± nan,49.01 ± nan,68.77 ± nan,89.33 ± nan,96.84 ± nan,23.69 ± nan,2.37 ± nan,33.20 ± nan,49.01 ± nan,68.77 ± nan,89.33 ± nan,96.84 ± nan,92.07 ± nan,91.20 ± nan,84.19 ± nan
cora_runz96z4765_SAGE_Variant,36.28 ± 6.27,46.64 ± 10.36,64.35 ± 7.61,72.73 ± 4.00,86.40 ± 3.73,95.10 ± 1.57,46.03 ± 6.70,36.28 ± 6.27,46.64 ± 10.36,64.35 ± 7.61,72.73 ± 4.00,86.40 ± 3.73,95.10 ± 1.57,91.77 ± 0.91,92.97 ± 0.71,79.84 ± 2.04
cora_runn64s8pt4_GCN_Variant,27.51 ± 16.13,55.02 ± 8.98,73.99 ± 4.03,84.11 ± 2.99,91.46 ± 2.36,96.20 ± 1.71,45.84 ± 8.40,27.51 ± 16.13,55.02 ± 8.98,73.99 ± 4.03,84.11 ± 2.99,91.46 ± 2.36,96.20 ± 1.71,94.18 ± 1.67,94.92 ± 0.63,82.93 ± 3.16
cora_run5yv8mqz0_GIN_Variant,49.25 ± 7.34,62.06 ± 6.57,74.23 ± 2.64,81.98 ± 4.22,91.54 ± 2.91,96.05 ± 2.13,51.90 ± 6.65,49.25 ± 7.34,62.06 ± 6.57,74.23 ± 2.64,81.98 ± 4.22,91.54 ± 2.91,96.05 ± 2.13,94.00 ± 1.38,94.80 ± 0.94,83.99 ± 1.69
