edge_index0,edge_index1,pred,gr
2155,10825,0.5006726,1.0
10522,11188,0.5006812,1.0
4135,13042,0.5006851,1.0
8604,10719,0.50069904,1.0
8685,11686,0.5006984,1.0
3912,4511,0.5006853,1.0
1574,6294,0.5006929,1.0
4059,6248,0.50067896,1.0
7145,10438,0.50068116,1.0
8731,12711,0.50069416,1.0
2987,8990,0.500696,1.0
1574,5200,0.5007111,1.0
2213,5369,0.5006873,1.0
555,8640,0.5006655,1.0
3502,3829,0.50068784,1.0
7168,11235,0.50069594,1.0
6297,6394,0.50069904,1.0
10992,11983,0.5006607,1.0
750,7023,0.5006963,1.0
3321,7681,0.50067973,1.0
555,2662,0.50069094,1.0
3368,4435,0.5006965,1.0
664,12497,0.50067264,1.0
1737,11693,0.50067526,1.0
6164,8964,0.5006924,1.0
8201,12083,0.5006793,1.0
4196,12810,0.5006843,1.0
379,6810,0.5006726,1.0
5057,9113,0.5006865,1.0
5406,9587,0.50068444,1.0
3062,3215,0.5006904,1.0
1104,9128,0.5006668,1.0
7744,12287,0.5006878,1.0
106,11503,0.5006926,1.0
1138,7825,0.50065416,1.0
2065,8806,0.50069654,1.0
1078,3777,0.5006888,1.0
10675,12906,0.50070226,1.0
7235,10919,0.50069827,1.0
3282,7744,0.50069237,1.0
7744,11577,0.50068736,1.0
11096,11680,0.50067925,1.0
2517,10212,0.5006697,1.0
2253,4479,0.5006876,1.0
7030,11094,0.5006661,1.0
1259,9353,0.5006842,1.0
812,12193,0.5006622,1.0
3025,3628,0.5006728,1.0
2630,7468,0.5007007,1.0
7695,10021,0.500681,1.0
3417,6425,0.50068945,1.0
3062,12963,0.5006939,1.0
1,2065,0.5006945,1.0
4753,6441,0.50067186,1.0
814,7240,0.500674,1.0
4414,12902,0.50068957,1.0
5193,5872,0.5006867,1.0
2878,5647,0.5006867,1.0
325,10379,0.5006932,1.0
10522,12319,0.5007027,1.0
8482,11045,0.5006809,1.0
5551,6709,0.50070184,1.0
2092,5002,0.50068176,1.0
7744,8106,0.50068384,1.0
2518,7744,0.5006875,1.0
3006,3874,0.500706,1.0
4067,4368,0.5006811,1.0
5159,9502,0.50069124,1.0
5556,8292,0.50069565,1.0
2007,4454,0.5006855,1.0
915,8042,0.5006678,1.0
1637,11975,0.50067943,1.0
5340,6114,0.500711,1.0
1165,2664,0.5006898,1.0
4927,9757,0.50067973,1.0
8206,8725,0.50069636,1.0
750,12474,0.50070214,1.0
2364,12049,0.50066215,1.0
3006,4928,0.50070095,1.0
8339,11133,0.5006745,1.0
2516,8827,0.5006427,1.0
6552,8557,0.5006724,1.0
9437,12871,0.5006597,1.0
