edge_index0,edge_index1,pred,gr
1617,1858,0.5018705,1.0
628,1279,0.5018825,1.0
2086,2388,0.5018636,1.0
93,410,0.5018623,1.0
1084,1170,0.5018461,1.0
2183,2309,0.50187397,1.0
558,559,0.501872,1.0
1767,1768,0.5018644,1.0
1546,2483,0.5018979,1.0
244,254,0.50189394,1.0
603,688,0.50186604,1.0
167,404,0.5018726,1.0
354,1584,0.5018632,1.0
185,265,0.5018805,1.0
404,1199,0.5018572,1.0
1185,2458,0.5018525,1.0
105,470,0.50187325,1.0
534,556,0.5018578,1.0
1731,1732,0.50186265,1.0
548,869,0.5018763,1.0
836,1441,0.5018611,1.0
142,365,0.5018579,1.0
1474,1475,0.50187737,1.0
14,407,0.501864,1.0
468,624,0.501862,1.0
1078,1237,0.50185543,1.0
934,1277,0.5018665,1.0
827,1557,0.50188243,1.0
144,451,0.5018697,1.0
1477,1623,0.501845,1.0
394,1251,0.50187576,1.0
520,679,0.50187516,1.0
346,702,0.50185937,1.0
1327,1533,0.5018574,1.0
1197,1655,0.5018673,1.0
1740,1909,0.5018762,1.0
876,1601,0.50185674,1.0
345,575,0.5018584,1.0
159,2036,0.5018452,1.0
1542,1932,0.50186455,1.0
1648,2023,0.5018743,1.0
1743,1882,0.5018582,1.0
179,702,0.5018612,1.0
1280,1378,0.50185645,1.0
1049,2120,0.5018779,1.0
506,2006,0.5018331,1.0
1085,1444,0.50187397,1.0
1130,1587,0.5018575,1.0
974,1110,0.50183654,1.0
1088,1371,0.5018508,1.0
82,327,0.5018656,1.0
565,575,0.5018672,1.0
1643,1728,0.50184864,1.0
1705,1931,0.5018674,1.0
1213,1305,0.5018575,1.0
1043,1189,0.5018901,1.0
142,159,0.5018573,1.0
517,603,0.5018705,1.0
1580,1586,0.5018449,1.0
1343,1440,0.5018711,1.0
1769,2091,0.5018703,1.0
215,354,0.5018521,1.0
1074,1642,0.501855,1.0
1301,1450,0.5018494,1.0
551,2218,0.5018797,1.0
283,561,0.50184304,1.0
324,1577,0.50187314,1.0
48,2273,0.50186837,1.0
324,2118,0.5018774,1.0
464,1643,0.50185,1.0
812,1700,0.5018495,1.0
1570,1601,0.50185,1.0
89,2255,0.5018662,1.0
614,2294,0.50186825,1.0
1120,1277,0.5018508,1.0
431,1609,0.50184417,1.0
815,1420,0.50185305,1.0
633,2438,0.50187445,1.0
1095,2151,0.5018723,1.0
1877,2154,0.5018764,1.0
1404,1438,0.5018501,1.0
93,450,0.5018722,1.0
1916,2178,0.5018721,1.0
598,642,0.5018746,1.0
874,959,0.5018645,1.0
598,621,0.5018725,1.0
425,664,0.5018593,1.0
854,959,0.5018628,1.0
888,1089,0.501835,1.0
194,696,0.5018691,1.0
89,451,0.50185925,1.0
650,2443,0.50188375,1.0
256,541,0.5018509,1.0
2374,2461,0.50187516,1.0
136,181,0.5018725,1.0
425,557,0.50185513,1.0
544,1692,0.501848,1.0
1074,1428,0.5018475,1.0
257,1917,0.50188273,1.0
450,581,0.5018635,1.0
959,1218,0.50185794,1.0
2204,2361,0.50188005,1.0
246,2329,0.5018516,1.0
355,1186,0.50184906,1.0
858,925,0.5018453,1.0
208,668,0.50187606,1.0
812,1425,0.50186074,1.0
1017,1025,0.501885,1.0
395,2387,0.5018516,1.0
533,2294,0.5018615,1.0
870,1335,0.5018862,1.0
1892,1978,0.5018406,1.0
73,964,0.50187093,1.0
1965,2416,0.50187284,1.0
2322,2358,0.5018689,1.0
159,711,0.5018585,1.0
538,1172,0.501868,1.0
538,1435,0.5018621,1.0
154,957,0.501858,1.0
966,1044,0.5018577,1.0
965,1218,0.50186193,1.0
190,1773,0.50185436,1.0
537,941,0.5018562,1.0
1074,1483,0.50184375,1.0
575,672,0.5018512,1.0
1697,2382,0.50185597,1.0
1421,1626,0.5018616,1.0
1799,2156,0.5018678,1.0
401,1438,0.50186473,1.0
544,786,0.5018654,1.0
659,829,0.5018426,1.0
1928,2253,0.5018516,1.0
1910,2053,0.50186783,1.0
547,655,0.5018616,1.0
2085,2107,0.50184375,1.0
419,1388,0.5018595,1.0
533,1321,0.5018635,1.0
1072,2111,0.5018583,1.0
1047,1994,0.5018663,1.0
1477,1588,0.5018355,1.0
1830,2061,0.50186497,1.0
1918,2476,0.5018482,1.0
703,1806,0.5018548,1.0
505,1136,0.5018525,1.0
401,884,0.50186443,1.0
106,598,0.50188404,1.0
537,1202,0.5018666,1.0
2252,2254,0.50187325,1.0
528,1370,0.50186765,1.0
1329,2055,0.50182664,1.0
15,304,0.50187147,1.0
1875,2206,0.5018498,1.0
969,1029,0.5018626,1.0
1974,2048,0.501844,1.0
778,1375,0.50185555,1.0
2190,2315,0.501858,1.0
1747,1834,0.50186497,1.0
9,290,0.5018657,1.0
421,1449,0.5018636,1.0
193,339,0.50185347,1.0
684,889,0.50186455,1.0
848,1139,0.5018586,1.0
137,305,0.50184095,1.0
224,1200,0.5018656,1.0
683,1690,0.5018813,1.0
698,1935,0.5018719,1.0
1949,2412,0.5018495,1.0
2009,2176,0.50188404,1.0
949,1403,0.5018333,1.0
159,1139,0.5018634,1.0
575,1241,0.5018762,1.0
139,490,0.5018489,1.0
190,1381,0.5018644,1.0
629,2362,0.50185955,1.0
60,533,0.50187415,1.0
760,1267,0.5018591,1.0
1025,1454,0.5018705,1.0
1004,1232,0.50184184,1.0
393,1130,0.5018531,1.0
601,1991,0.501864,1.0
300,2137,0.50188255,1.0
67,492,0.5018711,1.0
106,603,0.501883,1.0
1081,1324,0.5018662,1.0
14,31,0.50186783,1.0
771,1090,0.5019083,1.0
191,402,0.50186867,1.0
551,2195,0.50188047,1.0
538,1175,0.5018604,1.0
759,1356,0.5018786,1.0
239,2453,0.5018595,1.0
1034,1352,0.5018648,1.0
524,579,0.501853,1.0
1427,1489,0.5018501,1.0
533,596,0.50184965,1.0
2005,2327,0.5018862,1.0
858,1237,0.50186497,1.0
86,601,0.50183654,1.0
64,698,0.5018474,1.0
1168,1341,0.5018475,1.0
