edge_index0,edge_index1,pred,gr
8649,10460,8.674491,1.0
2788,4540,10.741044,1.0
4846,13142,15.349841,1.0
10478,11270,12.087007,1.0
4782,10839,13.590144,1.0
3829,5938,10.749785,1.0
2951,11592,13.413513,1.0
12048,13061,14.8863945,1.0
2448,2940,4.87824,1.0
2648,10037,6.412773,1.0
575,12718,8.32589,1.0
2103,5679,16.65718,1.0
11261,11588,9.444659,1.0
2116,11698,11.815618,1.0
2532,10181,12.006662,1.0
1476,8952,5.4984803,1.0
4838,6515,-9.06837,1.0
2835,8269,12.712832,1.0
531,12199,4.7122736,1.0
3198,7681,12.092302,1.0
3254,8985,9.007825,1.0
2962,6769,10.3086405,1.0
2150,4771,7.7801723,1.0
2116,6262,15.189572,1.0
3759,11145,1.0650114,1.0
4511,7106,8.671407,1.0
3982,10973,7.883999,1.0
7298,8634,14.383307,1.0
262,12829,10.263375,1.0
7824,9652,0.28973714,1.0
9348,11377,-7.6778903,1.0
2448,11108,10.122546,1.0
808,7611,13.118169,1.0
6413,11655,16.201805,1.0
3273,6552,2.2245986,1.0
252,6235,14.312974,1.0
5850,11350,8.318696,1.0
59,8340,6.9405365,1.0
5163,7985,14.215378,1.0
4365,11428,7.6396074,1.0
893,1816,14.409317,1.0
6114,8341,-2.4245152,1.0
9476,11362,1.3981555,1.0
4925,11078,7.647626,1.0
262,9468,8.156234,1.0
2359,13141,12.915443,1.0
9716,11946,15.532448,1.0
1578,12100,11.547895,1.0
1699,12700,11.790677,1.0
1054,12368,12.007448,1.0
5701,12593,12.966602,1.0
263,5796,12.492754,1.0
1742,12208,9.101717,1.0
2418,7055,-9.131762,1.0
9432,11680,15.232925,1.0
2647,5902,-6.6041784,1.0
304,8646,11.669422,1.0
7684,10155,5.6313314,1.0
5837,8992,11.657101,1.0
3907,6126,14.944256,1.0
9144,10515,6.494455,1.0
321,6589,9.8874235,1.0
1690,6114,12.317771,1.0
4598,6263,5.259651,1.0
7142,10181,4.32159,1.0
7744,11082,8.933006,1.0
10975,12988,-9.881432,1.0
9313,10912,15.201398,1.0
6985,12513,-8.827647,1.0
5371,6441,13.678176,1.0
6019,9500,4.1443324,1.0
5831,7744,11.986649,1.0
3896,4382,13.508155,1.0
7203,7989,14.74247,1.0
439,2548,6.5537252,1.0
4288,11394,10.953501,1.0
10380,11962,10.56966,1.0
8393,9788,14.755407,1.0
6770,8153,14.317218,1.0
7643,11911,9.892893,1.0
2818,3514,1.9202685,1.0
5002,9780,7.7226567,1.0
1078,6214,11.843665,1.0
7798,10975,2.1538024,1.0
750,7821,13.969737,1.0
10089,12385,5.8385572,1.0
262,1085,10.54786,1.0
893,12389,13.963616,1.0
10487,11771,7.4293146,1.0
8343,11471,14.894479,1.0
3062,12613,-1.9701619,1.0
7508,10578,9.419443,1.0
6241,12901,10.449532,1.0
2651,11944,4.736491,1.0
8381,13077,12.269718,1.0
