edge_index0,edge_index1,pred,gr
571,994,3.759224,1.0
1588,1628,5.538777,1.0
1160,1522,5.894902,1.0
1096,1520,3.6353536,1.0
722,726,-1.676229,1.0
2066,2426,3.5276575,1.0
2004,2396,-3.5870569,1.0
928,2400,2.2490685,1.0
1863,1967,3.8295536,1.0
1083,1582,-1.3609169,1.0
102,1251,7.1594834,1.0
595,2317,3.075492,1.0
159,377,7.590679,1.0
847,1472,4.3467336,1.0
404,1543,0.68402326,1.0
287,402,8.254734,1.0
1415,2267,0.5191536,1.0
1621,1984,3.3838778,1.0
588,659,-1.1353858,1.0
402,1325,3.5468795,1.0
384,2380,3.3730261,1.0
380,1500,3.1524665,1.0
1911,2202,1.959996,1.0
220,577,6.766644,1.0
1172,1435,6.3478417,1.0
1116,1677,6.4277434,1.0
43,544,6.402946,1.0
642,1745,-1.9407148,1.0
244,254,8.532565,1.0
564,702,8.991297,1.0
592,1447,7.1912985,1.0
324,1196,0.98052603,1.0
776,1528,5.705236,1.0
25,428,3.8427691,1.0
588,620,-0.7726635,1.0
601,1991,2.633745,1.0
1053,1181,6.8204646,1.0
48,681,1.7005879,1.0
1669,1687,4.5826592,1.0
159,2399,6.3850317,1.0
1838,2414,6.723342,1.0
335,700,6.4770527,1.0
516,533,7.718544,1.0
450,493,5.3512535,1.0
1459,1463,7.3095493,1.0
640,2136,2.4991996,1.0
1086,1773,1.0432171,1.0
1168,1401,7.013102,1.0
1114,1477,7.3281703,1.0
1081,2248,3.1744387,1.0
286,401,3.6133375,1.0
738,796,1.168573,1.0
1197,1986,6.3308606,1.0
1782,2304,0.933895,1.0
57,533,7.6453032,1.0
1127,1536,5.2393055,1.0
126,159,8.346764,1.0
516,1744,3.3773472,1.0
1082,1248,-0.5556297,1.0
575,1405,8.521633,1.0
159,747,8.568504,1.0
43,702,7.2083488,1.0
1562,1709,2.08183,1.0
61,891,3.8934534,1.0
1520,1521,6.562732,1.0
699,1892,5.821829,1.0
159,1285,7.4313836,1.0
156,1743,7.1451645,1.0
227,1301,4.8073153,1.0
798,972,5.5766654,1.0
55,1787,0.9812256,1.0
747,1137,2.9867957,1.0
75,2211,3.5935335,1.0
22,2090,3.6267133,1.0
1655,1729,5.531759,1.0
1130,1223,2.9479773,1.0
989,1103,2.552158,1.0
1550,2228,0.86760914,1.0
1395,2165,3.9241273,1.0
1061,1400,1.7422729,1.0
493,2351,3.915678,1.0
1965,2416,3.1292617,1.0
700,1092,8.355848,1.0
378,1960,1.76445,1.0
1410,1634,3.2305,1.0
159,2397,7.6284213,1.0
28,1514,2.0785375,1.0
425,1896,1.6557776,1.0
218,402,8.172324,1.0
587,620,3.0351987,1.0
1347,2243,3.1366816,1.0
1312,1408,-2.441474,1.0
661,702,7.1793284,1.0
1142,1371,6.204756,1.0
270,2031,4.671759,1.0
159,566,7.4259844,1.0
14,512,8.823892,1.0
1379,1563,1.6352774,1.0
647,1177,3.995453,1.0
64,698,5.290136,1.0
440,844,5.110169,1.0
1051,1089,2.64608,1.0
528,695,5.9663286,1.0
870,1164,6.020166,1.0
231,533,3.8870988,1.0
159,2325,7.856883,1.0
928,1550,6.43508,1.0
520,522,8.154069,1.0
21,535,2.4727538,1.0
300,2137,0.9502723,1.0
1064,1414,7.8200393,1.0
766,1019,6.7891307,1.0
2137,2381,-0.09600852,1.0
355,1677,2.8119054,1.0
395,2049,1.0991583,1.0
1010,1220,3.112028,1.0
739,1700,5.637195,1.0
779,857,5.792216,1.0
547,702,7.985101,1.0
710,1324,2.464754,1.0
2198,2321,5.5537043,1.0
1792,2301,5.498958,1.0
1329,2055,7.031374,1.0
1086,1087,6.0642724,1.0
425,965,6.4140224,1.0
1671,1886,1.4398501,1.0
1262,2128,1.840445,1.0
0,407,6.543156,1.0
1617,2319,8.832832,1.0
1170,1171,8.44019,1.0
1537,2226,2.4929962,1.0
36,1930,3.2218196,1.0
65,146,6.683859,1.0
702,733,6.8948016,1.0
842,1188,-2.174001,1.0
533,1523,7.9066267,1.0
142,2124,5.967965,1.0
460,517,5.1354184,1.0
159,2428,7.9991293,1.0
1239,1530,1.9443564,1.0
684,956,6.319154,1.0
2309,2314,7.681246,1.0
533,953,8.182254,1.0
1232,1483,1.6708871,1.0
2148,2194,4.8445983,1.0
159,2116,8.162882,1.0
646,1604,3.8621833,1.0
279,1936,1.9771127,1.0
508,567,6.5509524,1.0
1697,2382,3.5589023,1.0
80,1358,4.7851467,1.0
1170,1437,7.5876083,1.0
1056,1450,2.1763327,1.0
263,308,4.953043,1.0
159,1009,7.441476,1.0
1917,1953,2.8398914,1.0
811,1350,2.702829,1.0
98,2468,3.1205356,1.0
761,984,7.73125,1.0
208,711,5.3982472,1.0
393,1198,5.1286793,1.0
1594,1638,4.929684,1.0
213,562,3.1877189,1.0
1971,2295,0.7197854,1.0
526,1812,7.087345,1.0
306,314,7.09418,1.0
327,940,2.8906841,1.0
1144,1460,4.0765824,1.0
488,720,5.3278046,1.0
1241,2269,5.867655,1.0
159,184,8.127914,1.0
159,1214,7.4242897,1.0
1253,1332,6.828821,1.0
903,1329,3.5997062,1.0
390,1682,4.0221653,1.0
216,848,0.5642752,1.0
1074,1258,2.9430108,1.0
354,371,3.3861861,1.0
1260,1262,6.280168,1.0
163,1654,1.3198204,1.0
1726,2470,4.1477833,1.0
488,2335,4.8150344,1.0
104,1815,3.741966,1.0
2237,2320,7.7146707,1.0
2276,2401,4.657035,1.0
1396,1879,-0.120582946,1.0
633,1902,5.924945,1.0
533,858,7.8918576,1.0
2,533,8.306761,1.0
52,2378,1.2614796,1.0
244,375,2.7727375,1.0
926,943,7.9618177,1.0
132,615,1.5270987,1.0
1302,1519,1.7340578,1.0
1537,2395,5.4231863,1.0
1981,2042,6.029478,1.0
324,1894,6.073374,1.0
524,579,5.0141864,1.0
842,1106,-1.6899347,1.0
412,530,3.6321647,1.0
251,712,5.7869663,1.0
831,1331,5.901551,1.0
1437,2239,2.8200126,1.0
1032,1943,7.045247,1.0
106,1223,3.2949517,1.0
1346,1459,5.3594894,1.0
1801,1809,5.901747,1.0
756,1570,3.9331682,1.0
1719,2161,5.3117504,1.0
75,819,4.3117347,1.0
1492,1994,5.8775754,1.0
989,1499,0.17442413,1.0
425,1955,6.230926,1.0
1766,1768,5.8389573,1.0
1668,1773,3.3304362,1.0
234,1055,6.0068984,1.0
779,1776,5.5190387,1.0
215,1244,5.2597785,1.0
2248,2451,3.490854,1.0
2080,2182,2.681857,1.0
1816,2135,2.3260593,1.0
1500,1636,-1.8671907,1.0
598,621,5.541476,1.0
408,598,3.4567182,1.0
58,2306,0.7606707,1.0
159,1757,7.7048993,1.0
1810,1886,0.62549806,1.0
612,1465,3.1402528,1.0
750,1551,1.1961244,1.0
124,2063,5.0409417,1.0
1133,1170,6.272196,1.0
148,1503,4.700056,1.0
1862,2323,4.9908533,1.0
576,2368,4.8276076,1.0
1721,1787,0.08670598,1.0
954,995,6.582968,1.0
518,537,3.6025364,1.0
14,407,8.912643,1.0
1196,1417,2.7733204,1.0
885,2032,1.5818124,1.0
183,336,1.9542576,1.0
189,603,5.7085977,1.0
13,546,4.884297,1.0
747,1065,2.5287056,1.0
1791,2460,5.6730685,1.0
390,1723,4.583458,1.0
451,1277,5.865281,1.0
881,1276,-1.4774051,1.0
530,632,3.629017,1.0
785,1688,4.7252064,1.0
86,404,4.9431376,1.0
2073,2232,5.840252,1.0
18,1810,4.5323358,1.0
352,43,-3.787258,0.0
673,2456,-0.044579722,0.0
465,888,-4.6690025,0.0
1324,1968,0.3507855,0.0
1616,2103,-2.319608,0.0
2030,2140,-4.63248,0.0
1844,1003,-2.0597749,0.0
1674,1583,-3.8493385,0.0
1825,1737,-4.827367,0.0
1093,474,-4.716803,0.0
1223,376,1.0345229,0.0
1452,328,-2.0262928,0.0
1370,1082,-1.5651225,0.0
122,697,0.44256598,0.0
127,2309,-4.2852497,0.0
612,70,-0.4994895,0.0
516,1001,-2.0960376,0.0
1209,1405,1.5171028,0.0
740,1038,-4.4696074,0.0
1001,2220,-0.8104806,0.0
804,1643,-4.8057847,0.0
1228,467,-1.9621838,0.0
1937,2026,-4.783948,0.0
656,2406,-3.2862194,0.0
2109,1343,-3.134986,0.0
2287,2199,-5.2916374,0.0
1161,2378,-4.3452525,0.0
1295,1872,-4.627012,0.0
1228,412,-1.273614,0.0
1808,1649,-2.1403942,0.0
2391,567,-4.3823037,0.0
377,1971,-4.1065927,0.0
758,430,-2.9336162,0.0
643,1951,-2.1750457,0.0
1176,14,-1.5335668,0.0
624,2224,-0.8243256,0.0
1805,93,-4.532331,0.0
717,2478,-4.0875845,0.0
71,1453,-4.5697317,0.0
91,71,-4.045186,0.0
397,1843,-4.924695,0.0
645,1193,-2.1654105,0.0
1002,1379,-5.1230707,0.0
2330,350,-3.2630386,0.0
2469,1486,-3.6086159,0.0
1086,287,0.58723474,0.0
1827,424,-0.6283937,0.0
1679,1278,-4.5855293,0.0
139,1638,-4.91163,0.0
1034,411,-5.4291034,0.0
2428,1986,-2.0593126,0.0
1326,1473,-2.9257562,0.0
552,2341,1.3968533,0.0
471,983,-2.4849384,0.0
1268,1877,-2.6230924,0.0
2084,1977,-4.9693227,0.0
1566,251,-2.7781496,0.0
1184,315,-4.8972635,0.0
1201,2421,-1.8616327,0.0
19,1890,-0.87586284,0.0
1507,1369,-2.3169959,0.0
2357,285,-3.5698073,0.0
