edge_index0,edge_index1,pred,gr
11931,19231,6.6636415,1.0
6098,16729,3.46575,1.0
1203,18417,7.926174,1.0
515,890,7.656125,1.0
12174,15836,8.5706835,1.0
4320,8845,4.9052362,1.0
15522,17641,6.7857237,1.0
1663,7317,9.069519,1.0
14419,15002,4.6016335,1.0
8592,13853,10.016418,1.0
15261,16348,5.6301513,1.0
712,2045,1.5577104,1.0
4849,9293,5.4217005,1.0
2104,5883,2.961891,1.0
15151,18581,4.4300623,1.0
8736,11630,9.657667,1.0
2176,7075,4.988782,1.0
12232,13554,7.84682,1.0
2692,8065,6.27918,1.0
12306,18232,5.2846465,1.0
8760,14944,11.202757,1.0
4248,7829,6.3811455,1.0
365,15375,9.603422,1.0
11260,12639,6.5725417,1.0
5450,16334,6.8909564,1.0
3773,16991,10.922842,1.0
18013,19069,11.135498,1.0
2236,13192,9.923953,1.0
5736,16252,5.3810673,1.0
2196,14663,7.6074376,1.0
12867,17756,-0.334408,1.0
4074,16334,7.9993114,1.0
4083,13470,7.064379,1.0
1527,16452,7.6717567,1.0
4809,13726,10.066952,1.0
5401,15771,3.460465,1.0
4826,12266,3.5870879,1.0
12642,14466,4.5372887,1.0
3137,7797,9.705042,1.0
8928,15593,4.088583,1.0
99,1339,9.61123,1.0
2229,9322,8.963693,1.0
18299,19378,3.0889847,1.0
1945,18478,10.576552,1.0
1434,7903,8.015679,1.0
3210,10391,6.760337,1.0
3499,13190,8.751001,1.0
3055,9312,5.847963,1.0
891,16488,9.179496,1.0
1129,3598,0.8253698,1.0
7479,12133,4.8050666,1.0
454,12147,4.563925,1.0
9131,13554,7.69708,1.0
6398,12052,2.8716066,1.0
11016,17969,6.738471,1.0
2605,5620,10.532119,1.0
6475,9039,6.508902,1.0
8485,12226,7.720863,1.0
5775,18948,4.9311957,1.0
7417,14776,2.2684078,1.0
12801,13677,7.6088033,1.0
3586,19459,9.589447,1.0
6251,18698,10.893786,1.0
4879,16329,6.219205,1.0
4301,8892,2.7725613,1.0
7904,10072,6.0169168,1.0
336,7119,8.49669,1.0
10134,18739,7.4302187,1.0
8304,9605,8.158563,1.0
1372,15887,8.164946,1.0
1170,13003,3.570007,1.0
13999,15514,6.3307586,1.0
4537,16567,6.815064,1.0
14362,15275,5.1126184,1.0
12305,15810,4.7539816,1.0
515,8168,10.928681,1.0
4933,5454,7.1105747,1.0
6541,7075,7.3586793,1.0
537,15874,0.7976881,1.0
515,6589,8.235919,1.0
10203,19612,10.619957,1.0
4030,6366,9.9238405,1.0
1215,3656,10.853785,1.0
6462,11697,11.321823,1.0
1137,19609,6.4788995,1.0
4430,14463,-8.15038,1.0
8027,16044,6.5344567,1.0
9039,9045,5.9770813,1.0
8209,18451,7.4388065,1.0
14361,18386,4.2881207,1.0
845,18749,6.467284,1.0
6177,17386,6.9730864,1.0
8374,8782,1.4358085,1.0
4093,17775,6.732459,1.0
8814,19355,0.38740462,1.0
873,18947,7.278843,1.0
3896,16397,8.949248,1.0
2606,14902,5.206408,1.0
11364,11962,4.452038,1.0
