edge_index0,edge_index1,pred,gr
8649,10460,10.085237,1.0
2788,4540,10.797666,1.0
4846,13142,11.608813,1.0
10478,11270,2.7252636,1.0
4782,10839,10.209388,1.0
3829,5938,10.120724,1.0
2951,11592,8.667963,1.0
12048,13061,6.6157513,1.0
2448,2940,4.805045,1.0
2648,10037,4.5395827,1.0
575,12718,7.092773,1.0
2103,5679,10.317207,1.0
11261,11588,0.44098452,1.0
2116,11698,10.753527,1.0
2532,10181,5.0047984,1.0
1476,8952,7.1641817,1.0
4838,6515,-9.039464,1.0
2835,8269,8.664745,1.0
531,12199,2.2135692,1.0
3198,7681,3.8036652,1.0
3254,8985,10.81924,1.0
2962,6769,10.936869,1.0
2150,4771,9.274489,1.0
2116,6262,10.132311,1.0
3759,11145,7.41869,1.0
4511,7106,7.9610076,1.0
3982,10973,7.4850044,1.0
7298,8634,8.412482,1.0
262,12829,3.3236334,1.0
7824,9652,-0.49639323,1.0
9348,11377,-6.4469824,1.0
2448,11108,8.330663,1.0
808,7611,5.985649,1.0
6413,11655,9.681361,1.0
3273,6552,6.3433394,1.0
252,6235,5.6634216,1.0
5850,11350,4.934357,1.0
59,8340,7.665504,1.0
5163,7985,10.415935,1.0
4365,11428,9.283007,1.0
893,1816,8.827799,1.0
6114,8341,0.18801866,1.0
9476,11362,6.589501,1.0
4925,11078,5.9836674,1.0
262,9468,5.4034686,1.0
2359,13141,1.7246968,1.0
9716,11946,10.79199,1.0
1578,12100,8.908398,1.0
1699,12700,9.430274,1.0
1054,12368,9.250167,1.0
5701,12593,9.961412,1.0
263,5796,10.800559,1.0
1742,12208,8.671972,1.0
2418,7055,-9.431616,1.0
9432,11680,10.8349,1.0
2647,5902,-6.65563,1.0
304,8646,11.449538,1.0
7684,10155,7.345081,1.0
5837,8992,9.89221,1.0
3907,6126,10.653135,1.0
9144,10515,5.7834687,1.0
321,6589,11.009191,1.0
1690,6114,9.051281,1.0
4598,6263,4.4087577,1.0
7142,10181,4.5327535,1.0
7744,11082,5.0096283,1.0
10975,12988,2.4032738,1.0
9313,10912,10.60874,1.0
6985,12513,-4.1882796,1.0
5371,6441,9.525776,1.0
6019,9500,5.442994,1.0
5831,7744,6.799909,1.0
3896,4382,8.402779,1.0
7203,7989,0.79247785,1.0
439,2548,9.74856,1.0
4288,11394,11.962957,1.0
10380,11962,9.504213,1.0
8393,9788,11.624705,1.0
6770,8153,10.925268,1.0
7643,11911,2.2038338,1.0
2818,3514,-4.683921,1.0
5002,9780,10.272148,1.0
1078,6214,7.2781963,1.0
7798,10975,6.052177,1.0
750,7821,9.7882185,1.0
10089,12385,1.2728952,1.0
262,1085,5.0022182,1.0
893,12389,8.061815,1.0
10487,11771,7.864576,1.0
8343,11471,10.435179,1.0
3062,12613,2.2536151,1.0
7508,10578,6.97352,1.0
6241,12901,12.276796,1.0
2651,11944,5.028513,1.0
8381,13077,11.010881,1.0
5537,11374,8.404319,1.0
1,4906,6.9268303,1.0
259,6992,9.149721,1.0
406,3339,8.303562,1.0
7744,8584,7.6723194,1.0
5989,10782,9.855346,1.0
1810,11294,8.563976,1.0
5132,6593,8.688647,1.0
1661,3455,8.022346,1.0
2431,11123,12.380196,1.0
8208,8804,9.366922,1.0
2404,8654,7.015269,1.0
848,1769,9.595642,1.0
2,12920,6.4645057,1.0
5854,12659,9.511508,1.0
373,11823,7.354603,1.0
1604,7074,8.072376,1.0
8779,9134,9.019463,1.0
1464,12334,9.675271,1.0
6385,8169,6.2521253,1.0
1396,5298,8.300195,1.0
3267,11262,10.00971,1.0
386,11134,10.695397,1.0
4665,8840,6.933187,1.0
166,341,4.670979,1.0
2232,9978,11.071253,1.0
3224,3856,12.162626,1.0
6713,9114,4.9067607,1.0
647,8587,8.356883,1.0
675,8809,9.836957,1.0
5064,10308,10.44691,1.0
8631,11180,6.900025,1.0
452,4699,3.1975057,1.0
1955,9687,8.3171835,1.0
1399,8640,8.812319,1.0
4405,9089,9.462407,1.0
4599,10564,11.357222,1.0
6485,10083,5.199143,1.0
5971,8422,7.2694793,1.0
6079,10033,6.5811815,1.0
6055,8094,8.546154,1.0
419,9000,8.744387,1.0
3102,6114,6.1233315,1.0
1875,12071,-4.551641,1.0
7765,12264,9.677056,1.0
6214,8887,7.641872,1.0
1813,6828,8.630984,1.0
9650,9779,9.644955,1.0
2259,11150,7.8500667,1.0
3374,5450,8.770841,1.0
2259,2662,7.928441,1.0
1496,12980,9.233622,1.0
6246,10632,8.25166,1.0
1924,1955,6.336539,1.0
4227,5884,8.401761,1.0
3579,5146,5.971435,1.0
262,5296,6.6020927,1.0
7369,11558,10.055046,1.0
3909,4541,9.276348,1.0
5656,12342,3.7685761,1.0
6408,12997,9.675577,1.0
2428,5647,7.287252,1.0
1802,3094,7.2917514,1.0
2039,7170,-0.7496449,1.0
9263,9878,6.9371305,1.0
9212,11855,7.8127627,1.0
768,3896,0.19883989,1.0
4635,9577,10.755768,1.0
8501,11395,10.135184,1.0
511,11799,4.3907213,1.0
10239,10919,9.521827,1.0
3673,13014,8.300887,1.0
4596,8600,-0.9655056,1.0
2551,10567,5.1276035,1.0
5202,10384,9.734982,1.0
4492,7058,10.480079,1.0
915,12130,10.833227,1.0
3413,9199,5.220166,1.0
8292,13123,12.313949,1.0
7744,10952,7.849939,1.0
2247,5884,8.036421,1.0
4300,7848,9.870551,1.0
1816,10639,6.7762027,1.0
2912,4720,-5.9040775,1.0
2550,7409,5.805468,1.0
8026,9744,3.9144568,1.0
1022,9194,4.036396,1.0
3777,5411,8.6718235,1.0
2052,3878,12.417846,1.0
3239,6460,7.0553837,1.0
1850,3056,8.1157675,1.0
4461,7183,2.4591644,1.0
2942,8877,8.8136015,1.0
5277,11074,8.652864,1.0
1054,8171,4.5494156,1.0
5396,8838,-4.14886,1.0
417,7744,5.1105633,1.0
6214,12935,9.223272,1.0
262,2705,4.4201446,1.0
750,6927,10.877357,1.0
2120,4963,-0.69196224,1.0
6263,7117,6.1733212,1.0
4916,12719,9.799508,1.0
7396,10949,7.4588757,1.0
6031,7324,12.159888,1.0
9199,11589,8.88035,1.0
4288,12539,11.774863,1.0
1488,7130,-2.3768656,1.0
6921,7183,9.188544,1.0
2626,11415,8.981142,1.0
5884,10096,7.8320384,1.0
4492,10212,10.931776,1.0
5966,10439,5.1458106,1.0
9664,10813,8.714468,1.0
2065,12938,7.413201,1.0
7744,10102,6.9086876,1.0
1259,2584,4.5125804,1.0
2434,9581,7.891835,1.0
3118,6079,10.259062,1.0
511,12039,5.4255576,1.0
829,12285,6.773506,1.0
1122,9061,10.996599,1.0
6969,11068,6.5437527,1.0
2147,8094,-1.5363559,1.0
4703,5555,7.132943,1.0
1271,2169,9.815086,1.0
7560,10997,-3.2625532,1.0
1406,6948,9.287195,1.0
3855,10118,4.3663135,1.0
9433,10789,8.967413,1.0
1372,4982,7.7720227,1.0
4782,5535,10.081689,1.0
1058,10564,11.347228,1.0
59,5763,7.2051253,1.0
1679,3189,5.9635477,1.0
8477,9423,2.1594808,1.0
173,4495,10.900592,1.0
4987,10667,8.221913,1.0
7424,8705,10.539726,1.0
1928,8134,11.058597,1.0
5402,6697,-10.202634,1.0
3456,10386,8.050939,1.0
53,5815,8.519633,1.0
5486,7744,6.9124417,1.0
166,10021,7.40708,1.0
2994,9954,5.3485217,1.0
371,13077,10.696862,1.0
4217,7073,10.794817,1.0
828,3496,9.749032,1.0
183,2706,9.983065,1.0
1534,3988,9.317762,1.0
1363,8196,6.8677883,1.0
8728,10503,8.068745,1.0
5660,11821,7.060739,1.0
3239,11316,7.6606913,1.0
4742,9434,8.057102,1.0
750,8500,11.2128525,1.0
5166,11555,7.210097,1.0
3427,12507,9.426855,1.0
7651,12199,5.831458,1.0
10959,13047,-1.1684331,1.0
4801,11908,5.5579524,1.0
611,9488,11.215046,1.0
4838,10114,8.342125,1.0
10,12867,-6.5444193,1.0
8924,10776,7.895723,1.0
4801,11148,4.937526,1.0
2838,10209,12.652739,1.0
6502,9801,4.3682017,1.0
10190,10331,10.971293,1.0
2341,7730,10.038277,1.0
8018,11553,6.514469,1.0
2700,7469,1.1328415,1.0
244,4824,4.0704594,1.0
7695,11255,5.244972,1.0
3823,12106,-1.1284503,1.0
4016,11875,10.495626,1.0
5098,8033,3.5636446,1.0
6797,12136,6.652954,1.0
4501,12698,8.740371,1.0
487,7651,8.736146,1.0
3564,6268,11.998428,1.0
1881,3808,9.014542,1.0
8977,12443,3.6298263,1.0
423,11077,-6.2889934,1.0
287,3395,-5.440144,1.0
2527,11624,12.080199,1.0
6829,9468,7.3683734,1.0
3668,12647,-2.9755783,1.0
5747,13000,1.5241824,1.0
2626,5701,10.212635,1.0
5414,12100,6.9835963,1.0
10755,11525,7.648517,1.0
6734,7216,-4.9550633,1.0
1962,8009,7.7425,1.0
5935,13000,4.7511506,1.0
2103,7349,10.563143,1.0
7681,9934,7.9466023,1.0
4481,4876,4.373835,1.0
6673,9841,9.525928,1.0
561,5117,6.6206098,1.0
1139,5403,7.6795063,1.0
6006,12125,10.301938,1.0
1413,2652,8.123672,1.0
1768,7744,3.538642,1.0
5378,8427,9.164837,1.0
4486,10821,9.376271,1.0
166,9997,7.223872,1.0
