edge_index0,edge_index1,pred,gr
571,994,3.4572554,1.0
1588,1628,3.4804885,1.0
1160,1522,3.4006717,1.0
1096,1520,3.8114667,1.0
722,726,-0.71196324,1.0
2066,2426,2.7047393,1.0
2004,2396,-3.7465353,1.0
928,2400,2.6591134,1.0
1863,1967,3.8458948,1.0
1083,1582,-0.34715626,1.0
102,1251,4.537635,1.0
595,2317,2.9068499,1.0
159,377,5.1189013,1.0
847,1472,1.4920697,1.0
404,1543,2.3120828,1.0
287,402,4.6803036,1.0
1415,2267,1.0828316,1.0
1621,1984,3.024701,1.0
588,659,-0.45212838,1.0
402,1325,4.0143867,1.0
384,2380,3.6817791,1.0
380,1500,3.4991932,1.0
1911,2202,-1.3727214,1.0
220,577,4.6825557,1.0
1172,1435,4.6638722,1.0
1116,1677,3.7636878,1.0
43,544,5.802831,1.0
642,1745,-2.356424,1.0
244,254,5.3785224,1.0
564,702,5.7827744,1.0
592,1447,4.2575707,1.0
324,1196,1.9469246,1.0
776,1528,4.837456,1.0
25,428,3.9192233,1.0
588,620,-0.08108718,1.0
601,1991,3.3577266,1.0
1053,1181,2.9783888,1.0
48,681,3.1191757,1.0
1669,1687,0.9142487,1.0
159,2399,5.528419,1.0
1838,2414,4.003181,1.0
335,700,5.5082335,1.0
516,533,4.6572556,1.0
450,493,3.6229963,1.0
1459,1463,4.2940774,1.0
640,2136,2.9132707,1.0
1086,1773,0.87200797,1.0
1168,1401,4.1284237,1.0
1114,1477,4.8085723,1.0
1081,2248,3.3065546,1.0
286,401,3.2872875,1.0
738,796,2.4354424,1.0
1197,1986,4.155264,1.0
1782,2304,0.7946272,1.0
57,533,4.876918,1.0
1127,1536,2.979012,1.0
126,159,5.5306935,1.0
516,1744,3.0649,1.0
1082,1248,-0.73171663,1.0
575,1405,5.4980874,1.0
159,747,5.630988,1.0
43,702,5.424595,1.0
1562,1709,0.71856534,1.0
61,891,3.8646655,1.0
1520,1521,4.0374136,1.0
699,1892,3.2100556,1.0
159,1285,5.0610957,1.0
156,1743,4.387573,1.0
227,1301,2.7391841,1.0
798,972,3.6407042,1.0
55,1787,0.58498883,1.0
747,1137,2.9007738,1.0
75,2211,3.545794,1.0
22,2090,3.6535683,1.0
1655,1729,3.6481972,1.0
1130,1223,2.4666045,1.0
989,1103,2.6977727,1.0
1550,2228,1.7238278,1.0
1395,2165,3.7999315,1.0
1061,1400,3.4037697,1.0
493,2351,3.7347162,1.0
1965,2416,2.1435864,1.0
700,1092,5.0942783,1.0
378,1960,3.0952375,1.0
1410,1634,0.080882624,1.0
159,2397,5.3508916,1.0
28,1514,2.1513019,1.0
425,1896,2.1287098,1.0
218,402,5.173366,1.0
587,620,1.9511092,1.0
1347,2243,3.8447704,1.0
1312,1408,-1.9087231,1.0
661,702,5.900465,1.0
1142,1371,4.089704,1.0
270,2031,2.3424544,1.0
159,566,5.1671095,1.0
14,512,5.3519964,1.0
1379,1563,1.1379772,1.0
647,1177,2.1060789,1.0
64,698,2.6092074,1.0
440,844,4.3322525,1.0
1051,1089,3.0075893,1.0
528,695,3.3890357,1.0
870,1164,4.144555,1.0
231,533,4.329583,1.0
159,2325,5.478022,1.0
928,1550,3.652955,1.0
520,522,5.3345017,1.0
21,535,2.4015872,1.0
300,2137,2.0557148,1.0
1064,1414,4.7296615,1.0
766,1019,4.1532135,1.0
2137,2381,0.4755396,1.0
355,1677,3.2193613,1.0
395,2049,2.7638664,1.0
1010,1220,2.8336878,1.0
739,1700,3.7917197,1.0
779,857,3.7032738,1.0
547,702,4.8806977,1.0
710,1324,2.5938003,1.0
2198,2321,3.2395904,1.0
1792,2301,5.096943,1.0
1329,2055,4.4316115,1.0
1086,1087,3.531997,1.0
425,965,4.0435615,1.0
1671,1886,0.5988455,1.0
1262,2128,1.7862384,1.0
0,407,4.2170734,1.0
1617,2319,5.337129,1.0
1170,1171,5.0250773,1.0
1537,2226,2.6388724,1.0
36,1930,3.73667,1.0
65,146,5.0403504,1.0
702,733,2.6663086,1.0
842,1188,-1.7213686,1.0
533,1523,4.960398,1.0
142,2124,3.3491437,1.0
460,517,3.4946826,1.0
159,2428,5.5103745,1.0
1239,1530,1.1644349,1.0
684,956,3.9753346,1.0
2309,2314,4.2959247,1.0
533,953,4.9810834,1.0
1232,1483,2.0873458,1.0
2148,2194,4.6135564,1.0
159,2116,5.3351097,1.0
646,1604,0.7574134,1.0
279,1936,3.2206945,1.0
508,567,4.4803295,1.0
1697,2382,3.448835,1.0
80,1358,2.879323,1.0
1170,1437,4.9716444,1.0
1056,1450,1.2305621,1.0
263,308,3.306767,1.0
159,1009,5.0818872,1.0
1917,1953,3.1337166,1.0
811,1350,1.8160164,1.0
98,2468,3.484589,1.0
761,984,4.5351152,1.0
208,711,4.0579033,1.0
393,1198,3.082257,1.0
1594,1638,3.091334,1.0
213,562,2.8587894,1.0
1971,2295,2.99293,1.0
526,1812,4.721607,1.0
306,314,4.5400515,1.0
327,940,3.3842165,1.0
1144,1460,4.484299,1.0
488,720,3.0749452,1.0
1241,2269,3.9314084,1.0
159,184,5.3934975,1.0
159,1214,5.184391,1.0
1253,1332,3.8852916,1.0
903,1329,3.4415045,1.0
390,1682,2.6407702,1.0
216,848,1.9001507,1.0
1074,1258,2.5100539,1.0
354,371,3.6462708,1.0
1260,1262,3.749552,1.0
163,1654,0.66724086,1.0
1726,2470,3.6214278,1.0
488,2335,2.9320338,1.0
104,1815,4.051095,1.0
2237,2320,4.75882,1.0
2276,2401,2.928375,1.0
1396,1879,-0.7790957,1.0
633,1902,3.873441,1.0
533,858,5.7774143,1.0
2,533,5.201124,1.0
52,2378,2.348263,1.0
244,375,1.8758247,1.0
926,943,4.686621,1.0
132,615,1.1183496,1.0
1302,1519,1.9127928,1.0
1537,2395,2.8090904,1.0
1981,2042,3.3486507,1.0
324,1894,3.065062,1.0
524,579,3.0361915,1.0
842,1106,-1.588462,1.0
412,530,3.465552,1.0
251,712,3.5789747,1.0
831,1331,2.9500797,1.0
1437,2239,3.9528735,1.0
1032,1943,4.7745585,1.0
106,1223,3.353215,1.0
1346,1459,4.703735,1.0
1801,1809,3.506502,1.0
756,1570,0.8341132,1.0
1719,2161,2.6578712,1.0
75,819,4.054167,1.0
1492,1994,3.5683892,1.0
989,1499,-0.7072564,1.0
425,1955,4.130634,1.0
1766,1768,2.4766653,1.0
1668,1773,4.432927,1.0
234,1055,4.037486,1.0
779,1776,3.4796228,1.0
215,1244,3.3567557,1.0
2248,2451,3.258019,1.0
2080,2182,2.0618927,1.0
1816,2135,1.1968057,1.0
1500,1636,-1.1892548,1.0
598,621,4.676367,1.0
408,598,3.3467903,1.0
58,2306,-0.50559926,1.0
159,1757,5.180192,1.0
1810,1886,1.360203,1.0
612,1465,2.9620724,1.0
750,1551,0.9135022,1.0
124,2063,4.133778,1.0
1133,1170,4.8693795,1.0
148,1503,4.0006504,1.0
1862,2323,2.5846488,1.0
576,2368,2.9899063,1.0
1721,1787,0.38956192,1.0
954,995,4.227533,1.0
518,537,3.1932552,1.0
14,407,5.3564525,1.0
1196,1417,2.5178146,1.0
885,2032,1.8311672,1.0
183,336,2.5105736,1.0
189,603,3.9751892,1.0
13,546,2.652536,1.0
747,1065,2.8762255,1.0
1791,2460,3.3544593,1.0
390,1723,1.8646249,1.0
451,1277,4.819342,1.0
881,1276,-1.3008726,1.0
530,632,3.1853845,1.0
785,1688,3.1379354,1.0
86,404,2.3054163,1.0
2073,2232,3.9125714,1.0
18,1810,1.4203765,1.0
352,43,-3.2860456,0.0
673,2456,-0.14478108,0.0
465,888,-4.116781,0.0
1324,1968,-0.08254947,0.0
1616,2103,-2.8762064,0.0
2030,2140,-4.9187107,0.0
1844,1003,-0.85629433,0.0
1674,1583,-4.244802,0.0
1825,1737,-4.4061446,0.0
1093,474,-4.773066,0.0
1223,376,0.5867564,0.0
1452,328,-2.3396254,0.0
1370,1082,-1.9992921,0.0
122,697,1.9311038,0.0
127,2309,-3.1802661,0.0
612,70,0.10894026,0.0
516,1001,-3.6027803,0.0
1209,1405,2.104338,0.0
740,1038,-4.4186196,0.0
1001,2220,-1.4448224,0.0
804,1643,-5.208385,0.0
1228,467,-2.158389,0.0
1937,2026,-4.9410114,0.0
656,2406,-3.8817043,0.0
2109,1343,-3.8450787,0.0
2287,2199,-5.130592,0.0
1161,2378,-3.8681116,0.0
1295,1872,-4.18811,0.0
1228,412,-1.6826638,0.0
1808,1649,-1.4159943,0.0
2391,567,-4.0669084,0.0
377,1971,-4.3910966,0.0
758,430,-3.4520414,0.0
643,1951,-3.4386404,0.0
1176,14,-0.20081192,0.0
624,2224,0.67505044,0.0
1805,93,-3.8056185,0.0
717,2478,-4.5222745,0.0
71,1453,-3.5199478,0.0
91,71,-4.4128623,0.0
397,1843,-5.028589,0.0
645,1193,-1.6429969,0.0
1002,1379,-5.0057435,0.0
2330,350,-3.2545655,0.0
2469,1486,-2.6317832,0.0
1086,287,0.4107382,0.0
1827,424,0.035425372,0.0
1679,1278,-4.439646,0.0
139,1638,-4.5933213,0.0
1034,411,-4.484503,0.0
2428,1986,-2.063053,0.0
1326,1473,-3.4513323,0.0
552,2341,1.6923307,0.0
471,983,-2.9467824,0.0
1268,1877,-1.7895231,0.0
2084,1977,-5.230929,0.0
1566,251,-2.90319,0.0
1184,315,-4.689498,0.0
1201,2421,-1.9014921,0.0
19,1890,-0.8264902,0.0
1507,1369,-1.7795475,0.0
2357,285,-2.897227,0.0
460,702,2.0478153,0.0
1511,88,-1.7208505,0.0
100,1286,-4.4752035,0.0
2472,2032,-2.4030995,0.0
2418,2264,-3.8879566,0.0
1413,62,-4.1992083,0.0
714,392,0.10679804,0.0
388,76,-0.74801254,0.0
1116,345,-4.9713717,0.0
998,68,-3.5124059,0.0
2018,333,-3.671016,0.0
1885,958,-4.445604,0.0
183,1276,-1.9292574,0.0
264,1857,-3.1277406,0.0
1626,1350,-2.2182045,0.0
544,2136,-0.5640169,0.0
2280,2299,0.4249436,0.0
1779,1664,-5.0815835,0.0
206,454,-4.509512,0.0
611,1466,-4.167513,0.0
2077,307,-2.7439415,0.0
814,83,-3.2188554,0.0
2026,1354,1.7579985,0.0
1123,1097,-3.8461921,0.0
2023,1500,-0.2616154,0.0
66,314,-0.77237135,0.0
2447,405,-4.3372946,0.0
2232,474,-0.84888536,0.0
77,603,-3.3242443,0.0
1292,1870,-1.0706002,0.0
1475,1564,0.4253595,0.0
781,743,-2.5488975,0.0
1976,1408,-3.220091,0.0
466,2169,-4.9461784,0.0
2099,788,-3.7990708,0.0
144,352,-1.2647264,0.0
452,1092,0.4964247,0.0
617,2161,0.9370353,0.0
2043,1591,0.6417516,0.0
964,871,-0.85025996,0.0
788,1455,-4.347868,0.0
1469,1277,1.2825279,0.0
1061,1641,-1.8668628,0.0
1826,2054,-3.8570647,0.0
2142,1013,-0.50552374,0.0
1256,181,3.291928,0.0
574,1080,-3.3396978,0.0
2465,238,-4.553298,0.0
1166,2185,-3.129954,0.0
2282,111,-0.44848466,0.0
1838,700,5.146872,0.0
2226,1732,-4.1457734,0.0
1933,739,-2.1119556,0.0
1164,1709,-3.7905574,0.0
871,748,2.3758502,0.0
2015,1283,-2.283877,0.0
1131,1432,0.2047625,0.0
1815,1450,0.11687276,0.0
108,1275,1.312308,0.0
1837,974,-4.231857,0.0
513,1843,-3.0795999,0.0
1235,984,-1.8234187,0.0
1926,2280,2.3793228,0.0
665,54,-4.675456,0.0
1669,800,-3.3930693,0.0
1591,486,0.808537,0.0
403,742,-2.425041,0.0
249,1718,-4.6702724,0.0
2119,1517,0.8045126,0.0
2011,1575,-5.2524877,0.0
662,411,0.8063582,0.0
536,2114,-2.0363238,0.0
483,1994,-4.722746,0.0
1861,369,-3.5905492,0.0
2401,1109,-1.5282663,0.0
472,990,-2.9893658,0.0
2015,1772,-0.6636384,0.0
173,1742,-1.268438,0.0
