edge_index0,edge_index1,pred,gr
11931,19231,8.325423,1.0
6098,16729,2.1619434,1.0
1203,18417,8.080871,1.0
515,890,7.4301286,1.0
12174,15836,8.032701,1.0
4320,8845,5.1631455,1.0
15522,17641,7.612015,1.0
1663,7317,7.6051655,1.0
14419,15002,5.0651407,1.0
8592,13853,6.5399046,1.0
15261,16348,5.7251554,1.0
712,2045,4.0084076,1.0
4849,9293,6.2472496,1.0
2104,5883,6.8301077,1.0
15151,18581,6.9269853,1.0
8736,11630,8.868694,1.0
2176,7075,8.002957,1.0
12232,13554,7.111497,1.0
2692,8065,6.9161787,1.0
12306,18232,2.6436863,1.0
8760,14944,9.710243,1.0
4248,7829,8.502504,1.0
365,15375,8.569173,1.0
11260,12639,5.9777822,1.0
5450,16334,6.276677,1.0
3773,16991,7.806721,1.0
18013,19069,9.079175,1.0
2236,13192,6.0220017,1.0
5736,16252,3.0081043,1.0
2196,14663,8.413804,1.0
12867,17756,1.5865723,1.0
4074,16334,7.031519,1.0
4083,13470,7.2285395,1.0
1527,16452,7.1093106,1.0
4809,13726,9.432582,1.0
5401,15771,6.5493627,1.0
4826,12266,6.217826,1.0
12642,14466,7.649885,1.0
3137,7797,6.5612264,1.0
8928,15593,7.1089716,1.0
99,1339,4.561281,1.0
2229,9322,9.189491,1.0
18299,19378,3.5178401,1.0
1945,18478,6.8501906,1.0
1434,7903,7.695231,1.0
3210,10391,4.1773925,1.0
3499,13190,2.6473444,1.0
3055,9312,6.0713453,1.0
891,16488,9.839451,1.0
1129,3598,0.24928775,1.0
7479,12133,7.40723,1.0
454,12147,3.7804964,1.0
9131,13554,6.9737215,1.0
6398,12052,0.5135492,1.0
11016,17969,5.558869,1.0
2605,5620,7.5778694,1.0
6475,9039,6.074205,1.0
8485,12226,8.177144,1.0
5775,18948,1.1473563,1.0
7417,14776,3.5132525,1.0
12801,13677,7.9906783,1.0
3586,19459,5.586972,1.0
6251,18698,9.334749,1.0
4879,16329,5.871563,1.0
4301,8892,1.8543769,1.0
7904,10072,5.6787553,1.0
336,7119,6.708329,1.0
10134,18739,6.6622,1.0
8304,9605,8.379403,1.0
1372,15887,7.7703514,1.0
1170,13003,2.5841367,1.0
13999,15514,4.79679,1.0
4537,16567,6.37669,1.0
