edge_index0,edge_index1,pred,gr
67,10710,0.49972454,1.0
13055,19633,0.49969095,1.0
3412,15949,0.49971116,1.0
6857,9068,0.49974644,1.0
2223,3626,0.499796,1.0
2257,8737,0.49985638,1.0
2104,13349,0.49980754,1.0
2179,10499,0.4997666,1.0
12127,18306,0.4997904,1.0
4069,5444,0.4997281,1.0
6332,11495,0.49982804,1.0
8748,17190,0.49981362,1.0
6376,18343,0.49981648,1.0
2991,5588,0.49984783,1.0
4407,11150,0.49968988,1.0
2768,4282,0.4997062,1.0
6039,12350,0.49970365,1.0
1412,14879,0.49970263,1.0
12659,19557,0.4997373,1.0
5502,15197,0.499842,1.0
14593,19195,0.4997424,1.0
4128,19119,0.49969238,1.0
3608,19276,0.49970204,1.0
3379,15974,0.499758,1.0
1817,1836,0.49970376,1.0
3642,9633,0.4997663,1.0
1210,16034,0.4998974,1.0
402,6330,0.49969488,1.0
5129,16783,0.4997374,1.0
2940,11187,0.49983162,1.0
8555,17200,0.49978653,1.0
2968,16440,0.49986205,1.0
11848,17603,0.49972442,1.0
6454,17888,0.49979678,1.0
13349,17903,0.49981117,1.0
10772,14227,0.49969012,1.0
15387,17932,0.49969476,1.0
8799,16323,0.49979278,1.0
11219,12635,0.49966514,1.0
4976,18017,0.49987337,1.0
9568,11412,0.49971488,1.0
2055,8691,0.49991488,1.0
6737,11036,0.49972573,1.0
3372,11605,0.4997576,1.0
8935,10107,0.4996993,1.0
415,13769,0.4997749,1.0
10580,14421,0.49970907,1.0
6257,13754,0.49970108,1.0
7098,13743,0.4998117,1.0
1864,16238,0.49987277,1.0
12847,13783,0.49983937,1.0
2772,17190,0.4998004,1.0
1780,6689,0.49973378,1.0
304,11816,0.49974763,1.0
7449,9578,0.4998962,1.0
6393,8805,0.49969333,1.0
238,18603,0.49972168,1.0
14996,19454,0.49966562,1.0
15211,15853,0.49970537,1.0
4031,17438,0.49986002,1.0
49,3922,0.4997796,1.0
4482,14398,0.49985865,1.0
7742,13068,0.49974185,1.0
2065,3997,0.49971476,1.0
873,16517,0.49969918,1.0
10539,10841,0.49976158,1.0
11190,15243,0.49970132,1.0
12248,15221,0.49972418,1.0
3437,12057,0.49973276,1.0
7616,17317,0.49970704,1.0
172,8477,0.49971354,1.0
3514,16100,0.49974275,1.0
1739,17789,0.49971804,1.0
9940,10369,0.49973282,1.0
5621,16242,0.49979505,1.0
12444,18277,0.4998531,1.0
6441,7111,0.49980292,1.0
562,4407,0.49969572,1.0
14070,15037,0.49972513,1.0
11861,17664,0.4997543,1.0
8789,19708,0.49982423,1.0
4730,6120,0.49984306,1.0
6,18189,0.49970794,1.0
8471,14272,0.4997489,1.0
14879,16760,0.499733,1.0
24,15133,0.49987772,1.0
11193,18865,0.49975264,1.0
592,17204,0.49970162,1.0
3064,13554,0.49976212,1.0
250,7659,0.49976993,1.0
996,6422,0.4997449,1.0
5836,16785,0.4997181,1.0
3134,15964,0.49973014,1.0
2234,15128,0.49982107,1.0
3779,4014,0.49968812,1.0
2505,19638,0.49990168,1.0
2994,4454,0.49978945,1.0
2830,18799,0.4998154,1.0
3731,8511,0.49970168,1.0
4661,13399,0.49971595,1.0
2702,9639,0.4997199,1.0
15024,19112,0.4996806,1.0
6509,8121,0.49973568,1.0
5586,14038,0.4996743,1.0
11960,18073,0.49987957,1.0
503,11993,0.49969858,1.0
12083,13824,0.4998661,1.0
7778,19250,0.49974853,1.0
2158,8555,0.4997767,1.0
4725,12985,0.49974015,1.0
4524,14279,0.49969298,1.0
8620,18521,0.4998615,1.0
4301,18783,0.49968407,1.0
15197,16500,0.4998268,1.0
16536,19050,0.49984437,1.0
2549,4559,0.4997475,1.0
3680,5248,0.49975097,1.0
6840,19612,0.49985483,1.0
17182,18607,0.4998122,1.0
10497,15866,0.4996987,1.0
12291,16525,0.49980012,1.0
13082,19220,0.49974346,1.0
9484,18131,0.4997811,1.0
4686,18130,0.49985567,1.0
1988,8815,0.4998389,1.0
315,13821,0.49981457,1.0
16440,18818,0.49986807,1.0
7516,16498,0.499678,1.0
3624,17180,0.49982554,1.0
1653,14218,0.49985644,1.0
10123,13318,0.49968788,1.0
1642,5228,0.49972144,1.0
2996,4904,0.49966976,1.0
4686,6981,0.4998552,1.0
1836,16902,0.49969262,1.0
7118,8040,0.49988356,1.0
3758,12495,0.49971798,1.0
15011,15086,0.49974245,1.0
10864,18013,0.4996834,1.0
8485,12226,0.49970108,1.0
4730,5330,0.49985698,1.0
813,15369,0.49984252,1.0
2705,10069,0.49980554,1.0
3095,7624,0.49974144,1.0
2737,14738,0.49976492,1.0
13226,18676,0.4997866,1.0
4879,12729,0.49976707,1.0
6942,17256,0.49982232,1.0
12854,19274,0.49974293,1.0
1467,14019,0.49972203,1.0
11377,13332,0.4998452,1.0
6268,10969,0.49980813,1.0
3281,11944,0.4997405,1.0
2708,4824,0.49977377,1.0
5062,14286,0.49968544,1.0
60,3625,0.49969536,1.0
1539,9441,0.49970144,1.0
4031,5979,0.49980196,1.0
3054,18754,0.49977294,1.0
80,10720,0.49972066,1.0
5281,17485,0.4998528,1.0
11497,16729,0.49984056,1.0
15347,16566,0.49986246,1.0
1334,10482,0.49969047,1.0
1808,10267,0.49972168,1.0
9242,18644,0.49983048,1.0
2890,5260,0.49979505,1.0
5143,10050,0.49972597,1.0
7305,19694,0.49972668,1.0
6509,12701,0.49973038,1.0
15038,15239,0.4996862,1.0
16426,18965,0.49986264,1.0
2378,11260,0.4998203,1.0
187,15271,0.49971786,1.0
7740,16684,0.49971518,1.0
7884,19586,0.49974075,1.0
9299,10013,0.49981898,1.0
8989,12063,0.4997187,1.0
15022,18292,0.49983734,1.0
9175,12376,0.4997093,1.0
8886,14958,0.4998331,1.0
9217,13752,0.49977836,1.0
