edge_index0,edge_index1,pred,gr
18,96,0.5235165,1.0
7,71,0.5235165,1.0
22,98,0.5235165,1.0
118,119,0.5235165,1.0
29,45,0.5235165,1.0
33,105,0.5235165,1.0
52,58,0.5235165,1.0
13,45,0.5235165,1.0
4,116,0.5235165,1.0
3,119,0.5235165,1.0
29,67,0.5235165,1.0
94,104,0.5235165,1.0
25,94,0.5235165,1.0
104,133,0.5235165,1.0
12,117,0.5235165,1.0
24,114,0.5235165,1.0
73,89,0.5235165,1.0
24,46,0.5235165,1.0
118,139,0.5235165,1.0
63,41,0.5235165,0.0
84,68,0.5235165,0.0
72,45,0.5235165,0.0
96,108,0.5235165,0.0
68,1,0.5235165,0.0
47,15,0.5235165,0.0
108,116,0.5235165,0.0
133,34,0.5235165,0.0
39,37,0.5235165,0.0
2,106,0.5235165,0.0
136,66,0.5235165,0.0
1,130,0.5235165,0.0
55,114,0.5235165,0.0
28,58,0.5235165,0.0
89,47,0.5235165,0.0
73,106,0.5235165,0.0
16,72,0.5235165,0.0
69,109,0.5235165,0.0
117,30,0.5235165,0.0
