edge_index0,edge_index1,pred,gr
1255,6204,0.0,1.0
617,8694,1.0,1.0
6390,10928,1.0,1.0
4747,6263,1.0,1.0
2359,5735,1.0,1.0
958,4449,0.0,1.0
4584,6214,1.0,1.0
1542,4814,1.0,1.0
2578,7920,1.0,1.0
750,10115,1.0,1.0
7912,12241,0.0,1.0
9833,12058,1.0,1.0
7522,7681,1.0,1.0
4635,5150,0.0,1.0
3777,4547,1.0,1.0
7369,7775,1.0,1.0
6058,11112,0.0,1.0
4150,4511,1.0,1.0
6846,12539,1.0,1.0
6114,11578,1.0,1.0
9918,12417,0.0,1.0
5071,6883,1.0,1.0
2946,8488,0.0,1.0
2651,3112,1.0,1.0
4255,5334,1.0,1.0
6691,6987,1.0,1.0
429,6485,1.0,1.0
3968,9004,1.0,1.0
4814,5169,1.0,1.0
2110,8662,1.0,1.0
1822,7058,0.0,1.0
448,5131,1.0,1.0
7611,8340,1.0,1.0
6844,10670,0.0,1.0
904,13077,1.0,1.0
675,11049,0.0,1.0
9669,13148,1.0,1.0
3931,11412,0.0,1.0
5013,12443,0.0,1.0
3991,10878,0.0,1.0
4430,9336,0.0,1.0
3828,6010,0.0,1.0
12558,12698,0.0,1.0
3874,7145,1.0,1.0
635,8009,1.0,1.0
5685,9800,0.0,1.0
9135,11888,0.0,1.0
8277,8482,1.0,1.0
262,10419,1.0,1.0
1026,11153,1.0,1.0
5118,13104,0.0,1.0
1556,13039,0.0,1.0
4931,9861,0.0,1.0
6515,7309,0.0,1.0
2631,10678,1.0,1.0
5413,9856,0.0,1.0
7344,12625,0.0,1.0
789,4960,1.0,1.0
2271,5649,1.0,1.0
4511,8554,1.0,1.0
2284,5040,1.0,1.0
4666,8187,1.0,1.0
2482,2835,1.0,1.0
6419,7681,1.0,1.0
8360,12558,1.0,1.0
6861,8351,1.0,1.0
11025,11677,0.0,1.0
8196,9468,1.0,1.0
6263,11171,1.0,1.0
1508,4665,1.0,1.0
7836,12199,1.0,1.0
7531,9406,1.0,1.0
