edge_index0,edge_index1,pred,gr
4148,10998,1.0,1.0
8033,9495,0.0,1.0
6390,10365,1.0,1.0
2436,6786,0.0,1.0
1441,6978,0.0,1.0
2959,9061,1.0,1.0
3928,8152,1.0,1.0
7989,10005,0.0,1.0
2165,8977,1.0,1.0
9196,10622,0.0,1.0
6724,11599,0.0,1.0
3952,7741,0.0,1.0
379,6312,1.0,1.0
3632,8520,1.0,1.0
8431,12555,1.0,1.0
3128,7477,0.0,1.0
8083,12718,1.0,1.0
6072,10657,0.0,1.0
1813,4015,1.0,1.0
3479,6593,1.0,1.0
7901,8009,1.0,1.0
2868,6184,1.0,1.0
750,4600,1.0,1.0
2476,13145,0.0,1.0
2334,7372,1.0,1.0
1090,13061,1.0,1.0
7681,12068,1.0,1.0
7186,7467,0.0,1.0
2227,8840,1.0,1.0
2498,9553,0.0,1.0
6341,6532,0.0,1.0
4505,5884,1.0,1.0
2282,4731,0.0,1.0
11533,11911,0.0,1.0
3484,8003,1.0,1.0
5162,11826,1.0,1.0
6263,11190,1.0,1.0
925,10755,0.0,1.0
7109,12299,1.0,1.0
2170,12742,1.0,1.0
3062,5884,1.0,1.0
2078,4266,1.0,1.0
4688,6126,0.0,1.0
9226,10442,1.0,1.0
2552,13030,0.0,1.0
2521,11180,1.0,1.0
2470,4119,0.0,1.0
750,3939,0.0,1.0
2162,4739,0.0,1.0
3890,12508,0.0,1.0
10460,11745,1.0,1.0
10533,10549,0.0,1.0
4530,10981,0.0,1.0
750,10869,1.0,1.0
9696,10118,1.0,1.0
6662,8503,0.0,1.0
7353,12313,0.0,1.0
10206,12114,1.0,1.0
4309,6267,0.0,1.0
8909,12983,0.0,1.0
5852,12886,1.0,1.0
8493,13008,0.0,1.0
262,1742,1.0,1.0
5880,12199,1.0,1.0
1604,10189,1.0,1.0
4663,6660,1.0,1.0
6602,10070,1.0,1.0
4101,5491,0.0,1.0
2519,3660,0.0,1.0
5299,6372,0.0,1.0
8015,9433,1.0,1.0
3613,4871,0.0,1.0
758,7349,0.0,1.0
379,8449,1.0,1.0
9522,11940,0.0,1.0
3111,13087,0.0,1.0
7744,10203,1.0,1.0
1980,2253,1.0,1.0
3952,7558,0.0,1.0
5420,8015,1.0,1.0
4255,9797,1.0,1.0
6095,8623,0.0,1.0
101,12465,0.0,1.0
5991,10596,0.0,1.0
3928,12478,0.0,1.0
2085,10853,1.0,1.0
4823,10936,1.0,1.0
3267,5283,0.0,1.0
336,6216,1.0,1.0
5816,5822,0.0,1.0
1157,2457,0.0,1.0
2458,9488,0.0,1.0
3485,6114,1.0,1.0
8187,10155,1.0,1.0
6770,10813,1.0,1.0
1476,3968,1.0,1.0
798,2023,0.0,1.0
5693,5994,1.0,1.0
3411,9193,0.0,1.0
6845,8245,0.0,1.0
4810,11239,1.0,1.0
