edge_index0,edge_index1,pred,gr
8649,10460,0.0,1.0
2788,4540,0.0,1.0
4846,13142,0.0,1.0
10478,11270,1.0,1.0
4782,10839,1.0,1.0
3829,5938,1.0,1.0
2951,11592,1.0,1.0
12048,13061,1.0,1.0
2448,2940,1.0,1.0
2648,10037,0.0,1.0
575,12718,1.0,1.0
2103,5679,1.0,1.0
11261,11588,0.0,1.0
2116,11698,0.0,1.0
2532,10181,0.0,1.0
1476,8952,1.0,1.0
4838,6515,0.0,1.0
2835,8269,1.0,1.0
531,12199,1.0,1.0
3198,7681,1.0,1.0
3254,8985,0.0,1.0
2962,6769,1.0,1.0
2150,4771,1.0,1.0
2116,6262,0.0,1.0
3759,11145,0.0,1.0
4511,7106,1.0,1.0
3982,10973,1.0,1.0
7298,8634,1.0,1.0
262,12829,1.0,1.0
7824,9652,0.0,1.0
9348,11377,0.0,1.0
2448,11108,1.0,1.0
808,7611,1.0,1.0
6413,11655,0.0,1.0
3273,6552,1.0,1.0
252,6235,0.0,1.0
5850,11350,1.0,1.0
59,8340,1.0,1.0
5163,7985,0.0,1.0
4365,11428,0.0,1.0
893,1816,1.0,1.0
6114,8341,0.0,1.0
9476,11362,0.0,1.0
4925,11078,1.0,1.0
262,9468,1.0,1.0
2359,13141,1.0,1.0
9716,11946,1.0,1.0
1578,12100,1.0,1.0
1699,12700,1.0,1.0
1054,12368,1.0,1.0
5701,12593,1.0,1.0
263,5796,1.0,1.0
1742,12208,1.0,1.0
2418,7055,0.0,1.0
9432,11680,1.0,1.0
2647,5902,1.0,1.0
304,8646,0.0,1.0
7684,10155,0.0,1.0
5837,8992,0.0,1.0
3907,6126,0.0,1.0
9144,10515,1.0,1.0
321,6589,1.0,1.0
1690,6114,1.0,1.0
4598,6263,1.0,1.0
7142,10181,1.0,1.0
7744,11082,1.0,1.0
10975,12988,0.0,1.0
9313,10912,1.0,1.0
6985,12513,0.0,1.0
5371,6441,1.0,1.0
6019,9500,1.0,1.0
5831,7744,1.0,1.0
3896,4382,1.0,1.0
7203,7989,0.0,1.0
439,2548,1.0,1.0
4288,11394,1.0,1.0
10380,11962,0.0,1.0
8393,9788,1.0,1.0
6770,8153,1.0,1.0
7643,11911,0.0,1.0
2818,3514,0.0,1.0
5002,9780,0.0,1.0
1078,6214,1.0,1.0
7798,10975,0.0,1.0
750,7821,1.0,1.0
10089,12385,0.0,1.0
262,1085,1.0,1.0
893,12389,1.0,1.0
10487,11771,0.0,1.0
8343,11471,1.0,1.0
3062,12613,1.0,1.0
7508,10578,0.0,1.0
6241,12901,1.0,1.0
2651,11944,1.0,1.0
8381,13077,1.0,1.0
5537,11374,1.0,1.0
1,4906,1.0,1.0
259,6992,0.0,1.0
406,3339,1.0,1.0
7744,8584,1.0,1.0
5989,10782,0.0,1.0
1810,11294,1.0,1.0
5132,6593,1.0,1.0
1661,3455,1.0,1.0
2431,11123,1.0,1.0
8208,8804,1.0,1.0
2404,8654,1.0,1.0
848,1769,0.0,1.0
2,12920,0.0,1.0
5854,12659,1.0,1.0
373,11823,0.0,1.0
1604,7074,1.0,1.0
8779,9134,0.0,1.0
1464,12334,1.0,1.0
6385,8169,1.0,1.0
1396,5298,0.0,1.0
3267,11262,0.0,1.0
386,11134,1.0,1.0
4665,8840,1.0,1.0
166,341,1.0,1.0
2232,9978,0.0,1.0
3224,3856,1.0,1.0
6713,9114,0.0,1.0
647,8587,0.0,1.0
675,8809,1.0,1.0
5064,10308,1.0,1.0
8631,11180,1.0,1.0
452,4699,1.0,1.0
1955,9687,1.0,1.0
1399,8640,1.0,1.0
4405,9089,1.0,1.0
4599,10564,1.0,1.0
6485,10083,1.0,1.0
5971,8422,1.0,1.0
6079,10033,1.0,1.0
6055,8094,1.0,1.0
419,9000,0.0,1.0
3102,6114,1.0,1.0
1875,12071,0.0,1.0
7765,12264,0.0,1.0
6214,8887,1.0,1.0
1813,6828,1.0,1.0
9650,9779,1.0,1.0
2259,11150,1.0,1.0
3374,5450,1.0,1.0
2259,2662,1.0,1.0
1496,12980,1.0,1.0
6246,10632,0.0,1.0
1924,1955,1.0,1.0
4227,5884,1.0,1.0
3579,5146,0.0,1.0
262,5296,1.0,1.0
7369,11558,1.0,1.0
3909,4541,0.0,1.0
5656,12342,0.0,1.0
6408,12997,1.0,1.0
2428,5647,1.0,1.0
1802,3094,1.0,1.0
2039,7170,0.0,1.0
9263,9878,0.0,1.0
9212,11855,0.0,1.0
768,3896,1.0,1.0
4635,9577,1.0,1.0
8501,11395,0.0,1.0
511,11799,0.0,1.0
10239,10919,1.0,1.0
3673,13014,1.0,1.0
4596,8600,0.0,1.0
2551,10567,1.0,1.0
5202,10384,0.0,1.0
4492,7058,1.0,1.0
915,12130,1.0,1.0
3413,9199,1.0,1.0
8292,13123,1.0,1.0
7744,10952,1.0,1.0
2247,5884,1.0,1.0
4300,7848,1.0,1.0
1816,10639,1.0,1.0
2912,4720,0.0,1.0
2550,7409,1.0,1.0
8026,9744,0.0,1.0
1022,9194,1.0,1.0
