edge_index0,edge_index1,pred,gr
3220,8033,1.0,1.0
2651,8917,1.0,1.0
1604,6214,1.0,1.0
1277,8280,1.0,1.0
5328,7371,1.0,1.0
1715,11717,1.0,1.0
4495,11602,0.0,1.0
4746,6627,1.0,1.0
5306,8549,0.0,1.0
933,7090,1.0,1.0
5186,7305,0.0,1.0
3543,6241,1.0,1.0
6079,7125,1.0,1.0
5329,7784,1.0,1.0
5649,8660,1.0,1.0
1580,12012,1.0,1.0
8393,10801,1.0,1.0
5654,11059,0.0,1.0
5047,9363,1.0,1.0
3982,7744,1.0,1.0
9765,11100,1.0,1.0
4149,4258,1.0,1.0
8095,9404,1.0,1.0
2156,10181,1.0,1.0
6366,11316,1.0,1.0
1716,9404,1.0,1.0
5396,7695,1.0,1.0
88,10239,1.0,1.0
4396,5163,1.0,1.0
1054,8226,1.0,1.0
6441,10865,1.0,1.0
1813,4800,1.0,1.0
2517,5242,1.0,1.0
2294,10625,1.0,1.0
5809,10730,0.0,1.0
1180,10998,1.0,1.0
6293,11987,1.0,1.0
2347,7073,1.0,1.0
2652,5284,1.0,1.0
7744,12986,1.0,1.0
4977,5575,1.0,1.0
1273,12969,1.0,1.0
7744,10755,1.0,1.0
8512,10483,0.0,1.0
5473,7744,1.0,1.0
4036,9593,1.0,1.0
10695,12715,1.0,1.0
4255,4278,1.0,1.0
11578,13141,1.0,1.0
68,9047,0.0,1.0
4382,4758,1.0,1.0
3628,7805,1.0,1.0
4800,12230,1.0,1.0
4500,5230,1.0,1.0
2460,4638,1.0,1.0
8866,10952,1.0,1.0
893,9075,0.0,1.0
3223,4511,1.0,1.0
6114,11914,1.0,1.0
2529,9268,1.0,1.0
934,8794,1.0,1.0
4843,5294,1.0,1.0
5417,12782,1.0,1.0
893,9151,1.0,1.0
483,2164,1.0,1.0
676,4268,1.0,1.0
3216,10503,1.0,1.0
3527,10435,1.0,1.0
4089,4235,0.0,1.0
3237,7625,1.0,1.0
8602,11107,1.0,1.0
1420,11164,1.0,1.0
5111,8230,0.0,1.0
1452,6847,1.0,1.0
189,5625,1.0,1.0
262,8222,1.0,1.0
5569,6614,0.0,1.0
1906,11745,1.0,1.0
2139,7467,1.0,1.0
5473,8806,1.0,1.0
2464,7744,1.0,1.0
4003,6143,1.0,1.0
1409,10308,1.0,1.0
4549,7172,1.0,1.0
1900,2684,1.0,1.0
2139,6552,1.0,1.0
4374,7695,1.0,1.0
2184,7043,0.0,1.0
3056,4651,1.0,1.0
931,6840,0.0,1.0
6541,9944,1.0,1.0
2294,7973,1.0,1.0
418,1413,1.0,1.0
6276,7744,1.0,1.0
9836,11126,1.0,1.0
2094,6241,1.0,1.0
418,4565,1.0,1.0
3145,6186,1.0,1.0
1510,8561,1.0,1.0
1828,7744,1.0,1.0
1977,9435,1.0,1.0
884,9095,1.0,1.0
3218,8482,1.0,1.0
8734,10061,1.0,1.0
605,12337,1.0,1.0
11394,11449,1.0,1.0
1246,4960,1.0,1.0
5283,10953,1.0,1.0
5209,10900,0.0,1.0
5151,10533,1.0,1.0
5299,6188,1.0,1.0
10019,11589,1.0,1.0
2412,7203,0.0,1.0
6836,9385,1.0,1.0
3836,11449,1.0,1.0
6036,6878,1.0,1.0
414,472,1.0,1.0
5193,8304,1.0,1.0
4044,6485,1.0,1.0
8966,9750,1.0,1.0
2945,11702,1.0,1.0
3340,12102,1.0,1.0
2456,5027,1.0,1.0
10877,13076,1.0,1.0
48,6450,1.0,1.0
7322,12489,1.0,1.0
2614,6969,1.0,1.0
7491,9286,1.0,1.0
7744,12013,1.0,1.0
3468,10150,1.0,1.0
2674,7014,1.0,1.0
7246,8340,1.0,1.0
939,3647,1.0,1.0
12260,12782,1.0,1.0
2637,4478,1.0,1.0
7744,10252,1.0,1.0
808,9497,1.0,1.0
996,1999,1.0,1.0
417,9021,0.0,1.0
3006,4651,1.0,1.0
7681,12933,1.0,1.0
1587,3325,1.0,1.0
4801,6993,1.0,1.0
4651,5660,1.0,1.0
427,4816,0.0,1.0
6670,7681,1.0,1.0
8668,10337,1.0,1.0
1507,3281,1.0,1.0
2998,4487,1.0,1.0
1611,3155,1.0,1.0
5608,9061,1.0,1.0
6670,11328,1.0,1.0
4782,12461,1.0,1.0
1462,1604,1.0,1.0
3235,12722,1.0,1.0
3197,10240,1.0,1.0
3483,6672,1.0,1.0
707,9113,1.0,1.0
729,3896,1.0,1.0
1461,3968,1.0,1.0
4352,6036,1.0,1.0
3752,5414,1.0,1.0
672,6114,1.0,1.0
3171,12299,1.0,1.0
5288,9590,0.0,1.0
379,808,1.0,1.0
9905,13112,1.0,1.0
453,7587,1.0,1.0
23,7423,1.0,1.0
4883,7124,1.0,1.0
9456,12964,1.0,1.0
2906,7234,1.0,1.0
5420,11454,1.0,1.0
1260,6807,1.0,1.0
10511,12419,1.0,1.0
3145,12415,1.0,1.0
2622,11684,1.0,1.0
5109,10207,1.0,1.0
2099,2351,1.0,1.0
6206,12235,1.0,1.0
4011,8647,1.0,1.0
4191,7223,1.0,1.0
7719,8500,1.0,1.0
297,3964,1.0,1.0
3141,4936,1.0,1.0
1334,1944,1.0,1.0
5850,9367,1.0,1.0
4931,9861,0.0,1.0
1223,10814,1.0,1.0
262,8584,1.0,1.0
3905,10615,0.0,1.0
1955,12199,1.0,1.0
262,4053,1.0,1.0
262,10780,1.0,1.0
6691,9045,1.0,1.0
262,3135,1.0,1.0
337,3968,1.0,1.0
7803,9010,1.0,1.0
6568,8011,1.0,1.0
2470,6263,1.0,1.0
4511,12550,1.0,1.0
6441,12179,1.0,1.0
481,7681,1.0,1.0
2645,7744,1.0,1.0
5128,5788,1.0,1.0
1894,7984,1.0,1.0
4782,5819,1.0,1.0
8175,11717,1.0,1.0
543,12128,0.0,1.0
6104,8987,1.0,1.0
5687,5713,0.0,1.0
6114,12379,1.0,1.0
3062,10258,1.0,1.0
3064,11091,0.0,1.0
2079,10008,1.0,1.0
5628,7681,1.0,1.0
6149,8196,1.0,1.0
