edge_index0,edge_index1,pred,gr
1983,12892,1.0,1.0
5964,7996,0.0,1.0
6946,10036,1.0,1.0
4218,9195,1.0,1.0
331,5516,1.0,1.0
1383,9483,0.0,1.0
7537,8175,0.0,1.0
8399,9093,0.0,1.0
2813,4382,1.0,1.0
4102,9308,0.0,1.0
262,4929,1.0,1.0
1263,10857,0.0,1.0
5283,10953,1.0,1.0
5108,8049,1.0,1.0
418,11527,1.0,1.0
7681,12886,1.0,1.0
8644,12106,1.0,1.0
410,6326,1.0,1.0
624,5349,1.0,1.0
3676,11684,0.0,1.0
630,8952,1.0,1.0
9333,11144,1.0,1.0
4611,11251,1.0,1.0
291,5343,1.0,1.0
4463,8673,1.0,1.0
526,6360,0.0,1.0
7375,13146,0.0,1.0
7744,12617,1.0,1.0
646,5200,1.0,1.0
870,1850,1.0,1.0
1577,9696,1.0,1.0
11328,12443,1.0,1.0
1512,4542,0.0,1.0
1063,2165,1.0,1.0
4776,6350,1.0,1.0
1894,7984,0.0,1.0
92,262,1.0,1.0
2065,10359,1.0,1.0
8393,8564,1.0,1.0
1192,12719,1.0,1.0
1667,7681,1.0,1.0
409,2597,1.0,1.0
6079,8823,1.0,1.0
9245,11578,1.0,1.0
7203,11190,0.0,1.0
1147,10868,1.0,1.0
10869,11133,1.0,1.0
7695,7776,1.0,1.0
5628,8486,1.0,1.0
4255,5334,1.0,1.0
8230,8351,1.0,1.0
6114,10399,0.0,1.0
2030,2868,1.0,1.0
2529,7744,1.0,1.0
8018,9329,1.0,1.0
3935,13102,1.0,1.0
241,6051,0.0,1.0
2524,5370,0.0,1.0
4374,7744,1.0,1.0
10017,11663,1.0,1.0
590,7583,0.0,1.0
2499,9271,1.0,1.0
8593,8604,1.0,1.0
10389,10998,0.0,1.0
1022,10868,1.0,1.0
5008,5022,0.0,1.0
5831,6775,1.0,1.0
4447,9606,0.0,1.0
6441,8460,1.0,1.0
3245,5892,1.0,1.0
11153,13102,1.0,1.0
425,9366,0.0,1.0
1547,2809,1.0,1.0
