edge_index0,edge_index1,pred,gr
1079,5473,1.0,1.0
195,12416,1.0,1.0
4437,7681,1.0,1.0
6080,11032,1.0,1.0
10626,12870,0.0,1.0
3752,6593,1.0,1.0
4979,8683,0.0,1.0
774,7744,1.0,1.0
2845,13014,0.0,1.0
8552,9108,0.0,1.0
4362,6053,1.0,1.0
1591,9531,0.0,1.0
3896,9900,1.0,1.0
159,9113,1.0,1.0
2894,12208,1.0,1.0
328,8106,1.0,1.0
418,12933,1.0,1.0
695,10090,0.0,1.0
4603,11237,0.0,1.0
5824,10141,0.0,1.0
262,5162,1.0,1.0
2983,7375,1.0,1.0
8921,12033,1.0,1.0
3933,12719,1.0,1.0
7611,10268,1.0,1.0
1233,8875,1.0,1.0
2424,9839,1.0,1.0
870,10734,1.0,1.0
2255,12123,0.0,1.0
3957,5718,0.0,1.0
3910,7828,1.0,1.0
4255,9389,0.0,1.0
4255,6274,1.0,1.0
9510,11627,1.0,1.0
1436,5970,0.0,1.0
2526,4720,1.0,1.0
2361,4091,0.0,1.0
6327,9797,0.0,1.0
5990,11223,0.0,1.0
3621,7502,1.0,1.0
5853,7946,0.0,1.0
484,11341,0.0,1.0
4801,8454,1.0,1.0
10380,11962,1.0,1.0
1948,7353,0.0,1.0
8009,11146,1.0,1.0
2489,5404,0.0,1.0
1604,3555,1.0,1.0
5483,12550,1.0,1.0
5417,8115,1.0,1.0
4565,8194,0.0,1.0
768,4255,1.0,1.0
3632,6053,1.0,1.0
251,6577,1.0,1.0
9714,9788,1.0,1.0
6540,7234,1.0,1.0
4478,10212,1.0,1.0
6020,8175,1.0,1.0
7223,8200,1.0,1.0
7744,9856,1.0,1.0
5515,8645,1.0,1.0
11578,11873,1.0,1.0
740,3191,0.0,1.0
3006,12368,1.0,1.0
5004,8251,0.0,1.0
1915,11415,1.0,1.0
3364,9512,1.0,1.0
10937,11025,1.0,1.0
3984,7744,1.0,1.0
469,6732,0.0,1.0
6281,11243,0.0,1.0
5559,5721,0.0,1.0
1726,7046,1.0,1.0
2264,8098,1.0,1.0
5701,7251,1.0,1.0
7674,9433,1.0,1.0
4651,5859,1.0,1.0
1476,9336,1.0,1.0
4000,6214,1.0,1.0
8213,12801,1.0,1.0
1090,11766,1.0,1.0
8870,9713,0.0,1.0
6485,10653,0.0,1.0
6308,11087,1.0,1.0
7437,10876,0.0,1.0
1079,10840,1.0,1.0
379,10007,1.0,1.0
5827,9544,1.0,1.0
7085,12072,0.0,1.0
5396,10137,0.0,1.0
187,682,0.0,1.0
5472,12375,1.0,1.0
3102,3338,1.0,1.0
6293,9084,1.0,1.0
1586,11493,1.0,1.0
9945,10125,1.0,1.0
1402,13144,0.0,1.0
934,5380,1.0,1.0
7744,9638,1.0,1.0
5740,7237,1.0,1.0
7025,7085,0.0,1.0
3903,12059,0.0,1.0
2475,2482,1.0,1.0
2520,10132,1.0,1.0
4832,9352,0.0,1.0
8103,12856,1.0,1.0
1604,4382,1.0,1.0
6992,11252,0.0,1.0
5431,8173,0.0,1.0
3935,4548,1.0,1.0
8649,12675,0.0,1.0
1787,13088,0.0,1.0
10367,13120,0.0,1.0
10303,13035,0.0,1.0
577,10814,0.0,1.0
5667,13052,1.0,1.0
6201,9508,1.0,1.0
1681,3559,1.0,1.0
2741,7909,0.0,1.0
4071,12267,1.0,1.0
1263,7915,0.0,1.0
1291,5107,0.0,1.0
3866,9401,0.0,1.0
12379,12487,1.0,1.0
3598,9192,0.0,1.0
1793,3150,0.0,1.0
391,9118,1.0,1.0
2441,2519,1.0,1.0
5483,8201,1.0,1.0
4651,5211,1.0,1.0
8225,13000,1.0,1.0
3069,5162,1.0,1.0
8,10070,0.0,1.0
8640,9111,1.0,1.0
6274,7744,1.0,1.0
1204,5596,0.0,1.0
2548,7489,0.0,1.0
1962,12368,1.0,1.0
6076,8835,1.0,1.0
3479,5215,0.0,1.0
3056,10125,1.0,1.0
7241,12193,1.0,1.0
4810,10150,0.0,1.0
870,12041,1.0,1.0
2773,6308,0.0,1.0
384,8260,0.0,1.0
2548,8802,1.0,1.0
8916,10001,1.0,1.0
11546,12010,0.0,1.0
2763,7931,1.0,1.0
10402,11359,0.0,1.0
4498,5516,0.0,1.0
2518,8480,0.0,1.0
3812,6263,1.0,1.0
7429,12358,0.0,1.0
7237,10286,1.0,1.0
10155,11433,1.0,1.0
1874,6850,0.0,1.0
3117,5781,0.0,1.0
5008,9660,0.0,1.0
214,4801,1.0,1.0
2897,12157,0.0,1.0
6660,12718,1.0,1.0
4051,8670,0.0,1.0
151,1004,0.0,1.0
5677,5932,0.0,1.0
8790,12475,0.0,1.0
5492,11850,1.0,1.0
587,6946,1.0,1.0
7298,7494,1.0,1.0
11447,12199,1.0,1.0
5210,10442,1.0,1.0
7736,7880,1.0,1.0
8221,9956,1.0,1.0
5483,10756,1.0,1.0
1813,10212,1.0,1.0
4259,9355,1.0,1.0
7599,8746,0.0,1.0
10522,12235,1.0,1.0
7236,9107,0.0,1.0
698,6822,0.0,1.0
5316,12891,0.0,1.0
4972,11686,1.0,1.0
5822,11553,1.0,1.0
3829,8700,1.0,1.0
2098,6727,1.0,1.0
6485,10928,0.0,1.0
7058,7369,1.0,1.0
672,10250,1.0,1.0
5689,12782,1.0,1.0
1324,12899,0.0,1.0
218,10240,1.0,1.0
2963,5299,1.0,1.0
4944,6263,1.0,1.0
4185,10934,1.0,1.0
96,9399,0.0,1.0
967,7607,0.0,1.0
11415,11577,1.0,1.0
6631,13000,1.0,1.0
5575,10155,1.0,1.0
3665,11527,1.0,1.0
2120,10442,1.0,1.0
449,11123,0.0,1.0
1637,4024,0.0,1.0
6584,10612,0.0,1.0
8381,12700,1.0,1.0
6489,6870,1.0,1.0
9803,11394,1.0,1.0
7343,9627,1.0,1.0
8351,11406,1.0,1.0
5618,9571,1.0,1.0
5420,10219,1.0,1.0
5466,6120,1.0,1.0
4386,5211,1.0,1.0
262,10823,0.0,1.0
6042,9642,0.0,1.0
4019,10463,0.0,1.0
2169,8634,1.0,1.0
2788,4540,0.0,1.0
2854,4030,0.0,1.0
7163,9956,1.0,1.0
1476,12200,0.0,1.0
2648,6941,0.0,1.0
3935,7522,1.0,1.0
8784,12590,0.0,1.0
10259,11986,0.0,1.0
2652,12743,1.0,1.0
5542,8563,0.0,1.0
452,4699,1.0,1.0
3849,8563,1.0,1.0
6921,10986,1.0,1.0
5652,10031,0.0,1.0
197,6263,1.0,1.0
3151,8638,1.0,1.0
3518,3589,1.0,1.0
2501,11384,1.0,1.0
750,7072,1.0,1.0
1857,9832,1.0,1.0
3935,9931,1.0,1.0
3439,6779,1.0,1.0
588,1663,1.0,1.0
1528,12194,1.0,1.0
5492,8227,0.0,1.0
262,8225,1.0,1.0
8234,8911,1.0,1.0
2099,2351,1.0,1.0
6626,7744,1.0,1.0
613,4522,0.0,1.0
613,11297,1.0,1.0
8523,11155,1.0,1.0
