edge_index0,edge_index1,pred,gr
1260,3429,1.0,1.0
7063,8395,1.0,1.0
386,12637,0.0,1.0
3517,12508,0.0,1.0
4219,7114,1.0,1.0
7042,12910,1.0,1.0
21,6698,1.0,1.0
8153,12474,1.0,1.0
10691,11136,1.0,1.0
1726,13016,1.0,1.0
1272,8583,1.0,1.0
2833,11305,0.0,1.0
11316,11972,1.0,1.0
1090,5652,1.0,1.0
2653,2704,0.0,1.0
166,1955,1.0,1.0
1472,8378,1.0,1.0
2674,3338,1.0,1.0
4701,11317,0.0,1.0
8094,13077,1.0,1.0
2420,7964,0.0,1.0
3267,11262,0.0,1.0
4384,4782,1.0,1.0
7744,12235,1.0,1.0
6404,8620,1.0,1.0
10960,11092,1.0,1.0
3483,12314,1.0,1.0
5513,10061,0.0,1.0
2534,4175,1.0,1.0
4873,9081,0.0,1.0
7744,10010,1.0,1.0
6569,11570,0.0,1.0
4636,5644,0.0,1.0
4029,12334,0.0,1.0
2287,5060,1.0,1.0
7660,9831,1.0,1.0
6174,7744,1.0,1.0
1238,2559,0.0,1.0
968,11669,1.0,1.0
4483,5688,0.0,1.0
4011,8647,1.0,1.0
3026,10468,0.0,1.0
11270,11356,0.0,1.0
7246,7560,1.0,1.0
2230,8469,0.0,1.0
1317,4944,1.0,1.0
157,7937,1.0,1.0
3679,7190,0.0,1.0
1464,8187,1.0,1.0
8497,11589,1.0,1.0
8801,10181,1.0,1.0
1158,2135,1.0,1.0
331,5268,1.0,1.0
928,11948,1.0,1.0
6281,11243,0.0,1.0
1299,3138,1.0,1.0
790,7916,0.0,1.0
2439,7435,0.0,1.0
12076,12332,0.0,1.0
6204,7787,1.0,1.0
2864,3948,1.0,1.0
2787,12534,0.0,1.0
1739,5245,0.0,1.0
2164,2501,1.0,1.0
4845,8506,0.0,1.0
3766,10250,1.0,1.0
11940,12762,1.0,1.0
5747,13000,1.0,1.0
2817,10870,0.0,1.0
703,1920,0.0,1.0
3419,10476,0.0,1.0
4255,7522,1.0,1.0
5149,5985,1.0,1.0
2878,4801,1.0,1.0
2527,12635,1.0,1.0
5971,10576,0.0,1.0
386,6099,1.0,1.0
6591,12443,1.0,1.0
3624,6627,1.0,1.0
259,11252,0.0,1.0
7744,9346,1.0,1.0
2548,7452,1.0,1.0
744,11324,1.0,1.0
2998,11578,1.0,1.0
1751,11316,1.0,1.0
4386,7230,1.0,1.0
9474,10472,1.0,1.0
9803,11394,1.0,1.0
2678,12156,1.0,1.0
4255,12870,1.0,1.0
2164,12911,1.0,1.0
2254,6232,0.0,1.0
2252,9891,0.0,1.0
3189,9199,1.0,1.0
4044,7494,1.0,1.0
550,9354,0.0,1.0
4382,8772,1.0,1.0
3935,10028,1.0,1.0
4742,8932,1.0,1.0
6394,8430,0.0,1.0
9147,9931,0.0,1.0
6755,9612,0.0,1.0
2626,9286,1.0,1.0
6263,10512,1.0,1.0
907,3212,1.0,1.0
32,1572,1.0,1.0
3069,3494,1.0,1.0
1957,9785,1.0,1.0
5850,12583,1.0,1.0
6855,8642,1.0,1.0
6241,12157,0.0,1.0
9903,12375,1.0,1.0
4458,12632,1.0,1.0
2618,7557,1.0,1.0
1265,9818,0.0,1.0
4823,10534,1.0,1.0
225,10755,1.0,1.0
5144,8323,0.0,1.0
884,11748,1.0,1.0
4262,7309,0.0,1.0
3935,12136,0.0,1.0
485,12966,1.0,1.0
1961,2967,0.0,1.0
9268,9754,1.0,1.0
2470,5211,1.0,1.0
2139,4717,1.0,1.0
395,8003,1.0,1.0
6843,7575,0.0,1.0
5014,9413,0.0,1.0
2550,6423,1.0,1.0
170,8681,0.0,1.0
27,6709,1.0,1.0
5036,9061,0.0,1.0
1813,8176,1.0,1.0
9199,12199,1.0,1.0
5193,7586,0.0,1.0
1578,6485,1.0,1.0
11340,11711,1.0,1.0
5543,10050,1.0,1.0
3496,5888,1.0,1.0
9226,13077,1.0,1.0
5512,11761,0.0,1.0
4198,6001,0.0,1.0
8665,13077,1.0,1.0
3526,6394,1.0,1.0
3391,9263,0.0,1.0
913,7744,1.0,1.0
7695,10223,1.0,1.0
3069,10998,1.0,1.0
1476,4209,1.0,1.0
1054,7228,1.0,1.0
4390,8345,0.0,1.0
3006,7410,1.0,1.0
4823,7509,1.0,1.0
1038,4927,0.0,1.0
6741,7744,0.0,1.0
5838,8083,1.0,1.0
8866,11952,1.0,1.0
1020,7131,0.0,1.0
262,6275,1.0,1.0
2189,4651,1.0,1.0
3889,4696,1.0,1.0
6263,12855,1.0,1.0
262,3913,1.0,1.0
9500,12242,1.0,1.0
1345,6291,0.0,1.0
2806,9226,0.0,1.0
6746,12048,1.0,1.0
5508,5867,0.0,1.0
419,6354,1.0,1.0
4185,11852,1.0,1.0
3575,11270,0.0,1.0
913,10715,1.0,1.0
2868,8137,1.0,1.0
5997,6917,1.0,1.0
521,5697,1.0,1.0
1942,7017,1.0,1.0
1978,5538,1.0,1.0
252,12021,1.0,1.0
5695,9286,1.0,1.0
1604,2995,1.0,1.0
1801,10938,1.0,1.0
4734,9750,1.0,1.0
6587,9126,0.0,1.0
1656,5103,0.0,1.0
2334,6637,1.0,1.0
2475,5697,1.0,1.0
4798,7744,1.0,1.0
5222,10448,0.0,1.0
10581,10784,0.0,1.0
15,8208,1.0,1.0
5863,7611,1.0,1.0
262,9938,1.0,1.0
10759,11146,1.0,1.0
729,12208,1.0,1.0
2434,10427,1.0,1.0
6114,9869,0.0,1.0
6765,8269,1.0,1.0
6892,7744,1.0,1.0
5440,12323,1.0,1.0
2162,10021,1.0,1.0
750,4402,1.0,1.0
1578,10891,1.0,1.0
1965,12334,0.0,1.0
4255,12193,1.0,1.0
3982,7611,1.0,1.0
4960,5420,1.0,1.0
4534,12977,0.0,1.0
2108,12199,1.0,1.0
752,5535,0.0,1.0
1110,5920,1.0,1.0
9019,11549,0.0,1.0
3527,12464,1.0,1.0
511,11799,1.0,1.0
3848,4810,1.0,1.0
3335,12861,0.0,1.0
1117,8360,0.0,1.0
1406,2945,1.0,1.0
3189,6150,1.0,1.0
224,4848,1.0,1.0
2669,6108,0.0,1.0
12244,12583,1.0,1.0
7744,10824,1.0,1.0
2756,9839,1.0,1.0
2345,4544,1.0,1.0
1604,9727,1.0,1.0
3571,6236,0.0,1.0
10240,11711,1.0,1.0
9750,12044,0.0,1.0
3621,4344,1.0,1.0
1506,6425,1.0,1.0
3036,11632,1.0,1.0
6450,9458,1.0,1.0
4631,12443,0.0,1.0
7919,12443,1.0,1.0
2974,10028,1.0,1.0
2949,8431,1.0,1.0
1796,3692,1.0,1.0
3006,7611,1.0,1.0
11441,12085,0.0,1.0
4798,6544,1.0,1.0
3922,9709,1.0,1.0
2065,8589,1.0,1.0
8977,12443,1.0,1.0
7234,11903,1.0,1.0
1370,9291,0.0,1.0
11790,12334,0.0,1.0
1058,5475,1.0,1.0
2373,7794,1.0,1.0
752,8283,1.0,1.0
4901,9582,0.0,1.0
12397,13077,1.0,1.0
8739,12916,0.0,1.0
7446,7994,0.0,1.0
8903,10559,0.0,1.0
2323,5386,0.0,1.0
8866,10462,1.0,1.0
806,5836,1.0,1.0
9200,11962,1.0,1.0
8854,9665,1.0,1.0
4747,6263,1.0,1.0
2164,11446,1.0,1.0
3269,7364,1.0,1.0
9736,12388,0.0,1.0
3395,7681,1.0,1.0
166,5649,1.0,1.0
8694,10829,1.0,1.0
6788,12460,0.0,1.0
2191,7715,0.0,1.0
1758,2721,0.0,1.0
4846,10850,0.0,1.0
5442,7298,1.0,1.0
5266,8510,0.0,1.0
6847,8070,1.0,1.0
6114,10178,1.0,1.0
6660,12886,1.0,1.0
6946,10427,1.0,1.0
6263,8856,1.0,1.0
3175,9890,1.0,1.0
2404,7744,1.0,1.0
59,9174,1.0,1.0
3626,11010,0.0,1.0
707,9113,1.0,1.0
9463,11908,1.0,1.0
750,5352,1.0,1.0
5207,5380,1.0,1.0
5258,6390,1.0,1.0
4651,6558,1.0,1.0
214,9151,1.0,1.0
166,7776,1.0,1.0
3382,12718,1.0,1.0
956,7737,1.0,1.0
2538,5918,0.0,1.0
2480,10813,1.0,1.0
8264,9415,1.0,1.0
4294,5511,1.0,1.0
835,3662,0.0,1.0
8009,9195,1.0,1.0
11078,11328,1.0,1.0
10460,12073,0.0,1.0
736,7314,1.0,1.0
3338,12986,1.0,1.0
3394,6080,1.0,1.0
3994,9326,1.0,1.0
11449,11940,1.0,1.0
1180,9456,1.0,1.0
4565,7910,1.0,1.0
750,4836,1.0,1.0
6565,11643,1.0,1.0
6214,9923,1.0,1.0
1137,1300,0.0,1.0
359,10181,0.0,1.0
8972,9132,0.0,1.0
2861,9383,0.0,1.0
5354,12199,1.0,1.0
4916,12719,1.0,1.0
8241,11627,0.0,1.0
5292,6721,1.0,1.0
8594,11180,1.0,1.0
2082,6449,0.0,1.0
7744,8069,0.0,1.0
7681,11819,1.0,1.0
7377,11403,1.0,1.0
7234,9919,1.0,1.0
6114,9084,1.0,1.0
3767,12471,0.0,1.0
5572,10264,0.0,1.0
5080,9456,1.0,1.0
6065,9778,0.0,1.0
134,1781,0.0,1.0
2901,3006,1.0,1.0
4255,10605,1.0,1.0
3307,7744,1.0,1.0
5625,12711,1.0,1.0
7633,11806,0.0,1.0
6263,11637,0.0,1.0
11,1519,0.0,1.0
207,676,0.0,1.0
2585,12983,0.0,1.0
3388,3957,0.0,1.0
6162,6485,1.0,1.0
9433,12662,1.0,1.0
750,3584,1.0,1.0
3777,12375,1.0,1.0
6147,7263,1.0,1.0
959,1184,0.0,1.0
9825,12429,1.0,1.0
750,10092,1.0,1.0
2551,11937,1.0,1.0
6115,12113,0.0,1.0
5132,10226,0.0,1.0
2442,7058,1.0,1.0
1955,7695,1.0,1.0
2842,3773,0.0,1.0
2761,5521,1.0,1.0
2065,8806,1.0,1.0
11436,12322,1.0,1.0
7681,10636,1.0,1.0
3062,11405,1.0,1.0
579,12432,1.0,1.0
1962,9165,1.0,1.0
7611,11148,1.0,1.0
3198,4565,1.0,1.0
432,666,1.0,1.0
829,4069,1.0,1.0
7744,8600,1.0,1.0
64,3935,1.0,1.0
3338,8313,1.0,1.0
6390,11133,1.0,1.0
4511,8112,1.0,1.0
6670,8095,1.0,1.0
1983,4925,1.0,1.0
5797,9035,1.0,1.0
3839,4511,1.0,1.0
5546,11023,0.0,1.0
262,4389,1.0,1.0
7234,10789,1.0,1.0
10552,12296,1.0,1.0
379,9194,1.0,1.0
7681,11491,1.0,1.0
4255,4663,1.0,1.0
132,6165,1.0,1.0
1243,4148,1.0,1.0
1038,2874,1.0,1.0
2689,3189,1.0,1.0
7744,8905,1.0,1.0
92,8881,1.0,1.0
3808,4548,1.0,1.0
6114,8864,0.0,1.0
1107,9236,1.0,1.0
7695,11449,1.0,1.0
1780,11981,1.0,1.0
676,5024,0.0,1.0
3128,4858,1.0,1.0
4017,11544,1.0,1.0
7681,11494,1.0,1.0
8665,12146,1.0,1.0
4338,7744,1.0,1.0
2864,8395,1.0,1.0
379,4358,1.0,1.0
7919,8226,1.0,1.0
2134,3006,1.0,1.0
7744,8486,1.0,1.0
1665,10462,1.0,1.0
3629,8447,0.0,1.0
1989,4843,0.0,1.0
10975,12930,0.0,1.0
5211,12199,1.0,1.0
9152,10017,1.0,1.0
8269,10021,1.0,1.0
4782,5194,1.0,1.0
4984,11951,0.0,1.0
3670,4255,1.0,1.0
379,2271,1.0,1.0
3994,12455,1.0,1.0
232,4338,1.0,1.0
9619,11881,0.0,1.0
6425,12894,1.0,1.0
7298,11181,1.0,1.0
10720,11592,1.0,1.0
9766,12197,1.0,1.0
1868,6310,1.0,1.0
6310,9552,0.0,1.0
3359,5924,1.0,1.0
3062,6793,1.0,1.0
457,7862,0.0,1.0
501,8759,1.0,1.0
4747,11686,1.0,1.0
6510,12999,1.0,1.0
8206,8831,0.0,1.0
6992,11252,1.0,1.0
4069,8201,1.0,1.0
262,2901,1.0,1.0
1078,4936,1.0,1.0
9518,12989,0.0,1.0
1018,5056,0.0,1.0
174,10661,0.0,1.0
6391,10052,1.0,1.0
1094,8140,1.0,1.0
1079,5420,1.0,1.0
3145,12766,1.0,1.0
5534,7574,1.0,1.0
7824,9652,0.0,1.0
2589,3982,1.0,1.0
572,10946,0.0,1.0
2897,12157,0.0,1.0
5318,11578,1.0,1.0
5967,8923,0.0,1.0
752,7210,1.0,1.0
5066,12718,0.0,1.0
7502,9720,1.0,1.0
8213,8503,1.0,1.0
5360,6702,0.0,1.0
24,11943,0.0,1.0
8622,12580,1.0,1.0
5610,5900,0.0,1.0
3922,8251,1.0,1.0
5638,7744,0.0,1.0
6098,11492,1.0,1.0
3328,12330,0.0,1.0
3102,11826,1.0,1.0
4753,6441,0.0,1.0
5200,5750,1.0,1.0
1765,2505,1.0,1.0
3901,5472,0.0,1.0
6593,7681,1.0,1.0
7744,9900,1.0,1.0
3205,12767,1.0,1.0
262,5880,1.0,1.0
2651,5147,1.0,1.0
262,6974,1.0,1.0
166,8936,1.0,1.0
4036,7042,1.0,1.0
4165,9239,1.0,1.0
1255,2522,0.0,1.0
752,6564,1.0,1.0
3983,10714,1.0,1.0
2990,3377,0.0,1.0
2038,11390,0.0,1.0
5710,5781,0.0,1.0
7503,10480,1.0,1.0
4555,10638,0.0,1.0
1147,8009,1.0,1.0
4360,7623,0.0,1.0
6066,6727,1.0,1.0
902,4255,1.0,1.0
5306,8046,0.0,1.0
8117,8243,1.0,1.0
4565,8193,0.0,1.0
4731,5444,1.0,1.0
8054,9037,0.0,1.0
2376,7853,0.0,1.0
2920,12679,1.0,1.0
2164,10048,1.0,1.0
8772,12106,1.0,1.0
3079,10736,1.0,1.0
419,9000,0.0,1.0
3189,10722,1.0,1.0
4823,10365,1.0,1.0
1604,3577,1.0,1.0
3704,4650,0.0,1.0
3584,4823,1.0,1.0
3683,4888,0.0,1.0
7647,13043,0.0,1.0
10755,12986,1.0,1.0
687,2662,1.0,1.0
10013,10761,1.0,1.0
7611,12368,1.0,1.0
3935,9131,1.0,1.0
1962,4338,1.0,1.0
7704,12320,0.0,1.0
12050,12905,0.0,1.0
3420,6114,1.0,1.0
7543,12718,1.0,1.0
10459,13023,1.0,1.0
1118,8140,1.0,1.0
2392,6722,0.0,1.0
262,9307,1.0,1.0
3766,11905,1.0,1.0
4782,10338,1.0,1.0
7522,12711,1.0,1.0
2280,2334,1.0,1.0
793,8431,1.0,1.0
3739,6425,1.0,1.0
2030,3742,1.0,1.0
2470,12980,1.0,1.0
3615,9488,1.0,1.0
889,12662,1.0,1.0
5884,7611,1.0,1.0
5701,12410,1.0,1.0
1674,10821,1.0,1.0
2271,11137,1.0,1.0
5048,12056,1.0,1.0
3976,9784,0.0,1.0
3752,7744,1.0,1.0
8774,11651,0.0,1.0
3903,12059,0.0,1.0
2501,6408,1.0,1.0
5371,10759,1.0,1.0
6593,8638,1.0,1.0
3006,8476,1.0,1.0
2507,10086,1.0,1.0
1304,3573,0.0,1.0
2345,8292,1.0,1.0
466,9043,0.0,1.0
750,5590,1.0,1.0
511,9457,1.0,1.0
1787,13088,0.0,1.0
10453,12492,0.0,1.0
4613,8262,0.0,1.0
617,8752,1.0,1.0
5454,6390,1.0,1.0
9072,12895,1.0,1.0
719,9720,0.0,1.0
5693,7523,1.0,1.0
8339,10869,1.0,1.0
664,10431,1.0,1.0
10745,12220,0.0,1.0
1587,3560,1.0,1.0
3273,4511,1.0,1.0
8845,12539,0.0,1.0
3530,6751,0.0,1.0
88,7744,1.0,1.0
6145,8381,1.0,1.0
851,4039,1.0,1.0
2002,4356,1.0,1.0
1759,10812,1.0,1.0
3928,11260,1.0,1.0
2551,8024,1.0,1.0
750,3631,1.0,1.0
8838,9753,1.0,1.0
262,2486,1.0,1.0
5444,10946,1.0,1.0
4651,7314,1.0,1.0
5693,10096,1.0,1.0
4255,12351,0.0,1.0
10437,11856,1.0,1.0
