edge_index0,edge_index1,pred,gr
2901,7744,1.0,1.0
5679,10017,1.0,1.0
1865,7744,1.0,1.0
9088,12711,1.0,1.0
1054,4624,1.0,1.0
3512,7671,0.0,1.0
7497,8389,1.0,1.0
7234,11224,1.0,1.0
3295,9286,1.0,1.0
5278,8098,1.0,1.0
5108,6216,1.0,1.0
10162,13053,0.0,1.0
4343,4405,0.0,1.0
301,2470,0.0,1.0
6593,8995,1.0,1.0
12628,13035,0.0,1.0
3062,4975,1.0,1.0
7153,10873,0.0,1.0
2770,5714,0.0,1.0
1137,1538,1.0,1.0
3994,4878,1.0,1.0
172,981,0.0,1.0
2821,3930,1.0,1.0
6092,9244,0.0,1.0
379,11321,0.0,1.0
3623,8094,0.0,1.0
8503,12199,1.0,1.0
9468,10755,1.0,1.0
4651,9199,1.0,1.0
8292,9376,0.0,1.0
3838,11492,1.0,1.0
3176,6248,0.0,1.0
3754,7468,0.0,1.0
750,12474,1.0,1.0
3736,6573,0.0,1.0
8905,9933,1.0,1.0
3340,12102,1.0,1.0
3891,12106,1.0,1.0
511,8115,1.0,1.0
6343,7744,1.0,1.0
642,5605,0.0,1.0
8266,11035,0.0,1.0
262,10172,1.0,1.0
2548,12021,1.0,1.0
3792,11721,1.0,1.0
1614,6290,1.0,1.0
1384,7312,1.0,1.0
1243,11052,0.0,1.0
5077,9888,0.0,1.0
3423,5852,1.0,1.0
4778,10698,0.0,1.0
4045,9992,1.0,1.0
2942,8438,1.0,1.0
3799,8913,0.0,1.0
1645,1910,0.0,1.0
3598,12654,0.0,1.0
10785,12711,1.0,1.0
7887,12487,1.0,1.0
3582,12225,0.0,1.0
6797,12136,1.0,1.0
648,9215,1.0,1.0
5263,5776,0.0,1.0
6691,7108,1.0,1.0
1054,12372,1.0,1.0
11394,11449,1.0,1.0
824,1639,0.0,1.0
2295,4761,1.0,1.0
4399,7744,1.0,1.0
59,5740,1.0,1.0
3752,5414,1.0,1.0
6320,11315,0.0,1.0
262,8774,1.0,1.0
3474,11906,1.0,1.0
1902,7901,0.0,1.0
1801,6510,1.0,1.0
4051,12659,1.0,1.0
5779,7353,1.0,1.0
5971,10307,1.0,1.0
5487,12059,1.0,1.0
6485,9052,1.0,1.0
6394,7349,0.0,1.0
4393,6249,0.0,1.0
7938,11940,0.0,1.0
5805,6382,0.0,1.0
1452,3478,0.0,1.0
4563,7314,1.0,1.0
1604,5129,1.0,1.0
7495,12061,1.0,1.0
229,4506,1.0,1.0
7649,8916,1.0,1.0
625,1079,1.0,1.0
1902,6746,1.0,1.0
4670,12459,0.0,1.0
10055,11175,0.0,1.0
2139,2733,1.0,1.0
8376,12913,0.0,1.0
4096,11493,1.0,1.0
1612,4691,0.0,1.0
889,5863,1.0,1.0
2448,9363,1.0,1.0
4559,7674,1.0,1.0
6766,8916,1.0,1.0
2637,8014,0.0,1.0
1406,10255,1.0,1.0
6263,7163,1.0,1.0
4866,5588,0.0,1.0
966,7744,1.0,1.0
2543,3605,0.0,1.0
2448,3627,1.0,1.0
2570,7744,1.0,1.0
1377,11955,0.0,1.0
2651,12409,0.0,1.0
1739,5856,1.0,1.0
3994,9631,1.0,1.0
5481,9846,1.0,1.0
2859,3338,1.0,1.0
262,11877,1.0,1.0
8115,13025,1.0,1.0
4169,9781,0.0,1.0
6581,9803,1.0,1.0
5408,8153,1.0,1.0
7744,10990,1.0,1.0
9142,11274,1.0,1.0
2678,5131,1.0,1.0
7744,8881,1.0,1.0
1036,12102,0.0,1.0
10186,11940,1.0,1.0
7377,10212,1.0,1.0
5885,11111,1.0,1.0
493,10993,1.0,1.0
5247,7883,0.0,1.0
262,5451,1.0,1.0
4832,9352,1.0,1.0
7744,12384,1.0,1.0
3739,6164,0.0,1.0
1289,1751,1.0,1.0
2497,5128,0.0,1.0
53,5815,0.0,1.0
1104,2329,0.0,1.0
7309,10505,0.0,1.0
701,7611,1.0,1.0
7109,10096,1.0,1.0
752,5331,1.0,1.0
3621,7395,1.0,1.0
6655,7498,0.0,1.0
643,10798,1.0,1.0
3777,10239,0.0,1.0
3592,8213,0.0,1.0
2888,4384,1.0,1.0
5282,9313,1.0,1.0
6888,8003,0.0,1.0
5729,11354,0.0,1.0
3447,4198,0.0,1.0
3752,6870,1.0,1.0
8135,13123,1.0,1.0
2878,3420,1.0,1.0
678,10262,1.0,1.0
2587,4255,1.0,1.0
7522,7681,1.0,1.0
2000,8537,1.0,1.0
2707,8967,1.0,1.0
4854,9268,0.0,1.0
6263,7416,1.0,1.0
600,3793,1.0,1.0
5109,6684,0.0,1.0
2816,6946,0.0,1.0
4568,10618,1.0,1.0
4692,5843,0.0,1.0
465,3747,1.0,1.0
6842,12199,1.0,1.0
2995,10028,0.0,1.0
6502,8115,1.0,1.0
2998,4487,0.0,1.0
8451,12982,0.0,1.0
7367,10904,0.0,1.0
7546,10653,0.0,1.0
4107,9779,1.0,1.0
750,7938,0.0,1.0
2950,4823,1.0,1.0
746,4456,1.0,1.0
4255,8112,1.0,1.0
4671,11148,1.0,1.0
4718,11041,1.0,1.0
811,4026,1.0,1.0
7573,11316,1.0,1.0
3062,11511,1.0,1.0
4981,8845,1.0,1.0
1406,12497,1.0,1.0
7744,12892,1.0,1.0
2878,7064,1.0,1.0
10918,12886,1.0,1.0
2428,5884,1.0,1.0
4478,9199,1.0,1.0
3144,12435,0.0,1.0
3949,7583,0.0,1.0
1348,12368,1.0,1.0
2674,7744,1.0,1.0
8194,12697,1.0,1.0
9676,12474,1.0,1.0
379,1108,1.0,1.0
3009,9458,1.0,1.0
5396,7744,1.0,1.0
6049,13022,1.0,1.0
3006,3062,1.0,1.0
262,2387,1.0,1.0
3777,8741,1.0,1.0
501,12227,0.0,1.0
904,7681,1.0,1.0
12124,12806,0.0,1.0
8916,9166,1.0,1.0
2906,10181,1.0,1.0
6606,8233,0.0,1.0
3609,6096,1.0,1.0
648,4493,1.0,1.0
7744,8707,1.0,1.0
2656,7569,0.0,1.0
11774,12349,1.0,1.0
8734,10021,1.0,1.0
3133,4107,1.0,1.0
4801,7031,1.0,1.0
8582,11527,1.0,1.0
397,7744,1.0,1.0
6475,9329,1.0,1.0
6403,12681,0.0,1.0
6222,8773,1.0,1.0
3621,6055,1.0,1.0
3394,4356,1.0,1.0
3543,4460,0.0,1.0
2749,6559,0.0,1.0
2517,2877,0.0,1.0
3847,4255,1.0,1.0
4088,10940,1.0,1.0
8128,8482,0.0,1.0
4801,5656,1.0,1.0
3995,6263,1.0,1.0
6094,10386,0.0,1.0
9286,12410,1.0,1.0
4059,7502,1.0,1.0
3518,7191,1.0,1.0
4061,9199,1.0,1.0
1271,3373,1.0,1.0
4165,7468,1.0,1.0
7376,8854,0.0,1.0
3078,9903,0.0,1.0
