edge_index0,edge_index1,pred,gr
4938,13148,1.0,1.0
5410,7744,1.0,1.0
5109,10842,1.0,1.0
2314,3286,1.0,1.0
5490,11968,0.0,1.0
4255,7681,1.0,1.0
2730,5484,0.0,1.0
2536,4247,1.0,1.0
4823,5404,1.0,1.0
4544,10519,1.0,1.0
262,9344,1.0,1.0
4856,9262,0.0,1.0
10765,11316,1.0,1.0
9424,10019,1.0,1.0
1690,12518,1.0,1.0
182,6894,0.0,1.0
3208,7118,1.0,1.0
7814,8212,0.0,1.0
5814,9593,1.0,1.0
4441,6142,1.0,1.0
10206,12199,1.0,1.0
2813,6946,1.0,1.0
11196,12855,1.0,1.0
5516,9368,1.0,1.0
3242,7353,1.0,1.0
73,12398,1.0,1.0
5457,8251,1.0,1.0
7026,7309,1.0,1.0
1724,8699,1.0,1.0
5410,12193,1.0,1.0
6333,6485,1.0,1.0
262,6870,1.0,1.0
6214,12720,1.0,1.0
5965,6356,1.0,1.0
8741,11240,0.0,1.0
4405,4900,0.0,1.0
924,2234,1.0,1.0
4801,7663,1.0,1.0
2470,5364,1.0,1.0
6452,12731,1.0,1.0
889,4414,1.0,1.0
7074,7681,1.0,1.0
3255,7764,0.0,1.0
1902,5412,1.0,1.0
6921,9923,1.0,1.0
10955,11359,1.0,1.0
1054,3069,1.0,1.0
7803,9508,1.0,1.0
6405,9081,1.0,1.0
5150,11409,1.0,1.0
4069,12853,1.0,1.0
2307,4346,1.0,1.0
8897,10155,1.0,1.0
4651,12198,1.0,1.0
379,743,1.0,1.0
3363,9468,1.0,1.0
5177,5977,1.0,1.0
1503,6142,1.0,1.0
417,4801,1.0,1.0
3978,13020,1.0,1.0
3829,8222,1.0,1.0
5530,7487,1.0,1.0
441,3722,1.0,1.0
1058,5475,1.0,1.0
982,10140,0.0,1.0
6452,9278,1.0,1.0
6275,11686,1.0,1.0
9433,10986,1.0,1.0
262,11962,1.0,1.0
3628,6779,1.0,1.0
5308,9807,1.0,1.0
1466,13000,1.0,1.0
2101,7744,1.0,1.0
257,6162,1.0,1.0
3665,9463,1.0,1.0
4858,7744,1.0,1.0
5667,11601,1.0,1.0
8472,12562,0.0,1.0
5371,6131,1.0,1.0
433,558,1.0,1.0
2813,3910,1.0,1.0
5483,6306,1.0,1.0
405,8955,1.0,1.0
6214,12473,1.0,1.0
3151,9107,1.0,1.0
182,1844,0.0,1.0
4011,6260,1.0,1.0
2464,7234,1.0,1.0
1578,11316,1.0,1.0
5809,10658,1.0,1.0
5479,7279,0.0,1.0
8922,13132,1.0,1.0
7625,8292,1.0,1.0
3273,6114,1.0,1.0
664,12497,1.0,1.0
3490,11826,1.0,1.0
4895,7695,1.0,1.0
3928,4057,1.0,1.0
5417,5852,1.0,1.0
3875,9473,1.0,1.0
45,9867,1.0,1.0
3018,9808,0.0,1.0
88,4255,1.0,1.0
7611,9510,1.0,1.0
7674,8349,1.0,1.0
871,7744,1.0,1.0
5884,9263,1.0,1.0
262,8887,1.0,1.0
4227,11078,1.0,1.0
4227,4651,1.0,1.0
4108,7744,1.0,1.0
6688,7702,0.0,1.0
5850,12938,1.0,1.0
1476,8132,1.0,1.0
3923,12149,0.0,1.0
10755,11436,1.0,1.0
379,6312,1.0,1.0
225,7270,1.0,1.0
262,1929,1.0,1.0
10019,11589,1.0,1.0
2942,12669,1.0,1.0
7296,11915,1.0,1.0
1169,6263,1.0,1.0
262,426,1.0,1.0
1255,6204,1.0,1.0
817,6922,0.0,1.0
1797,2527,1.0,1.0
2036,2152,1.0,1.0
4419,7993,1.0,1.0
8214,11084,0.0,1.0
2652,6306,1.0,1.0
3624,12670,0.0,1.0
1637,10284,1.0,1.0
262,891,1.0,1.0
687,5743,1.0,1.0
2978,4372,1.0,1.0
7475,7744,1.0,1.0
7744,8996,1.0,1.0
3243,4222,1.0,1.0
848,7058,1.0,1.0
1884,3616,0.0,1.0
4686,10223,1.0,1.0
5601,12271,1.0,1.0
6921,10036,1.0,1.0
3621,5701,1.0,1.0
9199,11087,1.0,1.0
8384,9540,0.0,1.0
5543,10050,1.0,1.0
262,7470,1.0,1.0
5225,8916,1.0,1.0
7112,8002,0.0,1.0
7275,9508,1.0,1.0
7693,9346,1.0,1.0
4126,12263,1.0,1.0
2105,5329,0.0,1.0
1775,12687,0.0,1.0
10866,11117,1.0,1.0
609,4801,1.0,1.0
6186,6263,1.0,1.0
5193,9942,1.0,1.0
2217,5997,0.0,1.0
10077,10340,1.0,1.0
7839,12226,0.0,1.0
4936,6423,1.0,1.0
3006,3984,1.0,1.0
8734,10021,1.0,1.0
1435,7349,1.0,1.0
3912,6052,1.0,1.0
3245,7695,1.0,1.0
750,4703,1.0,1.0
2273,7213,1.0,1.0
9953,12279,1.0,1.0
7737,9832,1.0,1.0
4290,8877,1.0,1.0
4782,9044,0.0,1.0
1334,8804,1.0,1.0
1529,8419,1.0,1.0
1299,3020,1.0,1.0
3965,7744,1.0,1.0
1962,12193,1.0,1.0
1831,2091,1.0,1.0
4782,4984,1.0,1.0
3479,9581,1.0,1.0
1881,3935,1.0,1.0
1233,11824,1.0,1.0
3994,9841,1.0,1.0
4386,7695,1.0,1.0
812,8106,1.0,1.0
4624,6326,1.0,1.0
378,750,1.0,1.0
15,12363,1.0,1.0
321,6025,1.0,1.0
3752,9107,1.0,1.0
1054,2878,1.0,1.0
795,1351,1.0,1.0
3173,9198,0.0,1.0
5470,10180,1.0,1.0
270,7876,0.0,1.0
418,9378,1.0,1.0
3981,11539,1.0,1.0
2575,9996,0.0,1.0
904,10206,1.0,1.0
6292,9910,1.0,1.0
10460,12073,1.0,1.0
7183,12711,1.0,1.0
7151,10748,1.0,1.0
6042,7260,1.0,1.0
8508,11952,1.0,1.0
2593,7744,1.0,1.0
9061,9422,1.0,1.0
771,10181,1.0,1.0
6731,12014,1.0,1.0
4623,8397,1.0,1.0
4854,8274,1.0,1.0
1401,4613,1.0,1.0
8537,12711,1.0,1.0
1850,8734,1.0,1.0
5743,9832,1.0,1.0
299,12434,0.0,1.0
262,8801,1.0,1.0
894,2317,1.0,1.0
9785,11111,1.0,1.0
2247,9522,0.0,1.0
3569,9438,1.0,1.0
3577,4209,1.0,1.0
1699,12700,1.0,1.0
1338,8254,1.0,1.0
2532,6118,0.0,1.0
728,1152,0.0,1.0
1598,2168,1.0,1.0
5200,7784,1.0,1.0
4782,5412,1.0,1.0
4343,4872,0.0,1.0
6114,11770,1.0,1.0
8757,11136,1.0,1.0
4309,5244,1.0,1.0
607,10639,1.0,1.0
10552,12143,1.0,1.0
448,4508,1.0,1.0
3968,4440,1.0,1.0
2694,6214,1.0,1.0
7420,12375,1.0,1.0
10691,10715,1.0,1.0
1362,2726,1.0,1.0
812,7869,1.0,1.0
9433,9750,1.0,1.0
7936,11270,1.0,1.0
5572,12693,1.0,1.0
262,6275,1.0,1.0
1406,3343,1.0,1.0
5133,12669,1.0,1.0
6162,8842,1.0,1.0
3829,8460,1.0,1.0
3275,11750,1.0,1.0
625,13024,1.0,1.0
418,7813,1.0,1.0
1962,8015,1.0,1.0
262,6122,1.0,1.0
806,10883,1.0,1.0
4389,12299,1.0,1.0
3145,10176,1.0,1.0
9056,12973,1.0,1.0
7182,12763,1.0,1.0
2773,7713,1.0,1.0
753,4003,1.0,1.0
1341,10239,1.0,1.0
7744,8105,1.0,1.0
7164,9194,1.0,1.0
3340,10442,1.0,1.0
2498,9850,1.0,1.0
5019,7856,0.0,1.0
3006,3812,1.0,1.0
2773,10642,1.0,1.0
1520,4348,0.0,1.0
300,3473,1.0,1.0
53,6522,1.0,1.0
7744,8600,1.0,1.0
6980,8132,1.0,1.0
5796,9727,1.0,1.0
465,3747,0.0,1.0
6780,9333,1.0,1.0
852,8263,1.0,1.0
3359,7884,1.0,1.0
6114,8099,1.0,1.0
7467,11316,1.0,1.0
746,7744,1.0,1.0
9263,9404,1.0,1.0
815,6114,1.0,1.0
1604,2822,1.0,1.0
4854,9779,1.0,1.0
329,7681,1.0,1.0
3770,9308,1.0,1.0
1172,9666,0.0,1.0
7985,12581,1.0,1.0
1962,3242,1.0,1.0
9035,9214,1.0,1.0
3132,9903,1.0,1.0
6364,10308,1.0,1.0
6786,8636,1.0,1.0
1614,8081,0.0,1.0
10612,11737,0.0,1.0
5128,11632,1.0,1.0
2618,5890,1.0,1.0
9861,12273,0.0,1.0
750,4270,1.0,1.0
11745,12163,1.0,1.0
806,11158,1.0,1.0
5693,9865,1.0,1.0
808,860,1.0,1.0
7197,8703,1.0,1.0
750,12504,1.0,1.0
1241,8133,0.0,1.0
6997,8447,1.0,1.0
1604,7383,1.0,1.0
6829,11254,1.0,1.0
10378,10869,1.0,1.0
5777,7502,1.0,1.0
2531,8393,1.0,1.0
4552,12263,1.0,1.0
8972,12985,1.0,1.0
9737,11943,1.0,1.0
5334,6217,1.0,1.0
2908,8009,1.0,1.0
808,1063,1.0,1.0
3766,10668,1.0,1.0
8151,12094,0.0,1.0
3836,3878,1.0,1.0
9544,10181,1.0,1.0
1813,11031,1.0,1.0
1451,2654,0.0,1.0
5131,10239,1.0,1.0
3994,11608,1.0,1.0
7744,10931,1.0,1.0
1372,2291,1.0,1.0
6694,8933,0.0,1.0
922,6485,1.0,1.0
2085,9286,1.0,1.0
4538,12760,1.0,1.0
3775,4782,1.0,1.0
12443,12829,1.0,1.0
1578,7449,1.0,1.0
4255,11136,1.0,1.0
487,10028,1.0,1.0
3237,8257,0.0,1.0
3767,7484,1.0,1.0
1829,5333,0.0,1.0
4051,12361,1.0,1.0
1337,11211,0.0,1.0
4503,11952,1.0,1.0
773,8040,1.0,1.0
3021,8510,1.0,1.0
2520,10164,1.0,1.0
603,7007,1.0,1.0
7663,11578,1.0,1.0
4301,7478,1.0,1.0
3494,6883,1.0,1.0
4903,10620,1.0,1.0
1836,10073,0.0,1.0
8875,9787,1.0,1.0
750,9481,1.0,1.0
11394,11449,1.0,1.0
3764,11544,1.0,1.0
4249,7695,1.0,1.0
8759,13024,1.0,1.0
7293,7681,1.0,1.0
262,2601,1.0,1.0
660,1125,1.0,1.0
1519,12112,0.0,1.0
6589,11394,1.0,1.0
4609,5288,1.0,1.0
4683,7522,1.0,1.0
5138,10997,1.0,1.0
4090,7198,0.0,1.0
1977,9435,1.0,1.0
2404,8654,1.0,1.0
9,12368,1.0,1.0
2726,12044,1.0,1.0
4739,12495,0.0,1.0
4936,10174,1.0,1.0
2908,7246,1.0,1.0
166,8262,1.0,1.0
1662,5402,1.0,1.0
1413,2774,1.0,1.0
9831,11940,1.0,1.0
889,6052,1.0,1.0
188,5289,0.0,1.0
3468,12635,1.0,1.0
511,10173,1.0,1.0
5891,6591,1.0,1.0
2573,5378,1.0,1.0
2428,8589,1.0,1.0
902,8563,1.0,1.0
2618,7874,1.0,1.0
2539,9220,1.0,1.0
6204,7979,1.0,1.0
985,5850,1.0,1.0
1604,5166,1.0,1.0
9679,12048,1.0,1.0
262,3507,1.0,1.0
10677,11052,1.0,1.0
181,1604,1.0,1.0
2652,6946,1.0,1.0
7246,12193,1.0,1.0
750,9459,1.0,1.0
558,6642,1.0,1.0
904,1699,1.0,1.0
5537,10617,0.0,1.0
1642,8450,1.0,1.0
5891,11307,1.0,1.0
1681,10017,1.0,1.0
7615,7822,1.0,1.0
1260,3603,1.0,1.0
7377,9779,1.0,1.0
7435,9468,1.0,1.0
3889,4696,0.0,1.0
5278,11432,1.0,1.0
7149,12057,1.0,1.0
4266,8331,1.0,1.0
10427,12100,1.0,1.0
8648,8813,1.0,1.0
1978,3917,0.0,1.0
4696,12299,1.0,1.0
5200,6836,1.0,1.0
4949,11796,1.0,1.0
622,10463,0.0,1.0
4389,8370,1.0,1.0
1115,8893,1.0,1.0
1406,1696,1.0,1.0
3984,9404,1.0,1.0
3175,12973,1.0,1.0
4255,6234,1.0,1.0
3599,7867,0.0,1.0
262,12774,1.0,1.0
1946,3609,1.0,1.0
