edge_index0,edge_index1,pred,gr
5071,6223,1.0,1.0
6114,6448,1.0,1.0
9964,12010,1.0,1.0
1760,10515,1.0,1.0
6538,8303,1.0,1.0
5420,10219,1.0,1.0
6079,11254,1.0,1.0
3743,12132,1.0,1.0
6806,8823,1.0,1.0
2500,8371,0.0,1.0
7353,9656,1.0,1.0
6011,10118,1.0,1.0
379,4936,1.0,1.0
381,9170,1.0,1.0
5166,10789,1.0,1.0
7231,9952,1.0,1.0
8482,12762,1.0,1.0
1226,7184,1.0,1.0
5109,11200,1.0,1.0
8563,9237,1.0,1.0
2277,8393,1.0,1.0
655,6373,1.0,1.0
8196,12041,1.0,1.0
6757,8169,1.0,1.0
2133,6710,1.0,1.0
2489,6198,1.0,1.0
7994,9760,1.0,1.0
5523,8431,1.0,1.0
4782,10453,1.0,1.0
7695,11255,1.0,1.0
1612,9948,1.0,1.0
7093,7304,1.0,1.0
1473,8993,1.0,1.0
262,3219,1.0,1.0
3673,11031,1.0,1.0
1090,8996,1.0,1.0
5837,12596,1.0,1.0
262,1946,1.0,1.0
695,5145,1.0,1.0
1340,4255,1.0,1.0
3889,4671,1.0,1.0
3628,10136,1.0,1.0
4109,10218,1.0,1.0
1223,4980,1.0,1.0
4358,10919,1.0,1.0
830,1810,0.0,1.0
562,8009,1.0,1.0
300,3473,1.0,1.0
4596,7142,1.0,1.0
1962,3134,1.0,1.0
300,10741,1.0,1.0
3064,11091,1.0,1.0
3663,5346,1.0,1.0
420,12510,1.0,1.0
1090,6573,1.0,1.0
432,9436,1.0,1.0
12932,13077,1.0,1.0
2211,9647,1.0,1.0
2684,8003,1.0,1.0
9903,10180,1.0,1.0
5282,7584,1.0,1.0
1856,3518,1.0,1.0
487,7651,1.0,1.0
518,4255,1.0,1.0
4259,9926,1.0,1.0
1275,4686,1.0,1.0
226,10920,1.0,1.0
2164,10986,1.0,1.0
262,9344,1.0,1.0
1517,3324,1.0,1.0
720,3224,1.0,1.0
768,4255,1.0,1.0
6271,11242,1.0,1.0
8135,8292,1.0,1.0
2437,9636,1.0,1.0
4740,10308,1.0,1.0
908,4247,1.0,1.0
9247,9311,1.0,1.0
1902,2023,1.0,1.0
6114,8006,1.0,1.0
6204,12655,1.0,1.0
262,2302,1.0,1.0
7114,11180,1.0,1.0
9337,12101,1.0,1.0
8903,11712,1.0,1.0
7681,8840,1.0,1.0
262,7555,1.0,1.0
3494,8856,1.0,1.0
6101,9832,1.0,1.0
808,4511,1.0,1.0
8431,12555,1.0,1.0
1966,5156,1.0,1.0
13077,13117,1.0,1.0
5822,7389,1.0,1.0
7491,13124,1.0,1.0
2448,9401,1.0,1.0
11180,12443,1.0,1.0
2015,10755,1.0,1.0
799,9497,1.0,1.0
750,12908,1.0,1.0
4323,5509,1.0,1.0
4320,12076,1.0,1.0
3631,8565,1.0,1.0
4308,6136,1.0,1.0
6114,8476,1.0,1.0
1955,12715,1.0,1.0
561,6350,1.0,1.0
6813,7503,1.0,1.0
7899,8373,1.0,1.0
7151,7681,1.0,1.0
5486,8566,1.0,1.0
5198,6898,1.0,1.0
5314,5671,0.0,1.0
1562,2920,1.0,1.0
6830,7181,1.0,1.0
11260,12345,1.0,1.0
7727,8393,1.0,1.0
847,984,1.0,1.0
11741,12312,1.0,1.0
4736,6552,1.0,1.0
4356,10127,1.0,1.0
10239,13077,1.0,1.0
6355,6745,1.0,1.0
4064,10078,1.0,1.0
4232,5682,1.0,1.0
4565,6553,1.0,1.0
8332,8635,1.0,1.0
6425,8014,1.0,1.0
9474,13151,1.0,1.0
4018,10495,1.0,1.0
6227,11578,1.0,1.0
1234,5159,1.0,1.0
5334,8563,1.0,1.0
4378,11643,1.0,1.0
9727,12410,1.0,1.0
3062,11859,1.0,1.0
4806,8101,1.0,1.0
5410,9650,1.0,1.0
1031,7298,1.0,1.0
2264,6070,1.0,1.0
262,5884,1.0,1.0
1902,3530,1.0,1.0
8321,12340,1.0,1.0
3282,4801,1.0,1.0
2262,6538,1.0,1.0
750,11103,1.0,1.0
6274,7234,1.0,1.0
1008,3265,1.0,1.0
4111,7223,1.0,1.0
954,5796,1.0,1.0
947,8563,1.0,1.0
2139,12473,1.0,1.0
5737,7097,1.0,1.0
